year,arabica_prod_conab_msacs,total_prod_conab_msacs,cepea_arabica_avg_rs_saca,cepea_period,conab_min_price_rs_saca,conab_cost_total_rs_saca,conab_yield_sacas_ha,usdbrl_avg,kc_ny_avg_usc_lb,fert_ratio_sacas_per_t,note
2016,43.4,51.4,,,,,,,,,arabica conab approx
2017,34.3,44.8,,,,,,,,,off-year
2018,47.5,58.0,422.62,safra 2018/19 (jul-jun),,,,,,,record then; lowest real price since 2001/02
2019,34.3,49.3,504.90,safra 2019/20 (jul-jun),,,,,,,off-year
2020,48.8,63.1,,,,,,,,,record; drought late 2020
2021,31.4,47.7,1325.65,safra 2021/22 (jul-jun),369.40,,,,,,drought + frost jul-2021
2022,32.4,50.9,1260.95,calendar 2022,606.66,,,,,,fertilizer +149% yoy nov-2021
2023,,55.1,953.15,calendar 2023,,,,,,,highest cost of production on record (Conab)
2024,,54-59 (est.),,,637.91,,,,,,1.79,ratio jul-2024 (20-05-20); nov-2024 monthly avg 1774.67
2025,,55.2-56.5 (est.),,,662.04,,,,,,1.1,ratio apr-2025; feb-2025 monthly avg 2565.41 (real)
2026,45.7 (fcst),66.2-66.7 (fcst),,,,,,,,,record forecast; producer price MG mar-apr 2026 ~1900-1950
