country,source,indicator,unit,period_type,period,value,source_url,notes
Ethiopia,FAOSTAT,area_harvested,ha,calendar_year,1998,302517,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5312; flag I=Value imputed by a receiving agency; bulk release 2025-12-23"
Ethiopia,FAOSTAT,area_harvested,ha,calendar_year,1999,251310,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5312; flag A=Official figure; bulk release 2025-12-23"
Ethiopia,FAOSTAT,area_harvested,ha,calendar_year,2000,250000,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5312; flag E=Estimated value; bulk release 2025-12-23"
Ethiopia,FAOSTAT,area_harvested,ha,calendar_year,2001,243834,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5312; flag A=Official figure; bulk release 2025-12-23"
Ethiopia,FAOSTAT,area_harvested,ha,calendar_year,2002,218000,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5312; flag E=Estimated value; bulk release 2025-12-23"
Ethiopia,FAOSTAT,area_harvested,ha,calendar_year,2003,232439,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5312; flag A=Official figure; bulk release 2025-12-23"
Ethiopia,FAOSTAT,area_harvested,ha,calendar_year,2004,260201,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5312; flag A=Official figure; bulk release 2025-12-23"
Ethiopia,FAOSTAT,area_harvested,ha,calendar_year,2005,261175,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5312; flag A=Official figure; bulk release 2025-12-23"
Ethiopia,FAOSTAT,area_harvested,ha,calendar_year,2006,295238,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5312; flag A=Official figure; bulk release 2025-12-23"
Ethiopia,FAOSTAT,area_harvested,ha,calendar_year,2007,407147,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5312; flag A=Official figure; bulk release 2025-12-23"
Ethiopia,FAOSTAT,area_harvested,ha,calendar_year,2008,391296,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5312; flag A=Official figure; bulk release 2025-12-23"
Ethiopia,FAOSTAT,area_harvested,ha,calendar_year,2009,395003,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5312; flag A=Official figure; bulk release 2025-12-23"
Ethiopia,FAOSTAT,area_harvested,ha,calendar_year,2010,498618,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5312; flag A=Official figure; bulk release 2025-12-23"
Ethiopia,FAOSTAT,area_harvested,ha,calendar_year,2011,580440,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5312; flag E=Estimated value; bulk release 2025-12-23"
Ethiopia,FAOSTAT,area_harvested,ha,calendar_year,2012,600530,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5312; flag E=Estimated value; bulk release 2025-12-23"
Ethiopia,FAOSTAT,area_harvested,ha,calendar_year,2013,538466,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5312; flag A=Official figure; bulk release 2025-12-23"
Ethiopia,FAOSTAT,area_harvested,ha,calendar_year,2014,626820,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5312; flag E=Estimated value; bulk release 2025-12-23"
Ethiopia,FAOSTAT,area_harvested,ha,calendar_year,2015,653940,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5312; flag E=Estimated value; bulk release 2025-12-23"
Ethiopia,FAOSTAT,area_harvested,ha,calendar_year,2016,761209,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5312; flag A=Official figure; bulk release 2025-12-23"
Ethiopia,FAOSTAT,area_harvested,ha,calendar_year,2017,808022,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5312; flag A=Official figure; bulk release 2025-12-23"
Ethiopia,FAOSTAT,area_harvested,ha,calendar_year,2018,871707,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5312; flag A=Official figure; bulk release 2025-12-23"
Ethiopia,FAOSTAT,area_harvested,ha,calendar_year,2019,871380,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5312; flag E=Estimated value; bulk release 2025-12-23"
Ethiopia,FAOSTAT,area_harvested,ha,calendar_year,2020,856592,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5312; flag A=Official figure; bulk release 2025-12-23"
