country,source,indicator,unit,period_type,period,value,source_url,notes
Indonesia,BPS,area_total,1000_ha,calendar_year,2024,1273.9,https://webapi.bps.go.id/download.php?f=LzNA+qUhweSXvlzMMC4rGm5DOGsvck9wdTRtc05OcktZYlM1V29nVllBSm53OXNXVG5TSmEyamhuUzljQTAvZWVuZzlmR2JrN1JsbXYySk1pZnVIOWJQTEQrSGRQbnpDbHdYcW9zS1c5SXlLVk9HYWJ6TmYxeFNUNHp3ZkU2cWdoRkZxTUJGREExeXlwVkZKN0JzRHZSaXdRUXFmTGx4UUJqUUErQkRsOElvenluVlZRTmdqR1RaWXh6UVRxOUhaQmVIdjhBTCt2N0pXeDlQTGJsaG1CTjJpQzhoS21rbENUdndmZVJLcnJZYkVDaXVHeDdOanVqNEFDZVZrM3g5QUFRT0JyUGs0OVN0bGttRFQ%3D,"Statistik Indonesia 2026 (Statistical Yearbook of Indonesia 2026, BPS cat. 1101001), NATIONAL all ownerships (PR+PBN+PBS); planted area (luas areal; TBM/TM/TTM split not given), all coffee (arabica+robusta+liberica); Table 5.3.1 'Kopi/Coffee' Indonesia row, PDF p.428 (printed p.384); source BPS-Kementan (Ditjenbun)"
Indonesia,BPS,area_total,1000_ha,calendar_year,2025,1275.9,https://webapi.bps.go.id/download.php?f=LzNA+qUhweSXvlzMMC4rGm5DOGsvck9wdTRtc05OcktZYlM1V29nVllBSm53OXNXVG5TSmEyamhuUzljQTAvZWVuZzlmR2JrN1JsbXYySk1pZnVIOWJQTEQrSGRQbnpDbHdYcW9zS1c5SXlLVk9HYWJ6TmYxeFNUNHp3ZkU2cWdoRkZxTUJGREExeXlwVkZKN0JzRHZSaXdRUXFmTGx4UUJqUUErQkRsOElvenluVlZRTmdqR1RaWXh6UVRxOUhaQmVIdjhBTCt2N0pXeDlQTGJsaG1CTjJpQzhoS21rbENUdndmZVJLcnJZYkVDaXVHeDdOanVqNEFDZVZrM3g5QUFRT0JyUGs0OVN0bGttRFQ%3D,"Statistik Indonesia 2026 (Statistical Yearbook of Indonesia 2026, BPS cat. 1101001), NATIONAL all ownerships (PR+PBN+PBS); planted area (luas areal; TBM/TM/TTM split not given), all coffee (arabica+robusta+liberica); Table 5.3.1 'Kopi/Coffee' Indonesia row, PDF p.428 (printed p.384); source BPS-Kementan (Ditjenbun); 2025 = angka sementara (preliminary, *)"
Indonesia,BPS,production,1000_t,calendar_year,2024,813.3,https://webapi.bps.go.id/download.php?f=LzNA+qUhweSXvlzMMC4rGm5DOGsvck9wdTRtc05OcktZYlM1V29nVllBSm53OXNXVG5TSmEyamhuUzljQTAvZWVuZzlmR2JrN1JsbXYySk1pZnVIOWJQTEQrSGRQbnpDbHdYcW9zS1c5SXlLVk9HYWJ6TmYxeFNUNHp3ZkU2cWdoRkZxTUJGREExeXlwVkZKN0JzRHZSaXdRUXFmTGx4UUJqUUErQkRsOElvenluVlZRTmdqR1RaWXh6UVRxOUhaQmVIdjhBTCt2N0pXeDlQTGJsaG1CTjJpQzhoS21rbENUdndmZVJLcnJZYkVDaXVHeDdOanVqNEFDZVZrM3g5QUFRT0JyUGs0OVN0bGttRFQ%3D,"Statistik Indonesia 2026 (Statistical Yearbook of Indonesia 2026, BPS cat. 1101001), NATIONAL all ownerships (PR+PBN+PBS); production as dry coffee beans (biji kering = green bean basis), all coffee; Table 5.3.2 Indonesia row, PDF p.431 (printed p.387); source BPS-Kementan (Ditjenbun)"
Indonesia,BPS,production,1000_t,calendar_year,2025,832.7,https://webapi.bps.go.id/download.php?f=LzNA+qUhweSXvlzMMC4rGm5DOGsvck9wdTRtc05OcktZYlM1V29nVllBSm53OXNXVG5TSmEyamhuUzljQTAvZWVuZzlmR2JrN1JsbXYySk1pZnVIOWJQTEQrSGRQbnpDbHdYcW9zS1c5SXlLVk9HYWJ6TmYxeFNUNHp3ZkU2cWdoRkZxTUJGREExeXlwVkZKN0JzRHZSaXdRUXFmTGx4UUJqUUErQkRsOElvenluVlZRTmdqR1RaWXh6UVRxOUhaQmVIdjhBTCt2N0pXeDlQTGJsaG1CTjJpQzhoS21rbENUdndmZVJLcnJZYkVDaXVHeDdOanVqNEFDZVZrM3g5QUFRT0JyUGs0OVN0bGttRFQ%3D,"Statistik Indonesia 2026 (Statistical Yearbook of Indonesia 2026, BPS cat. 1101001), NATIONAL all ownerships (PR+PBN+PBS); production as dry coffee beans (biji kering = green bean basis), all coffee; Table 5.3.2 Indonesia row, PDF p.431 (printed p.387); source BPS-Kementan (Ditjenbun); 2025 = angka sementara (preliminary, *)"
Indonesia,BPS,area_total,1000_ha,calendar_year,2021,21.8,https://webapi.bps.go.id/download.php?f=LzNA+qUhweSXvlzMMC4rGm5DOGsvck9wdTRtc05OcktZYlM1V29nVllBSm53OXNXVG5TSmEyamhuUzljQTAvZWVuZzlmR2JrN1JsbXYySk1pZnVIOWJQTEQrSGRQbnpDbHdYcW9zS1c5SXlLVk9HYWJ6TmYxeFNUNHp3ZkU2cWdoRkZxTUJGREExeXlwVkZKN0JzRHZSaXdRUXFmTGx4UUJqUUErQkRsOElvenluVlZRTmdqR1RaWXh6UVRxOUhaQmVIdjhBTCt2N0pXeDlQTGJsaG1CTjJpQzhoS21rbENUdndmZVJLcnJZYkVDaXVHeDdOanVqNEFDZVZrM3g5QUFRT0JyUGs0OVN0bGttRFQ%3D,"Statistik Indonesia 2026 (Statistical Yearbook of Indonesia 2026, BPS cat. 1101001), SUBSET ONLY: large estates (Perkebunan Besar = PBN state + PBS private), not national total; planted area (luas areal; TBM/TM/TTM split not given), all coffee (arabica+robusta+liberica); Table 5.3.3, PDF p.434 (printed p.390); source BPS (plantation estate survey)"
Indonesia,BPS,area_total,1000_ha,calendar_year,2022,19.6,https://webapi.bps.go.id/download.php?f=LzNA+qUhweSXvlzMMC4rGm5DOGsvck9wdTRtc05OcktZYlM1V29nVllBSm53OXNXVG5TSmEyamhuUzljQTAvZWVuZzlmR2JrN1JsbXYySk1pZnVIOWJQTEQrSGRQbnpDbHdYcW9zS1c5SXlLVk9HYWJ6TmYxeFNUNHp3ZkU2cWdoRkZxTUJGREExeXlwVkZKN0JzRHZSaXdRUXFmTGx4UUJqUUErQkRsOElvenluVlZRTmdqR1RaWXh6UVRxOUhaQmVIdjhBTCt2N0pXeDlQTGJsaG1CTjJpQzhoS21rbENUdndmZVJLcnJZYkVDaXVHeDdOanVqNEFDZVZrM3g5QUFRT0JyUGs0OVN0bGttRFQ%3D,"Statistik Indonesia 2026 (Statistical Yearbook of Indonesia 2026, BPS cat. 1101001), SUBSET ONLY: large estates (Perkebunan Besar = PBN state + PBS private), not national total; planted area (luas areal; TBM/TM/TTM split not given), all coffee (arabica+robusta+liberica); Table 5.3.3, PDF p.434 (printed p.390); source BPS (plantation estate survey)"
Indonesia,BPS,area_total,1000_ha,calendar_year,2023,19.9,https://webapi.bps.go.id/download.php?f=LzNA+qUhweSXvlzMMC4rGm5DOGsvck9wdTRtc05OcktZYlM1V29nVllBSm53OXNXVG5TSmEyamhuUzljQTAvZWVuZzlmR2JrN1JsbXYySk1pZnVIOWJQTEQrSGRQbnpDbHdYcW9zS1c5SXlLVk9HYWJ6TmYxeFNUNHp3ZkU2cWdoRkZxTUJGREExeXlwVkZKN0JzRHZSaXdRUXFmTGx4UUJqUUErQkRsOElvenluVlZRTmdqR1RaWXh6UVRxOUhaQmVIdjhBTCt2N0pXeDlQTGJsaG1CTjJpQzhoS21rbENUdndmZVJLcnJZYkVDaXVHeDdOanVqNEFDZVZrM3g5QUFRT0JyUGs0OVN0bGttRFQ%3D,"Statistik Indonesia 2026 (Statistical Yearbook of Indonesia 2026, BPS cat. 1101001), SUBSET ONLY: large estates (Perkebunan Besar = PBN state + PBS private), not national total; planted area (luas areal; TBM/TM/TTM split not given), all coffee (arabica+robusta+liberica); Table 5.3.3, PDF p.434 (printed p.390); source BPS (plantation estate survey)"
Indonesia,BPS,area_total,1000_ha,calendar_year,2024,17.5,https://webapi.bps.go.id/download.php?f=LzNA+qUhweSXvlzMMC4rGm5DOGsvck9wdTRtc05OcktZYlM1V29nVllBSm53OXNXVG5TSmEyamhuUzljQTAvZWVuZzlmR2JrN1JsbXYySk1pZnVIOWJQTEQrSGRQbnpDbHdYcW9zS1c5SXlLVk9HYWJ6TmYxeFNUNHp3ZkU2cWdoRkZxTUJGREExeXlwVkZKN0JzRHZSaXdRUXFmTGx4UUJqUUErQkRsOElvenluVlZRTmdqR1RaWXh6UVRxOUhaQmVIdjhBTCt2N0pXeDlQTGJsaG1CTjJpQzhoS21rbENUdndmZVJLcnJZYkVDaXVHeDdOanVqNEFDZVZrM3g5QUFRT0JyUGs0OVN0bGttRFQ%3D,"Statistik Indonesia 2026 (Statistical Yearbook of Indonesia 2026, BPS cat. 1101001), SUBSET ONLY: large estates (Perkebunan Besar = PBN state + PBS private), not national total; planted area (luas areal; TBM/TM/TTM split not given), all coffee (arabica+robusta+liberica); Table 5.3.3, PDF p.434 (printed p.390); source BPS (plantation estate survey)"
Indonesia,BPS,area_total,1000_ha,calendar_year,2025,17.9,https://webapi.bps.go.id/download.php?f=LzNA+qUhweSXvlzMMC4rGm5DOGsvck9wdTRtc05OcktZYlM1V29nVllBSm53OXNXVG5TSmEyamhuUzljQTAvZWVuZzlmR2JrN1JsbXYySk1pZnVIOWJQTEQrSGRQbnpDbHdYcW9zS1c5SXlLVk9HYWJ6TmYxeFNUNHp3ZkU2cWdoRkZxTUJGREExeXlwVkZKN0JzRHZSaXdRUXFmTGx4UUJqUUErQkRsOElvenluVlZRTmdqR1RaWXh6UVRxOUhaQmVIdjhBTCt2N0pXeDlQTGJsaG1CTjJpQzhoS21rbENUdndmZVJLcnJZYkVDaXVHeDdOanVqNEFDZVZrM3g5QUFRT0JyUGs0OVN0bGttRFQ%3D,"Statistik Indonesia 2026 (Statistical Yearbook of Indonesia 2026, BPS cat. 1101001), SUBSET ONLY: large estates (Perkebunan Besar = PBN state + PBS private), not national total; planted area (luas areal; TBM/TM/TTM split not given), all coffee (arabica+robusta+liberica); Table 5.3.3, PDF p.434 (printed p.390); source BPS (plantation estate survey); 2025 = angka sementara (preliminary, *)"
Indonesia,BPS,area_total,1000_ha,calendar_year,2021,1257.8,https://webapi.bps.go.id/download.php?f=LzNA+qUhweSXvlzMMC4rGm5DOGsvck9wdTRtc05OcktZYlM1V29nVllBSm53OXNXVG5TSmEyamhuUzljQTAvZWVuZzlmR2JrN1JsbXYySk1pZnVIOWJQTEQrSGRQbnpDbHdYcW9zS1c5SXlLVk9HYWJ6TmYxeFNUNHp3ZkU2cWdoRkZxTUJGREExeXlwVkZKN0JzRHZSaXdRUXFmTGx4UUJqUUErQkRsOElvenluVlZRTmdqR1RaWXh6UVRxOUhaQmVIdjhBTCt2N0pXeDlQTGJsaG1CTjJpQzhoS21rbENUdndmZVJLcnJZYkVDaXVHeDdOanVqNEFDZVZrM3g5QUFRT0JyUGs0OVN0bGttRFQ%3D,"Statistik Indonesia 2026 (Statistical Yearbook of Indonesia 2026, BPS cat. 1101001), SUBSET ONLY: smallholders (Perkebunan Rakyat, PR), not national total; planted area (luas areal; TBM/TM/TTM split not given), all coffee (arabica+robusta+liberica); Table 5.3.4, PDF p.435 (printed p.391); source Kementan-Ditjenbun as reproduced by BPS"
