country,source,indicator,unit,period_type,period,value,source_url,notes
Mexico,SIAP,area_planted,ha,crop_year,2004/05,798875,https://www.gob.mx/cms/uploads/attachment/file/200636/Panorama_Agroalimentario_Caf__2016.pdf,"café cereza (cherry basis), arabica+robusta total; SIAP data (ciclo cafetalero Oct-Sep = SIAP año agrícola of the end year) as published in FIRA Panorama Agroalimentario Café 2016 (Oct 2016), Anexo estadístico p.35 (PDF page 36), table ""Mercado nacional"" row Superficie sembrada"
Mexico,SIAP,area_harvested,ha,crop_year,2004/05,762261,https://www.gob.mx/cms/uploads/attachment/file/200636/Panorama_Agroalimentario_Caf__2016.pdf,"café cereza (cherry basis), arabica+robusta total; SIAP data (ciclo cafetalero Oct-Sep = SIAP año agrícola of the end year) as published in FIRA Panorama Agroalimentario Café 2016 (Oct 2016), Anexo estadístico p.35 (PDF page 36), table ""Mercado nacional"" row Superficie cosechada"
Mexico,SIAP,production,t,crop_year,2004/05,1598940,https://www.gob.mx/cms/uploads/attachment/file/200636/Panorama_Agroalimentario_Caf__2016.pdf,"café cereza (cherry basis), arabica+robusta total; SIAP data (ciclo cafetalero Oct-Sep = SIAP año agrícola of the end year) as published in FIRA Panorama Agroalimentario Café 2016 (Oct 2016), Anexo estadístico p.35 (PDF page 36), table ""Producción (Toneladas)"" row Total (matches ""Mercado nacional"" summary in thousand t)"
Mexico,SIAP,yield,t/ha,crop_year,2004/05,2.10,https://www.gob.mx/cms/uploads/attachment/file/200636/Panorama_Agroalimentario_Caf__2016.pdf,"café cereza (cherry basis), arabica+robusta total; SIAP data (ciclo cafetalero Oct-Sep = SIAP año agrícola of the end year) as published in FIRA Panorama Agroalimentario Café 2016 (Oct 2016), Anexo estadístico p.35 (PDF page 36), table ""Mercado nacional"" row Rendimiento"
Mexico,SIAP,area_planted,ha,crop_year,2005/06,797875,https://www.gob.mx/cms/uploads/attachment/file/200636/Panorama_Agroalimentario_Caf__2016.pdf,"café cereza (cherry basis), arabica+robusta total; SIAP data (ciclo cafetalero Oct-Sep = SIAP año agrícola of the end year) as published in FIRA Panorama Agroalimentario Café 2016 (Oct 2016), Anexo estadístico p.35 (PDF page 36), table ""Mercado nacional"" row Superficie sembrada"
Mexico,SIAP,area_harvested,ha,crop_year,2005/06,763418,https://www.gob.mx/cms/uploads/attachment/file/200636/Panorama_Agroalimentario_Caf__2016.pdf,"café cereza (cherry basis), arabica+robusta total; SIAP data (ciclo cafetalero Oct-Sep = SIAP año agrícola of the end year) as published in FIRA Panorama Agroalimentario Café 2016 (Oct 2016), Anexo estadístico p.35 (PDF page 36), table ""Mercado nacional"" row Superficie cosechada"
Mexico,SIAP,production,t,crop_year,2005/06,1518931,https://www.gob.mx/cms/uploads/attachment/file/200636/Panorama_Agroalimentario_Caf__2016.pdf,"café cereza (cherry basis), arabica+robusta total; SIAP data (ciclo cafetalero Oct-Sep = SIAP año agrícola of the end year) as published in FIRA Panorama Agroalimentario Café 2016 (Oct 2016), Anexo estadístico p.35 (PDF page 36), table ""Producción (Toneladas)"" row Total (matches ""Mercado nacional"" summary in thousand t)"
Mexico,SIAP,yield,t/ha,crop_year,2005/06,1.99,https://www.gob.mx/cms/uploads/attachment/file/200636/Panorama_Agroalimentario_Caf__2016.pdf,"café cereza (cherry basis), arabica+robusta total; SIAP data (ciclo cafetalero Oct-Sep = SIAP año agrícola of the end year) as published in FIRA Panorama Agroalimentario Café 2016 (Oct 2016), Anexo estadístico p.35 (PDF page 36), table ""Mercado nacional"" row Rendimiento"
Mexico,SIAP,area_planted,ha,crop_year,2006/07,800910,https://www.gob.mx/cms/uploads/attachment/file/200636/Panorama_Agroalimentario_Caf__2016.pdf,"café cereza (cherry basis), arabica+robusta total; SIAP data (ciclo cafetalero Oct-Sep = SIAP año agrícola of the end year) as published in FIRA Panorama Agroalimentario Café 2016 (Oct 2016), Anexo estadístico p.35 (PDF page 36), table ""Mercado nacional"" row Superficie sembrada"
Mexico,SIAP,area_harvested,ha,crop_year,2006/07,772036,https://www.gob.mx/cms/uploads/attachment/file/200636/Panorama_Agroalimentario_Caf__2016.pdf,"café cereza (cherry basis), arabica+robusta total; SIAP data (ciclo cafetalero Oct-Sep = SIAP año agrícola of the end year) as published in FIRA Panorama Agroalimentario Café 2016 (Oct 2016), Anexo estadístico p.35 (PDF page 36), table ""Mercado nacional"" row Superficie cosechada"
Mexico,SIAP,production,t,crop_year,2006/07,1458804,https://www.gob.mx/cms/uploads/attachment/file/200636/Panorama_Agroalimentario_Caf__2016.pdf,"café cereza (cherry basis), arabica+robusta total; SIAP data (ciclo cafetalero Oct-Sep = SIAP año agrícola of the end year) as published in FIRA Panorama Agroalimentario Café 2016 (Oct 2016), Anexo estadístico p.35 (PDF page 36), table ""Producción (Toneladas)"" row Total (matches ""Mercado nacional"" summary in thousand t)"
Mexico,SIAP,yield,t/ha,crop_year,2006/07,1.89,https://www.gob.mx/cms/uploads/attachment/file/200636/Panorama_Agroalimentario_Caf__2016.pdf,"café cereza (cherry basis), arabica+robusta total; SIAP data (ciclo cafetalero Oct-Sep = SIAP año agrícola of the end year) as published in FIRA Panorama Agroalimentario Café 2016 (Oct 2016), Anexo estadístico p.35 (PDF page 36), table ""Mercado nacional"" row Rendimiento"
Mexico,SIAP,area_planted,ha,crop_year,2007/08,796823,https://www.gob.mx/cms/uploads/attachment/file/200636/Panorama_Agroalimentario_Caf__2016.pdf,"café cereza (cherry basis), arabica+robusta total; SIAP data (ciclo cafetalero Oct-Sep = SIAP año agrícola of the end year) as published in FIRA Panorama Agroalimentario Café 2016 (Oct 2016), Anexo estadístico p.35 (PDF page 36), table ""Mercado nacional"" row Superficie sembrada"
Mexico,SIAP,area_harvested,ha,crop_year,2007/08,766984,https://www.gob.mx/cms/uploads/attachment/file/200636/Panorama_Agroalimentario_Caf__2016.pdf,"café cereza (cherry basis), arabica+robusta total; SIAP data (ciclo cafetalero Oct-Sep = SIAP año agrícola of the end year) as published in FIRA Panorama Agroalimentario Café 2016 (Oct 2016), Anexo estadístico p.35 (PDF page 36), table ""Mercado nacional"" row Superficie cosechada"
Mexico,SIAP,production,t,crop_year,2007/08,1414669,https://www.gob.mx/cms/uploads/attachment/file/200636/Panorama_Agroalimentario_Caf__2016.pdf,"café cereza (cherry basis), arabica+robusta total; SIAP data (ciclo cafetalero Oct-Sep = SIAP año agrícola of the end year) as published in FIRA Panorama Agroalimentario Café 2016 (Oct 2016), Anexo estadístico p.35 (PDF page 36), table ""Producción (Toneladas)"" row Total (matches ""Mercado nacional"" summary in thousand t)"
Mexico,SIAP,yield,t/ha,crop_year,2007/08,1.84,https://www.gob.mx/cms/uploads/attachment/file/200636/Panorama_Agroalimentario_Caf__2016.pdf,"café cereza (cherry basis), arabica+robusta total; SIAP data (ciclo cafetalero Oct-Sep = SIAP año agrícola of the end year) as published in FIRA Panorama Agroalimentario Café 2016 (Oct 2016), Anexo estadístico p.35 (PDF page 36), table ""Mercado nacional"" row Rendimiento"
Mexico,SIAP,area_planted,ha,crop_year,2008/09,791917,https://www.gob.mx/cms/uploads/attachment/file/200636/Panorama_Agroalimentario_Caf__2016.pdf,"café cereza (cherry basis), arabica+robusta total; SIAP data (ciclo cafetalero Oct-Sep = SIAP año agrícola of the end year) as published in FIRA Panorama Agroalimentario Café 2016 (Oct 2016), Anexo estadístico p.35 (PDF page 36), table ""Mercado nacional"" row Superficie sembrada"
Mexico,SIAP,area_harvested,ha,crop_year,2008/09,765697,https://www.gob.mx/cms/uploads/attachment/file/200636/Panorama_Agroalimentario_Caf__2016.pdf,"café cereza (cherry basis), arabica+robusta total; SIAP data (ciclo cafetalero Oct-Sep = SIAP año agrícola of the end year) as published in FIRA Panorama Agroalimentario Café 2016 (Oct 2016), Anexo estadístico p.35 (PDF page 36), table ""Mercado nacional"" row Superficie cosechada"
Mexico,SIAP,production,t,crop_year,2008/09,1436559,https://www.gob.mx/cms/uploads/attachment/file/200636/Panorama_Agroalimentario_Caf__2016.pdf,"café cereza (cherry basis), arabica+robusta total; SIAP data (ciclo cafetalero Oct-Sep = SIAP año agrícola of the end year) as published in FIRA Panorama Agroalimentario Café 2016 (Oct 2016), Anexo estadístico p.35 (PDF page 36), table ""Producción (Toneladas)"" row Total (matches ""Mercado nacional"" summary in thousand t)"
Mexico,SIAP,yield,t/ha,crop_year,2008/09,1.88,https://www.gob.mx/cms/uploads/attachment/file/200636/Panorama_Agroalimentario_Caf__2016.pdf,"café cereza (cherry basis), arabica+robusta total; SIAP data (ciclo cafetalero Oct-Sep = SIAP año agrícola of the end year) as published in FIRA Panorama Agroalimentario Café 2016 (Oct 2016), Anexo estadístico p.35 (PDF page 36), table ""Mercado nacional"" row Rendimiento"
Mexico,SIAP,area_planted,ha,crop_year,2009/10,781016,https://www.gob.mx/cms/uploads/attachment/file/200636/Panorama_Agroalimentario_Caf__2016.pdf,"café cereza (cherry basis), arabica+robusta total; SIAP data (ciclo cafetalero Oct-Sep = SIAP año agrícola of the end year) as published in FIRA Panorama Agroalimentario Café 2016 (Oct 2016), Anexo estadístico p.35 (PDF page 36), table ""Mercado nacional"" row Superficie sembrada"
Mexico,SIAP,area_harvested,ha,crop_year,2009/10,741411,https://www.gob.mx/cms/uploads/attachment/file/200636/Panorama_Agroalimentario_Caf__2016.pdf,"café cereza (cherry basis), arabica+robusta total; SIAP data (ciclo cafetalero Oct-Sep = SIAP año agrícola of the end year) as published in FIRA Panorama Agroalimentario Café 2016 (Oct 2016), Anexo estadístico p.35 (PDF page 36), table ""Mercado nacional"" row Superficie cosechada"
