country,source,indicator,unit,period_type,period,value,source_url,notes
Peru,MIDAGRI,production,t,calendar_year,2000,191651.378,https://cdn.www.gob.pe/uploads/document/file/9450129/6573082-cuadros-en-excel-del-boletin-el-agro-en-cifras-diciembre-2025%282%29.zip,"basis: café pergamino (parchment coffee); total coffee (no arabica/robusta split published; Peru grows essentially only arabica); MIDAGRI Boletín ""El Agro en Cifras"" Dic-2025, Excel file ""1.- AGRÍCOLA DICIEMBRE 2025.xlsx"", sheet c-7 (C.7 Producción agropecuaria ... 2000-2025, miles de t; converted x1000)"
Peru,MIDAGRI,production,t,calendar_year,2001,196231.731,https://cdn.www.gob.pe/uploads/document/file/9450129/6573082-cuadros-en-excel-del-boletin-el-agro-en-cifras-diciembre-2025%282%29.zip,"basis: café pergamino (parchment coffee); total coffee (no arabica/robusta split published; Peru grows essentially only arabica); MIDAGRI Boletín ""El Agro en Cifras"" Dic-2025, Excel file ""1.- AGRÍCOLA DICIEMBRE 2025.xlsx"", sheet c-7 (C.7 Producción agropecuaria ... 2000-2025, miles de t; converted x1000)"
Peru,MIDAGRI,production,t,calendar_year,2002,212770.586,https://cdn.www.gob.pe/uploads/document/file/9450129/6573082-cuadros-en-excel-del-boletin-el-agro-en-cifras-diciembre-2025%282%29.zip,"basis: café pergamino (parchment coffee); total coffee (no arabica/robusta split published; Peru grows essentially only arabica); MIDAGRI Boletín ""El Agro en Cifras"" Dic-2025, Excel file ""1.- AGRÍCOLA DICIEMBRE 2025.xlsx"", sheet c-7 (C.7 Producción agropecuaria ... 2000-2025, miles de t; converted x1000)"
Peru,MIDAGRI,production,t,calendar_year,2003,203147.481,https://cdn.www.gob.pe/uploads/document/file/9450129/6573082-cuadros-en-excel-del-boletin-el-agro-en-cifras-diciembre-2025%282%29.zip,"basis: café pergamino (parchment coffee); total coffee (no arabica/robusta split published; Peru grows essentially only arabica); MIDAGRI Boletín ""El Agro en Cifras"" Dic-2025, Excel file ""1.- AGRÍCOLA DICIEMBRE 2025.xlsx"", sheet c-7 (C.7 Producción agropecuaria ... 2000-2025, miles de t; converted x1000)"
Peru,MIDAGRI,production,t,calendar_year,2004,231447.35,https://cdn.www.gob.pe/uploads/document/file/9450129/6573082-cuadros-en-excel-del-boletin-el-agro-en-cifras-diciembre-2025%282%29.zip,"basis: café pergamino (parchment coffee); total coffee (no arabica/robusta split published; Peru grows essentially only arabica); MIDAGRI Boletín ""El Agro en Cifras"" Dic-2025, Excel file ""1.- AGRÍCOLA DICIEMBRE 2025.xlsx"", sheet c-7 (C.7 Producción agropecuaria ... 2000-2025, miles de t; converted x1000)"
Peru,MIDAGRI,production,t,calendar_year,2005,188611.216,https://cdn.www.gob.pe/uploads/document/file/9450129/6573082-cuadros-en-excel-del-boletin-el-agro-en-cifras-diciembre-2025%282%29.zip,"basis: café pergamino (parchment coffee); total coffee (no arabica/robusta split published; Peru grows essentially only arabica); MIDAGRI Boletín ""El Agro en Cifras"" Dic-2025, Excel file ""1.- AGRÍCOLA DICIEMBRE 2025.xlsx"", sheet c-7 (C.7 Producción agropecuaria ... 2000-2025, miles de t; converted x1000)"
Peru,MIDAGRI,production,t,calendar_year,2006,273229.799,https://cdn.www.gob.pe/uploads/document/file/9450129/6573082-cuadros-en-excel-del-boletin-el-agro-en-cifras-diciembre-2025%282%29.zip,"basis: café pergamino (parchment coffee); total coffee (no arabica/robusta split published; Peru grows essentially only arabica); MIDAGRI Boletín ""El Agro en Cifras"" Dic-2025, Excel file ""1.- AGRÍCOLA DICIEMBRE 2025.xlsx"", sheet c-7 (C.7 Producción agropecuaria ... 2000-2025, miles de t; converted x1000)"
Peru,MIDAGRI,production,t,calendar_year,2007,225992.074,https://cdn.www.gob.pe/uploads/document/file/9450129/6573082-cuadros-en-excel-del-boletin-el-agro-en-cifras-diciembre-2025%282%29.zip,"basis: café pergamino (parchment coffee); total coffee (no arabica/robusta split published; Peru grows essentially only arabica); MIDAGRI Boletín ""El Agro en Cifras"" Dic-2025, Excel file ""1.- AGRÍCOLA DICIEMBRE 2025.xlsx"", sheet c-7 (C.7 Producción agropecuaria ... 2000-2025, miles de t; converted x1000)"
Peru,MIDAGRI,production,t,calendar_year,2008,273779.866,https://cdn.www.gob.pe/uploads/document/file/9450129/6573082-cuadros-en-excel-del-boletin-el-agro-en-cifras-diciembre-2025%282%29.zip,"basis: café pergamino (parchment coffee); total coffee (no arabica/robusta split published; Peru grows essentially only arabica); MIDAGRI Boletín ""El Agro en Cifras"" Dic-2025, Excel file ""1.- AGRÍCOLA DICIEMBRE 2025.xlsx"", sheet c-7 (C.7 Producción agropecuaria ... 2000-2025, miles de t; converted x1000)"
Peru,MIDAGRI,production,t,calendar_year,2009,255387.882,https://cdn.www.gob.pe/uploads/document/file/9450129/6573082-cuadros-en-excel-del-boletin-el-agro-en-cifras-diciembre-2025%282%29.zip,"basis: café pergamino (parchment coffee); total coffee (no arabica/robusta split published; Peru grows essentially only arabica); MIDAGRI Boletín ""El Agro en Cifras"" Dic-2025, Excel file ""1.- AGRÍCOLA DICIEMBRE 2025.xlsx"", sheet c-7 (C.7 Producción agropecuaria ... 2000-2025, miles de t; converted x1000)"
