country,source,indicator,unit,period_type,period,value,source_url,notes
Uganda,UCDA,production,bags60kg,crop_year,1998/99,3853213,https://ugandacoffee.go.ug/sites/default/files/2022-03/UCDA%20Annual%20Report_2003-2004.pdf,"total (robusta+arabica); coffee year Oct-Sep; marketed production = UCDA coffee procurement (FAQ + Arabica parchment delivered to export grading factories) expressed in 60-kg bags green coffee equivalent; UCDA AR 2003/04 Table 2.1 (pdf p.13); earlier AR 2000/01 Table 2.1 gave Robusta 3,424,598 / total 3,853,222"
Uganda,UCDA,production,bags60kg,crop_year,1998/99,3424589,https://ugandacoffee.go.ug/sites/default/files/2022-03/UCDA%20Annual%20Report_2003-2004.pdf,robusta; coffee year Oct-Sep; marketed production = UCDA coffee procurement (FAQ + Arabica parchment delivered to export grading factories) expressed in 60-kg bags green coffee equivalent; UCDA AR 2003/04 Table 2.1 (pdf p.13)
Uganda,UCDA,production,bags60kg,crop_year,1998/99,428624,https://ugandacoffee.go.ug/sites/default/files/2022-03/UCDA%20Annual%20Report_2003-2004.pdf,arabica; coffee year Oct-Sep; marketed production = UCDA coffee procurement (FAQ + Arabica parchment delivered to export grading factories) expressed in 60-kg bags green coffee equivalent; UCDA AR 2003/04 Table 2.1 (pdf p.13)
Uganda,UCDA,production,bags60kg,crop_year,1999/2000,3018116,https://ugandacoffee.go.ug/sites/default/files/2022-03/UCDA%20Annual%20Report_2003-2004.pdf,total (robusta+arabica); coffee year Oct-Sep; marketed production = UCDA coffee procurement (FAQ + Arabica parchment delivered to export grading factories) expressed in 60-kg bags green coffee equivalent; UCDA AR 2003/04 Table 2.1 (pdf p.13); separate UCDA production estimate in AR 2000/01 p.13: 3.6 million bags
Uganda,UCDA,production,bags60kg,crop_year,1999/2000,2518135,https://ugandacoffee.go.ug/sites/default/files/2022-03/UCDA%20Annual%20Report_2003-2004.pdf,robusta; coffee year Oct-Sep; marketed production = UCDA coffee procurement (FAQ + Arabica parchment delivered to export grading factories) expressed in 60-kg bags green coffee equivalent; UCDA AR 2003/04 Table 2.1 (pdf p.13)
Uganda,UCDA,production,bags60kg,crop_year,1999/2000,499981,https://ugandacoffee.go.ug/sites/default/files/2022-03/UCDA%20Annual%20Report_2003-2004.pdf,arabica; coffee year Oct-Sep; marketed production = UCDA coffee procurement (FAQ + Arabica parchment delivered to export grading factories) expressed in 60-kg bags green coffee equivalent; UCDA AR 2003/04 Table 2.1 (pdf p.13)
Uganda,UCDA,production,bags60kg,crop_year,2000/01,3233349,https://ugandacoffee.go.ug/sites/default/files/2022-03/UCDA%20Annual%20Report_2004-2005.pdf,"total (robusta+arabica); coffee year Oct-Sep; marketed production = UCDA coffee procurement (FAQ + Arabica parchment delivered to export grading factories) expressed in 60-kg bags green coffee equivalent; UCDA AR 2004/05 Table 2.1 (pdf p.11); separate UCDA production estimate in AR 2000/01 p.13-14 (Table 3.1): about 3.75 million bags (3,748,356)"
Uganda,UCDA,production,bags60kg,crop_year,2000/01,2752429,https://ugandacoffee.go.ug/sites/default/files/2022-03/UCDA%20Annual%20Report_2004-2005.pdf,robusta; coffee year Oct-Sep; marketed production = UCDA coffee procurement (FAQ + Arabica parchment delivered to export grading factories) expressed in 60-kg bags green coffee equivalent; UCDA AR 2004/05 Table 2.1 (pdf p.11)
Uganda,UCDA,production,bags60kg,crop_year,2000/01,480920,https://ugandacoffee.go.ug/sites/default/files/2022-03/UCDA%20Annual%20Report_2004-2005.pdf,arabica; coffee year Oct-Sep; marketed production = UCDA coffee procurement (FAQ + Arabica parchment delivered to export grading factories) expressed in 60-kg bags green coffee equivalent; UCDA AR 2004/05 Table 2.1 (pdf p.11)
Uganda,UCDA,production,bags60kg,crop_year,2001/02,3264453,https://ugandacoffee.go.ug/sites/default/files/2022-03/UCDA%20Annual%20Report_2005-2006.pdf,"total (robusta+arabica); coffee year Oct-Sep; marketed production = UCDA coffee procurement (FAQ + Arabica parchment delivered to export grading factories) expressed in 60-kg bags green coffee equivalent; UCDA AR 2005/06 Table 2.1 (pdf p.13); AR 2001/02 stock-movement Table 2.10 used a production estimate of 3,500,000 bags"
