,consumption,yoy,yoy_published
2003,13.7,,
2005,15.53,13.35766423357665,
2006,16.33,5.1513200257566005,5.1
2007,17.1,4.7152480097979454,4.74
2008,17.66,3.274853801169586,3.2
2009,18.39,4.133635334088348,
2010,19.13,4.023926046764537,
2011,19.72,3.0841610036591804,3.11
2012,20.33,3.09330628803246,
2013,20.08,-1.2297097884899189,-1.23
2014,20.333,1.259960159362561,1.24
2015,20.508,0.8606698470466689,0.86
2017,21.99,7.226448215330605,3.6
2018,21.0,-4.502046384720315,4.8
2019,20.9,-0.4761904761904856,
2020,21.2,1.4354066985645897,1.34
2021,21.5,1.4150943396226356,1.71
2022,21.3,-0.9302325581395321,-1.01
2023,21.67,1.7370892018779394,1.64
2024,21.916,1.1352099676972705,1.11
2025,21.41,-2.308815477276871,-2.31
