,Emerging importers,Producing countries,Traditional importers,label
2005,13.844000000000001,32.101,79.20599999999999,2005/06
2006,14.798,32.362,77.19200000000001,2006/07
2007,15.997,34.04,78.87100000000001,2007/08
2008,14.94,35.77,75.157,2008/09
2009,16.47,37.81,84.916,2009/10
2010,16.889,40.041000000000004,78.578,2010/11
2011,17.151,42.504,83.176,2011/12
2012,17.874,43.614,81.912,2012/13
2013,19.104,43.407,81.366,2013/14
2014,19.061,44.334,83.768,2014/15
2015,20.433,46.947,85.806,2015/16
2016,21.114,48.373000000000005,85.617,2016/17
2017,22.45,49.744,88.43299999999999,2017/18
2018,23.805,51.932,90.26599999999999,2018/19
2019,24.019,51.518,86.818,2019/20
2020,24.574,50.447,87.072,2020/21
2021,25.817999999999998,52.18,89.88499999999999,2021/22
2022,26.909,52.214,89.631,2022/23
2023,26.91,53.358000000000004,83.7,2023/24
2024,28.997,53.73,88.829,2024/25
2025,28.919999999999998,55.049,89.883,2025/26
