country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.07,0.08,0.09,0.075,0.085,0.1,0.075,0.09,0.1,0.1,0.105,0.105,0.1,0.09,0.1,0.085,0.035,0.02,0.018,0.02
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.805,1.97,1.93,2.085,1.84,2.05,2.07,2.08,1.815,2.27,1.945,2.3,2.195,2.32,2.205,2.3,2.34,2.04,2.24,2.09,2.05,1.95,2.05,2.05
Angola,0.06,0.063,0.064,0.067,0.07,0.072,0.075,0.078,0.081,0.085,0.089,0.092,0.097,0.089,0.073,0.06,0.052,0.048,0.045,0.04,0.041,0.042,0.043,0.044,0.045,0.046,0.293,0.045,0.043,0.045,0.045,0.051,0.059,0.027,0.074,0.052,0.038,0.01,0.025,0.02,0.02,0.02,0.02,0.015,0.02,0.025,0.025,0.031,0.031,0.031,0.026,0.03,0.022,0.027,0.024,0.013,0.014,0.013,0.012,0.01,0.014,0.012,0.013,0.009,0.01,0.01
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.591,0.672,0.666,0.661,0.686,0.7,0.685,0.745,0.81,0.75,0.835,0.685,0.71,0.741,0.754,0.775,0.735,0.859,0.789,0.906,1.019,0.65,0.881,0.85
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.17,0.14,0.2,0.18,0.19,0.17,0.1,0.2,0.2,0.18,0.22,0.24,0.18,0.19,0.19
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.855,0.915,1.01,1.13,1.145,1.245,1.34,1.395,1.445,1.6,1.66,1.615,1.775,1.785,1.73,1.9,2.04,1.96,2.055,2.305,2.135,2.09,2.74,2.6
Benin,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bolivia,0.011,0.012,0.012,0.013,0.013,0.014,0.015,0.016,0.017,0.018,0.02,0.022,0.024,0.026,0.029,0.029,0.028,0.031,0.033,0.034,0.034,0.035,0.036,0.035,0.037,0.038,0.041,0.042,0.043,0.044,0.045,0.03,0.03,0.035,0.035,0.04,0.04,0.045,0.045,0.06,0.06,0.06,0.06,0.08,0.08,0.08,0.08,0.08,0.08,0.075,0.075,0.068,0.059,0.062,0.055,0.049,0.054,0.06,0.062,0.063,0.057,0.052,0.05,0.044,0.045,0.045
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,0.37,0.375,0.315,0.285,0.3,0.34,0.34,0.35,0.35,0.36,0.335,0.34,0.345,0.33,0.345,0.305,0.305,0.3,0.29,0.3
Brazil,9.001,13.22,6.741,9.52,8.131,8.1,8.62,8.75,8.75,8.74,8.89,8.829,7.0,7.0,7.5,8.0,7.5,7.5,8.0,8.0,7.975,8.0,7.6,8.0,9.5,8.8,8.0,8.0,8.0,8.0,9.0,9.0,8.5,9.4,9.7,10.5,11.0,11.5,12.5,12.8,13.1,13.7,13.5,14.4,15.5,15.915,16.72,17.39,18.03,18.76,19.42,20.025,20.11,20.21,20.42,20.855,21.625,22.42,23.2,22.994,22.28,22.34,22.45,22.16,21.97,22.28
Burundi,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.005,0.005,0.005,0.008,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.015,0.015,0.015,0.015,0.015,0.0
Cameroon,0.0,0.001,0.001,0.0,0.001,0.001,0.003,0.012,0.014,0.017,0.025,0.026,0.026,0.026,0.026,0.027,0.026,0.027,0.028,0.032,0.033,0.035,0.045,0.055,0.055,0.08,0.133,0.045,0.035,0.035,0.03,0.025,0.025,0.065,0.03,0.1,0.1,0.1,0.1,0.1,0.015,0.069,0.069,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.065,0.074,0.07,0.08,0.065,0.075,0.08,0.08,0.08,0.08,0.075,0.08,0.075,0.075
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17,2.5,3.065,3.205,3.57,3.86,3.725,4.085,4.245,4.17,4.23,4.605,4.495,4.545,4.55,4.75,4.885,4.83,4.995,5.33,5.11,4.98,5.11,5.2
Central African Republic,0.002,0.002,0.002,0.003,0.003,0.004,0.004,0.005,0.006,0.007,0.008,0.009,0.01,0.011,0.012,0.011,0.011,0.012,0.012,0.014,0.017,0.018,0.018,0.013,0.015,0.017,0.016,0.018,0.025,0.019,0.02,0.02,0.02,0.025,0.015,0.01,0.01,0.01,0.019,0.021,0.012,0.01,0.004,0.025,0.025,0.025,0.025,0.025,0.025,0.03,0.03,0.03,0.035,0.02,0.019,0.004,0.004,0.003,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.22,0.24,0.235,0.235,0.225,0.19,0.23,0.2,0.165,0.25,0.21,0.205,0.25,0.215,0.245,0.24,0.245,0.215,0.2,0.26,0.205,0.25,0.23
China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.131,0.167,0.237,0.198,0.257,0.157,0.335,1.135,1.109,1.106,1.694,2.299,2.381,2.487,2.345,2.715,2.915,3.705,4.48,4.92,5.28,5.765,6.123,5.85
Colombia,1.03,1.062,1.095,1.129,1.164,1.2,1.238,1.279,1.301,1.3,1.349,1.36,1.37,1.44,1.501,1.4,1.4,1.55,1.63,1.75,1.825,1.85,1.855,1.86,1.865,1.87,2.0,2.02,1.809,1.762,1.615,1.4,1.303,1.7,1.436,1.5,1.5,1.56,1.45,1.53,1.53,1.59,1.26,1.335,1.23,1.302,1.07,1.11,1.065,1.18,1.12,1.26,1.2,1.3,1.4,1.415,1.45,1.65,1.925,1.775,2.08,2.145,2.15,2.225,2.15,2.27
Congo (Brazzaville),0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Congo (Kinshasa),0.065,0.07,0.075,0.08,0.085,0.09,0.095,0.1,0.105,0.11,0.115,0.12,0.13,0.14,0.15,0.155,0.16,0.165,0.17,0.175,0.18,0.185,0.195,0.2,0.2,0.2,0.205,0.209,0.22,0.219,0.215,0.2,0.175,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.198,0.2,0.2,0.2,0.175,0.175,0.2,0.2,0.2,0.2,0.2,0.171,0.17,0.145,0.155,0.15,0.16,0.13,0.13,0.13,0.12,0.125,0.125,0.1,0.1
Costa Rica,0.106,0.11,0.113,0.117,0.12,0.124,0.128,0.132,0.136,0.14,0.144,0.149,0.153,0.158,0.153,0.172,0.184,0.185,0.216,0.211,0.208,0.243,0.223,0.233,0.235,0.238,0.242,0.235,0.25,0.255,0.26,0.26,0.255,0.25,0.24,0.235,0.246,0.305,0.305,0.341,0.345,0.35,0.309,0.278,0.368,0.368,0.321,0.222,0.265,0.306,0.433,0.359,0.369,0.455,0.397,0.385,0.39,0.377,0.43,0.463,0.485,0.35,0.38,0.297,0.335,0.305
Cote d'Ivoire,0.002,0.15,0.006,0.006,0.009,0.884,1.55,0.012,1.27,0.401,0.538,0.024,0.041,1.18,0.848,0.159,0.085,0.036,0.018,0.019,0.02,0.021,0.023,0.025,0.027,0.029,0.03,0.032,0.032,0.034,0.036,0.038,0.039,0.039,0.046,0.048,0.051,0.055,0.058,0.06,0.062,0.064,0.633,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.108,0.1,0.075,0.075,0.1,0.08,0.035,0.075,0.045,0.05,0.05,0.05,0.055,0.05
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cuba,0.612,0.62,0.612,0.575,0.55,0.46,0.48,0.45,0.5,0.5,0.475,0.46,0.475,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.35,0.35,0.325,0.325,0.3,0.275,0.2,0.215,0.25,0.25,0.25,0.213,0.195,0.194,0.194,0.194,0.189,0.195,0.2,0.2,0.213,0.22,0.224,0.243,0.2,0.18,0.087,0.065,0.121,0.113,0.115,0.159,0.112,0.136,0.139,0.131,0.135,0.086,0.087,0.08,0.085,0.08,0.087,0.09,0.089,0.09
Dominican Republic,0.195,0.201,0.208,0.214,0.221,0.228,0.235,0.242,0.249,0.257,0.265,0.273,0.281,0.29,0.298,0.285,0.246,0.27,0.28,0.285,0.292,0.297,0.302,0.304,0.307,0.307,0.307,0.31,0.318,0.34,0.307,0.31,0.312,0.314,0.305,0.307,0.359,0.325,0.325,0.325,0.327,0.343,0.3,0.5,0.46,0.262,0.34,0.424,0.503,0.464,0.452,0.453,0.439,0.252,0.208,0.21,0.212,0.112,0.113,0.11,0.11,0.113,0.111,0.113,0.114,0.11
