country,c2005,c2010,c2015,c2020,c2024,c2025,share2025,cagr_05_25,cagr_05_15,cagr_15_20,cagr_20_25,yoy_2025,delta_05_25,avg_17_19,avg_23_25,chg_spike_3yavg,min_yoy_21_25,down_years_21_25,group
Albania,0.08,0.085,0.1,0.1,0.018,0.02,0.011504037917308975,-6.696700846319259,2.256518256357287,0.0,-27.522033632230446,11.111111111111116,-0.06,0.09833333333333334,0.01933333333333333,-80.33898305084746,-58.823529411764696,4,Emerging importers
Algeria,2.085,1.815,2.32,2.24,2.05,2.05,1.1791638865241698,-0.08460949646497129,1.0737066024425257,-0.6993693462086226,-1.7571011850400553,0.0,-0.03500000000000014,2.2266666666666666,2.0166666666666666,-9.431137724550897,-6.6964285714285925,3,Emerging importers
Angola,0.025,0.026,0.013,0.014,0.01,0.01,0.005752018958654488,-4.478089604767598,-6.330040088279865,1.4931978945393887,-6.508012385152984,0.0,-0.015000000000000001,0.011666666666666667,0.009666666666666665,-17.14285714285716,-30.76923076923077,2,Producing countries
Argentina,0.661,0.81,0.741,0.789,0.881,0.85,0.48892161148563146,1.2653512187965843,1.1490189426919706,1.2632260487978497,1.5005474147217868,-3.518728717366637,0.18899999999999995,0.7896666666666666,0.7936666666666667,0.5065428450823362,-36.21197252208046,2,Emerging importers
Armenia,,0.19,0.19,0.18,0.19,0.19,0.10928836021443526,,,-1.075518913431428,1.087212085035083,0.0,,0.16666666666666666,0.18666666666666668,12.00000000000001,-25.0,1,Emerging importers
Australia,1.13,1.445,1.785,2.055,2.74,2.6,1.495524929250167,4.254484506564338,4.678135307476294,2.8572055564717314,4.817139714001972,-5.109489051094895,1.4700000000000002,1.9666666666666668,2.4766666666666666,25.932203389830487,-7.375271149674633,3,Traditional importers
Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,0,Emerging importers
Bolivia,0.08,0.075,0.049,0.057,0.045,0.045,0.02588408531394519,-2.835834213692645,-4.783851707699183,3.0708256851391225,-4.617756873980916,0.0,-0.035,0.06166666666666667,0.04466666666666667,-27.567567567567565,-12.00000000000001,3,Producing countries
Bosnia and Herzegovina,0.36,0.3,0.36,0.345,0.29,0.3,0.17256056875963463,-0.9074652376924619,0.0,-0.8475799035301268,-2.756533520359794,3.4482758620689724,-0.06,0.3383333333333334,0.29666666666666663,-12.315270935960609,-11.594202898550721,3,Emerging importers
Brazil,15.915,19.42,20.855,22.28,21.97,22.28,12.815498239882201,1.6963643560738983,2.7401877719519296,1.330689655330075,0.0,1.4110150204824867,6.365000000000002,22.871333333333336,22.136666666666667,-3.2121724429416854,-1.2917594654788367,2,Producing countries
Burundi,0.002,0.008,0.005,0.015,0.015,0.0,0.0,,9.595822638521723,24.57309396155174,,-100.0,-0.002,0.005,0.01,100.0,-100.0,1,Producing countries
Cameroon,0.075,0.075,0.08,0.08,0.075,0.075,0.04314014218990866,0.0,0.6474723092555479,0.0,-1.2824757082590121,0.0,0.0,0.07833333333333332,0.07666666666666666,-2.127659574468077,-6.25,2,Producing countries
Canada,3.205,4.245,4.545,4.995,5.11,5.2,2.991049858500334,2.4492457724248906,3.5548837270261036,1.9061327969467579,0.8076684549358504,1.7612524461839474,1.995,4.821666666666666,5.096666666666667,5.703422053231955,-4.127579737335829,2,Traditional importers
Central African Republic,0.025,0.03,0.004,0.0,0.0,0.0,0.0,,-16.74467925981269,,,,-0.025,0.0016666666666666668,0.0,-100.0,,0,Producing countries
Chile,0.235,0.2,0.25,0.215,0.25,0.23,0.13229643604905322,-0.1074732322142502,0.6206722743225646,-2.9714167243023115,1.357963306236698,-7.9999999999999964,-0.004999999999999977,0.24333333333333332,0.2283333333333333,-6.164383561643838,-21.153846153846157,3,Emerging importers
China,0.198,1.109,2.487,4.48,6.123,5.85,3.364931090812875,18.447127724176294,28.795609750204054,12.491691131630978,5.481323515057079,-4.45859872611466,5.651999999999999,3.111666666666667,5.9126666666666665,90.01606855918584,-4.45859872611466,1,Emerging importers
