market_year,rg_world,sol_world,swiss_rg_exports,world_rg_exports,world_sol_exports
2005,111.02400000000002,14.126999999999997,0.05,1.5639999999999998,9.065999999999999
2006,109.16800000000003,15.184,0.15,1.831,9.640999999999998
2007,111.873,17.035000000000004,0.25,2.2600000000000002,10.705
2008,109.947,15.92,0.325,2.2670000000000003,10.44
2009,121.99799999999999,17.198,0.44,2.1929999999999996,12.285
2010,117.204,18.304000000000002,0.59,2.2779999999999996,14.291
2011,124.258,18.573,0.68,2.411,14.475999999999999
2012,123.48499999999999,19.915,0.81,2.73,15.516
2013,124.48500000000001,19.392,0.89,3.22,16.035999999999998
2014,127.07899999999998,20.084000000000003,0.975,3.536,16.736
2015,130.19799999999998,22.988000000000003,1.04,4.151,17.334
2016,130.275,24.829000000000004,1.15,4.397,16.534
2017,136.792,23.835,1.225,4.21,17.045
2018,141.895,24.107999999999997,1.35,4.405,17.701999999999998
2019,137.27,25.085,1.56,4.977,17.704
2020,137.716,24.377,1.87,5.515999999999999,18.222
2021,141.153,26.73,1.85,5.7170000000000005,18.906
2022,142.805,25.949,1.765,5.714,17.905
2023,137.12399999999997,26.844,1.891,6.159000000000001,18.125999999999998
2024,143.13600000000002,28.419999999999998,1.925,6.2509999999999994,19.634
2025,144.767,29.085,1.9,6.7170000000000005,19.553
