cy,months,total,arabicas,robustas,brazilian_naturals,colombian_milds,other_milds,rob_share,ratio,spread,arabica,robusta
2014,1,8871.0,5557.0,3314.0,2926.0,1147.0,1484.0,37.357682335700595,1.8745686958076335,81.53166666666665,174.75666666666666,93.22500000000001
2015,12,109288.0,69550.0,39734.0,33035.0,13529.0,22988.0,36.35714808579167,1.8948876730996613,74.42333333333333,157.58833333333334,83.165
2016,12,117941.0,74877.0,43065.0,33657.0,15003.0,26215.0,36.51401972172527,1.5400699666251156,55.962500000000006,159.58333333333334,103.62083333333334
2017,11,111713.0,69049.0,42662.0,30738.0,12883.0,25430.0,38.18893056313947,1.5359422253174457,46.81499999999998,134.16583333333332,87.35083333333334
2018,12,127265.0,81917.0,45347.0,40780.0,15008.0,26128.0,35.631949082622874,1.6895091581504256,52.51416666666667,128.67583333333334,76.16166666666668
2019,12,123661.0,76259.0,47403.0,37556.0,13833.0,24871.0,38.333023346083245,2.142687981053878,78.80833333333334,147.77583333333334,68.9675
2020,12,125317.0,78275.0,47041.0,39247.0,13642.0,25386.0,37.537604634646534,2.2303787745103123,98.77583333333331,179.05666666666664,80.28083333333333
2021,12,129263.0,80434.0,48830.0,40649.0,13380.0,26403.0,37.77569760875115,2.47117018788493,157.25583333333333,264.1475,106.89166666666667
2022,12,121805.0,73843.0,47961.0,37268.0,11876.0,24699.0,39.375230901851324,1.8977151510178507,100.28750000000001,212.00166666666667,111.71416666666666
2023,12,136737.0,84325.0,52414.0,45125.0,13367.0,25832.0,38.33198037107732,1.3003218465230102,52.56583333333333,227.5975,175.03166666666667
2024,12,138313.0,84785.0,53527.0,42798.0,14905.0,27084.0,38.699905287283194,1.5985067793105485,135.07500000000002,360.7616666666667,225.6866666666667
2025,8,92482.0,50843.0,41640.0,25723.0,7034.0,18088.0,45.02497783352436,1.9107626248483152,168.53,353.57272727272726,185.04272727272726
