,pop2005,pop2024,kg2005,kg2024
Albania,3011487.0,2377128.0,1.5938969685075846,0.45432976263793956
Algeria,33109249.0,46814308.0,3.77840041010897,2.627401861841042
Angola,19291161.0,37885849.0,0.07775581780692203,0.01583704775891389
Argentina,39216789.0,45696159.0,1.0113015627057076,1.1567711850792537
Armenia,3146400.0,3033500.0,,3.7580352727872093
Australia,20176844.0,27196812.0,3.360287664413721,6.0448261362397915
Benin,8426144.0,14462724.0,0.0,0.0
Bolivia,9360754.0,12413315.0,0.5127792056067279,0.2175083770934678
Bosnia and Herzegovina,4096493.0,3164253.0,5.272802858445016,5.498928183049839
Brazil,184688101.0,211998573.0,5.170338504915376,6.217966382254847
Burundi,7587299.0,14047786.0,0.01581590497487973,0.06406703518974449
Cameroon,17074594.0,29123744.0,0.26354945833558324,0.1545131010628304
Canada,32242732.0,41288599.0,5.964134800983986,7.425778724049223
Central African Republic,4288810.0,5330690.0,0.3497473658194231,0.0
Chile,16348778.0,19764771.0,0.8624497806502724,0.7589260710382124
China,1303720000.0,1408975000.0,0.00911238609517381,0.26074273851558755
Colombia,42128977.0,52886363.0,1.8543056481053408,2.4391921221733472
Congo (Brazzaville),3696393.0,6332961.0,0.0,0.0
Congo (Kinshasa),58775724.0,109276265.0,0.17864518351147832,0.054906708240806
Costa Rica,4261240.0,5129910.0,5.181590335207592,3.9181973952759406
Cote d'Ivoire,20068458.0,31934230.0,0.8969298986499112,0.10333739063068062
Croatia,4310145.0,3866200.0,0.0,0.0
Cuba,11262554.0,10979783.0,0.958929919448111,0.4863484096179314
Dominican Republic,9225034.0,11427557.0,1.7040587601086348,0.5985531290721192
Ecuador,13846163.0,18135478.0,0.6283329179354598,1.200960901058136
Egypt,81101004.0,116538258.0,0.05918545718620204,0.6049515516183536
El Salvador,6005578.0,6338193.0,1.9581795457489688,2.858858983940691
Equatorial Guinea,947367.0,1892516.0,0.0,0.0
Ethiopia,78367470.0,132059767.0,1.3980290546575,1.6469815519211086
Gabon,1463495.0,2538952.0,0.0,0.0
Georgia,3902469.0,3699557.0,0.3843720475422098,1.216361850891877
Ghana,22449438.0,34427414.0,0.002672672696750805,0.0
Guatemala,13087629.0,18406359.0,1.6045687114144205,2.3893916227538536
Guinea,9245844.0,14754785.0,0.32447010786684266,0.06099716125988959
Guyana,760914.0,831087.0,0.0,0.0
Haiti,9061273.0,11772557.0,2.2513392985731695,0.0
Honduras,7478355.0,10825703.0,2.246483350950844,1.8566923552216423
India,1154676322.0,1450935791.0,0.07087700547825038,0.05375840921688312
Indonesia,230871650.0,283487931.0,0.4405044967625951,1.0313666580747665
Iran,71828455.0,91567738.0,,0.5602409879339817
Jamaica,2687066.0,2839175.0,0.24562106029401584,0.0845315980874726
Japan,127773000.0,123975371.0,3.4162146932450517,3.159337188029064
Jordan,6029587.0,11552876.0,1.7911674547527052,4.1548095902699895
Kazakhstan,15968117.0,20592571.0,0.7890723746575755,1.5151095023540286
Kenya,35796484.0,56432944.0,0.03352284542805936,0.06166610765513137
"Korea, South",48184561.0,51751065.0,1.8117836541044754,3.901368986319412
Kosovo,1818354.0,1594353.0,1.6498437597959472,2.4461333217926016
Laos,5869523.0,7769819.0,1.707123389754159,0.6177750086585029
Liberia,3301015.0,5612817.0,0.09088113807419838,0.0
Madagascar,19159707.0,31964956.0,1.4874966511753025,0.15016444884203814
Malawi,12840031.0,21655286.0,0.004672885914372014,0.0
Malaysia,25836071.0,35557673.0,0.905710469676291,0.793077769740444
Mexico,105811504.0,130861007.0,1.0773875778195157,1.4213554080322797
Montenegro,614261.0,623525.0,16.116927494989916,3.8490838378573433
Morocco,30358144.0,38081173.0,1.0474948666163517,1.583459627149615
New Caledonia,244381.0,292639.0,0.0,0.0
New Zealand,4133900.0,5287500.0,3.773676189554658,5.7304964539007095
Nicaragua,5342105.0,6916140.0,2.19014789114029,1.388057500281949
Nigeria,145017253.0,232679478.0,0.02068719368170627,0.0
North Macedonia,2005330.0,1824359.0,3.291228875047997,2.466619782619539
Norway,4623291.0,5572279.0,9.019549061480232,8.667907690910667
Panama,3313026.0,4515577.0,1.26772322342173,1.3287338473023491
Papua New Guinea,6535905.0,10576502.0,0.22950149979230114,0.2836476559074068
Paraguay,5448097.0,6929153.0,0.3854556921435136,0.0
Peru,28101180.0,34217848.0,0.35229837323557234,0.5120134965822515
Philippines,88015962.0,115843670.0,0.8248503833884131,3.206044836114049
Russia,143518814.0,143533851.0,1.4987582046211725,1.8601883676903506
Rwanda,9054528.0,14256567.0,0.0,0.0
Saudi Arabia,20559890.0,35300280.0,1.5904754354230495,2.507062266928194
Senegal,11235472.0,18501984.0,,0.08107238661540297
Serbia,7440769.0,6586476.0,5.03980166566117,6.148963421410782
Sierra Leone,5501712.0,8642022.0,0.38169936921452813,0.06942819631794504
Singapore,4265762.0,6036860.0,3.3757157572316507,0.9938941767740183
