year,arabica,robusta,icip,months,ratio
1990,89.1475,54.98666666666667,,12,1.62125666828322
1991,85.02749999999999,49.833333333333336,,12,1.7062374581939797
1992,61.73666666666667,42.223333333333336,,12,1.4621457330070262
1993,71.11833333333333,52.55583333333333,,12,1.3531958076331518
1994,147.34833333333333,117.24166666666667,,12,1.2567915274717463
1995,150.835,125.55583333333334,,12,1.2013380501370572
1996,121.97166666666668,81.95416666666667,,12,1.4882912196858002
1997,188.9283333333333,78.6725,,12,2.4014532820659484
1998,135.46833333333333,82.72333333333333,,12,1.6376072853286054
1999,103.88416666666667,67.64583333333333,,12,1.5357068062827226
2000,87.20333333333333,41.5575,,12,2.098377749704225
2001,62.285833333333336,27.584999999999997,,12,2.2579602440940127
2002,61.46333333333333,29.992499999999996,,12,2.0492901003028536
2003,64.1725,36.91583333333333,,12,1.7383462380640646
2004,80.48083333333334,35.972500000000004,,12,2.237287742951792
2005,114.85333333333334,50.56,,12,2.2716244725738397
2006,114.41000000000001,67.58,,12,1.6929564960047354
2007,123.6125,86.63583333333334,,12,1.4268056904860382
2008,139.7125,105.19666666666667,,12,1.3281076713457334
2009,143.75416666666666,74.54416666666667,,12,1.9284428694398175
2010,196.04833333333332,78.73083333333334,,12,2.4901087037056637
2011,271.1091666666667,109.2375,,12,2.48183239882519
2012,186.44333333333336,102.84416666666668,,12,1.8128722257784835
2013,139.48583333333332,94.11916666666667,,12,1.48201305083095
2014,200.3575,100.41916666666667,161.90333333333334,12,1.9952117374671168
2015,159.905,88.03666666666668,124.6725,12,1.8163454621180566
2016,163.84,88.6175,127.31333333333333,12,1.8488447541399835
2017,150.755,100.95916666666666,126.53909090909092,12,1.4932274599466782
2018,132.715,84.77583333333332,109.01916666666666,12,1.5654815149757697
2019,130.55499999999998,73.565,100.50454545454545,12,1.774689050499558
2020,150.8325,68.75666666666666,107.94416666666666,12,2.193714548892229
2021,204.69333333333336,89.8225,151.27583333333334,12,2.278864798166755
2022,255.465,103.63,190.6208333333333,12,2.4651645276464347
2023,205.96,119.1275,165.2325,12,1.7289039054794233
2024,255.44416666666666,200.75166666666667,229.34083333333334,12,1.2724385849847655
2025,383.2108333333333,220.25750000000002,323.6990909090909,12,1.7398310311037457
2026,336.7575,176.87125,272.9875,8,1.9039696954705754
