period,arabica,robusta,source,i_cip,colombian_milds,brazilian_naturals,ratio,spread,blend,year,cy
1990-01,75.83,50.52,"IMF PCPS (PCOFFOTM, PCOFFROB)",,,,1.500989707046714,25.309999999999995,65.706,1990,1989
1990-02,84.01,51.3,"IMF PCPS (PCOFFOTM, PCOFFROB)",,,,1.6376218323586746,32.71000000000001,70.926,1990,1989
1990-03,93.96,57.68,"IMF PCPS (PCOFFOTM, PCOFFROB)",,,,1.6289875173370318,36.279999999999994,79.44800000000001,1990,1989
1990-04,93.73,57.39,"IMF PCPS (PCOFFOTM, PCOFFROB)",,,,1.6332113608642622,36.34,79.194,1990,1989
1990-05,92.02,55.03,"IMF PCPS (PCOFFOTM, PCOFFROB)",,,,1.6721788115573322,36.989999999999995,77.22399999999999,1990,1989
1990-06,88.26,52.38,"IMF PCPS (PCOFFOTM, PCOFFROB)",,,,1.6849942726231386,35.88,73.908,1990,1989
1990-07,86.48,51.47,"IMF PCPS (PCOFFOTM, PCOFFROB)",,,,1.680202059452108,35.010000000000005,72.476,1990,1989
1990-08,94.42,55.1,"IMF PCPS (PCOFFOTM, PCOFFROB)",,,,1.7136116152450092,39.32,78.69200000000001,1990,1989
1990-09,94.92,57.09,"IMF PCPS (PCOFFOTM, PCOFFROB)",,,,1.6626379400945874,37.83,79.788,1990,1989
1990-10,91.41,58.05,"IMF PCPS (PCOFFOTM, PCOFFROB)",,,,1.5746770025839794,33.36,78.066,1990,1990
1990-11,84.84,56.79,"IMF PCPS (PCOFFOTM, PCOFFROB)",,,,1.4939249867934496,28.050000000000004,73.62,1990,1990
1990-12,89.89,57.04,"IMF PCPS (PCOFFOTM, PCOFFROB)",,,,1.5759116409537168,32.85,76.75,1990,1990
1991-01,86.32,53.92,"IMF PCPS (PCOFFOTM, PCOFFROB)",,,,1.6008902077151335,32.39999999999999,73.36,1991,1990
1991-02,89.57,52.46,"IMF PCPS (PCOFFOTM, PCOFFROB)",,,,1.7073961113229126,37.10999999999999,74.726,1991,1990
1991-03,93.72,52.13,"IMF PCPS (PCOFFOTM, PCOFFROB)",,,,1.7978131594091693,41.589999999999996,77.084,1991,1990
1991-04,92.27,52.38,"IMF PCPS (PCOFFOTM, PCOFFROB)",,,,1.761550210003818,39.88999999999999,76.314,1991,1990
1991-05,87.59,48.25,"IMF PCPS (PCOFFOTM, PCOFFROB)",,,,1.815336787564767,39.34,71.854,1991,1990
1991-06,85.5,47.1,"IMF PCPS (PCOFFOTM, PCOFFROB)",,,,1.8152866242038217,38.4,70.14,1991,1990
1991-07,82.81,46.44,"IMF PCPS (PCOFFOTM, PCOFFROB)",,,,1.7831610680447891,36.370000000000005,68.262,1991,1990
