period,arabica_other_milds_usc_lb,robusta_usc_lb
1990-01,75.83,50.52
1990-02,84.01,51.3
1990-03,93.96,57.68
1990-04,93.73,57.39
1990-05,92.02,55.03
1990-06,88.26,52.38
1990-07,86.48,51.47
1990-08,94.42,55.1
1990-09,94.92,57.09
1990-10,91.41,58.05
1990-11,84.84,56.79
1990-12,89.89,57.04
1991-01,86.32,53.92
1991-02,89.57,52.46
1991-03,93.72,52.13
1991-04,92.27,52.38
1991-05,87.59,48.25
1991-06,85.5,47.1
1991-07,82.81,46.44
1991-08,81.62,46.61
1991-09,87.45,48.11
1991-10,79.86,47.48
1991-11,78.52,51.69
1991-12,75.1,51.43
1992-01,73.03,48.82
1992-02,69.3,43.59
1992-03,69.89,42.51
1992-04,66.52,41.91
1992-05,60.8,38.15
1992-06,59.45,37.19
1992-07,58.35,39.1
1992-08,53.35,39.0
1992-09,51.67,40.9
1992-10,50.83,40.88
1992-11,52.51,44.75
1992-12,75.14,49.88
1993-01,71.82,47.66
1993-02,67.44,46.79
1993-03,64.68,46.33
1993-04,58.41,44.62
1993-05,61.66,45.9
1993-06,63.19,46.69
1993-07,70.48,48.96
1993-08,76.19,57.77
1993-09,81.12,62.89
1993-10,76.64,59.02
1993-11,79.24,61.62
1993-12,82.55,62.42
1994-01,79.58,59.92
1994-02,83.2,60.66
1994-03,87.01,64.84
1994-04,90.94,71.47
1994-05,117.17,91.43
1994-06,133.36,106.0
1994-07,201.41,150.99
1994-08,199.14,159.82
1994-09,218.68,180.38
1994-10,207.31,174.74
1994-11,188.12,159.11
1994-12,162.26,127.54
1995-01,171.09,128.98
1995-02,167.48,133.76
1995-03,179.21,145.91
1995-04,173.24,144.78
1995-05,173.25,142.86
1995-06,158.6,130.57
1995-07,140.3,116.06
1995-08,150.99,129.93
1995-09,137.14,117.27
1995-10,127.09,112.59
1995-11,125.26,110.69
1995-12,106.37,93.27
1996-01,107.96,88.65
1996-02,124.78,97.5
1996-03,120.81,90.71
1996-04,121.88,90.48
1996-05,129.6,91.3
1996-06,125.03,86.1
1996-07,123.7,78.25
1996-08,125.51,79.03
1996-09,119.81,74.91
1996-10,123.78,72.99
1996-11,123.91,70.12
1996-12,116.89,63.41
1997-01,131.23,66.16
1997-02,166.33,75.4
1997-03,193.41,79.91
1997-04,205.44,77.49
1997-05,265.61,92.01
1997-06,226.76,90.19
1997-07,190.16,80.51
1997-08,191.1,74.6
1997-09,190.86,75.0
1997-10,169.15,74.8
1997-11,160.31,75.81
1997-12,176.78,82.19
1998-01,176.91,83.1
1998-02,178.37,83.52
1998-03,158.39,81.89
1998-04,150.25,88.78
1998-05,138.94,91.42
1998-06,126.66,83.6
1998-07,116.94,76.92
1998-08,123.65,79.06
1998-09,112.94,79.87
1998-10,109.39,80.42
1998-11,116.12,80.13
1998-12,117.06,83.97
1999-01,114.23,82.71
1999-02,104.76,79.57
1999-03,105.13,73.62
1999-04,102.83,69.76
1999-05,111.35,68.04
1999-06,108.12,66.03
1999-07,95.79,61.76
1999-08,91.5,63.01
1999-09,84.52,59.83
1999-10,92.76,58.47
1999-11,112.45,62.54
1999-12,123.17,66.41
2000-01,111.85,54.07
2000-02,104.04,48.99
2000-03,100.65,46.26
2000-04,94.65,44.56
2000-05,91.51,43.74
2000-06,86.89,42.82
2000-07,87.66,41.25
2000-08,79.3,38.29
2000-09,75.84,38.8
2000-10,76.76,36.29
2000-11,71.39,32.99
2000-12,65.9,30.63
2001-01,65.65,32.49
2001-02,67.28,31.49
2001-03,66.67,30.65
2001-04,66.0,28.58
2001-05,69.63,29.51
2001-06,63.85,29.14
2001-07,58.94,27.51
2001-08,59.33,25.95
2001-09,58.27,24.47
2001-10,56.37,23.24
2001-11,58.85,23.68
2001-12,56.59,24.31
2002-01,58.24,22.82
2002-02,59.12,24.37
2002-03,64.07,28.9
2002-04,65.34,29.36
2002-05,61.46,28.34
2002-06,58.56,28.42
2002-07,56.48,28.6
2002-08,54.36,27.88
2002-09,60.67,32.01
2002-10,65.73,33.26
2002-11,69.87,37.91
2002-12,63.66,38.04
2003-01,65.38,41.05
2003-02,66.41,40.67
2003-03,61.75,37.17
2003-04,64.69,37.43
2003-05,66.1,37.75
2003-06,61.05,34.05
2003-07,62.95,35.35
2003-08,63.89,36.26
2003-09,66.41,37.31
2003-10,64.28,35.88
2003-11,62.28,34.11
2003-12,64.88,35.96
2004-01,72.03,39.51
2004-02,76.23,37.08
2004-03,78.06,36.7
2004-04,75.54,36.41
2004-05,77.44,36.69
2004-06,82.21,39.87
2004-07,74.97,35.96
2004-08,73.61,33.92
2004-09,80.47,34.24
2004-10,80.55,31.67
2004-11,90.27,32.69
2004-12,104.39,36.93
2005-01,107.16,36.96
2005-02,120.83,41.24
2005-03,134.78,49.4
2005-04,129.53,50.75
2005-05,128.4,56.2
2005-06,121.16,60.02
2005-07,109.93,57.88
2005-08,108.2,51.97
2005-09,99.49,46.87
2005-10,105.1,47.59
2005-11,107.74,51.45
2005-12,105.92,56.39
2006-01,124.2,63.39
2006-02,119.12,62.98
2006-03,113.66,59.6
2006-04,115.34,60.51
2006-05,109.63,60.15
2006-06,103.15,60.23
2006-07,105.0,64.49
2006-08,111.73,73.59
2006-09,109.83,77.1
2006-10,110.63,75.17
2006-11,122.27,76.79
2006-12,128.36,76.96
2007-01,124.69,79.21
2007-02,122.03,79.08
2007-03,117.08,76.99
2007-04,114.69,79.51
2007-05,113.33,83.91
2007-06,119.33,92.68
2007-07,117.63,92.51
2007-08,123.15,87.44
2007-09,128.04,92.78
2007-10,134.29,90.97
2007-11,131.05,92.61
2007-12,138.04,91.94
2008-01,139.82,98.97
2008-02,157.29,115.45
2008-03,149.22,121.77
2008-04,140.7,111.28
2008-05,142.04,108.83
2008-06,146.15,111.34
2008-07,147.36,115.23
2008-08,146.43,112.68
2008-09,143.27,105.38
2008-10,123.59,88.77
2008-11,121.89,90.76
2008-12,118.79,81.9
2009-01,127.81,82.5
2009-02,129.48,80.22
2009-03,128.52,76.31
2009-04,135.08,75.7
2009-05,150.49,75.57
2009-06,149.78,73.78
2009-07,140.9,71.68
2009-08,149.76,72.35
2009-09,148.51,73.82
2009-10,154.57,73.51
2009-11,152.21,69.48
2009-12,157.94,69.61
2010-01,158.66,69.94
2010-02,157.86,67.88
2010-03,164.5,67.25
2010-04,169.39,71.64
2010-05,173.37,70.72
2010-06,190.9,76.92
2010-07,203.21,85.27
2010-08,211.59,82.7
2010-09,222.71,81.28
2010-10,217.44,85.12
2010-11,233.51,91.99
2010-12,249.44,94.06
2011-01,263.77,101.09
2011-02,288.39,109.35
2011-03,292.07,118.13
2011-04,300.48,117.4
2011-05,291.07,121.98
2011-06,274.98,117.95
2011-07,268.02,112.73
2011-08,270.44,112.07
2011-09,274.88,106.06
2011-10,247.82,98.1
2011-11,245.09,97.24
2011-12,236.3,98.75
2012-01,237.21,96.72
2012-02,224.16,101.98
2012-03,201.26,103.57
2012-04,191.45,101.8
2012-05,184.36,107.09
2012-06,168.69,105.7
2012-07,190.45,107.06
2012-08,174.82,106.52
2012-09,178.98,104.95
2012-10,173.32,104.47
2012-11,159.91,97.67
2012-12,152.71,96.6
2013-01,157.04,99.56
2013-02,149.46,104.03
2013-03,149.81,106.07
2013-04,149.79,101.67
2013-05,147.19,99.18
2013-06,138.26,90.79
2013-07,138.39,95.21
2013-08,135.15,94.01
2013-09,132.28,87.78
2013-10,128.7,83.7
2013-11,122.02,79.71
2013-12,125.74,87.72
2014-01,132.52,87.69
2014-02,173.64,95.9
2014-03,214.09,105.37
2014-04,223.49,105.57
2014-05,214.2,102.98
2014-06,197.89,98.91
2014-07,196.9,101.79
2014-08,212.97,100.25
2014-09,210.53,100.52
2014-10,225.29,104.7
2014-11,209.38,103.06
2014-12,193.39,98.29
2015-01,189.63,97.88
2015-02,178.89,98.36
2015-03,160.74,92.16
2015-04,164.0,92.04
2015-05,158.48,87.56
2015-06,159.76,90.25
2015-07,154.45,87.12
2015-08,156.92,85.78
2015-09,146.15,81.5
2015-10,153.25,82.78
2015-11,147.98,81.74
2015-12,148.61,79.27
2016-01,145.43,74.93
2016-02,147.7,74.04
2016-03,157.63,75.68
2016-04,154.22,80.18
2016-05,155.19,83.93
2016-06,165.45,85.94
2016-07,171.76,90.82
2016-08,167.54,91.79
2016-09,176.3,96.88
2016-10,178.96,103.65
2016-11,184.12,103.72
2016-12,161.78,101.85
2017-01,168.61,108.32
2017-02,166.35,106.49
2017-03,160.15,106.73
2017-04,155.57,103.76
2017-05,150.0,98.36
2017-06,143.22,101.93
2017-07,149.8,104.94
2017-08,149.88,104.52
2017-09,146.56,99.18
2017-10,140.71,98.39
2017-11,140.9,91.33
2017-12,137.31,87.56
2018-01,138.88,88.61
2018-02,136.28,89.2
2018-03,134.94,88.14
2018-04,134.34,88.31
2018-05,135.61,88.74
2018-06,134.03,86.07
2018-07,130.6,84.42
2018-08,125.21,80.74
2018-09,121.18,76.7
2018-10,137.34,85.32
2018-11,137.11,83.52
2018-12,127.06,77.54
2019-01,128.36,78.2
2019-02,128.45,78.65
2019-03,123.89,76.96
2019-04,120.99,73.26
2019-05,120.55,71.12
2019-06,129.72,73.99
2019-07,135.47,73.93
2019-08,126.28,70.81
2019-09,128.89,70.64
2019-10,127.05,68.63
2019-11,140.98,73.28
2019-12,156.03,73.31
2020-01,142.94,70.58
2020-02,135.5,68.07
2020-03,148.33,67.46
2020-04,154.63,64.02
2020-05,149.92,64.54
2020-06,141.52,64.62
2020-07,146.78,67.69
2020-08,163.07,72.64
2020-09,166.56,72.77
2020-10,152.06,68.36
2020-11,150.73,72.38
2020-12,157.95,71.95
2021-01,160.82,70.81
2021-02,166.43,73.37
2021-03,167.05,73.86
2021-04,168.65,74.46
2021-05,186.46,79.68
2021-06,192.06,84.93
2021-07,204.5,94.09
2021-08,216.43,94.89
2021-09,225.54,104.59
2021-10,241.07,105.3
2021-11,258.98,109.43
2021-12,268.33,112.46
2022-01,271.08,109.71
2022-02,279.83,109.43
2022-03,258.99,103.92
2022-04,265.4,103.96
2022-05,260.45,103.15
2022-06,273.76,103.85
2022-07,255.91,100.44
2022-08,268.48,109.69
2022-09,267.49,111.36
2022-10,240.08,103.01
2022-11,213.72,92.6
2022-12,210.39,92.44
2023-01,206.76,95.98
2023-02,229.51,103.96
2023-03,222.66,106.49
2023-04,229.96,115.58
2023-05,220.12,122.55
2023-06,207.39,132.13
2023-07,193.49,127.58
2023-08,186.35,124.36
2023-09,183.59,123.89
2023-10,183.95,118.84
2023-11,197.43,122.78
2023-12,210.31,135.39
2024-01,203.88,148.13
2024-02,208.78,153.23
2024-03,208.91,165.84
2024-04,239.87,193.68
2024-05,232.34,186.46
2024-06,248.4,204.33
2024-07,257.1,214.54
2024-08,261.44,214.7
2024-09,278.76,242.46
2024-10,276.78,221.9
2024-11,304.95,226.13
2024-12,344.12,237.62
2025-01,353.93,244.94
2025-02,409.52,263.04
2025-03,404.21,257.68
2025-04,392.91,246.55
2025-05,397.59,237.3
2025-06,363.16,196.21
2025-07,316.73,167.17
2025-08,365.69,198.86
2025-09,399.55,210.84
