country,p2005,p2010,p2015,p2020,p2024,p2025,avg_16_18,avg_19_21,avg_22_25,low_price_resp,high_price_resp,cagr_05_25,share2025,robusta_share2025,p2026f
Albania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,
Algeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,
Angola,0.025,0.025,0.025,0.03,0.045,0.05,0.019666666666666666,0.030666666666666665,0.036250000000000004,55.93220338983051,18.206521739130466,2.5870254539493542,0.02795670066201467,100.0,
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,
Armenia,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,
Australia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,
Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,
Bolivia,0.135,0.125,0.08,0.08,0.085,0.08,0.08166666666666667,0.08333333333333333,0.08125,2.0408163265306145,-2.499999999999991,-3.2175813080354443,0.044730721059223474,0.0,
Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,
Brazil,36.1,54.5,49.4,69.9,65.0,63.0,58.23333333333333,62.833333333333336,64.225,7.899255867200927,2.2148541114058284,2.17303317789872,35.225442834138484,39.682539682539684,71.9
Burundi,0.285,0.235,0.24,0.23,0.115,0.125,0.20333333333333334,0.22,0.13874999999999998,8.196721311475397,-36.93181818181819,-4.267150558262034,0.06989175165503668,0.0,
Cameroon,0.85,0.715,0.625,0.4,0.205,0.225,0.4583333333333333,0.3833333333333333,0.22874999999999998,-16.36363636363637,-40.326086956521735,-6.382051373010755,0.12580515297906603,88.8888888888889,
Canada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,
Central African Republic,0.021,0.027,0.008,0.0,0.0,0.0,0.0033333333333333335,0.0,0.0,-100.0,,,0.0,,
Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,
China,0.365,0.827,1.925,1.9,1.9,1.9,1.9166666666666667,1.9000000000000001,1.85,-0.8695652173912993,-2.631578947368418,8.217902203365357,1.0623546251565574,0.0,
Colombia,11.953,8.525,14.0,13.4,14.8,13.8,14.098333333333331,13.1,13.015,-7.081215273673003,-0.6488549618320572,0.7457325090372668,7.716049382716049,0.0,
Congo (Brazzaville),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,
Congo (Kinshasa),0.236,0.265,0.22,0.25,0.195,0.2,0.24166666666666667,0.25833333333333336,0.21875,6.896551724137945,-15.322580645161299,-1.115892422527276,0.11182680264805868,74.99999999999999,
Costa Rica,1.751,1.575,1.625,1.472,1.298,1.17,1.3583333333333334,1.3843333333333332,1.1815,1.9141104294478462,-14.652058752708875,-2.007814219148052,0.6541867954911432,0.0,
Cote d'Ivoire,2.062,1.6,1.6,0.91,0.65,1.3,1.4466666666666665,1.265,1.07375,-12.557603686635943,-15.118577075098806,-3.2259097628775435,0.7268742172123814,100.0,
Croatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,
Cuba,0.125,0.12,0.15,0.1,0.1,0.1,0.12,0.09666666666666668,0.1,-19.444444444444432,3.44827586206895,-1.1619650831100947,0.05591340132402934,0.0,
Dominican Republic,0.31,0.5,0.225,0.12,0.125,0.125,0.15833333333333333,0.12166666666666666,0.125,-23.15789473684211,2.7397260273972712,-5.6143490623390075,0.06989175165503668,0.0,
Ecuador,0.835,0.65,0.225,0.255,0.355,0.35,0.21,0.26333333333333336,0.35724999999999996,25.396825396825417,35.66455696202529,-4.02143555989809,0.19569690463410266,71.42857142857143,
Egypt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,
El Salvador,1.387,1.86,0.56,0.54,0.45,0.5,0.638,0.5499999999999999,0.526,-13.793103448275879,-4.363636363636347,-4.753553360701646,0.2795670066201467,0.0,
Equatorial Guinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,
Ethiopia,4.5,6.125,6.51,7.6,11.1,11.56,7.116,7.741666666666667,9.7725,8.792392729998145,26.232508073196993,4.349106481754128,6.463589193057792,0.0,
European Union,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,
Gabon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,
Ghana,0.017,0.057,0.001,0.0,0.0,0.0,0.0006666666666666666,0.0,0.0,-100.0,,,0.0,,
Guatemala,3.715,3.96,3.295,3.93,3.205,3.54,3.7066666666666666,3.705,3.3709999999999996,-0.04496402877697259,-9.0148448043185,-0.6264934971736968,1.9793344068706384,3.672316384180791,
Guinea,0.525,0.325,0.28,0.07,0.175,0.19,0.15333333333333335,0.17166666666666666,0.16375,11.956521739130421,-4.611650485436892,-3.9436544199783707,0.10623546251565576,100.0,
Guyana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,
Haiti,0.331,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,
Honduras,3.204,3.975,5.3,6.5,5.0,5.8,7.403333333333333,5.5,5.3875,-25.709140027014854,-2.045454545454539,2.735423366860368,3.2429772767937015,0.0,6.0
India,4.57,5.035,5.8,5.567,6.2,6.05,5.2636666666666665,5.411333333333332,6.16925,2.8053954784370783,14.006098312184312,1.500315635247751,3.382760780103775,77.68595041322315,
Indonesia,9.45,9.325,12.1,10.7,10.7,12.45,10.533333333333333,10.659999999999998,10.5,1.2025316455696045,-1.5009380863039268,1.0498169293503112,6.961218464841652,88.35341365461848,
Iran,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,
Jamaica,0.034,0.023,0.027,0.015,0.015,0.02,0.015666666666666666,0.015333333333333332,0.018,-2.127659574468088,17.391304347826075,-2.242802732325777,0.011182680264805869,0.0,
Japan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,
Jordan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,
Kazakhstan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,
