country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Angola,0.05,0.056,0.05,0.054,0.05,0.061,0.074,0.069,0.07,0.067,0.056,0.078,0.079,0.071,0.069,0.024,0.022,0.03,0.025,0.02,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.015,0.01,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bolivia,0.028,0.034,0.038,0.038,0.058,0.059,0.072,0.092,0.059,0.069,0.086,0.092,0.088,0.089,0.1,0.124,0.108,0.118,0.122,0.129,0.145,0.135,0.155,0.15,0.14,0.15,0.157,0.16,0.17,0.17,0.19,0.2,0.085,0.058,0.123,0.151,0.133,0.153,0.15,0.184,0.173,0.118,0.149,0.125,0.165,0.135,0.152,0.14,0.135,0.14,0.125,0.14,0.115,0.128,0.1,0.08,0.075,0.085,0.085,0.085,0.08,0.085,0.09,0.07,0.085,0.08
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,29.8,39.6,28.9,23.2,11.0,37.7,21.0,24.5,17.0,21.0,11.0,24.6,24.5,14.3,27.5,22.8,9.0,17.1,19.1,20.9,20.25,31.5,15.75,28.0,25.0,30.6,10.4,34.3,21.3,22.5,26.5,24.0,19.2,24.0,24.5,14.0,22.7,19.2,30.6,25.8,26.6,24.4,41.6,23.6,34.3,26.0,36.0,27.65,40.5,33.0,41.8,34.7,42.1,41.8,37.3,36.1,45.6,39.5,49.7,42.0,49.7,36.4,39.8,44.9,44.0,38.0
