market_year,production,arabica,robusta,consumption,ending_stocks,bean_exports,rg_consumption,soluble_consumption,label,cons_yoy,prod_yoy,surplus,stock_change,stocks_to_use,robusta_share,soluble_share,vintage
2005,117.883,70.84899999999998,47.009,125.15100000000002,32.58100000000001,84.81299999999999,111.02400000000002,14.126999999999997,2005/06,,,-7.268000000000029,,26.03335171113296,39.87767532214145,11.287964139319698,USDA PSD Dec-2025
2006,134.04999999999998,84.12199999999999,49.903,124.35200000000003,35.705999999999996,95.61499999999998,109.16800000000003,15.184,2006/07,-0.6384287780361264,13.71444567919038,9.69799999999995,3.124999999999986,28.713651569737507,37.22715404699739,12.210499227997937,USDA PSD Dec-2025
2007,124.388,74.80800000000002,49.58,128.90800000000002,31.407999999999998,88.396,111.873,17.035000000000004,2007/08,3.663793103448265,-7.207758299142098,-4.52000000000001,-4.297999999999998,24.364663170633317,39.85915040036016,13.214850901418068,USDA PSD Dec-2025
2008,136.75099999999998,85.66400000000002,51.087,125.867,39.592999999999996,91.72699999999999,109.947,15.92,2008/09,-2.3590467620318467,9.939061645817905,10.883999999999972,8.184999999999999,31.45621966043522,37.357679285709075,12.648271588263801,USDA PSD Dec-2025
2009,129.77399999999997,77.784,51.99000000000001,139.19599999999997,28.845000000000002,92.306,121.99799999999999,17.198,2009/10,10.589749497485412,-5.101973660156056,-9.421999999999997,-10.747999999999994,20.722578235006758,40.06195385824589,12.355240093106126,USDA PSD Dec-2025
2010,141.40900000000002,87.943,53.466,135.508,28.64,100.403,117.204,18.304000000000002,2010/11,-2.6495014224546365,8.965586326999286,5.9010000000000105,-0.20500000000000185,21.1352835256959,37.809474644470995,13.507689582902854,USDA PSD Dec-2025
2011,144.837,84.54200000000002,60.295,142.831,25.748,101.144,124.258,18.573,2011/12,5.404108982495481,2.4241738503206767,2.0060000000000002,-2.8919999999999995,18.02689892250282,41.62955598362297,13.00347963677353,USDA PSD Dec-2025
2012,158.01799999999997,92.87200000000001,65.14600000000002,143.39999999999998,35.365,104.99300000000001,123.48499999999999,19.915,2012/13,0.39837290224109534,9.10057512928326,14.617999999999995,9.617,24.66178521617853,41.22694882861448,13.887726638772666,USDA PSD Dec-2025
2013,160.05399999999997,92.465,67.589,143.877,41.184,110.004,124.48500000000001,19.392,2013/14,0.3326359832636294,1.2884608082623483,16.176999999999964,5.8189999999999955,28.624450051085297,42.228872755445046,13.478179278133403,USDA PSD Dec-2025
2014,153.796,86.68799999999999,67.108,147.163,43.132000000000005,103.755,127.07899999999998,20.084000000000003,2014/15,2.283895271655645,-3.909930398490502,6.632999999999981,1.9480000000000075,29.308997506166634,43.634424822492136,13.647452144900555,USDA PSD Dec-2025
2015,152.429,86.13499999999999,66.294,153.18599999999998,34.951,112.36,130.19799999999998,22.988000000000003,2015/16,4.0927407024863305,-0.8888397617623278,-0.7569999999999766,-8.181000000000004,22.81605368636821,43.491724015771275,15.006593291815182,USDA PSD Dec-2025
2016,161.07899999999998,101.136,59.943000000000005,155.104,36.453,112.67499999999998,130.275,24.829000000000004,2016/17,1.2520726437142082,5.674773173083847,5.974999999999966,1.5020000000000024,23.502295234165462,37.21341701897828,16.007968846709307,USDA PSD Dec-2025
2017,159.814,95.224,64.59,160.627,31.951,112.919,136.792,23.835,2017/18,3.560836599958739,-0.7853289379745276,-0.8130000000000166,-4.5020000000000024,19.8914254764143,40.41573328994957,14.838725743492686,USDA PSD Dec-2025
2018,175.856,104.92600000000002,70.93,166.00300000000001,36.946,121.257,141.895,24.107999999999997,2018/19,3.3468843967701556,10.03791908093159,9.85299999999998,4.994999999999997,22.25622428510328,40.33413702119917,14.522629109112483,USDA PSD Dec-2025
2019,169.03000000000003,94.92099999999999,74.109,162.355,35.808,116.32,137.27,25.085,2019/20,-2.1975506466750727,-3.88158493312708,6.67500000000004,-1.1379999999999981,22.055372486218474,43.84369638525704,15.450709864186507,USDA PSD Dec-2025
2020,176.549,102.11000000000001,74.43900000000001,162.093,37.494,121.15800000000002,137.716,24.377,2020/21,-0.16137476517508187,4.448322782937919,14.456000000000017,1.686,23.13116544206104,42.163365411302244,15.03889742308428,USDA PSD Dec-2025
2021,165.04399999999998,87.089,77.955,167.88299999999998,31.940000000000005,118.953,141.153,26.73,2021/22,3.572023468009111,-6.516604455420316,-2.8389999999999986,-5.553999999999995,19.025154423020798,47.232859116356856,15.921802684012082,USDA PSD Dec-2025
2022,164.389,87.783,76.606,168.75399999999996,26.934,110.94,142.805,25.949,2022/23,0.5188136976346458,-0.3968638666052571,-4.364999999999952,-5.006000000000004,15.960510565675484,46.600441635389224,15.376820697583469,USDA PSD Dec-2025
2023,169.345,97.24000000000001,72.10499999999999,163.96800000000002,23.121,119.18,137.12399999999997,26.844,2023/24,-2.8360809225262518,3.0148002603580526,5.376999999999981,-3.8130000000000024,14.10092213114754,42.57875933744722,16.371487119437937,USDA PSD Dec-2025
2024,175.316,100.203,75.113,171.556,21.307,121.488,143.13600000000002,28.419999999999998,2024/25,4.627732240437155,3.5259381735510464,3.759999999999991,-1.814,12.419851243908694,42.844349631522505,16.566019259017462,USDA PSD Dec-2025
2025,178.848,95.51500000000001,83.333,173.852,20.148,123.82499999999999,144.767,29.085,2025/26,1.3383385017137206,2.0146478359077458,4.996000000000009,-1.158999999999999,11.589167797897062,46.59431472535337,16.72974714124658,USDA PSD Dec-2025
2026,189.667,105.867,83.8,179.7,26.3,,,,2026/27,3.363780687021145,6.049270889246738,9.967000000000013,6.152000000000001,14.635503617139678,44.18269915167109,,USDA Jul-2026 forecast
