dataset,entity,period,value,unit,source_org,source_title,source_url,quote,confidence,notes
balance_forecast_other,Marex,2026/27,10.5,million 60kg bags,Marex (quoted by ICO),ICO Coffee Market Report - August 2026 (published 10 Sep 2026),https://www.ico.org/documents/cy2025-26/cmr-0826-e.pdf,Marex projecting a global surplus of 10.5 million bags for crop year 2026/27.,medium,Private forecast quoted by ICO (Aug 2026). Read from ICO PDF/text mirrored at github.com/BMR-Com/coffee-analytics (@b7111c9).
balance_forecast_other,Rabobank,2026/27,8.64,million 60kg bags,Rabobank (quoted by ICO),ICO Coffee Market Report - February 2026 (PDF dated 12 Mar 2026),https://www.ico.org/documents/cy2025-26/cmr-0226-e.pdf,"Rabobank projects a 2026/27 surplus of around 8.64 million bags, following three consecutive years of supply deficits.",medium,Private forecast quoted by ICO (NOT an ICO forecast; some press summaries misattribute it to ICO). Reiterated per ICO March 2026 CMR (late March 2026). Read from ICO PDF/text mirrored at github.com/BMR-Com/coffee-analytics (@b7111c9).
balance_forecast_other,Rabobank,2026/27,8.9,million 60kg bags,Rabobank (quoted by ICO),ICO Coffee Market Report - August 2026 (published 10 Sep 2026),https://www.ico.org/documents/cy2025-26/cmr-0826-e.pdf,"Rabobank's quarterly outlook, released on 30 August, also forecasted a surplus of 8.9 million bags",medium,"Private forecast quoted by ICO (Rabobank quarterly, 30 Aug 2026). Read from ICO PDF/text mirrored at github.com/BMR-Com/coffee-analytics (@b7111c9)."
balance_ico,World,CY2020/21,0.4,million 60kg bags,ICO,ICO Coffee Market Report - August 2026 (published 10 Sep 2026),https://www.ico.org/documents/cy2025-26/cmr-0826-e.pdf,Table 3: Total Production 171.3; Consumption 170.9 (million 60-kg bags),medium,"DERIVED by analyst: ICO production minus consumption from Table 3 (Sep 2026 vintage). ICO text confirms deficits in each of 2021/22-2024/25 (four consecutive). Read from a copy of the ICO PDF/text mirrored in public repo github.com/BMR-Com/coffee-analytics (pipeline downloads the CMR from ico.org; pdfs/2026-08.pdf, data/report-text/2026-08.txt @ b7111c9)."
balance_ico,World,CY2021/22,-5.407,million 60kg bags,ICO,"Table 3: World Supply/Demand Balance, ICO Coffee Market Report - February 2026 (PDF dated 12 Mar 2026)",https://www.ico.org/documents/cy2025-26/cmr-0226-e.pdf,"Table 3 (thousand 60-kg bags), coffee year commencing 2021 2022 2023 2024: BALANCE -5,407 -11,070 -3,871 2,443",high,"Coffee-year basis (""Coffee year commencing"" 2021..2024 = CY2021/22..CY2024/25). Vintage: ICO Table 3 as published in Feb 2026 CMR (identical in Mar 2026 CMR, cmr-0326-e.pdf). SUPERSEDED by the 10 Sep 2026 update (Aug 2026 CMR). Source table in thousand 60-kg bags; converted to million (/1000, 3 dp). Official BALANCE row (production - consumption). Note: in this vintage 2024/25 was a SURPLUS (+2.443m); the Sep 2026 revision turned it into a deficit (-6.3m derived). Read from a copy of the ICO PDF/text mirrored in public repo github.com/BMR-Com/coffee-analytics (pipeline downloads the CMR from ico.org; pdfs/2026-02.pdf, data/report-text/2026-02.txt @ b7111c9)."
balance_ico,World,CY2021/22,-8.4,million 60kg bags,ICO,ICO Coffee Market Report - August 2026 (published 10 Sep 2026),https://www.ico.org/documents/cy2025-26/cmr-0826-e.pdf,Table 3: Total Production 168.4; Consumption 176.8 (million 60-kg bags),medium,"DERIVED by analyst: ICO production minus consumption from Table 3 (Sep 2026 vintage). ICO text confirms deficits in each of 2021/22-2024/25 (four consecutive). Read from a copy of the ICO PDF/text mirrored in public repo github.com/BMR-Com/coffee-analytics (pipeline downloads the CMR from ico.org; pdfs/2026-08.pdf, data/report-text/2026-08.txt @ b7111c9)."
balance_ico,World,CY2022/23,-11.070,million 60kg bags,ICO,"Table 3: World Supply/Demand Balance, ICO Coffee Market Report - February 2026 (PDF dated 12 Mar 2026)",https://www.ico.org/documents/cy2025-26/cmr-0226-e.pdf,"Table 3 (thousand 60-kg bags), coffee year commencing 2021 2022 2023 2024: BALANCE -5,407 -11,070 -3,871 2,443",high,"Coffee-year basis (""Coffee year commencing"" 2021..2024 = CY2021/22..CY2024/25). Vintage: ICO Table 3 as published in Feb 2026 CMR (identical in Mar 2026 CMR, cmr-0326-e.pdf). SUPERSEDED by the 10 Sep 2026 update (Aug 2026 CMR). Source table in thousand 60-kg bags; converted to million (/1000, 3 dp). Official BALANCE row (production - consumption). Note: in this vintage 2024/25 was a SURPLUS (+2.443m); the Sep 2026 revision turned it into a deficit (-6.3m derived). Read from a copy of the ICO PDF/text mirrored in public repo github.com/BMR-Com/coffee-analytics (pipeline downloads the CMR from ico.org; pdfs/2026-02.pdf, data/report-text/2026-02.txt @ b7111c9)."
balance_ico,World,CY2022/23,-3.7,million 60kg bags,ICO,ICO Coffee Market Report - August 2026 (published 10 Sep 2026),https://www.ico.org/documents/cy2025-26/cmr-0826-e.pdf,Table 3: Total Production 170.0; Consumption 173.7 (million 60-kg bags),medium,"DERIVED by analyst: ICO production minus consumption from Table 3 (Sep 2026 vintage). ICO text confirms deficits in each of 2021/22-2024/25 (four consecutive). Read from a copy of the ICO PDF/text mirrored in public repo github.com/BMR-Com/coffee-analytics (pipeline downloads the CMR from ico.org; pdfs/2026-08.pdf, data/report-text/2026-08.txt @ b7111c9)."
balance_ico,World,CY2023/24,-3.871,million 60kg bags,ICO,"Table 3: World Supply/Demand Balance, ICO Coffee Market Report - February 2026 (PDF dated 12 Mar 2026)",https://www.ico.org/documents/cy2025-26/cmr-0226-e.pdf,"Table 3 (thousand 60-kg bags), coffee year commencing 2021 2022 2023 2024: BALANCE -5,407 -11,070 -3,871 2,443",high,"Coffee-year basis (""Coffee year commencing"" 2021..2024 = CY2021/22..CY2024/25). Vintage: ICO Table 3 as published in Feb 2026 CMR (identical in Mar 2026 CMR, cmr-0326-e.pdf). SUPERSEDED by the 10 Sep 2026 update (Aug 2026 CMR). Source table in thousand 60-kg bags; converted to million (/1000, 3 dp). Official BALANCE row (production - consumption). Note: in this vintage 2024/25 was a SURPLUS (+2.443m); the Sep 2026 revision turned it into a deficit (-6.3m derived). Read from a copy of the ICO PDF/text mirrored in public repo github.com/BMR-Com/coffee-analytics (pipeline downloads the CMR from ico.org; pdfs/2026-02.pdf, data/report-text/2026-02.txt @ b7111c9)."
balance_ico,World,CY2023/24,-3.0,million 60kg bags,ICO,ICO Coffee Market Report - August 2026 (published 10 Sep 2026),https://www.ico.org/documents/cy2025-26/cmr-0826-e.pdf,Table 3: Total Production 171.6; Consumption 174.6 (million 60-kg bags),medium,"DERIVED by analyst: ICO production minus consumption from Table 3 (Sep 2026 vintage). ICO text confirms deficits in each of 2021/22-2024/25 (four consecutive). Read from a copy of the ICO PDF/text mirrored in public repo github.com/BMR-Com/coffee-analytics (pipeline downloads the CMR from ico.org; pdfs/2026-08.pdf, data/report-text/2026-08.txt @ b7111c9)."
