dataset,entity,period,value,unit,source_org,source_title,source_url,quote,confidence,notes
price_monthly_ico_composite,ICO composite (I-CIP),2005-01,79.35,US cents/lb,ICO,"ICO Coffee Dataset (ICO statistics, Kaggle copy mirrored on GitHub) - indicator-prices.csv, monthly ICO composite & group indicator prices 1990-2018",https://github.com/IgorKolodziej/a_sip_of_luxury/blob/f045d8908382b2a09f8948815ad16baf6d5fc318/data/ICO_Coffee_Dataset/indicator-prices.csv,"01/2005,1.7516556291390726,2.3889624724061806,2.3655629139072847,2.0668874172185427,0.8158940397350993",medium,"Mirror of ICO monthly indicator file; stored as (c/lb)/45.3, multiplied back by 45.3 (exact 2-dp recovery; validated vs ICO CMR quotes - see notes/B_prices.md s.0)"
price_monthly_ico_colombian_milds,Colombian Milds,2005-01,108.22,US cents/lb,ICO,"ICO Coffee Dataset (ICO statistics, Kaggle copy mirrored on GitHub) - indicator-prices.csv, monthly ICO composite & group indicator prices 1990-2018",https://github.com/IgorKolodziej/a_sip_of_luxury/blob/f045d8908382b2a09f8948815ad16baf6d5fc318/data/ICO_Coffee_Dataset/indicator-prices.csv,"01/2005,1.7516556291390726,2.3889624724061806,2.3655629139072847,2.0668874172185427,0.8158940397350993",medium,"Mirror of ICO monthly indicator file; stored as (c/lb)/45.3, multiplied back by 45.3 (exact 2-dp recovery; validated vs ICO CMR quotes - see notes/B_prices.md s.0)"
price_monthly_ico_other_milds,Other Milds,2005-01,107.16,US cents/lb,ICO,"ICO Coffee Dataset (ICO statistics, Kaggle copy mirrored on GitHub) - indicator-prices.csv, monthly ICO composite & group indicator prices 1990-2018",https://github.com/IgorKolodziej/a_sip_of_luxury/blob/f045d8908382b2a09f8948815ad16baf6d5fc318/data/ICO_Coffee_Dataset/indicator-prices.csv,"01/2005,1.7516556291390726,2.3889624724061806,2.3655629139072847,2.0668874172185427,0.8158940397350993",medium,"Mirror of ICO monthly indicator file; stored as (c/lb)/45.3, multiplied back by 45.3 (exact 2-dp recovery; validated vs ICO CMR quotes - see notes/B_prices.md s.0)"
price_monthly_ico_brazilian_naturals,Brazilian Naturals,2005-01,93.63,US cents/lb,ICO,"ICO Coffee Dataset (ICO statistics, Kaggle copy mirrored on GitHub) - indicator-prices.csv, monthly ICO composite & group indicator prices 1990-2018",https://github.com/IgorKolodziej/a_sip_of_luxury/blob/f045d8908382b2a09f8948815ad16baf6d5fc318/data/ICO_Coffee_Dataset/indicator-prices.csv,"01/2005,1.7516556291390726,2.3889624724061806,2.3655629139072847,2.0668874172185427,0.8158940397350993",medium,"Mirror of ICO monthly indicator file; stored as (c/lb)/45.3, multiplied back by 45.3 (exact 2-dp recovery; validated vs ICO CMR quotes - see notes/B_prices.md s.0)"
price_monthly_ico_robustas,Robustas,2005-01,36.96,US cents/lb,ICO,"ICO Coffee Dataset (ICO statistics, Kaggle copy mirrored on GitHub) - indicator-prices.csv, monthly ICO composite & group indicator prices 1990-2018",https://github.com/IgorKolodziej/a_sip_of_luxury/blob/f045d8908382b2a09f8948815ad16baf6d5fc318/data/ICO_Coffee_Dataset/indicator-prices.csv,"01/2005,1.7516556291390726,2.3889624724061806,2.3655629139072847,2.0668874172185427,0.8158940397350993",medium,"Mirror of ICO monthly indicator file; stored as (c/lb)/45.3, multiplied back by 45.3 (exact 2-dp recovery; validated vs ICO CMR quotes - see notes/B_prices.md s.0)"
price_monthly_ico_composite,ICO composite (I-CIP),2005-02,89.40,US cents/lb,ICO,"ICO Coffee Dataset (ICO statistics, Kaggle copy mirrored on GitHub) - indicator-prices.csv, monthly ICO composite & group indicator prices 1990-2018",https://github.com/IgorKolodziej/a_sip_of_luxury/blob/f045d8908382b2a09f8948815ad16baf6d5fc318/data/ICO_Coffee_Dataset/indicator-prices.csv,"02/2005,1.9735099337748343,2.6834437086092713,2.667991169977925,2.3423841059602646,0.9103752759381898",medium,"Mirror of ICO monthly indicator file; stored as (c/lb)/45.3, multiplied back by 45.3 (exact 2-dp recovery; validated vs ICO CMR quotes - see notes/B_prices.md s.0)"
price_monthly_ico_colombian_milds,Colombian Milds,2005-02,121.56,US cents/lb,ICO,"ICO Coffee Dataset (ICO statistics, Kaggle copy mirrored on GitHub) - indicator-prices.csv, monthly ICO composite & group indicator prices 1990-2018",https://github.com/IgorKolodziej/a_sip_of_luxury/blob/f045d8908382b2a09f8948815ad16baf6d5fc318/data/ICO_Coffee_Dataset/indicator-prices.csv,"02/2005,1.9735099337748343,2.6834437086092713,2.667991169977925,2.3423841059602646,0.9103752759381898",medium,"Mirror of ICO monthly indicator file; stored as (c/lb)/45.3, multiplied back by 45.3 (exact 2-dp recovery; validated vs ICO CMR quotes - see notes/B_prices.md s.0)"
price_monthly_ico_other_milds,Other Milds,2005-02,120.86,US cents/lb,ICO,"ICO Coffee Dataset (ICO statistics, Kaggle copy mirrored on GitHub) - indicator-prices.csv, monthly ICO composite & group indicator prices 1990-2018",https://github.com/IgorKolodziej/a_sip_of_luxury/blob/f045d8908382b2a09f8948815ad16baf6d5fc318/data/ICO_Coffee_Dataset/indicator-prices.csv,"02/2005,1.9735099337748343,2.6834437086092713,2.667991169977925,2.3423841059602646,0.9103752759381898",medium,"Mirror of ICO monthly indicator file; stored as (c/lb)/45.3, multiplied back by 45.3 (exact 2-dp recovery; validated vs ICO CMR quotes - see notes/B_prices.md s.0)"
price_monthly_ico_brazilian_naturals,Brazilian Naturals,2005-02,106.11,US cents/lb,ICO,"ICO Coffee Dataset (ICO statistics, Kaggle copy mirrored on GitHub) - indicator-prices.csv, monthly ICO composite & group indicator prices 1990-2018",https://github.com/IgorKolodziej/a_sip_of_luxury/blob/f045d8908382b2a09f8948815ad16baf6d5fc318/data/ICO_Coffee_Dataset/indicator-prices.csv,"02/2005,1.9735099337748343,2.6834437086092713,2.667991169977925,2.3423841059602646,0.9103752759381898",medium,"Mirror of ICO monthly indicator file; stored as (c/lb)/45.3, multiplied back by 45.3 (exact 2-dp recovery; validated vs ICO CMR quotes - see notes/B_prices.md s.0)"
price_monthly_ico_robustas,Robustas,2005-02,41.24,US cents/lb,ICO,"ICO Coffee Dataset (ICO statistics, Kaggle copy mirrored on GitHub) - indicator-prices.csv, monthly ICO composite & group indicator prices 1990-2018",https://github.com/IgorKolodziej/a_sip_of_luxury/blob/f045d8908382b2a09f8948815ad16baf6d5fc318/data/ICO_Coffee_Dataset/indicator-prices.csv,"02/2005,1.9735099337748343,2.6834437086092713,2.667991169977925,2.3423841059602646,0.9103752759381898",medium,"Mirror of ICO monthly indicator file; stored as (c/lb)/45.3, multiplied back by 45.3 (exact 2-dp recovery; validated vs ICO CMR quotes - see notes/B_prices.md s.0)"
price_monthly_ico_composite,ICO composite (I-CIP),2005-03,101.44,US cents/lb,ICO,"ICO Coffee Dataset (ICO statistics, Kaggle copy mirrored on GitHub) - indicator-prices.csv, monthly ICO composite & group indicator prices 1990-2018",https://github.com/IgorKolodziej/a_sip_of_luxury/blob/f045d8908382b2a09f8948815ad16baf6d5fc318/data/ICO_Coffee_Dataset/indicator-prices.csv,"03/2005,2.239293598233995,2.99205298013245,2.980794701986755,2.6516556291390727,1.0929359823399558",high,"Confirmed by: https://en.wikipedia.org/wiki/Economics_of_coffee (""2005 monthly averages between 78.79 (September) and 101.44 (March) US Cent per lb (Wikipedia via WebSearch summary)""). Mirror of ICO monthly indicator file; stored as (c/lb)/45.3, multiplied back by 45.3 (exact 2-dp recovery; validated vs ICO CMR quotes - see notes/B_prices.md s.0)"
price_monthly_ico_colombian_milds,Colombian Milds,2005-03,135.54,US cents/lb,ICO,"ICO Coffee Dataset (ICO statistics, Kaggle copy mirrored on GitHub) - indicator-prices.csv, monthly ICO composite & group indicator prices 1990-2018",https://github.com/IgorKolodziej/a_sip_of_luxury/blob/f045d8908382b2a09f8948815ad16baf6d5fc318/data/ICO_Coffee_Dataset/indicator-prices.csv,"03/2005,2.239293598233995,2.99205298013245,2.980794701986755,2.6516556291390727,1.0929359823399558",medium,"Mirror of ICO monthly indicator file; stored as (c/lb)/45.3, multiplied back by 45.3 (exact 2-dp recovery; validated vs ICO CMR quotes - see notes/B_prices.md s.0)"
price_monthly_ico_other_milds,Other Milds,2005-03,135.03,US cents/lb,ICO,"ICO Coffee Dataset (ICO statistics, Kaggle copy mirrored on GitHub) - indicator-prices.csv, monthly ICO composite & group indicator prices 1990-2018",https://github.com/IgorKolodziej/a_sip_of_luxury/blob/f045d8908382b2a09f8948815ad16baf6d5fc318/data/ICO_Coffee_Dataset/indicator-prices.csv,"03/2005,2.239293598233995,2.99205298013245,2.980794701986755,2.6516556291390727,1.0929359823399558",medium,"Mirror of ICO monthly indicator file; stored as (c/lb)/45.3, multiplied back by 45.3 (exact 2-dp recovery; validated vs ICO CMR quotes - see notes/B_prices.md s.0)"
price_monthly_ico_brazilian_naturals,Brazilian Naturals,2005-03,120.12,US cents/lb,ICO,"ICO Coffee Dataset (ICO statistics, Kaggle copy mirrored on GitHub) - indicator-prices.csv, monthly ICO composite & group indicator prices 1990-2018",https://github.com/IgorKolodziej/a_sip_of_luxury/blob/f045d8908382b2a09f8948815ad16baf6d5fc318/data/ICO_Coffee_Dataset/indicator-prices.csv,"03/2005,2.239293598233995,2.99205298013245,2.980794701986755,2.6516556291390727,1.0929359823399558",medium,"Mirror of ICO monthly indicator file; stored as (c/lb)/45.3, multiplied back by 45.3 (exact 2-dp recovery; validated vs ICO CMR quotes - see notes/B_prices.md s.0)"
price_monthly_ico_robustas,Robustas,2005-03,49.51,US cents/lb,ICO,"ICO Coffee Dataset (ICO statistics, Kaggle copy mirrored on GitHub) - indicator-prices.csv, monthly ICO composite & group indicator prices 1990-2018",https://github.com/IgorKolodziej/a_sip_of_luxury/blob/f045d8908382b2a09f8948815ad16baf6d5fc318/data/ICO_Coffee_Dataset/indicator-prices.csv,"03/2005,2.239293598233995,2.99205298013245,2.980794701986755,2.6516556291390727,1.0929359823399558",medium,"Mirror of ICO monthly indicator file; stored as (c/lb)/45.3, multiplied back by 45.3 (exact 2-dp recovery; validated vs ICO CMR quotes - see notes/B_prices.md s.0)"
price_monthly_ico_composite,ICO composite (I-CIP),2005-04,98.20,US cents/lb,ICO,"ICO Coffee Dataset (ICO statistics, Kaggle copy mirrored on GitHub) - indicator-prices.csv, monthly ICO composite & group indicator prices 1990-2018",https://github.com/IgorKolodziej/a_sip_of_luxury/blob/f045d8908382b2a09f8948815ad16baf6d5fc318/data/ICO_Coffee_Dataset/indicator-prices.csv,"04/2005,2.1677704194260485,2.858940397350993,2.859381898454746,2.5271523178807946,1.1203090507726268",medium,"Mirror of ICO monthly indicator file; stored as (c/lb)/45.3, multiplied back by 45.3 (exact 2-dp recovery; validated vs ICO CMR quotes - see notes/B_prices.md s.0)"
price_monthly_ico_colombian_milds,Colombian Milds,2005-04,129.51,US cents/lb,ICO,"ICO Coffee Dataset (ICO statistics, Kaggle copy mirrored on GitHub) - indicator-prices.csv, monthly ICO composite & group indicator prices 1990-2018",https://github.com/IgorKolodziej/a_sip_of_luxury/blob/f045d8908382b2a09f8948815ad16baf6d5fc318/data/ICO_Coffee_Dataset/indicator-prices.csv,"04/2005,2.1677704194260485,2.858940397350993,2.859381898454746,2.5271523178807946,1.1203090507726268",medium,"Mirror of ICO monthly indicator file; stored as (c/lb)/45.3, multiplied back by 45.3 (exact 2-dp recovery; validated vs ICO CMR quotes - see notes/B_prices.md s.0)"
price_monthly_ico_other_milds,Other Milds,2005-04,129.53,US cents/lb,ICO,"ICO Coffee Dataset (ICO statistics, Kaggle copy mirrored on GitHub) - indicator-prices.csv, monthly ICO composite & group indicator prices 1990-2018",https://github.com/IgorKolodziej/a_sip_of_luxury/blob/f045d8908382b2a09f8948815ad16baf6d5fc318/data/ICO_Coffee_Dataset/indicator-prices.csv,"04/2005,2.1677704194260485,2.858940397350993,2.859381898454746,2.5271523178807946,1.1203090507726268",medium,"Mirror of ICO monthly indicator file; stored as (c/lb)/45.3, multiplied back by 45.3 (exact 2-dp recovery; validated vs ICO CMR quotes - see notes/B_prices.md s.0)"
price_monthly_ico_brazilian_naturals,Brazilian Naturals,2005-04,114.48,US cents/lb,ICO,"ICO Coffee Dataset (ICO statistics, Kaggle copy mirrored on GitHub) - indicator-prices.csv, monthly ICO composite & group indicator prices 1990-2018",https://github.com/IgorKolodziej/a_sip_of_luxury/blob/f045d8908382b2a09f8948815ad16baf6d5fc318/data/ICO_Coffee_Dataset/indicator-prices.csv,"04/2005,2.1677704194260485,2.858940397350993,2.859381898454746,2.5271523178807946,1.1203090507726268",medium,"Mirror of ICO monthly indicator file; stored as (c/lb)/45.3, multiplied back by 45.3 (exact 2-dp recovery; validated vs ICO CMR quotes - see notes/B_prices.md s.0)"
price_monthly_ico_robustas,Robustas,2005-04,50.75,US cents/lb,ICO,"ICO Coffee Dataset (ICO statistics, Kaggle copy mirrored on GitHub) - indicator-prices.csv, monthly ICO composite & group indicator prices 1990-2018",https://github.com/IgorKolodziej/a_sip_of_luxury/blob/f045d8908382b2a09f8948815ad16baf6d5fc318/data/ICO_Coffee_Dataset/indicator-prices.csv,"04/2005,2.1677704194260485,2.858940397350993,2.859381898454746,2.5271523178807946,1.1203090507726268",medium,"Mirror of ICO monthly indicator file; stored as (c/lb)/45.3, multiplied back by 45.3 (exact 2-dp recovery; validated vs ICO CMR quotes - see notes/B_prices.md s.0)"
price_monthly_ico_composite,ICO composite (I-CIP),2005-05,99.78,US cents/lb,ICO,"ICO Coffee Dataset (ICO statistics, Kaggle copy mirrored on GitHub) - indicator-prices.csv, monthly ICO composite & group indicator prices 1990-2018",https://github.com/IgorKolodziej/a_sip_of_luxury/blob/f045d8908382b2a09f8948815ad16baf6d5fc318/data/ICO_Coffee_Dataset/indicator-prices.csv,"05/2005,2.2026490066225164,2.844812362030905,2.833774834437086,2.5377483443708604,1.2377483443708608",medium,"Mirror of ICO monthly indicator file; stored as (c/lb)/45.3, multiplied back by 45.3 (exact 2-dp recovery; validated vs ICO CMR quotes - see notes/B_prices.md s.0)"
price_monthly_ico_colombian_milds,Colombian Milds,2005-05,128.87,US cents/lb,ICO,"ICO Coffee Dataset (ICO statistics, Kaggle copy mirrored on GitHub) - indicator-prices.csv, monthly ICO composite & group indicator prices 1990-2018",https://github.com/IgorKolodziej/a_sip_of_luxury/blob/f045d8908382b2a09f8948815ad16baf6d5fc318/data/ICO_Coffee_Dataset/indicator-prices.csv,"05/2005,2.2026490066225164,2.844812362030905,2.833774834437086,2.5377483443708604,1.2377483443708608",medium,"Mirror of ICO monthly indicator file; stored as (c/lb)/45.3, multiplied back by 45.3 (exact 2-dp recovery; validated vs ICO CMR quotes - see notes/B_prices.md s.0)"
price_monthly_ico_other_milds,Other Milds,2005-05,128.37,US cents/lb,ICO,"ICO Coffee Dataset (ICO statistics, Kaggle copy mirrored on GitHub) - indicator-prices.csv, monthly ICO composite & group indicator prices 1990-2018",https://github.com/IgorKolodziej/a_sip_of_luxury/blob/f045d8908382b2a09f8948815ad16baf6d5fc318/data/ICO_Coffee_Dataset/indicator-prices.csv,"05/2005,2.2026490066225164,2.844812362030905,2.833774834437086,2.5377483443708604,1.2377483443708608",medium,"Mirror of ICO monthly indicator file; stored as (c/lb)/45.3, multiplied back by 45.3 (exact 2-dp recovery; validated vs ICO CMR quotes - see notes/B_prices.md s.0)"
price_monthly_ico_brazilian_naturals,Brazilian Naturals,2005-05,114.96,US cents/lb,ICO,"ICO Coffee Dataset (ICO statistics, Kaggle copy mirrored on GitHub) - indicator-prices.csv, monthly ICO composite & group indicator prices 1990-2018",https://github.com/IgorKolodziej/a_sip_of_luxury/blob/f045d8908382b2a09f8948815ad16baf6d5fc318/data/ICO_Coffee_Dataset/indicator-prices.csv,"05/2005,2.2026490066225164,2.844812362030905,2.833774834437086,2.5377483443708604,1.2377483443708608",medium,"Mirror of ICO monthly indicator file; stored as (c/lb)/45.3, multiplied back by 45.3 (exact 2-dp recovery; validated vs ICO CMR quotes - see notes/B_prices.md s.0)"
price_monthly_ico_robustas,Robustas,2005-05,56.07,US cents/lb,ICO,"ICO Coffee Dataset (ICO statistics, Kaggle copy mirrored on GitHub) - indicator-prices.csv, monthly ICO composite & group indicator prices 1990-2018",https://github.com/IgorKolodziej/a_sip_of_luxury/blob/f045d8908382b2a09f8948815ad16baf6d5fc318/data/ICO_Coffee_Dataset/indicator-prices.csv,"05/2005,2.2026490066225164,2.844812362030905,2.833774834437086,2.5377483443708604,1.2377483443708608",medium,"Mirror of ICO monthly indicator file; stored as (c/lb)/45.3, multiplied back by 45.3 (exact 2-dp recovery; validated vs ICO CMR quotes - see notes/B_prices.md s.0)"
price_monthly_ico_composite,ICO composite (I-CIP),2005-06,96.29,US cents/lb,ICO,"ICO Coffee Dataset (ICO statistics, Kaggle copy mirrored on GitHub) - indicator-prices.csv, monthly ICO composite & group indicator prices 1990-2018",https://github.com/IgorKolodziej/a_sip_of_luxury/blob/f045d8908382b2a09f8948815ad16baf6d5fc318/data/ICO_Coffee_Dataset/indicator-prices.csv,"06/2005,2.12560706401766,2.677483443708609,2.674613686534216,2.3671081677704193,1.3249448123620309",medium,"Mirror of ICO monthly indicator file; stored as (c/lb)/45.3, multiplied back by 45.3 (exact 2-dp recovery; validated vs ICO CMR quotes - see notes/B_prices.md s.0)"
price_monthly_ico_colombian_milds,Colombian Milds,2005-06,121.29,US cents/lb,ICO,"ICO Coffee Dataset (ICO statistics, Kaggle copy mirrored on GitHub) - indicator-prices.csv, monthly ICO composite & group indicator prices 1990-2018",https://github.com/IgorKolodziej/a_sip_of_luxury/blob/f045d8908382b2a09f8948815ad16baf6d5fc318/data/ICO_Coffee_Dataset/indicator-prices.csv,"06/2005,2.12560706401766,2.677483443708609,2.674613686534216,2.3671081677704193,1.3249448123620309",medium,"Mirror of ICO monthly indicator file; stored as (c/lb)/45.3, multiplied back by 45.3 (exact 2-dp recovery; validated vs ICO CMR quotes - see notes/B_prices.md s.0)"
price_monthly_ico_other_milds,Other Milds,2005-06,121.16,US cents/lb,ICO,"ICO Coffee Dataset (ICO statistics, Kaggle copy mirrored on GitHub) - indicator-prices.csv, monthly ICO composite & group indicator prices 1990-2018",https://github.com/IgorKolodziej/a_sip_of_luxury/blob/f045d8908382b2a09f8948815ad16baf6d5fc318/data/ICO_Coffee_Dataset/indicator-prices.csv,"06/2005,2.12560706401766,2.677483443708609,2.674613686534216,2.3671081677704193,1.3249448123620309",medium,"Mirror of ICO monthly indicator file; stored as (c/lb)/45.3, multiplied back by 45.3 (exact 2-dp recovery; validated vs ICO CMR quotes - see notes/B_prices.md s.0)"
price_monthly_ico_brazilian_naturals,Brazilian Naturals,2005-06,107.23,US cents/lb,ICO,"ICO Coffee Dataset (ICO statistics, Kaggle copy mirrored on GitHub) - indicator-prices.csv, monthly ICO composite & group indicator prices 1990-2018",https://github.com/IgorKolodziej/a_sip_of_luxury/blob/f045d8908382b2a09f8948815ad16baf6d5fc318/data/ICO_Coffee_Dataset/indicator-prices.csv,"06/2005,2.12560706401766,2.677483443708609,2.674613686534216,2.3671081677704193,1.3249448123620309",medium,"Mirror of ICO monthly indicator file; stored as (c/lb)/45.3, multiplied back by 45.3 (exact 2-dp recovery; validated vs ICO CMR quotes - see notes/B_prices.md s.0)"
price_monthly_ico_robustas,Robustas,2005-06,60.02,US cents/lb,ICO,"ICO Coffee Dataset (ICO statistics, Kaggle copy mirrored on GitHub) - indicator-prices.csv, monthly ICO composite & group indicator prices 1990-2018",https://github.com/IgorKolodziej/a_sip_of_luxury/blob/f045d8908382b2a09f8948815ad16baf6d5fc318/data/ICO_Coffee_Dataset/indicator-prices.csv,"06/2005,2.12560706401766,2.677483443708609,2.674613686534216,2.3671081677704193,1.3249448123620309",medium,"Mirror of ICO monthly indicator file; stored as (c/lb)/45.3, multiplied back by 45.3 (exact 2-dp recovery; validated vs ICO CMR quotes - see notes/B_prices.md s.0)"
price_monthly_ico_composite,ICO composite (I-CIP),2005-07,88.48,US cents/lb,ICO,"ICO Coffee Dataset (ICO statistics, Kaggle copy mirrored on GitHub) - indicator-prices.csv, monthly ICO composite & group indicator prices 1990-2018",https://github.com/IgorKolodziej/a_sip_of_luxury/blob/f045d8908382b2a09f8948815ad16baf6d5fc318/data/ICO_Coffee_Dataset/indicator-prices.csv,"07/2005,1.9532008830022074,2.4456953642384107,2.426710816777042,2.1315673289183223,1.2777041942604856",medium,"Mirror of ICO monthly indicator file; stored as (c/lb)/45.3, multiplied back by 45.3 (exact 2-dp recovery; validated vs ICO CMR quotes - see notes/B_prices.md s.0)"
