dataset,entity,period,value,unit,source_org,source_title,source_url,quote,confidence,notes
consumption_usda,European Union,2026/27,42.5,million 60kg bags,USDA FAS (via Comunicaffe),"USDA: World coffee production (+6%), exports (+9%) and global consumption (+3.6%) set to reach all-time highs during CY 2026/27",https://www.comunicaffe.com/usda-world-coffee-production-6-exports-9-and-global-consumption-3-6-set-to-reach-record-levels-in-2026-27,EU consumption will reach 42.5 million (+2.2%),medium,"Forecast; USDA Coffee: World Markets and Trade released Wed 22 July 2026 (June 2026 edition, delayed). EU-27. Implied 2025/26 ~41.6 (not recorded separately)."
consumption_usda,European Union,2026/27,42.5,million 60kg bags,USDA FAS (via Food Business MEA),USDA forecasts record global coffee production and exports in 2026/27,https://www.foodbusinessmea.com/usda-forecasts-record-global-coffee-production-and-exports-in-2026-27/,"Consumption is expected to reach 42.5 million bags in the European Union, 26.95 million in the United States, and 6.75 million in China",medium,Cross-check of Comunicaffe row; same USDA July 2026 vintage.
consumption_usda_yoy_pct,European Union,2026/27,2.2,% change y/y,USDA FAS (via Comunicaffe),"USDA: World coffee production (+6%), exports (+9%) and global consumption (+3.6%) set to reach all-time highs during CY 2026/27",https://www.comunicaffe.com/usda-world-coffee-production-6-exports-9-and-global-consumption-3-6-set-to-reach-record-levels-in-2026-27,EU consumption will reach 42.5 million (+2.2%),medium,USDA July 2026 vintage; growth vs 2025/26.
consumption_usda,United States,2026/27,26.95,million 60kg bags,USDA FAS (via Comunicaffe),"USDA: World coffee production (+6%), exports (+9%) and global consumption (+3.6%) set to reach all-time highs during CY 2026/27",https://www.comunicaffe.com/usda-world-coffee-production-6-exports-9-and-global-consumption-3-6-set-to-reach-record-levels-in-2026-27,US consumption will reach 26.95 million (+5.7%),medium,Forecast; USDA July 2026 vintage. Implied 2025/26 ~25.5 (not recorded separately).
consumption_usda,United States,2026/27,26.95,million 60kg bags,USDA FAS (via Food Business MEA),USDA forecasts record global coffee production and exports in 2026/27,https://www.foodbusinessmea.com/usda-forecasts-record-global-coffee-production-and-exports-in-2026-27/,"Consumption is expected to reach 42.5 million bags in the European Union, 26.95 million in the United States, and 6.75 million in China",medium,Cross-check; USDA July 2026 vintage.
consumption_usda_yoy_pct,United States,2026/27,5.7,% change y/y,USDA FAS (via Comunicaffe),"USDA: World coffee production (+6%), exports (+9%) and global consumption (+3.6%) set to reach all-time highs during CY 2026/27",https://www.comunicaffe.com/usda-world-coffee-production-6-exports-9-and-global-consumption-3-6-set-to-reach-record-levels-in-2026-27,US consumption will reach 26.95 million (+5.7%),medium,USDA July 2026 vintage.
consumption_usda,China,2026/27,6.75,million 60kg bags,USDA FAS (via Comunicaffe),"USDA: World coffee production (+6%), exports (+9%) and global consumption (+3.6%) set to reach all-time highs during CY 2026/27",https://www.comunicaffe.com/usda-world-coffee-production-6-exports-9-and-global-consumption-3-6-set-to-reach-record-levels-in-2026-27,"China (+5.1%), the latter now ranking among the world's largest markets, with consumption of 6.75 million",medium,Forecast; USDA July 2026 vintage. Implied 2025/26 ~6.42.
consumption_usda,China,2026/27,6.75,million 60kg bags,USDA FAS (via Food Business MEA),USDA forecasts record global coffee production and exports in 2026/27,https://www.foodbusinessmea.com/usda-forecasts-record-global-coffee-production-and-exports-in-2026-27/,"Consumption is expected to reach 42.5 million bags in the European Union, 26.95 million in the United States, and 6.75 million in China",medium,Cross-check; USDA July 2026 vintage.
consumption_usda_yoy_pct,China,2026/27,5.1,% change y/y,USDA FAS (via Comunicaffe),"USDA: World coffee production (+6%), exports (+9%) and global consumption (+3.6%) set to reach all-time highs during CY 2026/27",https://www.comunicaffe.com/usda-world-coffee-production-6-exports-9-and-global-consumption-3-6-set-to-reach-record-levels-in-2026-27,"There will also be increases for Brazil (+0.5%), Japan (+3.7%) and China (+5.1%)",medium,USDA July 2026 vintage.
consumption_usda_yoy_pct,Japan,2026/27,3.7,% change y/y,USDA FAS (via Comunicaffe),"USDA: World coffee production (+6%), exports (+9%) and global consumption (+3.6%) set to reach all-time highs during CY 2026/27",https://www.comunicaffe.com/usda-world-coffee-production-6-exports-9-and-global-consumption-3-6-set-to-reach-record-levels-in-2026-27,"There will also be increases for Brazil (+0.5%), Japan (+3.7%) and China (+5.1%)",medium,USDA July 2026 vintage; Japan level not given in the search summary.
consumption_usda,World,2026/27,179.736,million 60kg bags,USDA FAS (via Comunicaffe),"USDA: World coffee production (+6%), exports (+9%) and global consumption (+3.6%) set to reach all-time highs during CY 2026/27",https://www.comunicaffe.com/usda-world-coffee-production-6-exports-9-and-global-consumption-3-6-set-to-reach-record-levels-in-2026-27,Global consumption will reach an unprecedented 179.736 million bags (+3.6%),medium,Context for share calculations; USDA July 2026 vintage.
consumption_usda,European Union,2025/26,41870,1000 60kg bags,USDA FAS,"Coffee: World Markets and Trade, December 2025",https://www.fas.usda.gov/sites/default/files/2025-12/coffee.pdf,"European Union domestic consumption for 2025/26 is forecast at 41,870 thousand 60-kilogram bags",medium,Dec 2025 vintage forecast (report released 18 Dec 2025). Value read from search-engine summary of the PDF table; later July 2026 vintage implies ~41.6 million (42.5/1.022).
consumption_usda,European Union,2025/26,41.9,million 60kg bags,European Coffee Federation citing USDA (via Daily Coffee News),"Coffee Generates EUR 84.4 Billion in Direct Value Across the EU, Report Says",https://dailycoffeenews.com/2026/07/08/coffee-generates-e84-4-billion-in-direct-value-across-the-eu-report-says/,"The EU27 consumed approximately 41.9 million 60-kilogram bags in 2025/26, or roughly 24% of global coffee consumption",medium,"EU-27; matches USDA Dec 2025 forecast 41,870. Share ~24% of world."
consumption_usda_share_world_pct,European Union,2025/26,24,% of world consumption,European Coffee Federation citing USDA (via Daily Coffee News),"Coffee Generates EUR 84.4 Billion in Direct Value Across the EU, Report Says",https://dailycoffeenews.com/2026/07/08/coffee-generates-e84-4-billion-in-direct-value-across-the-eu-report-says/,"The EU27 consumed approximately 41.9 million 60-kilogram bags in 2025/26, or roughly 24% of global coffee consumption",medium,Approximate share.
consumption_usda,European Union,2024/25,42.0,million 60kg bags,USDA (as cited in European market literature),"Economic Impact of Coffee in Europe (ECF, Oct 2025) / related coverage",https://www.ecf-coffee.org/wp-content/uploads/2026/06/ECF_Economic-Impact-of-Coffee-in-Europe.pdf,"the European Union dominated domestic consumption of green coffee beans in the 2024/2025 marketing year, utilizing over 42.0 million 60-kilogram bags",low,"'over 42.0 million'. Search summary did not pin which page (ECF PDF vs market-research page) carried the sentence. A Comunicaffe-linked summary gave 42.046 million (+2.439 million y/y) for 2024/25 but could not be attributed to a single article, so not recorded separately."
imports_green_usda,European Union,2025/26,47000,1000 60kg bags,USDA FAS,"Coffee: World Markets and Trade, December 2025",https://www.fas.usda.gov/sites/default/files/2025-12/coffee.pdf,"European Union bean imports for 2025/26 are forecast at 47,000 thousand 60-kilogram bags",medium,Dec 2025 vintage forecast; superseded by July 2026 revision to 46.5 million (see next row). Value read from search-engine summary of PDF table.
imports_green_usda,European Union,2025/26,46.5,million 60kg bags,USDA FAS,"Coffee: World Markets and Trade, June 2026 edition (posted July 2026)",https://www.fas.usda.gov/sites/default/files/2026-07/coffee.pdf,"European Union is reduced 500,000 bags to 46.5 million on lower consumption",medium,Revision paragraph of July 2026 report; period inferred as 2025/26 because 47.0 (Dec 2025 forecast) - 0.5 = 46.5. Signals demand softening under record prices.
imports_green_usda,United States,2025/26,23.1,million 60kg bags,USDA FAS,"Coffee: World Markets and Trade, June 2026 edition (posted July 2026)",https://www.fas.usda.gov/sites/default/files/2026-07/coffee.pdf,"The United States is down 700,000 bags to 23.1 million on lower consumption",medium,Revision paragraph of July 2026 report; period inferred as 2025/26 (Dec 2025 forecast would then be 23.8).
imports_green_usda,World,2025/26,118.6,million 60kg bags,USDA FAS,"Coffee: World Markets and Trade, June 2026 edition (posted July 2026)",https://www.fas.usda.gov/sites/default/files/2026-07/coffee.pdf,World bean imports are revised down 1.3 million bags to 118.6 million,medium,Context; period inferred as 2025/26 revision.
imports_green_usda,European Union,2024/25,46.2,million 60kg bags,USDA FAS (via Comunicaffe),"USDA forecasts world coffee production for 2025/26 at an all-time high of 178.8 million bags (+2%), consumption to reach a record 173.9 million (+1.3%)",https://www.comunicaffe.com/usda-sees-world-coffee-production-for-2025-26-at-an-all-time-high-of-178-8-million-bags-2-consumption-at-a-record-173-9-million-1-3/,"The European Union is raised 800,000 bags to 46.2 million on higher consumption",medium,Revision paragraph; search summary attributes it to the Dec 2025 report and the 2024/25 year. Also surfaced with https://www.fas.usda.gov/sites/default/files/2025-12/coffee.pdf.
imports_green_usda,United States,2024/25,23.4,million 60kg bags,USDA FAS (via Comunicaffe),"USDA forecasts world coffee production for 2025/26 at an all-time high of 178.8 million bags (+2%), consumption to reach a record 173.9 million (+1.3%)",https://www.comunicaffe.com/usda-sees-world-coffee-production-for-2025-26-at-an-all-time-high-of-178-8-million-bags-2-consumption-at-a-record-173-9-million-1-3/,"The United States is up 600,000 bags to 23.4 million on higher consumption",medium,"Revision paragraph; attributed to Dec 2025 report, 2024/25 year."
imports_green_usda,European Union,2020/21,49.5,million 60kg bags,USDA FAS,"Coffee: World Markets and Trade, June 2020",https://www.fas.usda.gov/sites/default/files/2024-08/coffee-June2020.pdf,European Union imports are forecast up 2.0 million bags to 49.5 million and account for nearly 45 percent of the world's coffee bean imports,high,June 2020 vintage forecast. Implies 2019/20 = 47.5. EU definition at that vintage (EU-28 vs EU-27) not stated in summary.
imports_green_usda,United States,2020/21,27.0,million 60kg bags,USDA FAS,"Coffee: World Markets and Trade, June 2020",https://www.fas.usda.gov/sites/default/files/2024-08/coffee-June2020.pdf,The United States imports the second-largest amount of coffee beans and is forecast up 2.0 million bags to 27.0 million,high,June 2020 vintage forecast; implies 2019/20 = 25.0.
imports_green_usda,United States,2019/20,25.0,million 60kg bags,USDA FAS,"Coffee: World Markets and Trade, June 2020",https://www.fas.usda.gov/sites/default/files/2024-08/coffee-June2020.pdf,The United States is down 1.2 million bags to 25.0 million on lower consumption and stocks,medium,Revision paragraph in June 2020 report; period inferred 2019/20 (COVID year).
imports_green_usda,World,2020/21,109.7,million 60kg bags,USDA FAS,"Coffee: World Markets and Trade, June 2020",https://www.fas.usda.gov/sites/default/files/2024-08/coffee-June2020.pdf,World bean imports are lowered 2.7 million bags to 109.7 million,low,Summary placed this in the 2020/21 context but wording ('lowered') suggests a 2019/20 revision. Treat period as uncertain.
consumption_usda,Algeria,2005/06,2085,1000 60kg bags,USDA FAS PSD (official bulk CSV via GitHub mirror),"USDA PSD psd_coffee.csv, Coffee Green, June 2024 release (mirror: Mal303/Interactive-Coffee-Bean-Origin-Map)",https://github.com/Mal303/Interactive-Coffee-Bean-Origin-Map/blob/a1577e64b4a2a0a5a6fdab415ea8fb7ae0bdb118/homepage_css/Data/CoffeeDataRaw/Coffee_Data/psd_coffee.csv,"0711100,""Coffee, Green"",AG,""Algeria"",2005,2012,06,125,""Domestic Consumption"",02,""(1000 60 KG BAGS)"",2085.0000",medium,USDA PSD June 2024 release (file max MY 2024/25); this value last revised 2012-06. Importer consumption in PSD is a balance-sheet residual (imports - exports - stock change): single years can swing with stocks.
consumption_usda,Algeria,2006/07,1840,1000 60kg bags,USDA FAS PSD (official bulk CSV via GitHub mirror),"USDA PSD psd_coffee.csv, Coffee Green, June 2024 release (mirror: Mal303/Interactive-Coffee-Bean-Origin-Map)",https://github.com/Mal303/Interactive-Coffee-Bean-Origin-Map/blob/a1577e64b4a2a0a5a6fdab415ea8fb7ae0bdb118/homepage_css/Data/CoffeeDataRaw/Coffee_Data/psd_coffee.csv,"0711100,""Coffee, Green"",AG,""Algeria"",2006,2012,06,125,""Domestic Consumption"",02,""(1000 60 KG BAGS)"",1840.0000",medium,USDA PSD June 2024 release (file max MY 2024/25); this value last revised 2012-06. Importer consumption in PSD is a balance-sheet residual (imports - exports - stock change): single years can swing with stocks.
consumption_usda,Algeria,2007/08,2050,1000 60kg bags,USDA FAS PSD (official bulk CSV via GitHub mirror),"USDA PSD psd_coffee.csv, Coffee Green, June 2024 release (mirror: Mal303/Interactive-Coffee-Bean-Origin-Map)",https://github.com/Mal303/Interactive-Coffee-Bean-Origin-Map/blob/a1577e64b4a2a0a5a6fdab415ea8fb7ae0bdb118/homepage_css/Data/CoffeeDataRaw/Coffee_Data/psd_coffee.csv,"0711100,""Coffee, Green"",AG,""Algeria"",2007,2012,06,125,""Domestic Consumption"",02,""(1000 60 KG BAGS)"",2050.0000",medium,USDA PSD June 2024 release (file max MY 2024/25); this value last revised 2012-06. Importer consumption in PSD is a balance-sheet residual (imports - exports - stock change): single years can swing with stocks.
consumption_usda,Algeria,2008/09,2070,1000 60kg bags,USDA FAS PSD (official bulk CSV via GitHub mirror),"USDA PSD psd_coffee.csv, Coffee Green, June 2024 release (mirror: Mal303/Interactive-Coffee-Bean-Origin-Map)",https://github.com/Mal303/Interactive-Coffee-Bean-Origin-Map/blob/a1577e64b4a2a0a5a6fdab415ea8fb7ae0bdb118/homepage_css/Data/CoffeeDataRaw/Coffee_Data/psd_coffee.csv,"0711100,""Coffee, Green"",AG,""Algeria"",2008,2012,06,125,""Domestic Consumption"",02,""(1000 60 KG BAGS)"",2070.0000",medium,USDA PSD June 2024 release (file max MY 2024/25); this value last revised 2012-06. Importer consumption in PSD is a balance-sheet residual (imports - exports - stock change): single years can swing with stocks.
consumption_usda,Algeria,2009/10,2080,1000 60kg bags,USDA FAS PSD (official bulk CSV via GitHub mirror),"USDA PSD psd_coffee.csv, Coffee Green, June 2024 release (mirror: Mal303/Interactive-Coffee-Bean-Origin-Map)",https://github.com/Mal303/Interactive-Coffee-Bean-Origin-Map/blob/a1577e64b4a2a0a5a6fdab415ea8fb7ae0bdb118/homepage_css/Data/CoffeeDataRaw/Coffee_Data/psd_coffee.csv,"0711100,""Coffee, Green"",AG,""Algeria"",2009,2012,06,125,""Domestic Consumption"",02,""(1000 60 KG BAGS)"",2080.0000",medium,USDA PSD June 2024 release (file max MY 2024/25); this value last revised 2012-06. Importer consumption in PSD is a balance-sheet residual (imports - exports - stock change): single years can swing with stocks.
consumption_usda,Algeria,2010/11,1815,1000 60kg bags,USDA FAS PSD (official bulk CSV via GitHub mirror),"USDA PSD psd_coffee.csv, Coffee Green, June 2024 release (mirror: Mal303/Interactive-Coffee-Bean-Origin-Map)",https://github.com/Mal303/Interactive-Coffee-Bean-Origin-Map/blob/a1577e64b4a2a0a5a6fdab415ea8fb7ae0bdb118/homepage_css/Data/CoffeeDataRaw/Coffee_Data/psd_coffee.csv,"0711100,""Coffee, Green"",AG,""Algeria"",2010,2012,12,125,""Domestic Consumption"",02,""(1000 60 KG BAGS)"",1815.0000",medium,USDA PSD June 2024 release (file max MY 2024/25); this value last revised 2012-12. Importer consumption in PSD is a balance-sheet residual (imports - exports - stock change): single years can swing with stocks.
consumption_usda,Algeria,2011/12,2270,1000 60kg bags,USDA FAS PSD (official bulk CSV via GitHub mirror),"USDA PSD psd_coffee.csv, Coffee Green, June 2024 release (mirror: Mal303/Interactive-Coffee-Bean-Origin-Map)",https://github.com/Mal303/Interactive-Coffee-Bean-Origin-Map/blob/a1577e64b4a2a0a5a6fdab415ea8fb7ae0bdb118/homepage_css/Data/CoffeeDataRaw/Coffee_Data/psd_coffee.csv,"0711100,""Coffee, Green"",AG,""Algeria"",2011,2015,06,125,""Domestic Consumption"",02,""(1000 60 KG BAGS)"",2270.0000",medium,USDA PSD June 2024 release (file max MY 2024/25); this value last revised 2015-06. Importer consumption in PSD is a balance-sheet residual (imports - exports - stock change): single years can swing with stocks.
