dataset,entity,period,value,unit,source_org,source_title,source_url,quote,confidence,notes
consumption_abic,Brazil,2025,21.41,million 60kg bags,ABIC,"Consumo total de café no Brasil cai 2,31% e soma 21,4 milhões de sacas em 2025, aponta ABIC (SAFRAS & Mercado)",https://safras.com.br/consumo-total-de-cafe-no-brasil-cai-231-e-soma-214-milhoes-de-sacas-em-2025-aponta-abic/,the figure represents 21.41 million bags of 60 kg consumed by Brazilians in the past year ... a 2.31% decline compared to the previous cycle,high,ABIC Indicadores da Industria 2025 released 29 Jan 2026 (PDF abic.com.br/wp-content/uploads/2026/01/2026.02.Indicadores-da-Industria-2025_-Site.pdf). Period Nov-2024 to Oct-2025 per Agencia Brasil. Quote = WebSearch summary of page text.
consumption_abic_yoy_pct,Brazil,2025,-2.31,%,ABIC,"Preços altos derrubam consumo de café no Brasil em 2025 (Agência Brasil, Jan 2026)",https://agenciabrasil.ebc.com.br/economia/noticia/2026-01/precos-altos-derrubam-consumo-de-cafe-no-brasil-em-2025,"coffee consumption fell 2.31% between November 2024 and October 2025 compared to the same period previously, dropping from 21.9 million 60kg sacks in 2024 to 21.4 million",high,Confirms ABIC period = Nov-Oct for 2025 figure. Quote = WebSearch summary.
retail_price_abic,"Brazil (Southeast, R&G avg)",2025-12,59.96,BRL/kg,ABIC,"Consumo total de café no Brasil cai 2,31% e soma 21,4 milhões de sacas em 2025, aponta ABIC (SAFRAS & Mercado)",https://safras.com.br/consumo-total-de-cafe-no-brasil-cai-231-e-soma-214-milhoes-de-sacas-em-2025-aponta-abic/,"roasted and ground coffee prices rising 5.8% on average in retail during 2025, ending the year at R$ 59.96 per kilogram",high,"End-2025 average R&G retail price in the SOUTHEAST (ABIC PDF text captured by workstreams F/G: 'No Sudeste, o valor médio do café torrado e moído subiu 5,8% em 2025, fechando o ano em R$ 59,96'). Peak R$70.52 in Jul-2025. Quote = WebSearch summary."
retail_price_abic_yoy_pct,"Brazil (Southeast, R&G avg)",2025,5.8,%,ABIC,"Preços altos derrubam consumo de café no Brasil em 2025 (Agência Brasil, Jan 2026)",https://agenciabrasil.ebc.com.br/economia/noticia/2026-01/precos-altos-derrubam-consumo-de-cafe-no-brasil-em-2025,Consumer prices increased by 5.8% as a result of volatility in previous years,medium,Point-to-point end-2024 to end-2025 (Southeast) per ABIC PDF; not an annual average and not comparable with IPCA. Quote = WebSearch summary.
retail_price_abic_5yr_pct,Brazil,2021-2025,116,%,ABIC,"Preços altos derrubam consumo de café no Brasil em 2025 (Agência Brasil, Jan 2026)",https://agenciabrasil.ebc.com.br/economia/noticia/2026-01/precos-altos-derrubam-consumo-de-cafe-no-brasil-em-2025,"in the last five years, the raw material increased 201% for the conilon species and 212% for arabica, while retail prices increased 116%",medium,Partial pass-through: green coffee +201% (conilon) / +212% (arabica) vs retail +116% over 5 years. Quote = WebSearch summary.
green_cost_abic_5yr_pct,Brazil (conilon),2021-2025,201,%,ABIC,"Preços altos derrubam consumo de café no Brasil em 2025 (Agência Brasil, Jan 2026)",https://agenciabrasil.ebc.com.br/economia/noticia/2026-01/precos-altos-derrubam-consumo-de-cafe-no-brasil-em-2025,"in the last five years, the raw material increased 201% for the conilon species and 212% for arabica",medium,Quote = WebSearch summary.
green_cost_abic_5yr_pct,Brazil (arabica),2021-2025,212,%,ABIC,"Preços altos derrubam consumo de café no Brasil em 2025 (Agência Brasil, Jan 2026)",https://agenciabrasil.ebc.com.br/economia/noticia/2026-01/precos-altos-derrubam-consumo-de-cafe-no-brasil-em-2025,"in the last five years, the raw material increased 201% for the conilon species and 212% for arabica",medium,Quote = WebSearch summary.
industry_revenue_abic,Brazil,2025,46.24,BRL billion,ABIC,"Preços altos derrubam consumo de café no Brasil em 2025 (Agência Brasil, Jan 2026)",https://agenciabrasil.ebc.com.br/economia/noticia/2026-01/precos-altos-derrubam-consumo-de-cafe-no-brasil-em-2025,"industry revenue grew 25.6% in 2025, totaling R$ 46.24 billion",medium,Revenue +25.6% y/y despite volume -2.31%. Quote = WebSearch summary.
consumption_share_of_crop_abic,Brazil,2025,37.9,%,ABIC,"Consumo total de café no Brasil cai 2,31% e soma 21,4 milhões de sacas em 2025, aponta ABIC (SAFRAS & Mercado)",https://safras.com.br/consumo-total-de-cafe-no-brasil-cai-231-e-soma-214-milhoes-de-sacas-em-2025-aponta-abic/,"The consumed volume corresponded to 37.9% of Brazil's 2025 harvest, estimated at 56.54 million bags—lower than the 40.4% recorded in 2024 and 39.4% in 2023",medium,Crop = Conab 56.54 mn bags. Quote = WebSearch summary.
consumption_share_of_crop_abic,Brazil,2024,40.4,%,ABIC,"Consumo doméstico de café cresceu 1,1% em 2024 - ABIC (SAFRAS & Mercado)",https://safras.com.br/consumo-domestico-de-cafe-cresceu-11-em-2024-abic/,"Este volume representa 40,4% da safra de 2024, que foi de 54,21 milhões de sacas, segundo a Conab",medium,Quote = WebSearch summary.
consumption_share_of_crop_abic,Brazil,2023,39.4,%,ABIC,"Consumo total de café no Brasil cai 2,31% e soma 21,4 milhões de sacas em 2025, aponta ABIC (SAFRAS & Mercado)",https://safras.com.br/consumo-total-de-cafe-no-brasil-cai-231-e-soma-214-milhoes-de-sacas-em-2025-aponta-abic/,lower than the 40.4% recorded in 2024 and 39.4% in 2023,medium,Quote = WebSearch summary.
consumption_abic,Brazil,2024,21.916,million 60kg bags,ABIC,"ABIC: Em 2024, o consumo de café no Brasil aumentou 1,11%, totalizando 21,916 milhões de sacas (StoneX)","https://www.stonex.com/pt-br/insights/abic-em-2024,-o-consumo-de-cafe-no-brasil-aumentou-1,11pct,-totalizando-21,916-milhoes-de-sacas-1556454/","Em 2024, o consumo de café no Brasil registrou um aumento de 1,11%, com 21,916 milhões de sacas consumidas",high,"Period Nov-2023 to Oct-2024 (ABIC Indicadores 2024, released 6 Feb 2025: estatisticas.abic.com.br/estatisticas/indicadores-da-industria/indicadores-da-industria-de-cafe-2024/). Quote = WebSearch summary."
consumption_abic_yoy_pct,Brazil,2024,1.11,%,ABIC,"Consumo do café teve aumento de 1,11% em 2024 (SuperVarejo)",https://www.supervarejo.com.br/economia/consumo-do-cafe-teve-aumento-de-111-em-2024,"O consumo da bebida no Brasil entre novembro de 2023 e outubro de 2024 registrou um aumento de 1,11% em relação ao período anterior",high,"ABIC associated firms +1.77%, non-associated -0.66%. Quote = WebSearch summary."
consumption_abic,Brazil,2005,15.53,million 60kg bags,ABIC,"Consumo interno de café chega a 16,33 milhões de sacas (Agrolink)",https://www.agrolink.com.br/noticias/consumo-interno-de-cafe-chega-a-16-33-milhoes-de-sacas_50932.html,"between November 2005 and October 2006, Brazil consumed 16.33 million bags ... 5.10% increase compared to November 2004 to October 2005, when consumption was 15.53 million bags",medium,ABIC period Nov-2004 to Oct-2005. Quote = WebSearch summary.
consumption_abic,Brazil,2006,16.33,million 60kg bags,ABIC,"Consumo interno de café chega a 16,33 milhões de sacas (Agrolink)",https://www.agrolink.com.br/noticias/consumo-interno-de-cafe-chega-a-16-33-milhoes-de-sacas_50932.html,"between November 2005 and October 2006, Brazil consumed 16.33 million bags of coffee, representing a 5.10% increase",medium,ABIC period Nov-2005 to Oct-2006. Quote = WebSearch summary.
consumption_abic_yoy_pct,Brazil,2006,5.10,%,ABIC,"Consumo interno de café chega a 16,33 milhões de sacas (Agrolink)",https://www.agrolink.com.br/noticias/consumo-interno-de-cafe-chega-a-16-33-milhoes-de-sacas_50932.html,"Brazil consumed 16.33 million bags of coffee, representing a 5.10% increase compared to November 2004 to October 2005",medium,Quote = WebSearch summary.
consumption_abic,Brazil,2007,17.1,million 60kg bags,ABIC,Consumo de café supera 17 milhões de sacas em 2007 (Agrolink),https://www.agrolink.com.br/noticias/consumo-de-cafe-supera-17-milhoes-de-sacas-em-2007_62199.html,"in the period from November 2006 to October 2007, domestic consumption reached 17.1 million bags (60kg each), representing a 4.74% increase",medium,ABIC period Nov-2006 to Oct-2007; = 50.8% of 2007 crop (33.7 mn bags); 2003 level 13.7 mn bags. Quote = WebSearch summary.
consumption_abic_yoy_pct,Brazil,2007,4.74,%,ABIC,Consumo de café supera 17 milhões de sacas em 2007 (Agrolink),https://www.agrolink.com.br/noticias/consumo-de-cafe-supera-17-milhoes-de-sacas-em-2007_62199.html,"domestic consumption reached 17.1 million bags (60kg each), representing a 4.74% increase compared to the previous period",medium,Quote = WebSearch summary.
consumption_abic,Brazil,2003,13.7,million 60kg bags,ABIC,Consumo de café supera 17 milhões de sacas em 2007 (Agrolink),https://www.agrolink.com.br/noticias/consumo-de-cafe-supera-17-milhoes-de-sacas-em-2007_62199.html,"Since 2003, the market had evolved 24.2%, going from 13.7 million bags to the current 17.1 million bags",medium,Context point pre-2005. Quote = WebSearch summary.
consumption_share_of_crop_abic,Brazil,2007,50.8,%,ABIC,Consumo de café supera 17 milhões de sacas em 2007 (Agrolink),https://www.agrolink.com.br/noticias/consumo-de-cafe-supera-17-milhoes-de-sacas-em-2007_62199.html,"represented 50.8% of the 2007 harvest, which was 33.7 million bags",medium,Quote = WebSearch summary.
consumption_abic,Brazil,2008,17.66,million 60kg bags,ABIC,"Contra crise, indústria de café encolhe (Agrolink) / ABIC data",https://www.agrolink.com.br/noticias/contra-crise--industria-de-cafe-encolhe_86565.html,"In the 2008 base year (from November 2007 to October 2008), ABIC recorded coffee consumption of approximately 17.66 million bags, representing an increase of 3.2%",medium,Published Mar 2009. Exact source page among results not pinned by summary (agrolink cluster). Quote = WebSearch summary.
consumption_abic_yoy_pct,Brazil,2008,3.2,%,ABIC,"Contra crise, indústria de café encolhe (Agrolink) / ABIC data",https://www.agrolink.com.br/noticias/contra-crise--industria-de-cafe-encolhe_86565.html,"approximately 17.66 million bags, representing an increase of 3.2% compared to the previous period",medium,Quote = WebSearch summary.
consumption_abic,Brazil,2009,18.39,million 60kg bags,ABIC,Consumo interno de café cresce em 2009 (Agrolink),https://www.agrolink.com.br/noticias/consumo-interno-de-cafe-cresce-em-2009_90021.html,Brazil consumed 18.39 million bags of industrialized coffee in 2009,medium,Nov-2008 to Oct-2009. Summary gave growth as 4.5% but 18.39/17.66 = +4.1%; growth % not recorded. Quote = WebSearch summary.
consumption_abic,Brazil,2010,19.13,million 60kg bags,ABIC,Brasileiros nunca consumiram tanto café como em 2010 (Agrolink),https://www.agrolink.com.br/noticias/brasileiros-nunca-consumiram-tanto-cafe-como-em-2010_127528.html,"between November 2009 and October 2010, consumption was recorded at 19.13 million bags",medium,Quote = WebSearch summary.
per_capita_kg,Brazil (roasted),2010,4.81,kg roasted coffee/person/yr,ABIC,Brasileiros nunca consumiram tanto café como em 2010 (Agrolink),https://www.agrolink.com.br/noticias/brasileiros-nunca-consumiram-tanto-cafe-como-em-2010_127528.html,"The per capita consumption of roasted coffee in Brazil reached a historic mark in 2010, with 4.81 kg per person, which surpassed the 4.72 kg recorded in 1965",medium,Quote = WebSearch summary.
per_capita_kg,Brazil (roasted),2009,4.65,kg roasted coffee/person/yr,ABIC,ABIC via Agrolink (2010 consumption story),https://www.agrolink.com.br/noticias/brasileiros-nunca-consumiram-tanto-cafe-como-em-2010_127528.html,"The per capita consumption in 2010 was 3.5% higher than in 2009, when it reached 4.65 kg",low,Summary drew on agrolink cluster; exact page not pinned. Quote = WebSearch summary.
consumption_abic,Brazil,2011,19.72,million 60kg bags,ABIC,"Consumo de café no Brasil chega a 19,72 mi de sacas em 2011 (Agrolink)",https://www.agrolink.com.br/noticias/consumo-de-cafe-no-brasil-chega-a-19-72-mi-de-sacas-em-2011_143222.html,"Between November 2010 and October 2011, Brazil consumed 19.72 million bags of coffee, representing a 3.11% increase compared to the previous period which had been 19.13 million bags",medium,Quote = WebSearch summary.
consumption_abic_yoy_pct,Brazil,2011,3.11,%,ABIC,"Consumo de café no Brasil chega a 19,72 mi de sacas em 2011 (Agrolink)",https://www.agrolink.com.br/noticias/consumo-de-cafe-no-brasil-chega-a-19-72-mi-de-sacas-em-2011_143222.html,"19.72 million bags of coffee, representing a 3.11% increase",medium,Quote = WebSearch summary.
per_capita_kg,Brazil (green),2011,6.10,kg green coffee/person/yr,ABIC,"Consumo de café no Brasil chega a 19,72 mi de sacas em 2011 (Agrolink)",https://www.agrolink.com.br/noticias/consumo-de-cafe-no-brasil-chega-a-19-72-mi-de-sacas-em-2011_143222.html,"in 2011 the per capita consumption was 6.10 kg of raw coffee beans or 4.88 kg of roasted coffee, equivalent to almost 82 liters",medium,Quote = WebSearch summary.
per_capita_kg,Brazil (roasted),2011,4.88,kg roasted coffee/person/yr,ABIC,"Consumo de café no Brasil chega a 19,72 mi de sacas em 2011 (Agrolink)",https://www.agrolink.com.br/noticias/consumo-de-cafe-no-brasil-chega-a-19-72-mi-de-sacas-em-2011_143222.html,in 2011 the per capita consumption was 6.10 kg of raw coffee beans or 4.88 kg of roasted coffee,medium,Quote = WebSearch summary.
consumption_abic,Brazil,2012,20.33,million 60kg bags,ABIC,"Consumo de café no Brasil crescerá até 3% em 2013, prevê Abic (Agrolink/Exame)",https://www.agrolink.com.br/noticias/consumo-de-cafe-no-brasil-crescera-ate-3--em-2013--preve-abic_165266.html,"In the period between November 2011 and October 2012, ABIC recorded coffee consumption of 20.33 million bags, a 3% increase",medium,Quote = WebSearch summary.
per_capita_kg,Brazil (green),2012,6.23,kg green coffee/person/yr,ABIC,"Consumo de café no Brasil crescerá até 3% em 2013, prevê Abic (Agrolink/Exame)",https://www.agrolink.com.br/noticias/consumo-de-cafe-no-brasil-crescera-ate-3--em-2013--preve-abic_165266.html,"per capita coffee consumption was 6.23 kilos of green coffee beans, or 4.98 kilos of roasted coffee, equivalent to nearly 83 liters",medium,Nov-2011 to Oct-2012. Quote = WebSearch summary.
per_capita_kg,Brazil (roasted),2012,4.98,kg roasted coffee/person/yr,ABIC,"Consumo de café no Brasil crescerá até 3% em 2013, prevê Abic (Agrolink/Exame)",https://www.agrolink.com.br/noticias/consumo-de-cafe-no-brasil-crescera-ate-3--em-2013--preve-abic_165266.html,"per capita coffee consumption was 6.23 kilos of green coffee beans, or 4.98 kilos of roasted coffee",medium,Quote = WebSearch summary.
consumption_abic,Brazil,2013,20.08,million 60kg bags,ABIC,"Consumo de café no Brasil cai pela 1a vez em 10 anos, diz Abic (Agrolink)",https://www.agrolink.com.br/noticias/consumo-de-cafe-no-brasil-cai-pela-1a-vez-em-10-anos--diz-abic_191811.html,"The coffee consumption in Brazil declined by 1.23% in 2013, totaling 20.08 million 60-kg bags, compared to 20.33 million bags in 2012",medium,"First decline since 2003; ABIC blamed new ready-to-drink breakfast options (juices, chocolate, soy drinks). Quote = WebSearch summary."
consumption_abic_yoy_pct,Brazil,2013,-1.23,%,ABIC,"Consumo de café no Brasil cai pela 1a vez em 10 anos, diz Abic (Agrolink)",https://www.agrolink.com.br/noticias/consumo-de-cafe-no-brasil-cai-pela-1a-vez-em-10-anos--diz-abic_191811.html,"declined by 1.23% in 2013, totaling 20.08 million 60-kg bags",medium,Quote = WebSearch summary.
per_capita_kg,Brazil (roasted),2013,4.87,kg roasted coffee/person/yr,ABIC,"Consumo de café no Brasil cresce 1,24% em 12 meses, diz Abic (Olhar Direto)",https://www.olhardireto.com.br/agro-e-negocios/noticias/consumo-de-cafe-no-brasil-cresce-1-24-em-12-meses-diz-abic,rising from 4.87 kg/inhabitant/year to 4.89 kg/inhabitant/year of roasted and ground coffee (or from 6.09 kg to 6.12 kg of green coffee in grain),medium,Prior-period value given in 2014 release. Quote = WebSearch summary.
per_capita_kg,Brazil (green),2013,6.09,kg green coffee/person/yr,ABIC,"Consumo de café no Brasil cresce 1,24% em 12 meses, diz Abic (Olhar Direto)",https://www.olhardireto.com.br/agro-e-negocios/noticias/consumo-de-cafe-no-brasil-cresce-1-24-em-12-meses-diz-abic,(or from 6.09 kg to 6.12 kg of green coffee in grain),medium,Quote = WebSearch summary.
consumption_abic,Brazil,2014,20.333,million 60kg bags,ABIC,"Consumo de café no Brasil cresce 1,24% em 12 meses, diz Abic (Olhar Direto)",https://www.olhardireto.com.br/agro-e-negocios/noticias/consumo-de-cafe-no-brasil-cresce-1-24-em-12-meses-diz-abic,"showed a recovery of 1.24%, reaching 20.333 million bags of 60 kg in the 12-month period between November 2013 and October 2014",medium,Released 24 Feb 2015. Quote = WebSearch summary.
consumption_abic_yoy_pct,Brazil,2014,1.24,%,ABIC,"Consumo de café no Brasil cresce 1,24% em 12 meses, diz Abic (Olhar Direto)",https://www.olhardireto.com.br/agro-e-negocios/noticias/consumo-de-cafe-no-brasil-cresce-1-24-em-12-meses-diz-abic,"recovery of 1.24%, reaching 20.333 million bags",medium,Quote = WebSearch summary.
per_capita_kg,Brazil (roasted),2014,4.89,kg roasted coffee/person/yr,ABIC,"Consumo de café no Brasil cresce 1,24% em 12 meses, diz Abic (Olhar Direto)",https://www.olhardireto.com.br/agro-e-negocios/noticias/consumo-de-cafe-no-brasil-cresce-1-24-em-12-meses-diz-abic,rising from 4.87 kg/inhabitant/year to 4.89 kg/inhabitant/year of roasted and ground coffee,medium,Quote = WebSearch summary.
per_capita_kg,Brazil (green),2014,6.12,kg green coffee/person/yr,ABIC,"Consumo de café no Brasil cresce 1,24% em 12 meses, diz Abic (Olhar Direto)",https://www.olhardireto.com.br/agro-e-negocios/noticias/consumo-de-cafe-no-brasil-cresce-1-24-em-12-meses-diz-abic,"(or from 6.09 kg to 6.12 kg of green coffee in grain), equivalent to 81 liters/inhabitant/year",medium,Quote = WebSearch summary.
consumption_abic,Brazil,2015,20.508,million 60kg bags,ABIC,"Apesar da crise, consumo de café no Brasil em 2015 manteve ligeiro crescimento (Agrolink)",https://www.agrolink.com.br/noticias/apesar-da-crise--consumo-de-cafe-no-brasil-em-2015-manteve-ligeiro-crescimento_345917.html,"slight increase of 0.86% during the twelve months between November 2014 and October 2015, reaching 20.508 million bags",medium,Released Jan 2016. Quote = WebSearch summary.
consumption_abic_yoy_pct,Brazil,2015,0.86,%,ABIC,"Apesar da crise, consumo de café no Brasil em 2015 manteve ligeiro crescimento (Agrolink)",https://www.agrolink.com.br/noticias/apesar-da-crise--consumo-de-cafe-no-brasil-em-2015-manteve-ligeiro-crescimento_345917.html,slight increase of 0.86% during the twelve months between November 2014 and October 2015,medium,Quote = WebSearch summary.
