dataset,entity,period,value,unit,source_org,source_title,source_url,quote,confidence,notes
stores_starbucks_total,Starbucks,FY2005,10241,stores,Starbucks (SEC 10-K),"Starbucks Form 10-K fiscal 2005 (year ended Oct 2, 2005)",https://www.sec.gov/Archives/edgar/data/829224/000089102005000350/v13039e10vk.htm,"As of October 2, 2005 ... 6,000 Company-operated retail stores ... 2,435 licensed stores in the United States ... International ... 1,806 licensed retail stores",medium,"Total derived as sum of components reported in 10-K (6,000 + 2,435 + 1,806 = 10,241); search summary, not a single explicit total line. Fiscal year ends Sunday closest to Sep 30."
stores_starbucks_total,Starbucks,FY2006,12440,stores,Starbucks (SEC 10-K),"Starbucks Form 10-K fiscal 2006 (year ended Oct 1, 2006)",https://www.sec.gov/Archives/edgar/data/0000829224/000089102006000406/v24294e10vk.htm,"In 2006, there were 12,440 Starbucks stores worldwide ... opened 2,199 new stores in fiscal 2006",medium,"Search summary attributes 12,440 to FY2006 10-K; 2,199 openings consistent with 10,241 at FY2005 end (10,241+2,199=12,440)."
stores_starbucks_total,Starbucks,FY2007,,stores,Starbucks (SEC 10-K),"Starbucks Form 10-K fiscal 2007 (year ended Sep 30, 2007)",https://www.sec.gov/Archives/edgar/data/0000829224/000095013407024667/v33834e10vk.htm,"opened a total of 2,571 new company-operated and licensed stores during the year ... to end the year with over 15,000 stores",medium,"Exact total not surfaced by search ('over 15,000'); 12,440 + 2,571 net = 15,011 implied but not recorded as value (derived). See later row if found."
stores_starbucks_total,Starbucks,FY2010,16858,stores,Starbucks (SEC 10-K),"Starbucks Form 10-K fiscal 2010 (year ended Oct 3, 2010)",https://www.sec.gov/Archives/edgar/data/0000829224/000119312510266333/d10k.htm,"total number of stores was 16,858, comprised of 11,131 company-operated stores and 5,727 licensed stores",high,
stores_starbucks_total,Starbucks,FY2015,23043,stores,Starbucks,"Starbucks Reports Record Fourth Quarter and Record Fiscal Year 2015 Results (Oct 29, 2015)",https://investor.starbucks.com/news/financial-releases/news-details/2015/Starbucks-Reports-Record-Fourth-Quarter-and-Record-Fiscal-Year-2015-Results/default.aspx,"opened 1,677 net new stores in fiscal 2015, ending the year with 23,043 stores in 68 countries",high,Also on Business Wire 20151029006585.
stores_starbucks_total,Starbucks,FY2016,25085,stores,Starbucks,"Starbucks Reports Record Q4 and Record FY16 Results (Nov 3, 2016)",https://investor.starbucks.com/news/financial-releases/news-details/2016/Starbucks-Reports-Record-Q4-and-Record-FY16-Results/default.aspx,"opened 690 net new stores in the quarter, bringing total stores to 25,085 in 75 countries",high,"FY2016 ended Oct 2, 2016. Also SEC 8-K exhibit 99.1 sbux-1022016xexhibit991.htm"
stores_starbucks_total,Starbucks,FY2017,27339,stores,Starbucks,"Starbucks Reports Q4 and Full Year Fiscal 2017 Results (Business Wire, Nov 2, 2017)",https://www.businesswire.com/news/home/20171102006563/en/Starbucks-Reports-Q4-Full-Year-Fiscal-2017,"opened 603 net new stores globally, bringing the total store count to 27,339 across 75 countries",high,"FY2017 ended Oct 1, 2017."
stores_starbucks_total,Starbucks,FY2018,29324,stores,Starbucks,"Starbucks Reports Q4 and Full Year Fiscal 2018 Results (Nov 1, 2018)",https://investor.starbucks.com/news/financial-releases/news-details/2018/Starbucks-Reports-Q4-and-Full-Year-Fiscal-2018-Results/default.aspx,"opened 604 net new stores in Q4 and now operates 29,324 stores across 78 markets",high,"FY2018 ended Sep 30, 2018."
stores_starbucks_total,Starbucks,FY2019,31256,stores,Starbucks,"Starbucks Reports Q4 and Full Year Fiscal 2019 Results (Oct 30, 2019)",https://s203.q4cdn.com/326826266/files/doc_news/Starbucks-Reports-Q4-and-Full-Year-Fiscal-2019-Results-2019.pdf,"opened 630 net new stores in Q4, yielding 31,256 stores at the end of the quarter, a 7% increase over the prior year",high,"FY2019 ended Sep 29, 2019. Also nasdaq.com press release copy."
stores_starbucks_total,Starbucks,FY2020,32660,stores,Starbucks,"Starbucks Reports Q4 Fiscal 2020 Results (Oct 29, 2020)",https://investor.starbucks.com/news/financial-releases/news-details/2020/Starbucks-Reports-Q4-Fiscal-2020-Results/default.aspx,"ended fiscal 2020 Q4 with 32,660 stores globally, of which 51% and 49% were company-operated and licensed",high,"FY2020 ended Sep 27, 2020. 480 net new stores in Q4."
stores_starbucks_us,Starbucks US,FY2020,15337,stores,Starbucks,"Starbucks Reports Q4 Fiscal 2020 Results (Oct 29, 2020)",https://investor.starbucks.com/news/financial-releases/news-details/2020/Starbucks-Reports-Q4-Fiscal-2020-Results/default.aspx,"Stores in the U.S. and China comprised 61% of the company's global portfolio at the end of Q4, with 15,337 and 4,706 stores, respectively",high,Company-operated + licensed.
stores_starbucks_china,Starbucks China,FY2020,4706,stores,Starbucks,"Starbucks Reports Q4 Fiscal 2020 Results (Oct 29, 2020)",https://investor.starbucks.com/news/financial-releases/news-details/2020/Starbucks-Reports-Q4-Fiscal-2020-Results/default.aspx,"with 15,337 and 4,706 stores, respectively",high,End of Sep 2020 (fiscal Q4).
stores_starbucks_total,Starbucks,FY2021,33833,stores,Starbucks,"Starbucks Reports Record Q4 and Full Year Fiscal 2021 Results (Oct 28, 2021)",https://investor.starbucks.com/news/financial-releases/news-details/2021/Starbucks-Reports-Record-Q4-and-Full-Year-Fiscal-2021-Results/default.aspx,"opened 538 net new stores ... ending the period with a record 33,833 stores globally, of which 51% and 49% were company-operated and licensed",high,"FY2021 ended Oct 3, 2021 (53-week year)."
stores_starbucks_us,Starbucks US,FY2021,15450,stores,Starbucks,"Starbucks Reports Record Q4 and Full Year Fiscal 2021 Results (Oct 28, 2021)",https://investor.starbucks.com/news/financial-releases/news-details/2021/Starbucks-Reports-Record-Q4-and-Full-Year-Fiscal-2021-Results/default.aspx,"Stores in the U.S. and China comprised 62% of the company's global portfolio ... with 15,450 and 5,360 stores, respectively",high,
stores_starbucks_china,Starbucks China,FY2021,5360,stores,Starbucks,"Starbucks Reports Record Q4 and Full Year Fiscal 2021 Results (Oct 28, 2021)",https://investor.starbucks.com/news/financial-releases/news-details/2021/Starbucks-Reports-Record-Q4-and-Full-Year-Fiscal-2021-Results/default.aspx,"with 15,450 and 5,360 stores, respectively",high,
stores_starbucks_total,Starbucks,FY2022,35711,stores,Starbucks,"Starbucks Reports Q4 and Full Year Fiscal 2022 Results (Nov 3, 2022)",https://s203.q4cdn.com/326826266/files/doc_news/Starbucks-Reports-Q4-and-Full-Year-Fiscal-2022-Results-2022.pdf,"opening 763 net new stores ending the period with 35,711 stores globally (51% company-operated and 49% licensed)",high,"FY2022 ended Oct 2, 2022. China surpassed 6,000 stores."
stores_starbucks_us,Starbucks US,FY2022,15878,stores,Starbucks,"Starbucks Reports Q4 and Full Year Fiscal 2022 Results (Nov 3, 2022)",https://s203.q4cdn.com/326826266/files/doc_news/Starbucks-Reports-Q4-and-Full-Year-Fiscal-2022-Results-2022.pdf,"At the end of Q4, the U.S. had 15,878 stores",high,
stores_starbucks_total,Starbucks,FY2023,38038,stores,Starbucks,"Starbucks Reports Q4 and Full Year Fiscal 2023 Results (Nov 2, 2023)",https://s203.q4cdn.com/326826266/files/doc_financials/2023/q4/4Q23-Earnings-Release-Final-11-1-23.pdf,"opened 816 net new stores in Q4, ending the period with 38,038 stores: 52% company-operated and 48% licensed",high,"FY2023 ended Oct 1, 2023."
stores_starbucks_us,Starbucks US,FY2023,16352,stores,Starbucks,"Starbucks Reports Q4 and Full Year Fiscal 2023 Results (Nov 2, 2023)",https://s203.q4cdn.com/326826266/files/doc_financials/2023/q4/4Q23-Earnings-Release-Final-11-1-23.pdf,"with 16,352 and 6,806 stores in the U.S. and China, respectively",high,
stores_starbucks_china,Starbucks China,FY2023,6806,stores,Starbucks,"Starbucks Reports Q4 and Full Year Fiscal 2023 Results (Nov 2, 2023)",https://s203.q4cdn.com/326826266/files/doc_financials/2023/q4/4Q23-Earnings-Release-Final-11-1-23.pdf,"with 16,352 and 6,806 stores in the U.S. and China, respectively",high,
stores_starbucks_total,Starbucks,FY2024,40199,stores,Starbucks,"Starbucks Reports Q4 and Full Fiscal Year 2024 Results (Oct 30, 2024)",https://s203.q4cdn.com/326826266/files/doc_financials/2024/q4/Q4-and-Full-FY24-Earnings-Release-Final-10-30-24.pdf,"Starbucks ended Q4 with 40,199 stores: 52% company-operated and 48% licensed",high,"FY2024 ended Sep 29, 2024. Also SEC 8-K exhibit sbux-9292024xexhibit991.htm"
stores_starbucks_us,Starbucks US,FY2024,16941,stores,Starbucks,"Starbucks Reports Q4 and Full Fiscal Year 2024 Results (Oct 30, 2024)",https://s203.q4cdn.com/326826266/files/doc_financials/2024/q4/Q4-and-Full-FY24-Earnings-Release-Final-10-30-24.pdf,"with 16,941 and 7,596 stores in the U.S. and China, respectively, comprising 61% of the company's global portfolio",high,
