dataset,entity,period,value,unit,source_org,source_title,source_url,quote,confidence,notes
consumption_national,Brazil,2025,21.409,million 60kg bags,ABIC,"Consumo total de café no Brasil cai 2,31% e soma 21,4 milhões de sacas em 2025, aponta ABIC (SAFRAS & Mercado)",https://safras.com.br/consumo-total-de-cafe-no-brasil-cai-231-e-soma-214-milhoes-de-sacas-em-2025-aponta-abic/,"Consumo total de café no Brasil cai 2,31% e soma 21,4 milhões de sacas em 2025; 21.409 million bags consumed in 2025",high,ABIC Indicadores da Industria 2025 (released Feb 2026); ABIC year = Nov 2024-Oct 2025; also ABIC PDF https://www.abic.com.br/wp-content/uploads/2026/01/2026.02.Indicadores-da-Industria-2025_-Site.pdf
consumption_national_change_pct,Brazil,2025,-2.31,%,ABIC,"Consumo total de café no Brasil cai 2,31% e soma 21,4 milhões de sacas em 2025, aponta ABIC",https://safras.com.br/consumo-total-de-cafe-no-brasil-cai-231-e-soma-214-milhoes-de-sacas-em-2025-aponta-abic/,"Consumo total de café no Brasil cai 2,31%",high,Nov 2024-Oct 2025 vs Nov 2023-Oct 2024; ABIC attributes decline largely to higher prices (Agência Brasil headline 'Preços altos derrubam consumo de café no Brasil em 2025')
consumption_per_capita,Brazil,2025,4.82,kg roasted&ground per capita,ABIC,ABIC Indicadores da Indústria de Café 2025,https://www.abic.com.br/wp-content/uploads/2026/01/2026.02.Indicadores-da-Industria-2025_-Site.pdf,"consumo per capita ... 6,02 kg/hab por ano de café cru, e 4,82 kg/hab por ano de café torrado e moído ... decréscimo de -3,88%",high,Nov 2024-Oct 2025; green-equivalent 6.02 kg; per-capita -3.88% y/y
consumption_per_capita_change_pct,Brazil,2025,-3.88,%,ABIC,ABIC Indicadores da Indústria de Café 2025,https://www.abic.com.br/wp-content/uploads/2026/01/2026.02.Indicadores-da-Industria-2025_-Site.pdf,"Houve um decréscimo de -3,88% em relação ao mesmo período do ano anterior",high,per-capita consumption change Nov24-Oct25 vs prior year
industry_revenue,Brazil,2025,46.24,BRL billion,ABIC,"Alta no preço do café em 2025 faz faturamento da indústria crescer 25,6%, aponta Abic (Canal Rural)",https://www.canalrural.com.br/agricultura/cafe/alta-no-preco-do-cafe-em-2025-faz-faturamento-da-industria-crescer-256-aponta-abic/,"R$ 46,24 bilhões ... aumento de 25,6%",medium,"Roaster industry revenue +25.6% y/y while volume -2.31%: value up, volume down"
retail_price_change_pct,"Brazil (Southeast, ABIC retail R&G)",2025,5.8,%,ABIC,ABIC Indicadores da Indústria de Café 2025,https://www.abic.com.br/wp-content/uploads/2026/01/2026.02.Indicadores-da-Industria-2025_-Site.pdf,"No Sudeste, o valor médio do café torrado e moído subiu 5,8% em 2025, fechando o ano em R$ 59,96 por quilo ... julho ... R$ 70,52 por quilo",medium,Point-to-point end-2024 to end-2025 average retail price (ABIC retail survey); peak R$70.52/kg in July 2025. Not comparable with IPCA 12m averages.
consumption_national,Brazil,2024,21.916,million 60kg bags,ABIC,"ABIC: Em 2024, o consumo de café no Brasil aumentou 1,11%, totalizando 21,916 milhões de sacas (StoneX)","https://www.stonex.com/pt-br/insights/abic-em-2024,-o-consumo-de-cafe-no-brasil-aumentou-1,11pct,-totalizando-21,916-milhoes-de-sacas-1556454/","Em 2024, o consumo de café no Brasil aumentou 1,11%, totalizando 21,916 milhões de sacas",high,Nov 2023-Oct 2024; = 40.4% of Conab 2024 crop
consumption_national_change_pct,Brazil,2024,1.11,%,ABIC,"Consumo doméstico de café cresceu 1,1% em 2024 - ABIC (SAFRAS)",https://safras.com.br/consumo-domestico-de-cafe-cresceu-11-em-2024-abic/,"Em 2024, o consumo de café no Brasil registrou um aumento de 1,11%",high,Growth held up in 2024 despite IPCA ground coffee +39.6% in 2024 (lag)
consumption_national,Brazil,2023,21.7,million 60kg bags,ABIC,"Consumo interno dos Cafés do Brasil atinge 21,7 milhões de sacas (Agência Gov)",https://agenciagov.ebc.com.br/noticias/202402/artigo-consumo-interno-dos-cafes-do-brasil-atinge-21-7-milhoes-de-sacas-no-periodo-acumulado-de-doze-meses,"Consumo interno dos Cafés do Brasil atinge 21,7 milhões de sacas no período acumulado de doze meses",high,Nov 2022-Oct 2023; +1.64% y/y
consumption_national_change_pct,Brazil,2023,1.64,%,ABIC,"Consumo do café no Brasil registra um aumento de 1,64% em 2023 (ABRAS clipping)",https://www.abras.com.br/clipping/bebidas/115986/consumo-do-cafe-no-brasil-registra-um-aumento-de-164-em-2023,"Consumo do café no Brasil registra um aumento de 1,64% em 2023",high,Nov 2022-Oct 2023
consumption_national,Brazil,2022,21.33,million 60kg bags,ABIC,Brasileiros diminuíram consumo de café em 1% em 2022 (Mercado&Consumo),https://mercadoeconsumo.com.br/03/03/2023/economia/abic-consumo-brasileiro-de-cafe-cai-1-em-2022-ante-2021/,"21,33 milhões de sacas ... queda de 1,01% ... (21,54 milhões de sacas)",high,Nov 2021-Oct 2022; ABIC blamed accumulated inflation and loss of purchasing power; prior period 21.54m
consumption_national_change_pct,Brazil,2022,-1.01,%,ABIC,Brasileiros diminuíram consumo de café em 1% em 2022 (Mercado&Consumo),https://mercadoeconsumo.com.br/03/03/2023/economia/abic-consumo-brasileiro-de-cafe-cai-1-em-2022-ante-2021/,"queda de 1,01% ... impacto da inflação acumulada e da diminuição do poder de compra",high,Demand-destruction episode after the 2021 frost price spike
consumption_national,Brazil,2021,21.5,million 60kg bags,ABIC,ABIC divulga dados de consumo e perfil da indústria do café no Brasil (Notícias Agrícolas),https://www.noticiasagricolas.com.br/noticias/cafe/282330-abic-divulga-dados-de-consumo-e-perfil-da-industria-do-cafe-no-brasil.html,"Despite elevated prices, consumption reached 21.5 million bags in 2021, registering 1.71% growth",medium,Search summary attribution; Nov 2020-Oct 2021; later revised to 21.54m in the 2022 release
consumption_national_change_pct,Brazil,2021,1.71,%,ABIC,ABIC divulga dados de consumo e perfil da indústria do café no Brasil,https://www.noticiasagricolas.com.br/noticias/cafe/282330-abic-divulga-dados-de-consumo-e-perfil-da-industria-do-cafe-no-brasil.html,"consumption reached 21.5 million bags in 2021, registering 1.71% growth",medium,search-summary attribution
consumption_national,Brazil,2020,21.2,million 60kg bags,ABIC,Consumo de café volta a crescer no Brasil durante a pandemia (Conexão Safra),https://conexaosafra.com/cafeicultura/consumo-cafe-volta-crescer-no-brasil-durante-pandemia/,"In 2020, coffee consumption in Brazil was 21.2 million bags (Nov 2019-Oct 2020), a 1.34% increase",medium,search-summary attribution; per capita 5.99 kg green / 4.79 kg roasted
consumption_national_ytd,Brazil,2026-01/2026-04,4.9,million 60kg bags,ABIC,"Consumo de Café no Brasil Sobe 2,44% no 1º Quadrimestre, Indica Abic (Forbes Brasil/Reuters)",https://forbes.com.br/forbes-agro/2026/05/consumo-de-cafe-no-brasil-sobe-244-no-1o-quadrimestre-indica-abic/,"consumo de café no Brasil subiu 2,44% no primeiro quadrimestre ... 4,9 milhões de sacas",medium,ABIC retail panel Jan-Apr 2026 vs Jan-Apr 2025: +2.44%
consumption_national_change_pct,Brazil,2026-05/2026-08,4.65,%,ABIC,"Consumo de café no Brasil cresce 4,65% no 2º quadrimestre impulsionado por queda nos preços ao consumidor (Times Brasil/CNBC)",https://timesbrasil.com.br/brasil/consumo-de-cafe-no-brasil-cresce-465-no-segundo-quadrimestre-impulsionado-por-queda-nos-precos-ao-consumidor/,"Consumo de café no Brasil cresce 4,65% no 2º quadrimestre impulsionado por queda nos preços ao consumidor",medium,May-Aug 2026 vs May-Aug 2025; recovery as retail prices fall
consumption_national_ytd,Brazil,2026-01/2026-08,13.689,million 60kg bags,ABIC,"Consumo de café sobe 2,29% no Brasil e chega a 13,69 milhões de sacas (Portal IN) / Forbes Brasil Sep 2026",https://forbes.com.br/forbes-agro/2026/09/consumo-de-cafe-no-brasil-avanca-229-no-ano-ate-agosto-diz-abic/,"Consumo de Café no Brasil Avança 2,29% no Ano até Agosto ... 13,689 milhões de sacas",medium,"Jan-Aug 2026, +2.29% y/y; ABIC 2026 full-year forecast +2.5% (AF News)"
consumption_forecast_change_pct,Brazil,2026,2.5,%,ABIC,"Consumo de café deve crescer 2,5% em 2026, prevê Abic (AF News)",https://afnews.com.br/consumo-de-cafe-deve-crescer-25-em-2026-preve-abic/,"Consumo de café deve crescer 2,5% em 2026, prevê Abic",medium,ABIC forecast
retail_price_change_pct,Brazil IPCA café moído,2024,39.60,% (Dec/Dec),IBGE,Café e picanha: quanto os alimentos ficaram mais caros em 2024 (Gazeta do Povo) / InfoMoney,https://www.gazetadopovo.com.br/economia/cafe-picanha-oleo-e-leite-veja-quanto-esses-alimentos-ficaram-mais-caros-em-2024/,"café moído ... alta de 39,60% em 2024",medium,"IPCA subitem café moído, calendar 2024"
retail_price_change_pct,Brazil IPCA café moído,2025-03,77.78,% y/y (12m),IBGE,"Café moído acumula alta de 77,78% em 12 meses, diz IBGE (Terra)","https://www.terra.com.br/economia/cafe-moido-acumula-alta-de-7778-em-12-meses-diz-ibge,21fb4e10e8ff6060109543721a55ac5bzzy3k8xl.html","Café moído acumula alta de 77,78% em 12 meses",medium,IPCA March 2025 (released 11 Apr 2025)
retail_price_change_pct,Brazil IPCA café moído,2025-05,82.24,% y/y (12m),IBGE,"Café moído acumula deflação de 17,2% e alcança marca inédita desde 1994 (Bem Paraná)",https://www.bemparana.com.br/noticias/economia/cafe-moido-acumula-deflacao-de-172-e-alcanca-marca-inedita-desde-1994/,"O café acumulou aumento de 82,24% nos 12 meses encerrados em maio do ano passado",medium,Peak 12m retail coffee inflation in Brazil (May 2025)
retail_price_change_pct,Brazil IPCA café moído,2025,35.65,% (Dec/Dec),IBGE,"IPCA fecha 2025 com alta de 4,26% (Radioagência Nacional / IBGE search set)",https://agenciabrasil.ebc.com.br/radioagencia-nacional/economia/audio/2026-01/ipca-fecha-2025-com-alta-de-426-dentro-da-meta-do-governo,"O café moído foi um dos destaques das maiores altas do ano no IPCA 2025, subindo 35,65%",low,Conflicting: another search summary gave 41.84% for 2025 without clear page attribution; needs check against IBGE SIDRA table 7060
retail_price_change_pct,Brazil IPCA café moído,2026-04,-5.99,% y/y (12m),IBGE,"Café moído afunda 2,30% em abril e acumula queda de 5,99% em 12 meses (O Cafezinho)",https://www.ocafezinho.com/2026/05/29/cafe-moido-afunda-230-em-abril-e-acumula-queda-de-599-em-12-meses,"Café moído afunda 2,30% em abril e acumula queda de 5,99% em 12 meses",medium,IPCA April 2026
retail_price_change_pct,Brazil IPCA café moído,2026-07,-17.2,% y/y (12m),IBGE,"Preço do café acumula a maior queda da era do Plano Real, diz IBGE (O Tempo)",https://www.otempo.com.br/economia/2026/8/11/preco-do-cafe-acumula-a-maior-queda-da-era-do-plano-real-diz-ibge,"Os preços do café moído acumularam queda de 17,2% nos 12 meses até julho",medium,Largest 12m fall since Plano Real (1994); consumption rebounding (+4.65% May-Aug 2026)
consumption_national,Brazil,2018,21.0,million 60kg bags,ABIC,"Consumo de Café no Brasil aumenta 4,80% e chega a 21 milhões de sacas (ABIC Indicadores 2018 PDF)",https://www.abic.com.br/wp-content/uploads/2025/03/Indicadores-da-Industria-2018_-Site.pdf,"Consumo de Café no Brasil aumenta 4,80% e chega a 21 milhões de sacas",high,"Nov 2017-Oct 2018, new ABIC methodology (old method ~23m per agrolink). 2019 value conflicting in my searches (20.9m per workstream D file vs 21.7m in a search summary) - not recorded here"
consumption_national_change_pct,Brazil,2018,4.80,%,ABIC,"Consumo de Café no Brasil aumenta 4,80% e chega a 21 milhões de sacas",https://www.abic.com.br/wp-content/uploads/2025/03/Indicadores-da-Industria-2018_-Site.pdf,"Consumo de Café no Brasil aumenta 4,80%",high,Low-price period (ICO composite ~100-120 c/lb in 2017-2019)
retail_price_change_pct,Brazil IPCA café moído,2025,41.84,% (Dec/Dec),IBGE,"IPCA em dezembro vai a 0,33% e acumula 4,26% em 2025 (IBGE Agência de Notícias) - search-summary figure",https://agenciadenoticias.ibge.gov.br/agencia-noticias/2012-agencia-de-noticias/noticias/45613-ipca-em-dezembro-vai-a-0-33-e-acumula-4-26-em-2025,"O café moído teve uma variação acumulada de 41,84% no ano de 2025",low,"CONFLICT with 35.65% row (other search). Page attribution uncertain (top result = IBGE Dec-2025 IPCA release). Verify in IBGE SIDRA table 7060, subitem 1107018 cafe moido"
retail_price_change_pct,Brazil IPCA café moído,2025-01/2025-03,30.04,% YTD,IBGE,Apresentação IPCA - Março 2025 (IBGE),https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/e01956bba16746d3c383057b2eec4acd.pdf,"Em março de 2025, o café moído tinha acumulado 30,04% de alta no ano",medium,Year-to-date through March 2025; search-summary attribution to IBGE presentation set
retail_price_change_pct,Brazil IPCA café moído,2025-01/2025-05,42.10,% YTD,IBGE,Apresentação - IPCA - Maio 2025 (IBGE),https://agenciadenoticias.ibge.gov.br/media/com_mediaibge/arquivos/07ffc74fac5e3f36f091060bc05aa8af.pdf,"em maio, essa variação acumulada chegou a 42,10% no ano",medium,Year-to-date through May 2025 = near retail peak
retail_price_change_pct,Brazil IPCA café moído,2025-05,4.59,% m/m,IBGE,IBGE aponta desaceleração no preço do café (CNN Brasil),https://www.cnnbrasil.com.br/economia/macroeconomia/ibge-aponta-desaceleracao-no-preco-do-cafe/,"café moído desacelerando para uma alta de 0,56% no mês passado, ante 4,59% em maio",medium,monthly change May 2025
retail_price_change_pct,Brazil IPCA café moído,2025-06,0.56,% m/m,IBGE,IBGE aponta desaceleração no preço do café (CNN Brasil),https://www.cnnbrasil.com.br/economia/macroeconomia/ibge-aponta-desaceleracao-no-preco-do-cafe/,"café moído desacelerando para uma alta de 0,56% no mês passado, ante 4,59% em maio",medium,monthly change June 2025 - start of retail deceleration
retail_price_change_pct,Brazil IPCA-15 café moído,2026-01,-1.22,% m/m,IBGE,"IPCA-15 foi de 0,20% em janeiro (IBGE)",https://agenciadenoticias.ibge.gov.br/agencia-sala-de-imprensa/2013-agencia-de-noticias/releases/45736-ipca-15-foi-de-0-20-em-janeiro,in January 2026 there was a decline in ground coffee prices of -1.22%,medium,IPCA-15 (mid-month preview) January 2026
retail_price_change_pct,Brazil IPCA café moído,2026-04,-2.30,% m/m,IBGE,"Café moído afunda 2,30% em abril e acumula queda de 5,99% em 12 meses (O Cafezinho)",https://www.ocafezinho.com/2026/05/29/cafe-moido-afunda-230-em-abril-e-acumula-queda-de-599-em-12-meses,"Café moído afunda 2,30% em abril",medium,monthly change April 2026
retail_price_change_pct,Brazil IPCA café moído (São Paulo),2026-07,-18.38,% y/y (12m),IBGE,"Café moído acumula deflação de 17,2% e alcança marca inédita desde 1994 (Bem Paraná)",https://www.bemparana.com.br/noticias/economia/cafe-moido-acumula-deflacao-de-172-e-alcanca-marca-inedita-desde-1994/,"Belo Horizonte (-23,51%), Rio de Janeiro (-21,33%), Curitiba (-20,49%) e São Paulo (-18,38%)",medium,"regional 12m to July 2026; BH -23.51, Rio -21.33, Curitiba -20.49; smallest Aracaju -7.48, São Luís -8.13"
exports_world_ico,World (all exporting countries),CY2024/25,138.66,million 60kg bags,ICO,ICO Coffee Market Report - October 2025,https://www.ico.org/documents/cy2025-26/cmr-1025-e.pdf,"0.3% decline in full-year exports to 138.66 million bags, compared with 139.01 million bags in coffee year 2023/24",medium,Search-summary attribution to ICO CMR set (Oct 2025 report most likely). Exports = proxy for import demand; flat volume despite record prices (ICO: high prices drew stocks out)
exports_world_ico,World (all exporting countries),CY2023/24,139.01,million 60kg bags,ICO,ICO Coffee Market Report - October 2025,https://www.ico.org/documents/cy2025-26/cmr-1025-e.pdf,compared with 139.01 million bags in coffee year 2023/24,medium,see CY2024/25 row
exports_world_ico_change_pct,World (all exporting countries),CY2024/25,-0.3,%,ICO,ICO Coffee Market Report - October 2025,https://www.ico.org/documents/cy2025-26/cmr-1025-e.pdf,0.3% decline in full-year exports to 138.66 million bags,medium,Oct 2024-Sep 2025 vs prior coffee year
exports_ico_group,Brazilian Naturals (exports),CY2024/25,39.31,million 60kg bags,ICO,ICO Coffee Market Report - October 2025,https://www.ico.org/documents/cy2025-26/cmr-1025-e.pdf,"exports of the Brazilian Naturals fell to 39.31 million bags in coffee year 2024/25 from 42.5 million bags in coffee year 2023/24, down 7.6%",medium,Supply-side driven; Colombian Milds +11.5% to 13.9m in same year
consumption_world_ico,World,CY2023/24,177.0,million 60kg bags,ICO,"ICO Coffee Report and Outlook, December 2023",https://icocoffee.org/documents/cy2023-24/Coffee_Report_and_Outlook_December_2023_ICO.pdf,"World coffee consumption was expected to grow by 2.2% to 177.0 million bags, with non-producing countries ... expanding by 2.1%",medium,"Forecast made Dec 2023, before the 2024-25 price spike; 2024/25 ICO consumption statement NOT found (search budget exhausted)"
consumption_world_ico_change_pct,World,CY2023/24,2.2,%,ICO,"ICO Coffee Report and Outlook, December 2023",https://icocoffee.org/documents/cy2023-24/Coffee_Report_and_Outlook_December_2023_ICO.pdf,World coffee consumption was expected to grow by 2.2% to 177.0 million bags,medium,non-producing (importing) countries +2.1%
import_price_change_pct,"United States (BLS import price index, coffee)",2023-05,-2.6,% y/y,BLS,Import coffee prices declined 2.6 percent for year ended May 2023 following large increases (BLS TED),https://www.bls.gov/opub/ted/2023/import-coffee-prices-declined-2-6-percent-for-year-ended-may-2023-following-large-increases.htm,Import coffee prices declined 2.6 percent for year ended May 2023 following large increases,high,Number from the BLS page title; context for post-2021/22 spike
tariff_event,United States (tariffs on Brazilian coffee),,,,MarketScreener (news),Global coffee prices plunge after Trump removes tariffs on Brazil,https://www.marketscreener.com/news/global-coffee-prices-plunge-after-trump-removes-tariffs-on-brazil-ce7d5edfdb8ff623,global coffee prices plunge after trump removes tariffs on brazil,low,Title-only evidence that US tariffs on Brazilian coffee were removed; date and tariff rates NOT captured (web-search budget exhausted). Value blank.
