dataset,entity,period,value,unit,source_org,source_title,source_url,quote,confidence,notes
exports_ico_total,World,CY2024/25,138.658,million 60kg bags,ICO (reported by Comunicaffe),"Coffee futures soared in the first session of November, world exports flat in 2024/25 (Comunicaffe, Nov 2025)",https://www.comunicaffe.com/coffee-futures-prices-soared-in-the-first-session-of-november-world-coffee-exports-flat-in-2024-25/,"exports are more or less in line with the previous year at 138.658 million bags, compared to 139.015 million in 2023/24",medium,"All forms, GBE. ICO data released Nov 2025 (CMR Oct 2025). ICO wording: 'decreased by 0.3% to 138.66 million bags as compared to 139.01'. Same totals in F_marginal_buyers.csv (cmr-1025)."
exports_ico_total,World,CY2023/24,139.015,million 60kg bags,ICO (reported by Comunicaffe),"Coffee futures soared in the first session of November, world exports flat in 2024/25 (Comunicaffe, Nov 2025)",https://www.comunicaffe.com/coffee-futures-prices-soared-in-the-first-session-of-november-world-coffee-exports-flat-in-2024-25/,"exports are more or less in line with the previous year at 138.658 million bags, compared to 139.015 million in 2023/24",medium,Revised figure (Nov 2025 vintage). Nov 2024 vintage was 137.273 (separate row).
exports_ico_total,World,CY2023/24,137.273,million 60kg bags,ICO (reported by Comunicaffe),"ICO Report shows biggest annual increase on record in green coffee exports, I-CIP monthly average down 3.2% in October to 250.56c (Comunicaffe, Nov 2024)",https://www.comunicaffe.com/ico-report-shows-biggest-annual-increase-on-record-for-world-coffee-exports/,"world exports of all forms of coffee growing by 11.7%, to 137.273 million bags, from 122.92 million in 2022/23",medium,Nov 2024 vintage (first full-year figure); later revised to 139.015.
exports_ico_total,World,CY2022/23,122.92,million 60kg bags,ICO (reported by Comunicaffe),"ICO Report shows biggest annual increase on record in green coffee exports, I-CIP monthly average down 3.2% in October to 250.56c (Comunicaffe, Nov 2024)",https://www.comunicaffe.com/ico-report-shows-biggest-annual-increase-on-record-for-world-coffee-exports/,"world exports of all forms of coffee growing by 11.7%, to 137.273 million bags, from 122.92 million in 2022/23",medium,Nov 2024 vintage.
exports_ico_total_change_pct,World,CY2023/24,11.7,%,ICO (reported by Comunicaffe),"ICO Report shows biggest annual increase on record in green coffee exports, I-CIP monthly average down 3.2% in October to 250.56c (Comunicaffe, Nov 2024)",https://www.comunicaffe.com/ico-report-shows-biggest-annual-increase-on-record-for-world-coffee-exports/,"world exports of all forms of coffee growing by 11.7%, to 137.273 million bags, from 122.92 million in 2022/23",medium,Nov 2024 vintage; ICO called it the biggest annual increase on record.
exports_ico_total,World,CY2019/20,126.9,million 60kg bags,ICO,"Coffee Market Report - October 2020 (September 2020 coffee exports rise, but 2019/20 shipments fell 4.9%)",https://ico.org/documents/cy2020-21/cmr-1020-e.pdf,Exports in coffee year 2019/20 fell 4.9% to 126.9 million bags,high,All forms (ICO headline). Value of exports -3.6% to USD 17.87 bn.
exports_ico_total_change_pct,World,CY2019/20,-4.9,%,ICO,"Coffee Market Report - October 2020 (September 2020 coffee exports rise, but 2019/20 shipments fell 4.9%)",https://ico.org/documents/cy2020-21/cmr-1020-e.pdf,Exports in coffee year 2019/20 fell 4.9% to 126.9 million bags,high,
exports_ico_group,Arabicas (all arabica groups),CY2024/25,84.137,million 60kg bags,ICO (reported by Comunicaffe),"Coffee futures soared in the first session of November, world exports flat in 2024/25 (Comunicaffe, Nov 2025)",https://www.comunicaffe.com/coffee-futures-prices-soared-in-the-first-session-of-november-world-coffee-exports-flat-in-2024-25/,Arabica exports fell by 1.3% to 84.137 million bags,medium,All forms. Nov 2025 vintage.
exports_ico_group_change_pct,Arabicas (all arabica groups),CY2024/25,-1.3,%,ICO (reported by Comunicaffe),"Coffee futures soared in the first session of November, world exports flat in 2024/25 (Comunicaffe, Nov 2025)",https://www.comunicaffe.com/coffee-futures-prices-soared-in-the-first-session-of-november-world-coffee-exports-flat-in-2024-25/,Arabica exports fell by 1.3% to 84.137 million bags,medium,
exports_ico_group,Arabicas (all arabica groups),CY2023/24,85.28,million 60kg bags,ICO (reported by Comunicaffe),"Coffee futures soared in the first session of November, world exports flat in 2024/25 (Comunicaffe, Nov 2025)",https://www.comunicaffe.com/coffee-futures-prices-soared-in-the-first-session-of-november-world-coffee-exports-flat-in-2024-25/,exports of Arabica totalled 84.14 million bags as compared to 85.28 million bags; whereas Robusta exports amounted to 54.52 million bags as compared to 53.73 million bags,medium,Revised (Nov 2025 vintage). ICO standard trade-statistics wording. Nov 2024 vintage 84.678.
exports_ico_group,Arabicas (all arabica groups),CY2023/24,84.678,million 60kg bags,ICO (reported by Comunicaffe),"ICO Report shows biggest annual increase on record in green coffee exports, I-CIP monthly average down 3.2% in October to 250.56c (Comunicaffe, Nov 2024)",https://www.comunicaffe.com/ico-report-shows-biggest-annual-increase-on-record-for-world-coffee-exports/,"Arabica exports recorded double-digit growth (+15.2%), surging to 84.678 million",medium,Nov 2024 vintage.
exports_ico_group_change_pct,Arabicas (all arabica groups),CY2023/24,15.2,%,ICO (reported by Comunicaffe),"ICO Report shows biggest annual increase on record in green coffee exports, I-CIP monthly average down 3.2% in October to 250.56c (Comunicaffe, Nov 2024)",https://www.comunicaffe.com/ico-report-shows-biggest-annual-increase-on-record-for-world-coffee-exports/,"Arabica exports recorded double-digit growth (+15.2%), surging to 84.678 million",medium,Nov 2024 vintage.
exports_ico_group,Robustas,CY2024/25,54.521,million 60kg bags,ICO (reported by Comunicaffe),"Coffee futures soared in the first session of November, world exports flat in 2024/25 (Comunicaffe, Nov 2025)",https://www.comunicaffe.com/coffee-futures-prices-soared-in-the-first-session-of-november-world-coffee-exports-flat-in-2024-25/,"Global exports of Robusta coffee increased by 1.5% to 54.521 million, compared to 53.735 million in 2023/24",medium,All forms. Nov 2025 vintage.
