dataset,entity,period,value,unit,source_org,source_title,source_url,quote,confidence,notes
production_usda,World,2026/27,189.7,million 60kg bags,USDA FAS,"Coffee: World Markets and Trade, June 2026",https://www.fas.usda.gov/sites/default/files/2026-07/coffee.pdf,"World coffee production for 2026/27 is forecast 10.8 million bags higher than the previous year to a record 189.7 million due to record output in Brazil, Ethiopia, Uganda, and Vietnam",high,June 2026 WM&T (PDF posted 2026-07); USDA official; captured via WebSearch summary of the PDF text; cross-listed at https://apps.fas.usda.gov/psdonline/circulars/coffee.pdf; comunicaffe gives 189.667 million (+6%) - consistent: https://www.comunicaffe.com/usda-world-coffee-production-6-exports-9-and-global-consumption-3-6-set-to-reach-record-levels-in-2026-27
production_usda,World,2025/26,178.8,million 60kg bags,Comunicaffe (quoting USDA FAS),"USDA forecasts world coffee production for 2025/26 at an all-time high of 178.8 million bags (+2%), consumption to reach a record 173.9 million (+1.3%)",https://www.comunicaffe.com/usda-sees-world-coffee-production-for-2025-26-at-an-all-time-high-of-178-8-million-bags-2-consumption-at-a-record-173-9-million-1-3/,USDA forecasts world coffee production for 2025/26 at an all-time high of 178.8 million bags (+2%),medium,Headline; exact USDA vintage (June or Dec 2025) not confirmed. Consistent with June 2026 WM&T: 189.667 - 10.8 = 178.87
production_arabica_usda,World,2026/27,105.867,million 60kg bags,Comunicaffe (quoting USDA FAS),"USDA: World coffee production (+6%), exports (+9%) and global consumption (+3.6%) set to reach all-time highs during CY 2026/27",https://www.comunicaffe.com/usda-world-coffee-production-6-exports-9-and-global-consumption-3-6-set-to-reach-record-levels-in-2026-27,Arabica world production is set to reach an all-time high of 105.867 million (+12.1%),medium,Based on June 2026 WM&T
production_robusta_usda,World,2026/27,83.8,million 60kg bags,Comunicaffe (quoting USDA FAS),"USDA: World coffee production (+6%), exports (+9%) and global consumption (+3.6%) set to reach all-time highs during CY 2026/27",https://www.comunicaffe.com/usda-world-coffee-production-6-exports-9-and-global-consumption-3-6-set-to-reach-record-levels-in-2026-27,"Robusta output will fall slightly (-0.7%) compared with last year's all-time high, dropping to 83.8 million",medium,Based on June 2026 WM&T; implies 2025/26 world robusta was a record (~84.4 million; not recorded - derived)
production_usda,Brazil,2026/27,71.9,million 60kg bags,USDA FAS,"Coffee: World Markets and Trade, June 2026",https://www.fas.usda.gov/sites/default/files/2026-07/coffee.pdf,Brazil's combined Arabica and Robusta harvest is forecast to rise 8.9 million bags (60 kilograms) to a record 71.9 million in 2026/27 (July 2026 - June 2027),high,"June 2026 WM&T (PDF posted 2026-07); USDA official; captured via WebSearch summary of the PDF text; cross-listed at https://apps.fas.usda.gov/psdonline/circulars/coffee.pdf; cross-check: comunicaffe headline 'USDA pegs Brazil's coffee crop at a record 71.9 million bags (+14%), Arabica at 47.5 million (+25%)'"
production_usda,Brazil,2025/26,63.0,million 60kg bags,USDA FAS,"Coffee: World Markets and Trade, June 2026",https://www.fas.usda.gov/sites/default/files/2026-07/coffee.pdf,Brazil's combined Arabica and Robusta harvest is forecast to rise 8.9 million bags (60 kilograms) to a record 71.9 million in 2026/27,medium,IMPLIED = 71.9 - 8.9 (not stated directly); consistent with comunicaffe '+14%'. Brazil MY = Jul-Jun
production_arabica_usda,Brazil,2026/27,47.5,million 60kg bags,USDA FAS,"Coffee: World Markets and Trade, June 2026",https://www.fas.usda.gov/sites/default/files/2026-07/coffee.pdf,"Arabica output is expected to rebound 9.5 million bags to 47.5 million, ending a 5-year period of underperformance due to adverse weather conditions",high,June 2026 WM&T (PDF posted 2026-07); USDA official; captured via WebSearch summary of the PDF text; cross-listed at https://apps.fas.usda.gov/psdonline/circulars/coffee.pdf
production_arabica_usda,Brazil,2025/26,38.0,million 60kg bags,USDA FAS,"Coffee: World Markets and Trade, June 2026",https://www.fas.usda.gov/sites/default/files/2026-07/coffee.pdf,Arabica output is expected to rebound 9.5 million bags to 47.5 million,medium,IMPLIED = 47.5 - 9.5; consistent with comunicaffe 'Arabica at 47.5 million (+25%)'
production_robusta_usda,Brazil,2026/27,24.4,million 60kg bags,USDA FAS,"Coffee: World Markets and Trade, June 2026",https://www.fas.usda.gov/sites/default/files/2026-07/coffee.pdf,"Robusta production is forecast to retreat 600,000 bags to 24.4 million following last year's record harvest",high,June 2026 WM&T (PDF posted 2026-07); USDA official; captured via WebSearch summary of the PDF text; cross-listed at https://apps.fas.usda.gov/psdonline/circulars/coffee.pdf; robusta = conilon
production_robusta_usda,Brazil,2025/26,25.0,million 60kg bags,USDA FAS,"Coffee: World Markets and Trade, June 2026",https://www.fas.usda.gov/sites/default/files/2026-07/coffee.pdf,"Robusta production is forecast to retreat 600,000 bags to 24.4 million following last year's record harvest",medium,IMPLIED = 24.4 + 0.6; described by USDA as a record robusta (conilon) harvest
