report_period,stock_month,new_york_bags_millions,london_bags_millions
2015-10,2014-10,2.67,2.02
2015-11,2014-11,2.63,2.08
2015-12,2014-12,2.6,2.12
2016-01,2015-01,2.55,2.35
2016-02,2015-02,2.56,2.55
2016-03,2015-03,2.6,2.84
2016-04,2015-04,2.56,2.93
2016-05,2015-05,2.41,3.02
2016-06,2015-06,2.43,3.12
2016-07,2015-07,2.38,3.35
2016-08,2015-08,2.36,3.43
2016-08,2015-09,2.28,3.43
2016-10,2015-10,2.15,3.37
2016-10,2015-11,2.08,3.35
2016-10,2015-12,1.95,3.31
2017-01,2016-01,1.82,3.23
2017-02,2016-02,1.76,3.04
2017-03,2016-03,1.62,2.92
2017-04,2016-04,1.58,2.78
2017-05,2016-05,1.53,2.64
2017-06,2016-06,1.48,2.53
2017-07,2016-07,1.45,2.45
2017-08,2016-08,1.45,2.37
2017-09,2016-09,1.42,2.32
2017-10,2016-10,1.44,2.28
2017-11,2016-11,1.42,2.38
2017-11,2016-12,1.4,2.39
2018-01,2017-01,1.45,2.73
2018-02,2017-02,1.49,2.8
2018-02,2017-03,1.53,2.85
2018-04,2017-04,1.58,2.87
2018-05,2017-05,1.65,2.87
2018-06,2017-06,1.7,2.81
2018-08,2017-07,1.73,2.63
2018-08,2017-08,1.86,2.52
2018-09,2017-09,2.03,2.52
2018-10,2017-10,2.15,2.19
2018-11,2017-11,2.17,2.2
2018-12,2017-12,2.23,2.09
2019-01,2018-01,2.24,1.79
2019-02,2018-02,2.14,1.52
2019-03,2018-03,2.21,1.37
2019-04,2018-04,2.26,1.32
2019-05,2018-05,2.28,1.34
2019-06,2018-06,2.33,1.14
2019-07,2018-07,2.33,1.28
2019-08,2018-08,2.51,1.26
2019-09,2018-09,2.7,1.51
2019-10,2018-10,2.78,1.58
2019-11,2018-11,2.79,1.77
2019-12,2018-12,2.8,1.88
2019-12,2019-01,2.82,2.08
2020-02,2019-02,2.84,1.97
2020-03,2019-03,2.81,1.98
2020-03,2019-04,2.73,2.11
2020-04,2019-05,2.73,2.11
2020-05,2019-06,2.7,2.18
2020-06,2019-07,2.7,2.47
2020-07,2019-08,2.66,2.6
2020-08,2019-09,2.6,2.62
2020-09,2019-10,2.55,2.69
2020-10,2019-11,2.42,2.64
2020-10,2019-12,2.32,2.54
2020-10,2020-01,2.49,2.45
2020-10,2020-02,2.45,2.57
2020-10,2020-03,2.29,2.44
2021-03,2020-04,2.11,2.31
2021-03,2020-05,2.01,2.18
2021-03,2020-06,1.9,1.99
2021-03,2020-07,1.82,1.9
2021-07,2020-08,1.45,1.85
2021-07,2020-09,1.26,1.85
2021-09,2020-10,1.3,2.04
2021-09,2020-11,1.4,2.24
2021-11,2020-12,1.52,2.31
2021-11,2021-01,1.75,2.4
2021-11,2021-02,1.92,2.44
2022-02,2021-03,1.97,2.5
2022-03,2021-04,2.07,2.53
2022-04,2021-05,2.21,2.67
2022-05,2021-06,2.33,2.53
2022-06,2021-07,2.32,2.43
2022-07,2021-08,2.31,2.31
2022-08,2021-09,2.26,2.09
2022-09,2021-10,2.01,1.97
2022-10,2021-11,1.71,1.78
2022-11,2021-12,1.66,1.66
2022-12,2022-01,1.39,1.57
2023-01,2022-02,1.08,1.54
2023-02,2022-03,1.23,1.63
2023-03,2022-04,1.2,1.56
2023-04,2022-05,1.16,1.71
2023-05,2022-06,1.04,1.76
2023-06,2022-07,0.77,1.8
2023-08,2022-08,0.72,1.61
2023-08,2022-09,0.45,1.59
2023-09,2022-10,0.41,1.52
2023-10,2022-11,0.59,1.45
2023-11,2022-12,0.87,1.08
2023-12,2023-01,0.91,1.04
2024-01,2023-02,0.86,1.19
2024-02,2023-03,0.8,1.27
2024-03,2023-04,0.74,1.31
2024-04,2023-05,0.66,1.39
2024-05,2023-06,0.6,1.25
2024-06,2023-07,0.58,0.89
2024-06,2023-08,0.57,0.58
2024-06,2023-09,0.49,0.73
2024-06,2023-10,0.44,0.67
2024-06,2023-11,0.32,0.34
2024-11,2023-12,0.28,0.57
2024-11,2024-01,0.27,0.48
2025-01,2024-02,0.35,0.4
2025-02,2024-03,0.63,0.49
2025-03,2024-04,0.64,0.63
2025-05,2024-05,0.84,0.78
2025-05,2024-06,0.86,0.97
2025-06,2024-07,0.87,0.99
2025-07,2024-08,0.91,1.01
2025-08,2024-09,0.87,0.74
2025-09,2024-10,0.91,0.66
2025-10,2024-11,0.95,0.65
2025-11,2024-12,1.03,0.73
2025-12,2025-01,0.91,0.76
2026-01,2025-02,0.84,0.72
2026-03,2025-03,0.8,0.74
2026-03,2025-04,0.85,0.71
2026-03,2025-05,0.93,0.92
2026-05,2025-06,0.91,0.87
2026-06,2025-07,0.83,1.18
2026-06,2025-08,0.77,1.13
2026-08,2025-09,0.62,1.08
2026-08,2025-10,0.47,1.01
2026-08,2025-11,0.44,0.73
2026-08,2025-12,0.48,0.71
2026-08,2026-01,0.46,0.76
2026-08,2026-02,0.52,0.76
2026-08,2026-03,0.61,0.68
2026-08,2026-04,0.55,0.65
2026-08,2026-05,0.48,0.64
2026-08,2026-06,0.41,0.68
2026-08,2026-07,0.29,0.69
2026-08,2026-08,0.24,0.83
