export_month,total,arabicas,colombian_milds,other_milds,brazilian_naturals,robustas
2015-09,8871.0,5557.0,1147.0,1484.0,2926.0,3314.0
2015-10,8745.0,5547.0,1268.0,1209.0,3070.0,3198.0
2015-11,8506.0,5705.0,1211.0,1322.0,3173.0,2801.0
2015-12,9307.0,5980.0,1303.0,1500.0,3177.0,3327.0
2016-01,8964.0,5603.0,1199.0,1706.0,2699.0,3361.0
2016-02,9211.0,6123.0,1225.0,2114.0,2783.0,3088.0
2016-03,10388.0,6438.0,1208.0,2229.0,3002.0,3949.0
2016-04,9324.0,5879.0,1073.0,2389.0,2416.0,3444.0
2016-05,9316.0,5951.0,1008.0,2377.0,2566.0,3365.0
2016-06,9033.0,5728.0,1034.0,2170.0,2524.0,3305.0
2016-07,7747.0,4783.0,571.0,2102.0,2111.0,2963.0
2016-08,9757,6346,1331,2129,2886,3410
2016-09,8990.0,5467.0,1098.0,1741.0,2628.0,3523.0
2016-10,9131,6109,1322,1385,3401,3023
2016-11,9936,6254,1436,1514,3304,3682
2016-12,10166.0,6542.0,1590.0,1735.0,3217.0,3624.0
2017-01,9837.0,6343.0,1567.0,2018.0,2758.0,3494.0
2017-02,9707.0,6149.0,1281.0,2319.0,2549.0,3557.0
2017-03,10720.0,6624.0,1266.0,2593.0,2765.0,4096.0
2017-04,9536.0,5713.0,1017.0,2385.0,2311.0,3823.0
2017-05,10878.0,6915.0,967.0,2833.0,3115.0,3963.0
2017-06,10437.0,6547.0,1034.0,2818.0,2694.0,3890.0
2017-07,9381.0,5864.0,1078.0,2603.0,2183.0,3518.0
2017-08,9872.0,6335.0,1270.0,2219.0,2846.0,3537.0
2017-09,8340.0,5482.0,1175.0,1793.0,2514.0,2858.0
2017-10,8800.0,5698.0,1210.0,1508.0,2980.0,3102.0
2017-12,10621.0,6596.0,1465.0,1942.0,3189.0,4025.0
2018-01,11010.0,6526.0,1159.0,2221.0,3146.0,4484.0
2018-02,9930.0,6355.0,1238.0,2315.0,2802.0,3575.0
2018-03,10811.0,6334.0,1160.0,2494.0,2681.0,4477.0
2018-04,10177.0,6240.0,1077.0,2583.0,2581.0,3936.0
2018-05,9270.0,5619.0,1079.0,2458.0,2082.0,3651.0
2018-06,10454.0,6506.0,1028.0,2873.0,2605.0,3948.0
2018-07,10111.0,6119.0,1177.0,2566.0,2375.0,3992.0
2018-08,11102.0,6947.0,1109.0,2539.0,3300.0,4155.0
2018-09,9427.0,6109.0,1181.0,1931.0,2997.0,3317.0
2018-10,10406.0,6762.0,1085.0,1845.0,3831.0,3644.0
2018-11,9885.0,6641.0,1374.0,1520.0,3748.0,3244.0
2018-12,10434.0,7043.0,1421.0,1670.0,3952.0,3391.0
2019-01,11059.0,6633.0,1312.0,1808.0,3513.0,4426.0
2019-02,10161.0,6952.0,1388.0,2106.0,3458.0,3209.0
2019-03,10984.0,6794.0,1324.0,2360.0,3110.0,4190.0
2019-04,10726.0,6817.0,1105.0,2572.0,3139.0,3909.0
2019-05,11596.0,7544.0,1147.0,2896.0,3501.0,4051.0
2019-06,10937.0,7074.0,1234.0,2935.0,2905.0,3863.0
2019-07,11344.0,6844.0,1247.0,2453.0,3144.0,4500.0
2019-08,10448.0,6544.0,1290.0,1987.0,3267.0,3904.0
2019-09,9285.0,6269.0,1081.0,1976.0,3212.0,3016.0
2019-10,8907.0,6083.0,1310.0,1329.0,3444.0,2824.0
2019-11,9309.0,5774.0,1286.0,1284.0,3203.0,3536.0
2019-12,10296.0,6038.0,1513.0,1557.0,2969.0,4258.0
2020-01,10290.0,6531.0,1171.0,2024.0,3336.0,3759.0
2020-02,11110.0,6518.0,1215.0,2306.0,2997.0,4592.0
2020-03,11056.0,6681.0,1019.0,2518.0,3145.0,4375.0
2020-04,10820.0,6623.0,770,2534.0,3319.0,4197.0
2020-05,10490,6430.0,999.0,2611.0,2820.0,4060.0
2020-06,10565,6418.0,1203.0,2653.0,2563.0,4147.0
2020-07,10612,6648.0,1207.0,2239.0,3202.0,3964.0
