price_month,report_period,i_cip,colombian_milds,other_milds,brazilian_naturals,robustas,new_york_ice,london_ice
2014-10,2015-10,172.88,222.59,225.29,197.05,104.7,210.12,95.51
2014-11,2015-11,162.17,206.41,209.38,181.43,103.06,192.33,93.6
2014-12,2015-11,150.66,190.16,193.6,166.58,98.43,177.82,89.86
2015-01,2016-01,148.24,185.26,190.0,163.5,98.01,173.19,89.33
2015-02,2016-02,141.1,174.11,178.89,151.9,98.36,159.55,89.76
2015-03,2016-03,127.04,154.29,160.74,133.55,92.16,139.7,82.94
2015-04,2016-04,129.02,157.06,164.0,136.7,92.06,141.79,82.71
2015-05,2016-05,123.49,150.19,158.48,130.38,87.56,135.22,78.03
2015-06,2016-06,124.97,152.02,159.76,130.51,90.25,135.86,80.25
2015-07,2016-06,119.77,144.52,154.45,123.64,87.12,128.59,77.16
2015-08,2016-08,121.21,146.96,156.92,127.24,85.78,132.42,76.25
2015-09,2016-08,113.14,135.55,146.15,117.83,81.5,121.66,71.53
2015-10,2016-10,118.43,143.1,153.25,127.47,82.78,129.45,72.89
2015-11,2016-10,115.03,138.63,147.98,122.95,81.74,122.35,72.04
2015-12,2016-10,114.63,139.89,148.66,123.73,79.28,123.77,70.02
2016-01,2017-01,110.89,135.21,145.03,121.21,74.71,120.2,65.67
2016-02,2017-01,111.75,137.17,147.7,122.24,74.04,119.25,64.96
2016-03,2017-03,117.83,145.2,157.5,130.38,75.6,127.33,66.17
2016-04,2017-04,117.93,143.66,154.22,128.1,80.18,125.34,70.9
2016-05,2017-04,119.91,144.49,155.19,129.05,83.93,126.8,75.11
2016-06,2017-04,127.05,156.86,165.45,138.38,85.94,139.1,76.87
2016-07,2017-07,132.98,164.46,171.76,144.76,90.82,148.16,82.09
2016-08,2017-07,131.0,160.78,167.54,141.41,91.79,145.37,83.47
2016-09,2017-07,138.22,168.85,176.3,149.8,96.88,154.87,88.63
2016-10,2017-10,142.68,172.28,178.96,153.15,103.65,160.07,95.3
2016-11,2017-11,145.82,177.85,184.12,157.72,103.72,165.24,95.4
2016-12,2017-11,131.7,156.64,161.78,137.14,101.85,143.04,93.66
2017-01,2018-01,139.07,164.96,168.61,145.7,108.32,152.241,96
2017-02,2018-01,137.68,163.67,166.35,145.5,106.49,148.64,98.46
2017-03,2018-01,134.07,158.4,160.15,139.67,106.73,143.38,99.01
2017-04,2018-01,130.39,154.97,155.4,136.09,103.58,139.25,95.34
2017-05,2018-05,125.4,151.41,150.0,131.21,98.36,135.45,90.35
2017-06,2018-06,122.39,146.12,143.22,123.71,101.95,128.18,93.11
2017-07,2018-07,127.2,152.51,149.66,129.19,104.94,135.71,96.03
2017-08,2018-08,128.0,155.15,149.0,131.93,138.11,138,97
2017-09,2018-09,124.46,151.47,146.56,129.67,99.18,135.95,89.69
2017-10,2018-10,120.01,144.26,140.71,124.55,98.39,131.0,88.38
2017-11,2018-11,117.26,144.09,140.9,124.28,91.33,129.96,81.46
2017-12,2018-12,114.0,141.62,137.42,121.47,87.59,125.25,78.3
2018-01,2019-01,115.6,143.77,138.81,123.67,88.65,127.65,78.9
2018-02,2019-02,114.19,141.5,136.28,120.83,89.24,123.82,80.38
2018-03,2019-03,112.99,139.45,135.03,119.8,88.18,121.66,79.86
2018-04,2019-04,112.56,139.29,134.34,118.76,88.31,120.17,79.36
2018-05,2019-05,113.34,140.26,135.61,119.57,88.74,122.5,79.85
2018-06,2019-06,110.44,138.55,134.03,115.1,86.07,120.19,77.4
2018-07,2019-06,107.2,133.92,130.6,110.54,84.42,114.06,75.56
2018-08,2019-08,102.4,129.99,125.21,104.46,80.74,108.12,71.94
2018-09,2019-08,98.1,125.74,121.18,99.87,76.7,102.83,68.03
2018-10,2019-10,111.21,140.83,137.34,115.59,85.32,119.73,77.16
2018-11,2019-11,109.59,139.27,137.11,113.27,83.52,117.06,75.23
2018-12,2019-12,100.61,127.86,127.1,102.1,77.57,105.79,69.59
2019-01,2020-01,101.56,129.28,128.46,102.94,78.24,107.93,70.32
2019-02,2020-02,100.0,67.0,127.93,128.45,100.06,78.65,104.12
2019-03,2020-03,97.5,125.23,123.89,95.81,76.96,98.84,68.61
2019-04,2020-04,94.42,124.42,121.13,92.47,73.28,95.31,65.06
2019-05,2020-04,93.33,124.4,120.55,91.95,71.12,94.86,62.45
2019-06,2020-06,99.97,133.49,129.73,100.69,74.02,104.44,65.41
2019-07,2020-07,103.01,137.63,135.47,105.43,73.93,109.01,64.83
2019-08,2020-07,96.07,129.2,126.23,95.85,70.78,99.87,60.9
2019-09,2020-07,97.74,131.9,128.89,98.73,70.64,102.81,60.31
2019-10,2020-10,97.35,132.09,126.99,98.1,68.63,102.41,58.34
2019-11,2020-11,107.23,146.12,140.98,109.94,73.28,113.31,63.0
2019-12,2020-12,117.37,161.5,157.11,126.36,73.22,131.44,63.87
2020-01,2021-01,106.89,147.52,142.19,110.73,70.55,117.05,61.03
2020-02,2021-02,102.0,146.43,135.5,102.62,68.07,106.69,59.02
2020-03,2021-03,109.05,158.99,148.33,112.87,67.46,116.09,57.39
2020-04,2021-04,108.91,161.92,154.52,111.22,63.97,115.55,54.4
2020-05,2021-05,104.45,154.96,149.84,101.69,64.53,107.54,54.67
2020-06,2021-06,99.05,147.16,141.52,92.56,64.62,99.5,54.77
2020-07,2021-07,103.66,153.38,146.78,97.96,67.69,106.2,57.92
2020-08,2021-08,114.78,167.22,163.25,111.79,72.68,120.98,62.89
2020-09,2021-09,116.25,168.36,166.56,113.81,72.77,122.08,63.35
2020-10,2021-10,105.85,154.28,152.06,100.37,68.0,110.7,59.14
2020-11,2021-11,109.7,161.21,150.73,106.41,72.38,115.48,62.82
2020-12,2021-11,114.74,170.44,157.81,114.96,72.04,124.46,62.41
2021-01,2021-12,115.73,173.42,160.69,116.69,70.71,127.59,60.54
2021-02,2021-12,119.35,176.96,166.43,120.06,73.37,129.69,63.07
2021-03,2022-02,120.36,177.49,167.05,122.16,73.86,131.72,63.9
2021-04,2022-03,122.03,181.7,168.65,124.18,74.47,134.77,63.76
2021-05,2022-04,134.78,199.02,186.46,140.85,79.68,152.42,69.15
2021-06,2022-05,141.04,206.56,192.46,148.18,84.83,156.43,73.16
2021-07,2022-06,152.06,216.17,204.23,160.92,94.47,168.55,81.17
2021-08,2022-07,160.14,225.4,216.24,174.89,95.18,181.93,84.72
2021-09,2022-08,170.02,240.38,225.54,183.72,104.6,191.3,94.91
2021-10,2022-09,181.57,258.87,241.06,199.98,105.24,206.05,96.36
2021-11,2022-10,195.17,279.56,258.95,218.9,109.4,223.94,100.3
2021-12,2022-12,203.06,290.57,267.71,230.26,112.76,234.14,104.14
2022-01,2023-01,204.29,294.93,271.08,233.8,109.71,236.13,101.06
2022-02,2023-01,210.89,306.36,279.83,245.05,109.44,245.38,100.58
2022-03,2023-02,194.78,285.81,258.49,222.03,103.82,222.44,95.21
2022-04,2023-04,198.37,292.64,265.4,226.11,103.96,225.37,95.07
2022-05,2023-04,193.71,286.44,260.42,217.84,103.1,218.61,94.31
