Area Code,Area Code (M49),Area,Source Code,Source,Indicator Code,Indicator,Sex Code,Sex,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),1,Total,6199,Value,2000,2000,1000 No,1046.310000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),1,Total,6199,Value,2001,2001,1000 No,1112.360000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),1,Total,6199,Value,2002,2002,1000 No,1223.240000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),1,Total,6199,Value,2003,2003,1000 No,1189.080000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),1,Total,6199,Value,2004,2004,1000 No,1127.980000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),1,Total,6199,Value,2005,2005,1000 No,1229.860000,E,Modelled using ISIC shares
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),1,Total,6199,Value,2006,2006,1000 No,1286.000000,E,Modelled using ISIC shares
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),1,Total,6199,Value,2007,2007,1000 No,1275.090000,E,Modelled using ISIC shares
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),1,Total,6199,Value,2008,2008,1000 No,1342.170000,E,Modelled using ISIC shares
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),1,Total,6199,Value,2009,2009,1000 No,1446.050000,E,Modelled using ISIC shares
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),1,Total,6199,Value,2010,2010,1000 No,1570.750000,E,Modelled using ISIC shares
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),1,Total,6199,Value,2011,2011,1000 No,1506.240000,E,Modelled using ISIC shares
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),1,Total,6199,Value,2012,2012,1000 No,1540.650000,E,Modelled using ISIC shares
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),1,Total,6199,Value,2013,2013,1000 No,1636.580000,E,Modelled using ISIC shares
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),1,Total,6199,Value,2014,2014,1000 No,1572.700000,E,Modelled using ISIC shares
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),1,Total,6199,Value,2015,2015,1000 No,1515.850000,E,Modelled using ISIC shares
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),1,Total,6199,Value,2016,2016,1000 No,1493.450000,E,Modelled using ISIC shares
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),1,Total,6199,Value,2017,2017,1000 No,1742.430000,E,Modelled using ISIC shares
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),1,Total,6199,Value,2018,2018,1000 No,1852.560000,E,Modelled using ISIC shares
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),1,Total,6199,Value,2019,2019,1000 No,1720.380000,E,Modelled using ISIC shares
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),1,Total,6199,Value,2020,2020,1000 No,1691.670000,E,Modelled using ISIC shares
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),1,Total,6199,Value,2021,2021,1000 No,1738.700000,E,Imputed using average of previous and next value
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),1,Total,6199,Value,2022,2022,1000 No,1673.150000,E,Modelled using ISIC shares
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),1,Total,6199,Value,2023,2023,1000 No,1741.720000,E,Modelled using ISIC shares
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),2,Male,6199,Value,2000,2000,1000 No,747.380000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),2,Male,6199,Value,2001,2001,1000 No,802.990000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),2,Male,6199,Value,2002,2002,1000 No,870.520000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),2,Male,6199,Value,2003,2003,1000 No,843.290000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),2,Male,6199,Value,2004,2004,1000 No,807.200000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),2,Male,6199,Value,2005,2005,1000 No,863.390000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),2,Male,6199,Value,2006,2006,1000 No,913.750000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),2,Male,6199,Value,2007,2007,1000 No,908.740000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),2,Male,6199,Value,2008,2008,1000 No,935.070000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),2,Male,6199,Value,2009,2009,1000 No,990.100000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),2,Male,6199,Value,2010,2010,1000 No,1068.810000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),2,Male,6199,Value,2011,2011,1000 No,1061.980000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),2,Male,6199,Value,2012,2012,1000 No,1086.870000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),2,Male,6199,Value,2013,2013,1000 No,1127.040000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),2,Male,6199,Value,2014,2014,1000 No,1028.110000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),2,Male,6199,Value,2015,2015,1000 No,1005.470000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),2,Male,6199,Value,2016,2016,1000 No,984.950000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),2,Male,6199,Value,2017,2017,1000 No,1150.520000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),2,Male,6199,Value,2018,2018,1000 No,1199.500000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),2,Male,6199,Value,2019,2019,1000 No,1189.500000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),2,Male,6199,Value,2020,2020,1000 No,1118.840000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),2,Male,6199,Value,2021,2021,1000 No,1151.020000,E,Interpolated
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),2,Male,6199,Value,2022,2022,1000 No,1151.970000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),2,Male,6199,Value,2023,2023,1000 No,1226.090000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),3,Female,6199,Value,2000,2000,1000 No,298.930000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),3,Female,6199,Value,2001,2001,1000 No,309.370000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),3,Female,6199,Value,2002,2002,1000 No,352.720000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),3,Female,6199,Value,2003,2003,1000 No,345.780000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),3,Female,6199,Value,2004,2004,1000 No,320.780000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),3,Female,6199,Value,2005,2005,1000 No,366.460000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),3,Female,6199,Value,2006,2006,1000 No,372.250000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),3,Female,6199,Value,2007,2007,1000 No,366.350000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),3,Female,6199,Value,2008,2008,1000 No,407.100000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),3,Female,6199,Value,2009,2009,1000 No,455.950000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),3,Female,6199,Value,2010,2010,1000 No,501.940000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),3,Female,6199,Value,2011,2011,1000 No,444.260000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),3,Female,6199,Value,2012,2012,1000 No,453.780000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),3,Female,6199,Value,2013,2013,1000 No,509.540000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),3,Female,6199,Value,2014,2014,1000 No,544.590000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),3,Female,6199,Value,2015,2015,1000 No,510.380000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),3,Female,6199,Value,2016,2016,1000 No,508.500000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),3,Female,6199,Value,2017,2017,1000 No,591.910000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),3,Female,6199,Value,2018,2018,1000 No,653.060000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),3,Female,6199,Value,2019,2019,1000 No,530.880000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),3,Female,6199,Value,2020,2020,1000 No,572.830000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),3,Female,6199,Value,2021,2021,1000 No,587.680000,E,Interpolated
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),3,Female,6199,Value,2022,2022,1000 No,521.180000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21160,Total employment in agrifood systems (AFS),3,Female,6199,Value,2023,2023,1000 No,515.640000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21163,Total non-agricultural AFS employment,1,Total,6199,Value,2000,2000,1000 No,428.320000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21163,Total non-agricultural AFS employment,1,Total,6199,Value,2001,2001,1000 No,457.890000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21163,Total non-agricultural AFS employment,1,Total,6199,Value,2002,2002,1000 No,509.340000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21163,Total non-agricultural AFS employment,1,Total,6199,Value,2003,2003,1000 No,501.520000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21163,Total non-agricultural AFS employment,1,Total,6199,Value,2004,2004,1000 No,483.740000,E,Modelled FAO
95,'340,Honduras,3044,FAO Model,21163,Total non-agricultural AFS employment,1,Total,6199,Value,2005,2005,1000 No,571.510000,E,Modelled using ISIC shares
95,'340,Honduras,3044,FAO Model,21163,Total non-agricultural AFS employment,1,Total,6199,Value,2006,2006,1000 No,555.190000,E,Modelled using ISIC shares
95,'340,Honduras,3044,FAO Model,21163,Total non-agricultural AFS employment,1,Total,6199,Value,2007,2007,1000 No,568.720000,E,Modelled using ISIC shares
95,'340,Honduras,3044,FAO Model,21163,Total non-agricultural AFS employment,1,Total,6199,Value,2008,2008,1000 No,612.800000,E,Modelled using ISIC shares
95,'340,Honduras,3044,FAO Model,21163,Total non-agricultural AFS employment,1,Total,6199,Value,2009,2009,1000 No,644.220000,E,Modelled using ISIC shares
95,'340,Honduras,3044,FAO Model,21163,Total non-agricultural AFS employment,1,Total,6199,Value,2010,2010,1000 No,708.610000,E,Modelled using ISIC shares
95,'340,Honduras,3044,FAO Model,21163,Total non-agricultural AFS employment,1,Total,6199,Value,2011,2011,1000 No,686.220000,E,Modelled using ISIC shares
95,'340,Honduras,3044,FAO Model,21163,Total non-agricultural AFS employment,1,Total,6199,Value,2012,2012,1000 No,658.070000,E,Modelled using ISIC shares
