Area Code,Area Code (M49),Area,Element Code,Element,ISO Currency Code,Currency,Year Code,Year,Months Code,Months,Unit,Value,Flag
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1970,1970,7021,Annual value,,2.000000001000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1970,1970,7001,January,,2.000000001000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1970,1970,7002,February,,2.000000001000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1970,1970,7003,March,,2.000000001000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1970,1970,7004,April,,2.000000001000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1970,1970,7005,May,,2.000000001000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1970,1970,7006,June,,2.000000001000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1970,1970,7007,July,,2.000000001000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1970,1970,7008,August,,2.000000001000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1970,1970,7009,September,,2.000000001000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1970,1970,7010,October,,2.000000001000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1970,1970,7011,November,,2.000000001000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1970,1970,7012,December,,2.000000001000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1971,1971,7021,Annual value,,2.000000001000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1971,1971,7001,January,,2.000000001000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1971,1971,7002,February,,2.000000001000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1971,1971,7003,March,,2.000000001000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1971,1971,7004,April,,2.000000001000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1971,1971,7005,May,,2.000000001000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1971,1971,7006,June,,2.000000001000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1971,1971,7007,July,,2.000000001000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1971,1971,7008,August,,2.000000001000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1971,1971,7009,September,,2.000000001000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1971,1971,7010,October,,2.000000001000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1971,1971,7011,November,,2.000000001000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1971,1971,7012,December,,2.000000000000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1972,1972,7021,Annual value,,2.000009211000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1972,1972,7001,January,,2.000009211000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1972,1972,7002,February,,2.000009211000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1972,1972,7003,March,,2.000009211000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1972,1972,7004,April,,2.000009211000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1972,1972,7005,May,,2.000009211000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1972,1972,7006,June,,2.000009211000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1972,1972,7007,July,,2.000009211000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1972,1972,7008,August,,2.000009211000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1972,1972,7009,September,,2.000009211000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1972,1972,7010,October,,2.000009211000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1972,1972,7011,November,,2.000009211000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1972,1972,7012,December,,2.000009211000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1973,1973,7021,Annual value,,2.000000768000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1973,1973,7001,January,,2.000009211000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1973,1973,7002,February,,2.000000000000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1973,1973,7003,March,,2.000000001000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1973,1973,7004,April,,2.000000001000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1973,1973,7005,May,,2.000000001000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1973,1973,7006,June,,2.000000001000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1973,1973,7007,July,,2.000000001000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1973,1973,7008,August,,2.000000001000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1973,1973,7009,September,,2.000000001000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1973,1973,7010,October,,2.000000001000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1973,1973,7011,November,,2.000000001000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1973,1973,7012,December,,2.000000001000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1974,1974,7021,Annual value,,2.000000000000000,X
95,'340,Honduras,LCU,Local currency units per USD,HNL,Lempira,1974,1974,7001,January,,2.000000001000000,X
