Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Months Code,Months,Unit,Value,Flag
95,'340,Honduras,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),1991,1991,7021,Annual value,,1.250000,E
95,'340,Honduras,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),1992,1992,7021,Annual value,,1.760000,E
95,'340,Honduras,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),1993,1993,7021,Annual value,,2.470000,E
95,'340,Honduras,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),1994,1994,7021,Annual value,,3.480000,E
95,'340,Honduras,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),1995,1995,7021,Annual value,,4.050000,E
95,'340,Honduras,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),1996,1996,7021,Annual value,,5.160000,E
95,'340,Honduras,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),1997,1997,7021,Annual value,,5.080000,E
95,'340,Honduras,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),1998,1998,7021,Annual value,,5.080000,E
95,'340,Honduras,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),1999,1999,7021,Annual value,,5.080000,E
95,'340,Honduras,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2000,2000,7021,Annual value,,6.390000,E
95,'340,Honduras,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2001,2001,7021,Annual value,,7.190000,E
95,'340,Honduras,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2002,2002,7021,Annual value,,23.920000,E
95,'340,Honduras,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2003,2003,7021,Annual value,,18.690000,E
95,'340,Honduras,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2004,2004,7021,Annual value,,23.840000,E
95,'340,Honduras,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2005,2005,7021,Annual value,,35.760000,E
95,'340,Honduras,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2006,2006,7021,Annual value,,47.690000,E
95,'340,Honduras,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2007,2007,7021,Annual value,,52.390000,E
95,'340,Honduras,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2008,2008,7021,Annual value,,55.160000,E
95,'340,Honduras,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2009,2009,7021,Annual value,,61.160000,E
95,'340,Honduras,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2010,2010,7021,Annual value,,74.990000,E
95,'340,Honduras,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2011,2011,7021,Annual value,,74.670000,E
95,'340,Honduras,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2012,2012,7021,Annual value,,81.000000,E
95,'340,Honduras,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2013,2013,7021,Annual value,,87.330000,E
95,'340,Honduras,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2014,2014,7021,Annual value,,93.670000,E
95,'340,Honduras,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2015,2015,7021,Annual value,,100.000000,E
95,'340,Honduras,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2016,2016,7021,Annual value,,106.330000,E
95,'340,Honduras,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2017,2017,7021,Annual value,,112.670000,E
95,'340,Honduras,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2018,2018,7021,Annual value,,119.000000,E
95,'340,Honduras,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2019,2019,7021,Annual value,,125.330000,E
95,'340,Honduras,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2020,2020,7021,Annual value,,130.690000,E
95,'340,Honduras,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2021,2021,7021,Annual value,,137.650000,E
95,'340,Honduras,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2022,2022,7021,Annual value,,143.350000,E
95,'340,Honduras,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2023,2023,7021,Annual value,,149.470000,E
95,'340,Honduras,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2024,2024,7021,Annual value,,155.590000,E
95,'340,Honduras,515,'01341,Apples,5539,Producer Price Index (2014-2016 = 100),2025,2025,7021,Annual value,,161.710000,E
95,'340,Honduras,572,'01311,Avocados,5530,Producer Price (LCU/tonne),1993,1993,7021,Annual value,LCU,985.000000,A
95,'340,Honduras,572,'01311,Avocados,5530,Producer Price (LCU/tonne),1994,1994,7021,Annual value,LCU,1046.000000,A
95,'340,Honduras,572,'01311,Avocados,5530,Producer Price (LCU/tonne),1995,1995,7021,Annual value,LCU,1100.000000,A
