Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
95,'340,Honduras,515,'01341,Apples,5312,Area harvested,1961,1961,ha,,M,
95,'340,Honduras,515,'01341,Apples,5312,Area harvested,1962,1962,ha,,M,
95,'340,Honduras,515,'01341,Apples,5312,Area harvested,1963,1963,ha,,M,
95,'340,Honduras,515,'01341,Apples,5312,Area harvested,1964,1964,ha,,M,
95,'340,Honduras,515,'01341,Apples,5312,Area harvested,1965,1965,ha,,M,
95,'340,Honduras,515,'01341,Apples,5312,Area harvested,1966,1966,ha,,M,
95,'340,Honduras,515,'01341,Apples,5312,Area harvested,1967,1967,ha,,M,
95,'340,Honduras,515,'01341,Apples,5312,Area harvested,1968,1968,ha,,M,
95,'340,Honduras,515,'01341,Apples,5312,Area harvested,1969,1969,ha,,M,
95,'340,Honduras,515,'01341,Apples,5312,Area harvested,1970,1970,ha,,M,
95,'340,Honduras,515,'01341,Apples,5312,Area harvested,1971,1971,ha,,M,
95,'340,Honduras,515,'01341,Apples,5312,Area harvested,1972,1972,ha,,M,
95,'340,Honduras,515,'01341,Apples,5312,Area harvested,1973,1973,ha,,M,
95,'340,Honduras,515,'01341,Apples,5312,Area harvested,1974,1974,ha,,M,
95,'340,Honduras,515,'01341,Apples,5312,Area harvested,1975,1975,ha,,M,
95,'340,Honduras,515,'01341,Apples,5312,Area harvested,1976,1976,ha,,M,
95,'340,Honduras,515,'01341,Apples,5312,Area harvested,1977,1977,ha,,M,
95,'340,Honduras,515,'01341,Apples,5312,Area harvested,1978,1978,ha,,M,
95,'340,Honduras,515,'01341,Apples,5312,Area harvested,1979,1979,ha,,M,
95,'340,Honduras,515,'01341,Apples,5312,Area harvested,1980,1980,ha,,M,
95,'340,Honduras,515,'01341,Apples,5312,Area harvested,1981,1981,ha,,M,
95,'340,Honduras,515,'01341,Apples,5312,Area harvested,1982,1982,ha,,M,
95,'340,Honduras,515,'01341,Apples,5312,Area harvested,1983,1983,ha,,M,
95,'340,Honduras,515,'01341,Apples,5312,Area harvested,1984,1984,ha,,M,
95,'340,Honduras,515,'01341,Apples,5312,Area harvested,1985,1985,ha,,M,
95,'340,Honduras,515,'01341,Apples,5312,Area harvested,1986,1986,ha,,M,
95,'340,Honduras,515,'01341,Apples,5312,Area harvested,1987,1987,ha,,M,
95,'340,Honduras,515,'01341,Apples,5312,Area harvested,1988,1988,ha,,M,
95,'340,Honduras,515,'01341,Apples,5312,Area harvested,1989,1989,ha,,M,
95,'340,Honduras,515,'01341,Apples,5312,Area harvested,1990,1990,ha,25.000000,E,
95,'340,Honduras,515,'01341,Apples,5312,Area harvested,1991,1991,ha,30.000000,E,
95,'340,Honduras,515,'01341,Apples,5312,Area harvested,1992,1992,ha,30.000000,E,
95,'340,Honduras,515,'01341,Apples,5312,Area harvested,1993,1993,ha,33.000000,A,
95,'340,Honduras,515,'01341,Apples,5312,Area harvested,1994,1994,ha,35.000000,E,
95,'340,Honduras,515,'01341,Apples,5312,Area harvested,1995,1995,ha,34.000000,I,
