sheet,date,agropecuaria_mill_L,total_mill_L
Pres sobre saldos,2017-01-01,16675.300000000003,243345.80000000002
Pres sobre saldos,2017-02-01,16540.400000000001,243715.6
Pres sobre saldos,2017-03-01,16483.5,245121.8
Pres sobre saldos,2017-04-01,16439.699999999997,245640.39999999997
Pres sobre saldos,2017-05-01,16603.800000000003,248058.80000000002
Pres sobre saldos,2017-06-01,18448.199999999997,250185.29999999993
Pres sobre saldos,2017-07-01,18326.099999999999,251153.80000000002
Pres sobre saldos,2017-08-01,18322.7,253123.6
Pres sobre saldos,2017-09-01,18945.399999999998,255602.2
Pres sobre saldos,2017-10-01,18805.599999999999,257748.80000000005
Pres sobre saldos,2017-11-01,20084.3,262489.3
Pres sobre saldos,2017-12-01,20610.3,264246
Pres sobre saldos,2018-01-01,20062,267625.10000000003
Pres sobre saldos,2018-02-01,20405.5,268644.39999999997
Pres sobre saldos,2018-03-01,20374.7,270938
Pres sobre saldos,2018-04-01,20487.599999999999,273639.69999999995
Pres sobre saldos,2018-05-01,20855.400000000001,277889.40000000002
Pres sobre saldos,2018-06-01,21268.3,279855.09999999998
Pres sobre saldos,2018-07-01,22122.2,282558.60000000003
Pres sobre saldos,2018-08-01,22564.6,287524.80000000005
Pres sobre saldos,2018-09-01,23040.800000000003,290079.40000000002
Pres sobre saldos,2018-10-01,23209.9,293316.10000000003
Pres sobre saldos,2018-11-01,23506.1,298897.89999999997
Pres sobre saldos,2018-12-01,24314.800000000003,303555.09999999998
Pres sobre saldos,2019-01-01,24914.400000000001,305772.59999999998
Pres sobre saldos,2019-02-01,25658.100000000002,308545.8
Pres sobre saldos,2019-03-01,26050.399999999994,310384.7
Pres sobre saldos,2019-04-01,25972.9,311345.89999999997
Pres sobre saldos,2019-05-01,25069,313724.90000000002
Pres sobre saldos,2019-06-01,24609,314656.89999999997
Pres sobre saldos,2019-07-01,25395.4,315534.8
Pres sobre saldos,2019-08-01,25323.9,316984.09999999998
Pres sobre saldos,2019-09-01,25231.4,318551.09999999998
Pres sobre saldos,2019-10-01,25681,320320.59999999998
Pres sobre saldos,2019-11-01,25423.200000000001,323916
Pres sobre saldos,2019-12-01,25923.5,329322.40000000008
Pres sobre saldos,2020-01-01,26301.899999999998,330737.69999999995
Pres sobre saldos,2020-02-01,25879.800000000003,332453.20000000007
Pres sobre saldos,2020-03-01,25941.9,334095.10000000003
Pres sobre saldos,2020-04-01,26137.4,335437.40000000002
Pres sobre saldos,2020-05-01,25687.699999999997,335866.19999999995
Pres sobre saldos,2020-06-01,25079.4,335629.8
Pres sobre saldos,2020-07-01,23417.5,333160.2
Pres sobre saldos,2020-08-01,24097.699999999997,331493.7
Pres sobre saldos,2020-09-01,24350,331410.79999999993
Pres sobre saldos,2020-10-01,24617,332899.20000000001
Pres sobre saldos,2020-11-01,24175.5,333892.8
Pres sobre saldos,2020-12-01,23787.4,336756
Pres sobre saldos,2021-01-01,23665.399999999998,337336.8
Pres sobre saldos,2021-02-01,23733.699999999997,340331.89999999997
Pres sobre saldos,2021-03-01,23370.7,343302.39999999997
Pres sobre saldos,2021-04-01,22774.6,343214.49999999994
Pres sobre saldos,2021-05-01,23672,345814.80000000005
Pres sobre saldos,2021-06-01,23973.5,347067.6
Pres sobre saldos,2021-07-01,23875.9,347876.4
Pres sobre saldos,2021-08-01,24069.699999999997,351426.5
Pres sobre saldos,2021-09-01,24333.7,357454.19999999995
Pres sobre saldos,2021-10-01,24441.200000000001,363963.8
Pres sobre saldos,2021-11-01,25168,373718.3
Pres sobre saldos,2021-12-01,25569.699999999997,380303
Pres sobre saldos,2022-01-01,26342.400000000001,389985
Pres sobre saldos,2022-02-01,26815.799999999996,395722.70000000007
Pres sobre saldos,2022-03-01,26506.199999999997,399150.69999999995
Pres sobre saldos,2022-04-01,26508.800000000003,403454.7
Pres sobre saldos,2022-05-01,26357.1,409174.4
Pres sobre saldos,2022-06-01,26097.4,411898.1
Pres sobre saldos,2022-07-01,26277.199999999997,416933
Pres sobre saldos,2022-08-01,26043.399999999998,423037.29999999993
Pres sobre saldos,2022-09-01,26176,429056.00000000006
Pres sobre saldos,2022-10-01,26551.5,435502.8
Pres sobre saldos,2022-11-01,26596.500000000004,446548.3
Pres sobre saldos,2022-12-01,27310.5,456129.4
Pres sobre saldos,2023-01-01,27616.416801529995,463212.75048948062
Pres sobre saldos,2023-02-01,28568.415474879999,472606.92926060053
