key,year,month,rain_mm,n_days
el_paraiso_danli,1981,1,2.1,31
el_paraiso_danli,1981,2,10.9,28
el_paraiso_danli,1981,3,10.1,31
el_paraiso_danli,1981,4,25.9,30
el_paraiso_danli,1981,5,140.5,31
el_paraiso_danli,1981,6,310.8,30
el_paraiso_danli,1981,7,104.2,31
el_paraiso_danli,1981,8,178.6,31
el_paraiso_danli,1981,9,161.5,30
el_paraiso_danli,1981,10,153.9,31
el_paraiso_danli,1981,11,27.3,30
el_paraiso_danli,1981,12,30.7,31
el_paraiso_danli,1982,1,11.8,31
el_paraiso_danli,1982,2,10.6,28
el_paraiso_danli,1982,3,4.3,31
el_paraiso_danli,1982,4,61.3,30
el_paraiso_danli,1982,5,247.7,31
el_paraiso_danli,1982,6,173.9,30
el_paraiso_danli,1982,7,114.5,31
el_paraiso_danli,1982,8,85.1,31
el_paraiso_danli,1982,9,156.5,30
el_paraiso_danli,1982,10,95.4,31
el_paraiso_danli,1982,11,26.9,30
el_paraiso_danli,1982,12,22.5,31
el_paraiso_danli,1983,1,3.8,31
el_paraiso_danli,1983,2,8.8,28
el_paraiso_danli,1983,3,4.1,31
el_paraiso_danli,1983,4,26.1,30
el_paraiso_danli,1983,5,35.3,31
el_paraiso_danli,1983,6,205.3,30
el_paraiso_danli,1983,7,190.8,31
el_paraiso_danli,1983,8,88.5,31
el_paraiso_danli,1983,9,106.6,30
el_paraiso_danli,1983,10,91.5,31
el_paraiso_danli,1983,11,64.2,30
el_paraiso_danli,1983,12,12.2,31
el_paraiso_danli,1984,1,10.0,31
el_paraiso_danli,1984,2,10.9,29
el_paraiso_danli,1984,3,24.2,31
el_paraiso_danli,1984,4,25.4,30
el_paraiso_danli,1984,5,79.6,31
el_paraiso_danli,1984,6,132.2,30
el_paraiso_danli,1984,7,142.9,31
el_paraiso_danli,1984,8,181.6,31
el_paraiso_danli,1984,9,208.3,30
el_paraiso_danli,1984,10,81.4,31
el_paraiso_danli,1984,11,43.3,30
el_paraiso_danli,1984,12,27.7,31
el_paraiso_danli,1985,1,5.1,31
el_paraiso_danli,1985,2,11.5,28
el_paraiso_danli,1985,3,7.4,31
el_paraiso_danli,1985,4,47.3,30
el_paraiso_danli,1985,5,128.5,31
el_paraiso_danli,1985,6,134.2,30
el_paraiso_danli,1985,7,123.5,31
el_paraiso_danli,1985,8,119.3,31
el_paraiso_danli,1985,9,76.3,30
el_paraiso_danli,1985,10,179.4,31
el_paraiso_danli,1985,11,42.7,30
el_paraiso_danli,1985,12,22.6,31
el_paraiso_danli,1986,1,6.0,31
el_paraiso_danli,1986,2,7.2,28
el_paraiso_danli,1986,3,22.4,31
el_paraiso_danli,1986,4,12.3,30
el_paraiso_danli,1986,5,160.8,31
el_paraiso_danli,1986,6,204.4,30
el_paraiso_danli,1986,7,130.7,31
el_paraiso_danli,1986,8,117.8,31
el_paraiso_danli,1986,9,160.5,30
el_paraiso_danli,1986,10,128.7,31
el_paraiso_danli,1986,11,38.8,30
el_paraiso_danli,1986,12,18.9,31
el_paraiso_danli,1987,1,9.3,31
el_paraiso_danli,1987,2,11.4,28
el_paraiso_danli,1987,3,28.5,31
el_paraiso_danli,1987,4,10.0,30
el_paraiso_danli,1987,5,148.2,31
el_paraiso_danli,1987,6,141.4,30
el_paraiso_danli,1987,7,199.0,31
el_paraiso_danli,1987,8,105.2,31
el_paraiso_danli,1987,9,171.2,30
el_paraiso_danli,1987,10,46.5,31
el_paraiso_danli,1987,11,19.0,30
el_paraiso_danli,1987,12,12.3,31
el_paraiso_danli,1988,1,15.7,31
el_paraiso_danli,1988,2,14.2,29
el_paraiso_danli,1988,3,9.5,31
el_paraiso_danli,1988,4,51.6,30
el_paraiso_danli,1988,5,101.6,31
el_paraiso_danli,1988,6,161.4,30
el_paraiso_danli,1988,7,125.3,31
el_paraiso_danli,1988,8,267.5,31
el_paraiso_danli,1988,9,182.2,30
el_paraiso_danli,1988,10,220.3,31
el_paraiso_danli,1988,11,53.9,30
el_paraiso_danli,1988,12,21.7,31
el_paraiso_danli,1989,1,18.1,31
el_paraiso_danli,1989,2,16.5,28
el_paraiso_danli,1989,3,9.8,31
el_paraiso_danli,1989,4,22.7,30
el_paraiso_danli,1989,5,106.1,31
el_paraiso_danli,1989,6,127.6,30
el_paraiso_danli,1989,7,112.9,31
el_paraiso_danli,1989,8,99.6,31
el_paraiso_danli,1989,9,234.1,30
el_paraiso_danli,1989,10,75.1,31
el_paraiso_danli,1989,11,135.4,30
el_paraiso_danli,1989,12,13.6,31
el_paraiso_danli,1990,1,22.6,31
el_paraiso_danli,1990,2,7.6,28
el_paraiso_danli,1990,3,11.1,31
el_paraiso_danli,1990,4,66.5,30
el_paraiso_danli,1990,5,113.2,31
el_paraiso_danli,1990,6,107.3,30
el_paraiso_danli,1990,7,72.1,31
el_paraiso_danli,1990,8,130.5,31
el_paraiso_danli,1990,9,105.7,30
el_paraiso_danli,1990,10,111.3,31
el_paraiso_danli,1990,11,152.5,30
el_paraiso_danli,1990,12,46.5,31
el_paraiso_danli,1991,1,21.5,31
el_paraiso_danli,1991,2,7.3,28
el_paraiso_danli,1991,3,4.3,31
el_paraiso_danli,1991,4,5.2,30
el_paraiso_danli,1991,5,194.1,31
el_paraiso_danli,1991,6,132.1,30
el_paraiso_danli,1991,7,48.5,31
el_paraiso_danli,1991,8,89.8,31
el_paraiso_danli,1991,9,85.4,30
el_paraiso_danli,1991,10,195.6,31
el_paraiso_danli,1991,11,32.3,30
el_paraiso_danli,1991,12,28.6,31
el_paraiso_danli,1992,1,4.2,31
el_paraiso_danli,1992,2,12.8,29
el_paraiso_danli,1992,3,1.8,31
el_paraiso_danli,1992,4,41.1,30
el_paraiso_danli,1992,5,122.5,31
el_paraiso_danli,1992,6,145.7,30
el_paraiso_danli,1992,7,118.2,31
el_paraiso_danli,1992,8,67.8,31
el_paraiso_danli,1992,9,103.3,30
el_paraiso_danli,1992,10,71.9,31
el_paraiso_danli,1992,11,23.2,30
el_paraiso_danli,1992,12,19.0,31
el_paraiso_danli,1993,1,14.6,31
el_paraiso_danli,1993,2,6.4,28
el_paraiso_danli,1993,3,4.7,31
el_paraiso_danli,1993,4,65.1,30
el_paraiso_danli,1993,5,364.6,31
el_paraiso_danli,1993,6,280.7,30
el_paraiso_danli,1993,7,104.8,31
el_paraiso_danli,1993,8,154.1,31
el_paraiso_danli,1993,9,213.7,30
el_paraiso_danli,1993,10,155.3,31
el_paraiso_danli,1993,11,19.5,30
el_paraiso_danli,1993,12,17.0,31
el_paraiso_danli,1994,1,18.5,31
el_paraiso_danli,1994,2,6.3,28
el_paraiso_danli,1994,3,3.4,31
el_paraiso_danli,1994,4,33.6,30
el_paraiso_danli,1994,5,90.3,31
el_paraiso_danli,1994,6,75.1,30
el_paraiso_danli,1994,7,53.6,31
el_paraiso_danli,1994,8,92.9,31
el_paraiso_danli,1994,9,170.1,30
el_paraiso_danli,1994,10,79.4,31
el_paraiso_danli,1994,11,41.6,30
el_paraiso_danli,1994,12,6.9,31
el_paraiso_danli,1995,1,6.9,31
el_paraiso_danli,1995,2,4.1,28
el_paraiso_danli,1995,3,11.8,31
el_paraiso_danli,1995,4,134.9,30
el_paraiso_danli,1995,5,91.8,31
el_paraiso_danli,1995,6,177.2,30
el_paraiso_danli,1995,7,134.0,31
el_paraiso_danli,1995,8,286.9,31
el_paraiso_danli,1995,9,191.1,30
el_paraiso_danli,1995,10,189.8,31
el_paraiso_danli,1995,11,32.7,30
el_paraiso_danli,1995,12,28.4,31
el_paraiso_danli,1996,1,22.4,31
el_paraiso_danli,1996,2,10.3,29
el_paraiso_danli,1996,3,12.6,31
el_paraiso_danli,1996,4,34.6,30
el_paraiso_danli,1996,5,165.6,31
el_paraiso_danli,1996,6,77.8,30
el_paraiso_danli,1996,7,261.1,31
el_paraiso_danli,1996,8,175.4,31
el_paraiso_danli,1996,9,156.7,30
el_paraiso_danli,1996,10,269.5,31
el_paraiso_danli,1996,11,104.4,30
el_paraiso_danli,1996,12,12.5,31
el_paraiso_danli,1997,1,18.5,31
el_paraiso_danli,1997,2,8.6,28
el_paraiso_danli,1997,3,22.8,31
el_paraiso_danli,1997,4,9.1,30
el_paraiso_danli,1997,5,11.5,31
el_paraiso_danli,1997,6,356.5,30
el_paraiso_danli,1997,7,80.3,31
el_paraiso_danli,1997,8,87.7,31
el_paraiso_danli,1997,9,143.9,30
el_paraiso_danli,1997,10,165.0,31
el_paraiso_danli,1997,11,55.1,30
el_paraiso_danli,1997,12,4.7,31
el_paraiso_danli,1998,1,8.9,31
el_paraiso_danli,1998,2,0.5,28
el_paraiso_danli,1998,3,41.8,31
el_paraiso_danli,1998,4,11.8,30
el_paraiso_danli,1998,5,122.2,31
el_paraiso_danli,1998,6,108.7,30
el_paraiso_danli,1998,7,113.5,31
el_paraiso_danli,1998,8,101.0,31
el_paraiso_danli,1998,9,128.6,30
el_paraiso_danli,1998,10,699.3,31
el_paraiso_danli,1998,11,84.1,30
el_paraiso_danli,1998,12,19.9,31
el_paraiso_danli,1999,1,26.2,31
el_paraiso_danli,1999,2,9.9,28
el_paraiso_danli,1999,3,6.8,31
el_paraiso_danli,1999,4,13.2,30
el_paraiso_danli,1999,5,148.1,31
el_paraiso_danli,1999,6,200.8,30
el_paraiso_danli,1999,7,132.4,31
el_paraiso_danli,1999,8,111.0,31
el_paraiso_danli,1999,9,321.7,30
el_paraiso_danli,1999,10,273.8,31
el_paraiso_danli,1999,11,55.7,30
el_paraiso_danli,1999,12,2.8,31
el_paraiso_danli,2000,1,4.2,31
el_paraiso_danli,2000,2,8.5,29
el_paraiso_danli,2000,3,3.0,31
el_paraiso_danli,2000,4,9.5,30
el_paraiso_danli,2000,5,117.0,31
el_paraiso_danli,2000,6,92.6,30
el_paraiso_danli,2000,7,75.8,31
el_paraiso_danli,2000,8,94.8,31
el_paraiso_danli,2000,9,185.6,30
el_paraiso_danli,2000,10,71.9,31
el_paraiso_danli,2000,11,29.6,30
el_paraiso_danli,2000,12,14.0,31
el_paraiso_danli,2001,1,18.6,31
el_paraiso_danli,2001,2,11.8,28
el_paraiso_danli,2001,3,0.6,31
el_paraiso_danli,2001,4,6.6,30
el_paraiso_danli,2001,5,129.3,31
el_paraiso_danli,2001,6,77.2,30
el_paraiso_danli,2001,7,38.0,31
el_paraiso_danli,2001,8,103.8,31
el_paraiso_danli,2001,9,142.3,30
el_paraiso_danli,2001,10,144.5,31
el_paraiso_danli,2001,11,20.2,30
el_paraiso_danli,2001,12,10.8,31
el_paraiso_danli,2002,1,15.1,31
el_paraiso_danli,2002,2,10.3,28
el_paraiso_danli,2002,3,3.4,31
el_paraiso_danli,2002,4,16.8,30
el_paraiso_danli,2002,5,352.0,31
el_paraiso_danli,2002,6,136.3,30
el_paraiso_danli,2002,7,100.1,31
el_paraiso_danli,2002,8,74.7,31
el_paraiso_danli,2002,9,116.2,30
el_paraiso_danli,2002,10,102.4,31
el_paraiso_danli,2002,11,18.9,30
el_paraiso_danli,2002,12,9.3,31
