town,date,precip_mm,grid_lat,grid_lon
comayagua,2005-01-01,0.18,14.25,272.25
ocotepeque,2005-01-01,0.0,14.25,270.75
copan,2005-01-01,0.0,14.75,271.25
comayagua,2005-01-02,0.027,14.25,272.25
ocotepeque,2005-01-02,0.035,14.25,270.75
copan,2005-01-02,0.257,14.75,271.25
comayagua,2005-01-03,0.0,14.25,272.25
ocotepeque,2005-01-03,0.035,14.25,270.75
copan,2005-01-03,0.201,14.75,271.25
comayagua,2005-01-04,0.02,14.25,272.25
ocotepeque,2005-01-04,0.0,14.25,270.75
copan,2005-01-04,0.037,14.75,271.25
comayagua,2005-01-05,0.0,14.25,272.25
ocotepeque,2005-01-05,0.0,14.25,270.75
copan,2005-01-05,0.0,14.75,271.25
comayagua,2005-01-06,0.0,14.25,272.25
ocotepeque,2005-01-06,0.0,14.25,270.75
copan,2005-01-06,0.0,14.75,271.25
comayagua,2005-01-07,0.0,14.25,272.25
ocotepeque,2005-01-07,0.0,14.25,270.75
copan,2005-01-07,0.0,14.75,271.25
comayagua,2005-01-08,0.09,14.25,272.25
ocotepeque,2005-01-08,0.0,14.25,270.75
copan,2005-01-08,0.084,14.75,271.25
comayagua,2005-01-09,0.088,14.25,272.25
ocotepeque,2005-01-09,0.15,14.25,270.75
copan,2005-01-09,0.925,14.75,271.25
comayagua,2005-01-10,0.0,14.25,272.25
ocotepeque,2005-01-10,0.152,14.25,270.75
copan,2005-01-10,0.828,14.75,271.25
comayagua,2005-01-11,0.0,14.25,272.25
ocotepeque,2005-01-11,0.0,14.25,270.75
copan,2005-01-11,0.0,14.75,271.25
comayagua,2005-01-12,0.059,14.25,272.25
ocotepeque,2005-01-12,0.0,14.25,270.75
copan,2005-01-12,0.03,14.75,271.25
comayagua,2005-01-13,0.0,14.25,272.25
ocotepeque,2005-01-13,0.0,14.25,270.75
copan,2005-01-13,0.0,14.75,271.25
comayagua,2005-01-14,0.0,14.25,272.25
ocotepeque,2005-01-14,0.0,14.25,270.75
copan,2005-01-14,0.0,14.75,271.25
comayagua,2005-01-15,0.096,14.25,272.25
ocotepeque,2005-01-15,0.0,14.25,270.75
copan,2005-01-15,0.0,14.75,271.25
comayagua,2005-01-16,0.021,14.25,272.25
ocotepeque,2005-01-16,0.0,14.25,270.75
copan,2005-01-16,0.0,14.75,271.25
comayagua,2005-01-17,0.022,14.25,272.25
ocotepeque,2005-01-17,0.0,14.25,270.75
copan,2005-01-17,0.0,14.75,271.25
comayagua,2005-01-18,0.113,14.25,272.25
