town,date,tmax_c,grid_lat,grid_lon
comayagua,2005-01-01,22.615,14.25,272.25
ocotepeque,2005-01-01,27.851,14.25,270.75
copan,2005-01-01,19.856,14.75,271.25
comayagua,2005-01-02,28.588,14.25,272.25
ocotepeque,2005-01-02,28.298,14.25,270.75
copan,2005-01-02,23.173,14.75,271.25
comayagua,2005-01-03,27.409,14.25,272.25
ocotepeque,2005-01-03,28.52,14.25,270.75
copan,2005-01-03,21.964,14.75,271.25
comayagua,2005-01-04,24.763,14.25,272.25
ocotepeque,2005-01-04,25.57,14.25,270.75
copan,2005-01-04,16.602,14.75,271.25
comayagua,2005-01-05,27.505,14.25,272.25
ocotepeque,2005-01-05,28.142,14.25,270.75
copan,2005-01-05,23.223,14.75,271.25
comayagua,2005-01-06,28.09,14.25,272.25
ocotepeque,2005-01-06,27.879,14.25,270.75
copan,2005-01-06,24.18,14.75,271.25
comayagua,2005-01-07,22.958,14.25,272.25
ocotepeque,2005-01-07,29.61,14.25,270.75
copan,2005-01-07,24.305,14.75,271.25
comayagua,2005-01-08,26.012,14.25,272.25
ocotepeque,2005-01-08,29.491,14.25,270.75
copan,2005-01-08,24.977,14.75,271.25
comayagua,2005-01-09,24.502,14.25,272.25
ocotepeque,2005-01-09,26.385,14.25,270.75
copan,2005-01-09,20.978,14.75,271.25
comayagua,2005-01-10,23.581,14.25,272.25
ocotepeque,2005-01-10,24.989,14.25,270.75
copan,2005-01-10,20.637,14.75,271.25
comayagua,2005-01-11,26.267,14.25,272.25
ocotepeque,2005-01-11,28.38,14.25,270.75
copan,2005-01-11,21.385,14.75,271.25
comayagua,2005-01-12,29.54,14.25,272.25
ocotepeque,2005-01-12,29.789,14.25,270.75
copan,2005-01-12,25.843,14.75,271.25
comayagua,2005-01-13,27.805,14.25,272.25
ocotepeque,2005-01-13,30.357,14.25,270.75
copan,2005-01-13,28.034,14.75,271.25
comayagua,2005-01-14,26.603,14.25,272.25
ocotepeque,2005-01-14,27.937,14.25,270.75
copan,2005-01-14,23.59,14.75,271.25
comayagua,2005-01-15,20.711,14.25,272.25
ocotepeque,2005-01-15,24.401,14.25,270.75
copan,2005-01-15,15.426,14.75,271.25
comayagua,2005-01-16,19.979,14.25,272.25
ocotepeque,2005-01-16,23.538,14.25,270.75
copan,2005-01-16,14.2,14.75,271.25
comayagua,2005-01-17,18.752,14.25,272.25
ocotepeque,2005-01-17,22.106,14.25,270.75
copan,2005-01-17,15.817,14.75,271.25
comayagua,2005-01-18,18.731,14.25,272.25
ocotepeque,2005-01-18,22.151,14.25,270.75
copan,2005-01-18,14.574,14.75,271.25
comayagua,2005-01-19,22.44,14.25,272.25
ocotepeque,2005-01-19,21.765,14.25,270.75
copan,2005-01-19,12.086,14.75,271.25
comayagua,2005-01-20,23.32,14.25,272.25
ocotepeque,2005-01-20,24.066,14.25,270.75
copan,2005-01-20,14.521,14.75,271.25
comayagua,2005-01-21,23.857,14.25,272.25
ocotepeque,2005-01-21,26.151,14.25,270.75
copan,2005-01-21,19.962,14.75,271.25
comayagua,2005-01-22,28.829,14.25,272.25
ocotepeque,2005-01-22,27.501,14.25,270.75
copan,2005-01-22,24.399,14.75,271.25
comayagua,2005-01-23,23.838,14.25,272.25
ocotepeque,2005-01-23,23.479,14.25,270.75
copan,2005-01-23,21.281,14.75,271.25
comayagua,2005-01-24,21.114,14.25,272.25
ocotepeque,2005-01-24,25.856,14.25,270.75
copan,2005-01-24,16.784,14.75,271.25
comayagua,2005-01-25,22.912,14.25,272.25
ocotepeque,2005-01-25,26.338,14.25,270.75
copan,2005-01-25,16.635,14.75,271.25
comayagua,2005-01-26,25.326,14.25,272.25
ocotepeque,2005-01-26,27.375,14.25,270.75
copan,2005-01-26,21.37,14.75,271.25
comayagua,2005-01-27,24.126,14.25,272.25
ocotepeque,2005-01-27,27.507,14.25,270.75
copan,2005-01-27,20.403,14.75,271.25
comayagua,2005-01-28,27.446,14.25,272.25
ocotepeque,2005-01-28,28.88,14.25,270.75
copan,2005-01-28,23.704,14.75,271.25
comayagua,2005-01-29,24.952,14.25,272.25
ocotepeque,2005-01-29,28.695,14.25,270.75
copan,2005-01-29,22.621,14.75,271.25
comayagua,2005-01-30,27.37,14.25,272.25
ocotepeque,2005-01-30,29.156,14.25,270.75
copan,2005-01-30,23.769,14.75,271.25
comayagua,2005-01-31,29.596,14.25,272.25
ocotepeque,2005-01-31,30.476,14.25,270.75
copan,2005-01-31,25.324,14.75,271.25
comayagua,2005-02-01,28.63,14.25,272.25
ocotepeque,2005-02-01,33.874,14.25,270.75
copan,2005-02-01,24.283,14.75,271.25
comayagua,2005-02-02,27.811,14.25,272.25
ocotepeque,2005-02-02,30.122,14.25,270.75
copan,2005-02-02,25.354,14.75,271.25
comayagua,2005-02-03,27.669,14.25,272.25
ocotepeque,2005-02-03,28.316,14.25,270.75
copan,2005-02-03,21.405,14.75,271.25
comayagua,2005-02-04,22.908,14.25,272.25
ocotepeque,2005-02-04,27.278,14.25,270.75
copan,2005-02-04,20.354,14.75,271.25
comayagua,2005-02-05,25.327,14.25,272.25
ocotepeque,2005-02-05,26.856,14.25,270.75
copan,2005-02-05,19.003,14.75,271.25
comayagua,2005-02-06,26.739,14.25,272.25
ocotepeque,2005-02-06,27.881,14.25,270.75
copan,2005-02-06,22.207,14.75,271.25
comayagua,2005-02-07,27.74,14.25,272.25
ocotepeque,2005-02-07,27.284,14.25,270.75
copan,2005-02-07,22.772,14.75,271.25
comayagua,2005-02-08,26.984,14.25,272.25
ocotepeque,2005-02-08,27.088,14.25,270.75
copan,2005-02-08,23.264,14.75,271.25
comayagua,2005-02-09,27.875,14.25,272.25
ocotepeque,2005-02-09,27.363,14.25,270.75
copan,2005-02-09,23.487,14.75,271.25
comayagua,2005-02-10,26.015,14.25,272.25
ocotepeque,2005-02-10,26.042,14.25,270.75
copan,2005-02-10,22.524,14.75,271.25
comayagua,2005-02-11,27.216,14.25,272.25
ocotepeque,2005-02-11,26.836,14.25,270.75
copan,2005-02-11,22.535,14.75,271.25
comayagua,2005-02-12,26.212,14.25,272.25
