town,date,tmin_c,grid_lat,grid_lon
comayagua,2005-01-01,17.168,14.25,272.25
ocotepeque,2005-01-01,17.516,14.25,270.75
copan,2005-01-01,15.691,14.75,271.25
comayagua,2005-01-02,18.63,14.25,272.25
ocotepeque,2005-01-02,18.523,14.25,270.75
copan,2005-01-02,14.484,14.75,271.25
comayagua,2005-01-03,18.856,14.25,272.25
ocotepeque,2005-01-03,19.014,14.25,270.75
copan,2005-01-03,16.524,14.75,271.25
comayagua,2005-01-04,16.765,14.25,272.25
ocotepeque,2005-01-04,18.012,14.25,270.75
copan,2005-01-04,15.24,14.75,271.25
comayagua,2005-01-05,15.417,14.25,272.25
ocotepeque,2005-01-05,15.055,14.25,270.75
copan,2005-01-05,10.015,14.75,271.25
comayagua,2005-01-06,15.791,14.25,272.25
ocotepeque,2005-01-06,18.836,14.25,270.75
copan,2005-01-06,13.516,14.75,271.25
comayagua,2005-01-07,19.062,14.25,272.25
ocotepeque,2005-01-07,20.694,14.25,270.75
copan,2005-01-07,17.523,14.75,271.25
comayagua,2005-01-08,19.784,14.25,272.25
ocotepeque,2005-01-08,18.417,14.25,270.75
copan,2005-01-08,18.366,14.75,271.25
comayagua,2005-01-09,17.932,14.25,272.25
ocotepeque,2005-01-09,18.032,14.25,270.75
copan,2005-01-09,15.621,14.75,271.25
comayagua,2005-01-10,15.245,14.25,272.25
ocotepeque,2005-01-10,15.96,14.25,270.75
copan,2005-01-10,12.072,14.75,271.25
comayagua,2005-01-11,16.366,14.25,272.25
ocotepeque,2005-01-11,15.98,14.25,270.75
copan,2005-01-11,11.286,14.75,271.25
comayagua,2005-01-12,15.948,14.25,272.25
ocotepeque,2005-01-12,17.383,14.25,270.75
copan,2005-01-12,17.597,14.75,271.25
comayagua,2005-01-13,22.474,14.25,272.25
ocotepeque,2005-01-13,17.83,14.25,270.75
copan,2005-01-13,20.217,14.75,271.25
comayagua,2005-01-14,18.792,14.25,272.25
ocotepeque,2005-01-14,19.064,14.25,270.75
copan,2005-01-14,17.751,14.75,271.25
comayagua,2005-01-15,15.698,14.25,272.25
ocotepeque,2005-01-15,18.17,14.25,270.75
copan,2005-01-15,13.705,14.75,271.25
comayagua,2005-01-16,16.43,14.25,272.25
ocotepeque,2005-01-16,17.795,14.25,270.75
copan,2005-01-16,12.634,14.75,271.25
comayagua,2005-01-17,14.367,14.25,272.25
ocotepeque,2005-01-17,16.898,14.25,270.75
copan,2005-01-17,12.047,14.75,271.25
comayagua,2005-01-18,13.095,14.25,272.25
ocotepeque,2005-01-18,15.743,14.25,270.75
copan,2005-01-18,11.459,14.75,271.25
comayagua,2005-01-19,15.192,14.25,272.25
ocotepeque,2005-01-19,15.725,14.25,270.75
copan,2005-01-19,11.44,14.75,271.25
