town,year,month,tmean_c,grid_lat,grid_lon
comayagua,2005,1,20.51,14.25,272.25
ocotepeque,2005,1,22.41,14.25,270.75
copan,2005,1,20.7,14.75,271.25
comayagua,2005,2,21.82,14.25,272.25
ocotepeque,2005,2,23.7,14.25,270.75
copan,2005,2,22.09,14.75,271.25
comayagua,2005,3,23.32,14.25,272.25
ocotepeque,2005,3,25.38,14.25,270.75
copan,2005,3,23.69,14.75,271.25
comayagua,2005,4,23.21,14.25,272.25
ocotepeque,2005,4,25.5,14.25,270.75
copan,2005,4,23.83,14.75,271.25
comayagua,2005,5,22.77,14.25,272.25
ocotepeque,2005,5,24.82,14.25,270.75
copan,2005,5,23.52,14.75,271.25
comayagua,2005,6,22.76,14.25,272.25
ocotepeque,2005,6,24.75,14.25,270.75
copan,2005,6,23.66,14.75,271.25
comayagua,2005,7,22.79,14.25,272.25
ocotepeque,2005,7,24.66,14.25,270.75
copan,2005,7,23.55,14.75,271.25
comayagua,2005,8,22.28,14.25,272.25
ocotepeque,2005,8,24.37,14.25,270.75
copan,2005,8,23.17,14.75,271.25
comayagua,2005,9,22.23,14.25,272.25
ocotepeque,2005,9,24.35,14.25,270.75
copan,2005,9,23.19,14.75,271.25
comayagua,2005,10,21.2,14.25,272.25
ocotepeque,2005,10,23.28,14.25,270.75
copan,2005,10,21.96,14.75,271.25
comayagua,2005,11,20.7,14.25,272.25
ocotepeque,2005,11,23.13,14.25,270.75
copan,2005,11,21.46,14.75,271.25
comayagua,2005,12,21.14,14.25,272.25
ocotepeque,2005,12,23.14,14.25,270.75
copan,2005,12,21.56,14.75,271.25
comayagua,2006,1,21.11,14.25,272.25
ocotepeque,2006,1,23.32,14.25,270.75
copan,2006,1,21.6,14.75,271.25
comayagua,2006,2,20.32,14.25,272.25
ocotepeque,2006,2,22.38,14.25,270.75
copan,2006,2,20.75,14.75,271.25
comayagua,2006,3,22.35,14.25,272.25
ocotepeque,2006,3,24.43,14.25,270.75
copan,2006,3,22.78,14.75,271.25
comayagua,2006,4,22.61,14.25,272.25
ocotepeque,2006,4,25.16,14.25,270.75
copan,2006,4,23.52,14.75,271.25
comayagua,2006,5,22.7,14.25,272.25
ocotepeque,2006,5,24.77,14.25,270.75
copan,2006,5,23.41,14.75,271.25
comayagua,2006,6,22.06,14.25,272.25
ocotepeque,2006,6,24.1,14.25,270.75
copan,2006,6,22.99,14.75,271.25
comayagua,2006,7,22.07,14.25,272.25
ocotepeque,2006,7,24.01,14.25,270.75
copan,2006,7,22.85,14.75,271.25
comayagua,2006,8,22.76,14.25,272.25
ocotepeque,2006,8,24.69,14.25,270.75
copan,2006,8,23.49,14.75,271.25
comayagua,2006,9,21.9,14.25,272.25
ocotepeque,2006,9,24.18,14.25,270.75
copan,2006,9,22.97,14.75,271.25
comayagua,2006,10,22.16,14.25,272.25
ocotepeque,2006,10,24.32,14.25,270.75
copan,2006,10,22.91,14.75,271.25
comayagua,2006,11,20.86,14.25,272.25
ocotepeque,2006,11,23.15,14.25,270.75
copan,2006,11,21.48,14.75,271.25
