town,year,month,rain_mm,grid_lat,grid_lon,source
comayagua,1981,1,20.05,14.5,272.5,"GPCC Full v2020 to 2019 + Monitoring v2020 after, 1deg (PSL)"
comayagua,1981,2,46.76,14.5,272.5,"GPCC Full v2020 to 2019 + Monitoring v2020 after, 1deg (PSL)"
comayagua,1981,3,30.75,14.5,272.5,"GPCC Full v2020 to 2019 + Monitoring v2020 after, 1deg (PSL)"
comayagua,1981,4,53.84,14.5,272.5,"GPCC Full v2020 to 2019 + Monitoring v2020 after, 1deg (PSL)"
comayagua,1981,5,118.4,14.5,272.5,"GPCC Full v2020 to 2019 + Monitoring v2020 after, 1deg (PSL)"
comayagua,1981,6,325.79,14.5,272.5,"GPCC Full v2020 to 2019 + Monitoring v2020 after, 1deg (PSL)"
comayagua,1981,7,184.65,14.5,272.5,"GPCC Full v2020 to 2019 + Monitoring v2020 after, 1deg (PSL)"
comayagua,1981,8,276.63,14.5,272.5,"GPCC Full v2020 to 2019 + Monitoring v2020 after, 1deg (PSL)"
comayagua,1981,9,242.48,14.5,272.5,"GPCC Full v2020 to 2019 + Monitoring v2020 after, 1deg (PSL)"
comayagua,1981,10,156.3,14.5,272.5,"GPCC Full v2020 to 2019 + Monitoring v2020 after, 1deg (PSL)"
comayagua,1981,11,26.21,14.5,272.5,"GPCC Full v2020 to 2019 + Monitoring v2020 after, 1deg (PSL)"
comayagua,1981,12,61.54,14.5,272.5,"GPCC Full v2020 to 2019 + Monitoring v2020 after, 1deg (PSL)"
comayagua,1982,1,28.81,14.5,272.5,"GPCC Full v2020 to 2019 + Monitoring v2020 after, 1deg (PSL)"
comayagua,1982,2,24.33,14.5,272.5,"GPCC Full v2020 to 2019 + Monitoring v2020 after, 1deg (PSL)"
comayagua,1982,3,33.31,14.5,272.5,"GPCC Full v2020 to 2019 + Monitoring v2020 after, 1deg (PSL)"
comayagua,1982,4,51.68,14.5,272.5,"GPCC Full v2020 to 2019 + Monitoring v2020 after, 1deg (PSL)"
comayagua,1982,5,195.13,14.5,272.5,"GPCC Full v2020 to 2019 + Monitoring v2020 after, 1deg (PSL)"
comayagua,1982,6,231.73,14.5,272.5,"GPCC Full v2020 to 2019 + Monitoring v2020 after, 1deg (PSL)"
comayagua,1982,7,144.08,14.5,272.5,"GPCC Full v2020 to 2019 + Monitoring v2020 after, 1deg (PSL)"
comayagua,1982,8,132.75,14.5,272.5,"GPCC Full v2020 to 2019 + Monitoring v2020 after, 1deg (PSL)"
comayagua,1982,9,215.61,14.5,272.5,"GPCC Full v2020 to 2019 + Monitoring v2020 after, 1deg (PSL)"
comayagua,1982,10,132.5,14.5,272.5,"GPCC Full v2020 to 2019 + Monitoring v2020 after, 1deg (PSL)"
comayagua,1982,11,30.95,14.5,272.5,"GPCC Full v2020 to 2019 + Monitoring v2020 after, 1deg (PSL)"
comayagua,1982,12,31.48,14.5,272.5,"GPCC Full v2020 to 2019 + Monitoring v2020 after, 1deg (PSL)"
comayagua,1983,1,24.79,14.5,272.5,"GPCC Full v2020 to 2019 + Monitoring v2020 after, 1deg (PSL)"
