town,year,month,rain_mm,grid_lat,grid_lon,source
comayagua,2012,1,0.0,14.5,272.5,GPCC First Guess Monthly 1deg (PSL)
comayagua,2012,2,19.58,14.5,272.5,GPCC First Guess Monthly 1deg (PSL)
comayagua,2012,3,18.38,14.5,272.5,GPCC First Guess Monthly 1deg (PSL)
comayagua,2012,4,70.86,14.5,272.5,GPCC First Guess Monthly 1deg (PSL)
comayagua,2012,5,238.76,14.5,272.5,GPCC First Guess Monthly 1deg (PSL)
comayagua,2012,6,138.34,14.5,272.5,GPCC First Guess Monthly 1deg (PSL)
comayagua,2012,7,106.77,14.5,272.5,GPCC First Guess Monthly 1deg (PSL)
comayagua,2012,8,270.78,14.5,272.5,GPCC First Guess Monthly 1deg (PSL)
comayagua,2012,9,159.33,14.5,272.5,GPCC First Guess Monthly 1deg (PSL)
comayagua,2012,10,269.24,14.5,272.5,GPCC First Guess Monthly 1deg (PSL)
comayagua,2012,11,42.48,14.5,272.5,GPCC First Guess Monthly 1deg (PSL)
comayagua,2012,12,23.51,14.5,272.5,GPCC First Guess Monthly 1deg (PSL)
comayagua,2013,1,40.61,14.5,272.5,GPCC First Guess Monthly 1deg (PSL)
comayagua,2013,2,13.33,14.5,272.5,GPCC First Guess Monthly 1deg (PSL)
comayagua,2013,3,76.67,14.5,272.5,GPCC First Guess Monthly 1deg (PSL)
comayagua,2013,4,17.31,14.5,272.5,GPCC First Guess Monthly 1deg (PSL)
comayagua,2013,5,222.56,14.5,272.5,GPCC First Guess Monthly 1deg (PSL)
comayagua,2013,6,179.99,14.5,272.5,GPCC First Guess Monthly 1deg (PSL)
comayagua,2013,7,134.27,14.5,272.5,GPCC First Guess Monthly 1deg (PSL)
comayagua,2013,8,215.76,14.5,272.5,GPCC First Guess Monthly 1deg (PSL)
comayagua,2013,9,352.45,14.5,272.5,GPCC First Guess Monthly 1deg (PSL)
comayagua,2013,10,147.38,14.5,272.5,GPCC First Guess Monthly 1deg (PSL)
comayagua,2013,11,61.05,14.5,272.5,GPCC First Guess Monthly 1deg (PSL)
comayagua,2013,12,26.56,14.5,272.5,GPCC First Guess Monthly 1deg (PSL)
comayagua,2014,1,72.86,14.5,272.5,GPCC First Guess Monthly 1deg (PSL)
comayagua,2014,2,16.2,14.5,272.5,GPCC First Guess Monthly 1deg (PSL)
comayagua,2014,3,13.94,14.5,272.5,GPCC First Guess Monthly 1deg (PSL)
comayagua,2014,4,1.98,14.5,272.5,GPCC First Guess Monthly 1deg (PSL)
comayagua,2014,5,123.35,14.5,272.5,GPCC First Guess Monthly 1deg (PSL)
