town,year,month,rain_mm,grid_lat,grid_lon,source
comayagua,1981,1,6.31,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1981,2,21.64,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1981,3,27.27,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1981,4,48.64,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1981,5,98.05,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1981,6,315.2,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1981,7,159.0,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1981,8,256.79,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1981,9,228.37,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1981,10,125.1,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1981,11,10.49,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1981,12,30.15,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1982,1,9.51,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1982,2,12.53,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1982,3,29.03,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1982,4,46.66,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1982,5,179.45,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1982,6,234.71,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1982,7,111.62,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1982,8,126.16,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1982,9,198.73,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1982,10,111.26,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1982,11,6.7,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1982,12,16.84,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1983,1,6.59,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1983,2,11.01,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1983,3,9.08,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1983,4,7.55,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1983,5,15.45,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1983,6,213.6,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1983,7,143.04,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1983,8,146.11,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1983,9,205.9,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1983,10,158.36,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1983,11,53.06,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1983,12,16.11,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1984,1,19.03,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1984,2,31.16,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1984,3,25.49,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1984,4,31.26,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1984,5,62.7,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1984,6,118.5,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1984,7,178.31,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1984,8,165.86,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1984,9,218.89,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1984,10,94.08,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1984,11,4.08,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1984,12,6.42,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1985,1,0.43,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1985,2,5.52,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1985,3,17.52,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1985,4,105.59,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1985,5,34.96,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1985,6,70.33,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1985,7,111.95,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1985,8,109.29,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1985,9,156.86,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1985,10,130.39,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1985,11,31.14,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1985,12,4.69,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
comayagua,1986,1,37.17,14.375,272.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
