town,year,month,rain_mm,grid_lat,grid_lon,source
comayagua,1982,1,38.99,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1982,2,0.0,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1982,3,40.69,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1982,4,31.65,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1982,5,228.35,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1982,6,190.24,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1982,7,148.16,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1982,8,135.29,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1982,9,239.5,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1982,10,85.43,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1982,11,34.96,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1982,12,16.57,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1983,1,21.17,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1983,2,2.86,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1983,3,5.76,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1983,4,28.07,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1983,5,42.74,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1983,6,233.06,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1983,7,161.65,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1983,8,199.77,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1983,9,190.43,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1983,10,130.53,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1983,11,73.45,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1983,12,54.18,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1984,1,52.01,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
