date,element,value,mflag,qflag,sflag
19810101,PRCP,0.0,,,I
19810102,PRCP,0.0,,,I
19810103,PRCP,0.0,,,I
19810104,PRCP,0.0,,,I
19810105,PRCP,0.0,,,I
19810106,PRCP,0.0,,,I
19810107,PRCP,0.0,,,I
19810108,PRCP,0.0,,,I
19810109,PRCP,0.0,,,I
19810110,PRCP,0.0,,,I
19810111,PRCP,0.0,,,I
19810112,PRCP,0.0,,,I
19810113,PRCP,0.0,,,I
19810114,PRCP,0.0,,,I
19810115,PRCP,0.0,,,I
19810116,PRCP,0.0,,,I
19810117,PRCP,0.0,,,I
19810118,PRCP,0.0,,,I
19810119,PRCP,0.0,,,I
19810120,PRCP,0.0,,,I
19810121,PRCP,0.0,,,I
19810122,PRCP,0.0,,,I
19810123,PRCP,0.0,,,I
19810124,PRCP,0.0,,,I
19810125,PRCP,0.0,,,I
19810126,PRCP,0.0,,,I
19810127,PRCP,0.0,,,I
19810128,PRCP,3.8,,,I
19810129,PRCP,0.0,,,I
19810130,PRCP,0.0,,,I
19810131,PRCP,0.0,,,I
19810201,PRCP,0.0,,,I
19810202,PRCP,0.0,,,I
19810203,PRCP,1.4,,,I
19810204,PRCP,4.0,,,I
19810205,PRCP,0.3,,,I
19810206,PRCP,0.0,,,I
19810207,PRCP,0.7,,,I
19810208,PRCP,0.0,,,I
19810209,PRCP,0.0,,,I
19810210,PRCP,1.8,,,I
19810211,PRCP,0.0,,,I
19810212,PRCP,1.6,,,I
19810213,PRCP,0.3,,,I
19810214,PRCP,0.0,,,I
19810215,PRCP,0.0,,,I
19810216,PRCP,0.0,,,I
19810217,PRCP,0.0,,,I
19810218,PRCP,2.2,,,I
19810219,PRCP,10.3,,,I
19810220,PRCP,0.0,,,I
19810221,PRCP,0.0,,,I
19810222,PRCP,0.0,,,I
19810223,PRCP,0.0,,,I
19810224,PRCP,0.0,,,I
19810225,PRCP,0.0,,,I
19810226,PRCP,0.0,,,I
19810227,PRCP,0.0,,,I
19810228,PRCP,0.0,,,I
19810301,PRCP,0.0,,,I
19810302,PRCP,0.0,,,I
19810303,PRCP,0.0,,,I
19810304,PRCP,0.7,,,I
19810305,PRCP,0.0,,,I
19810306,PRCP,0.0,,,I
19810307,PRCP,0.0,,,I
19810308,PRCP,0.0,,,I
19810309,PRCP,0.0,,,I
19810310,PRCP,5.7,,,I
19810311,PRCP,0.1,,,I
19810312,PRCP,0.0,,,I
19810313,PRCP,0.0,,,I
19810314,PRCP,0.2,,,I
19810315,PRCP,0.0,,,I
19810316,PRCP,0.5,,,I
19810317,PRCP,0.3,,,I
19810318,PRCP,0.0,,,I
19810319,PRCP,0.0,,,I
19810320,PRCP,0.0,,,I
19810321,PRCP,0.0,,,I
19810322,PRCP,0.0,,,I
19810323,PRCP,0.0,,,I
19810324,PRCP,0.0,,,I
