date,tmean_c,tmean_n,tmax_c,tmax_flag,tmin_c,tmin_flag,prcp_mm,prcp_flag
1989-06-01,20.44,5,23.5,,13.72,,0.0,G
1989-06-03,19.94,4,23.28,,13.28,,0.0,G
1989-06-05,19.11,5,23.78,,13.11,,86.6,G
1989-06-06,22.28,4,33.0,*,13.11,,33.0,G
1989-06-07,19.44,4,24.39,,13.11,,1.0,G
1989-06-08,18.72,5,24.11,,10.0,,1.0,G
1989-06-10,21.56,4,24.0,,20.0,*,2.3,G
1989-06-12,20.5,5,24.11,,12.39,,0.0,G
1989-06-13,19.67,5,24.0,,12.39,,0.0,G
1989-06-14,18.39,4,24.0,,12.5,,9.1,G
1989-06-15,18.5,4,22.28,,12.0,,0.8,G
1989-06-16,18.78,10,24.0,,11.28,,1.5,G
1989-06-17,18.5,11,23.0,,11.0,,16.8,G
1989-06-18,19.56,12,23.0,*,11.0,,15.0,G
1989-06-19,18.5,5,24.22,,10.5,,0.0,G
1989-06-20,18.22,10,23.5,,11.39,,1.5,G
1989-06-21,19.22,9,24.11,*,11.39,,3.3,G
1989-06-22,20.33,8,24.0,*,11.0,*,0.0,G
1989-06-23,21.17,7,24.5,,11.11,,5.3,G
1989-06-24,19.22,13,25.22,,11.0,,0.0,G
1989-06-25,18.67,10,24.0,,11.0,,1.3,G
1989-06-26,18.39,6,23.28,,13.0,,9.4,G
1989-06-27,17.78,10,22.0,,12.5,,3.8,G
1989-06-28,19.0,11,22.5,,12.5,,39.6,G
1989-06-29,20.17,10,23.0,*,13.89,,0.0,G
1989-06-30,20.22,9,23.5,,12.78,,3.8,G
1989-07-01,21.56,8,28.0,*,10.22,,0.0,G
1989-07-02,20.5,10,23.39,*,12.78,,0.5,G
1989-07-03,19.22,10,23.61,,10.0,,0.0,G
1989-07-04,20.56,11,23.11,,9.78,,20.8,G
1989-07-05,19.56,9,24.0,,12.0,,8.6,G
1989-07-06,19.89,4,22.5,,12.0,,7.6,G
1989-07-07,19.11,9,22.0,,12.5,,1.0,G
1989-07-08,19.22,10,32.0,*,12.5,,4.6,G
1989-07-09,18.56,11,22.5,,12.5,,8.6,G
1989-07-10,18.94,13,22.5,,12.0,,0.0,G
1989-07-11,18.94,8,22.0,,11.5,,0.5,G
1989-07-12,18.83,12,23.22,,10.78,,0.0,G
1989-07-13,19.61,12,22.39,*,10.5,,0.0,G
1989-07-14,20.89,11,23.39,*,10.0,,0.0,G
1989-07-15,20.28,9,24.0,,10.0,,0.0,G
1989-07-16,20.94,10,30.0,*,12.78,,0.0,G
1989-07-17,20.0,9,23.0,,13.5,,1.3,G
1989-07-18,19.94,11,23.11,,12.22,,2.8,G
1989-07-19,18.83,13,22.28,,12.89,,0.0,G
1989-07-20,19.89,12,23.78,,13.22,,1.5,G
1989-07-21,20.0,10,24.0,,13.22,,1.8,G
1989-07-22,19.44,7,22.22,,9.28,,0.0,G
1989-07-23,18.56,11,29.0,*,9.28,,0.0,G
1989-07-24,18.61,10,22.0,,14.72,,5.1,G
1989-07-25,19.78,9,23.22,*,14.0,,0.0,G
1989-07-26,19.72,8,22.0,*,14.22,,0.0,H
1989-07-27,20.11,6,28.0,*,14.22,,0.0,A
1989-07-28,17.0,11,21.78,,14.11,,3.8,G
1989-07-29,18.17,13,21.0,*,11.39,,16.3,G
1989-07-30,20.22,11,25.39,*,9.78,,0.3,G
1989-07-31,20.5,11,25.5,,9.78,,6.3,G
1989-08-01,17.44,12,23.5,,10.0,,0.0,G
1989-08-02,17.83,12,24.0,*,10.0,,2.3,G
1989-08-03,20.78,7,24.0,*,11.5,,2.8,G
1989-08-04,22.5,11,27.39,*,11.5,,2.0,G
1989-08-05,20.83,12,24.5,,10.0,,0.5,G
1989-08-06,19.67,12,24.5,,9.0,,0.0,G
1989-08-07,18.67,10,23.61,*,8.61,,0.0,G
1989-08-08,20.17,10,25.0,*,13.0,*,0.0,G
1989-08-09,20.44,12,27.0,*,8.5,,21.6,G
1989-08-10,20.28,9,23.22,,10.89,,21.6,G
1989-08-11,19.06,10,23.0,,14.61,,4.6,G
1989-08-12,19.44,10,22.22,,13.5,,0.5,G
1989-08-13,18.22,12,22.5,,14.0,,13.0,G
1989-08-14,18.67,8,22.0,,14.0,,9.4,G
1989-08-15,19.22,11,23.78,*,13.0,*,4.1,G
