usaf,wban,name,icao,lat,lon,elev_m,begin,end,km_comayagua,km_ocotepeque,km_copan
787170,99999,SANTA ROSA DE COPAN,MHSR,+14.783,-088.783,+1079.0,19570701,20250822,129.1,58.0,1.8
787180,99999,NUEVA OCOTEPEQUE,MHNO,+14.433,-089.200,+0626.0,19890401,20250824,168.7,1.8,58.2
787210,99999,PALMEROLA INTL,MHPR,+14.383,-087.621,+0628.0,20050101,20250824,7.6,168.3,132.2
787185,99999,CORONEL ENRIQUE SOT,MHSC,+14.383,-087.617,+0628.0,20080319,20080612,7.7,168.8,132.6
787190,99999,LA ESPERANZA,MHLE,+14.333,-088.167,+1100.0,19890601,20250824,58.9,110.0,82.0
787200,99999,TONCONTIN INTL,MHTG,+14.061,-087.217,+1004.0,19510101,20250824,62.3,215.9,186.0
787014,99999,MAPULACA AIRPORT,MHLP,+14.033,-088.633,+0051.8,20110626,20250727,117.3,74.2,83.2
787094,99999,YORO,,+15.133,-087.133,+0000.0,19830418,19830622,93.1,233.8,181.9
787070,99999,YORO,MHYR,+15.167,-087.117,+0670.0,19830812,20250822,97.1,236.6,184.4
787001,99999,AMAPALA/LOS PELONAS,,+13.300,-087.633,+0005.0,19810606,19831102,127.9,209.5,204.9
787000,99999,AMAPALA/LOS PELONAS,MHAM,+13.283,-087.667,+0005.0,19570701,20201128,129.8,207.7,204.3
787240,99999,CHOLUTECA,MHCH,+13.300,-087.183,+0048.0,19630703,20250824,136.8,250.0,237.5
787060,99999,TELA,MHTE,+15.776,-087.476,+0002.1,19510101,20250824,148.4,236.4,179.6
787050,99999,GOLOSON INTL,MHLC,+15.742,-086.853,+0014.9,19730214,20250824,166.3,289.4,233.8
787140,99999,CATACAMAS,MHCA,+14.900,-085.933,+0442.0,19570701,20250824,189.6,353.5,306.7
787030,99999,JUAN MANUEL GALVEZ INTL,MHRO,+16.317,-086.523,+0005.5,19900105,20250824,239.3,353.9,297.2
785141,99999,TRUJILLO,,+15.933,-085.933,+0003.0,20040706,20081231,245.9,386.6,332.0
787040,99999,TRUJILLO HONDURAS,MHTR,+15.930,-085.930,+0003.0,20050101,20250824,245.9,386.7,332.2
999999,11806,PUERTO CASTILLA,MHCT,+16.017,-085.950,+0002.1,19450501,19451201,250.9,389.0,334.0
787013,99999,GUANAJA ISLAND,,+16.467,-086.067,+0002.0,19890616,19971231,280.1,403.3,346.9
787010,99999,LA LAGUNA AIRPORT - GUANAJA,MHNJ,+16.445,-085.907,+0014.9,19570701,19970118,288.9,416.3,360.1
787110,99999,PUERTO LEMPIRA,MHPL,+15.261,-083.781,+0008.0,19610316,20250824,423.7,587.9,540.0
787250,99999,CABO GRACIAS A DIOS,,+15.000,-083.167,+0004.0,19510101,19541231,484.2,650.1,604.1
785010,11807,ISLAS DEL CISNE,MHIC,+17.400,-083.933,+0011.0,19730101,19970612,513.9,651.1,595.2
999999,11807,SWAN ISLAND,MHIC,+17.400,-083.933,+0011.0,19480701,19490101,513.9,651.1,595.2
785010,99999,ISLAS DEL CISNE,MHIC,+17.407,-083.933,+0002.0,20010502,20020812,514.4,651.5,595.5
