section,topic,claim_as_in_search_summary,value,unit,year,verification_status,search_query,candidate_source_urls
1,Lempira,IHCAFE recognized in 2017 that Lempira 98 had lost rust resistance; new races broke resistance in 2017,2017,year,2017,UNVERIFIED - search-engine summary only; document NOT downloaded,variedad Lempira IHCAFE pérdida de resistencia roya 2017,https://www.ihcafe.hn/?mdocs-file=5360 ; https://mvcafe.es/variedad-popular-hondurena-lempira-encontrada-susceptible-a-la-roya-de-la-hoja/
1,Lempira,IHCAFE breeding programme monitored progressive loss of Lempira resistance since 2007; susceptible by 2015; appears as susceptible in national monitoring 2016-17,2007/2015,year,2016-17,UNVERIFIED - search-engine summary only; document NOT downloaded,variedad Lempira IHCAFE pérdida de resistencia roya 2017,https://wikicafe.promecafe.net/index.php/DURABILIDAD_DE_LA_RESISTENCIA_GEN%C3%89TICA_A_LA_ROYA_DEL_CAF%C3%89_(HEMILEIA_VASTATRIX)_EN_VARIEDADES_MEJORADAS_EN_HONDURAS_AL_2019
2,Lempira share of sampled farms,"Lempira = 56.08% of total sampled farms and 67.74% of farms classed as rust-susceptible varieties (IHCAFE Boletín No 8, Oct 2017)",56.08 ; 67.74,% of sampled farms (SAT monitoring),2017,UNVERIFIED - search-engine summary only; document NOT downloaded,variedad Lempira IHCAFE pérdida de resistencia roya 2017,https://www.ihcafe.hn/?mdocs-file=5360
1,Lempira,"Lempira national average rust incidence 3.21% (range 0-33.99%) (IHCAFE Boletín No 8, Oct 2017)",3.21,% incidence,2017,UNVERIFIED - search-engine summary only; document NOT downloaded,variedad Lempira IHCAFE pérdida de resistencia roya 2017,https://www.ihcafe.hn/?mdocs-file=5360
1,Lempira,Catimor; cross Hybrid Timor 832/1 x Caturra; released 1997 (also called Lempira-98),1997/1998,release year,,UNVERIFIED - search-engine summary only; document NOT downloaded,variedad Lempira liberada 1998 IHCAFE Catimor,https://varieties.worldcoffeeresearch.org/varieties/lempira ; https://cafesmyway.com/variedad/lempira/
1,IHCAFE 90,"Catimor (Caturra x Timor Hybrid, CIFC Portugal 1959); Catimor lines introduced in Honduras from 1979; IHCAFE 90 selected after ~10 years of evaluation",1979,year lines introduced,,UNVERIFIED - search-engine summary only; document NOT downloaded,IHCAFE 90 variedad Catimor liberada año,https://www.yumpu.com/es/document/view/58384474/guia-de-variedades-de-cafe/15 ; https://inheritancecoffee.com/pages/cultivar/ihcafe-90
1,Parainema,"Sarchimor selection by IHCAFE (crossed 1980s), officially released 2004; rust + nematode resistance; target 1000-1400 m",2004,release year,,UNVERIFIED - search-engine summary only; document NOT downloaded,Parainema variety World Coffee Research Honduras IHCAFE,https://varieties.worldcoffeeresearch.org/varieties/parainema ; https://library.sweetmarias.com/glossary/parainema/
1,New releases 2024,"Feb 2024 IHCAFE presented three varieties: Ihcatú 75, Anacafé 14 SHN, Ihcatú 75 Obatá SHN (first releases ~20 years after Parainema); seed for >=1,500 manzanas in 2024",2024 ; 1500,year ; manzanas of seed,2024,UNVERIFIED - search-engine summary only; document NOT downloaded,IHCAFE nuevas variedades liberadas 2022 2023 2024,https://www.elheraldo.hn/economia/honduras-dispone-de-tres-nuevas-variedades-de-cafe-IK17849302
1,New releases pipeline,"IHCAFE preparing to release at least 4 more rust-resistant varieties, evaluated in 7 research centres",4,varieties,2023,UNVERIFIED - search-engine summary only; document NOT downloaded,IHCAFE nuevas variedades liberadas 2022 2023 2024,https://www.laprensa.hn/honduras/honduras-ihcafe-prepara-liberar-4-variedades-resistentes-roya-KC15606396
1,Obatá,Obatá SHN (from Brazil) official in Honduras; productivity ~20% above Caturra; moderate rust resistance; in Proyecto de Renovación de Fincas official list,20,% above Caturra,,UNVERIFIED - search-engine summary only; document NOT downloaded,Obatá Rojo IHCAFE Honduras,https://www.anacafe.org/uploads/file/b5280eca11c54a24a2adf4c5647c9205/07-obata-variedad-brasilena.pdf ; https://tripartito.coffee/estas-son-las-nuevas-variedades-de-cafe-en-honduras/
