priority,section,what,url
1,1-2,IHCAFE Boletín SAT No 8 Oct 2017 (Lempira share of sampled farms),https://www.ihcafe.hn/?mdocs-file=5360
1,1,PROMECAFE WikiCafe: durability of rust resistance in improved varieties in Honduras to 2019,https://wikicafe.promecafe.net/index.php/DURABILIDAD_DE_LA_RESISTENCIA_GEN%C3%89TICA_A_LA_ROYA_DEL_CAF%C3%89_(HEMILEIA_VASTATRIX)_EN_VARIEDADES_MEJORADAS_EN_HONDURAS_AL_2019
1,1,WCR variety pages,https://varieties.worldcoffeeresearch.org/varieties/parainema (also /lempira /ihcafe-90 /caturra /catuai /obata-rojo /costa-rica-95 /marsellesa /centroamericano /anacafe-14 /pacas /bourbon /typica /geisha /pacamara /icatu)
1,1,Anacafé variety guide PDF,https://www.anacafe.org/uploads/file/9a4f9434577a433aad6c123d321e25f9/Gu%C3%ADa-de-variedades-Anacaf%C3%A9.pdf
1,1,Guía de variedades de café (IHCAFE 90 page),https://www.yumpu.com/es/document/view/58384474/guia-de-variedades-de-cafe/15
1,1,El Heraldo Feb 2024: three new IHCAFE varieties,https://www.elheraldo.hn/economia/honduras-dispone-de-tres-nuevas-variedades-de-cafe-IK17849302
2,1,ResearchGate: horizontal resistance of Honduran commercial varieties,https://www.researchgate.net/publication/360461721_RESISTENCIA_HORIZONTAL_A_LA_ROYA_DEL_CAFE_HEMILEIA_VASTATRIX_BERK_BR_DE_LAS_VARIEDADES_COMERCIALES_DE_CAFE_DE_HONDURAS
2,1,ResearchGate: horizontal resistance Lempira and H1 Centroamericano,https://www.researchgate.net/publication/360461936_CARACTERIZACION_DE_LA_RESISTENCIA_HORIZONTAL_DE_LA_VARIEDAD_LEMPIRA_Y_DEL_HIBRIDO_F1_CENTROAMERICANO_A_LA_ROYA_DEL_CAFE_HEMILEIA_VASTATRIX_BERK_BR
1,2,Avelino et al. 2015 full text (Food Security 7:303-321),https://d-nb.info/1198124938/34
1,2-3,IHCAFE 'Información general de café de Honduras',https://www.ihcafe.hn/?mdocs-file=4163
1,3,IHCAFE statistics doc 'Contenido 1. Producción primaria',https://www.ihcafe.hn/?mdocs-file=4173
2,2-3,IHCAFE docs 4268 / 4337,https://ihcafe.hn/?mdocs-file=4268 ; https://ihcafe.hn/?mdocs-file=4337
2,2,Zamorano thesis: economic impact of rust on Honduran coffee,https://bdigital.zamorano.edu/items/e6eb0227-c664-4e78-a24e-15fb71ce3f71
1,4,Decreto 93-2018 (IHCAFE copy),https://www.ihcafe.hn/wp-content/uploads/2021/06/Decreto-93-2018_Prestamo-L200_Leyes-IHCAFE-1.pdf
1,4,Decreto 152-2003 Ley de Reactivación Financiera (FAOLEX),https://faolex.fao.org/docs/pdf/hon94834.pdf
1,4,Feb 2013 phytosanitary emergency (FAOLEX),https://faolex.fao.org/docs/pdf/hon123550.pdf
1,4,PCM-031-2021 (TSC),https://www.tsc.gob.hn/web/leyes/PCM-031-2021.pdf
1,4,PCM-048-2018 (TSC),https://www.tsc.gob.hn/web/leyes/PCM-048-2018.pdf
2,4,IHCAFE laws page,https://ihcafe.hn/leyes-y-reglamentos-del-sector/
2,4,SAG bono cafetalero page,https://sag.gob.hn/bono-cafetalero/
2,4,CENISS bono cafetalero,https://www.ceniss.gob.hn/BonosVM/Cafetalero/
2,4,El Heraldo: bancos prestarán L900 millones (2013),https://www.elheraldo.hn/economia/bancos-prestaran-l-900-millones-a-los-caficultores-BKEH610212
2,4,El Heraldo: aprueban dos formas de financiamiento (2018),https://www.elheraldo.hn/honduras/aprueban-dos-formas-de-financiamiento-para-los-caficultores-FWEH1211602
1,5,BCH daily exchange rate XLSX,https://www.bch.hn/estadisticos/GIE/LIBTipo%20de%20cambio/Precio%20Promedio%20Diario%20del%20D%C3%B3lar.xlsx
1,6,AECID/IHCAFE guide to coffee production costs,https://www.aecid.hn/sitio/documentos_publicos/Publicaciones/Desarrollo%20Rural/Libro%20Guia%20Costos%20Cafe%20Honduras.pdf
2,6,LACCEI 2023 paper on coffee profitability Honduras,https://laccei.org/LEIRD2023-VirtualEdition/papers/Contribution_360_final_a.pdf
1,7,INE Boletín exportaciones/importaciones café 2020-2024,https://temp.ine.gob.hn/wp-content/uploads/2025/04/Boletin-Exporaciones-Importaciones-Cafe-2020-2024.pdf
1,7,USDA GAIN Coffee Annual Honduras 2024,https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Coffee+Annual_Tegucigalpa_Honduras_HO2024-0002.pdf
1,7,World Bank FX JSON,https://api.worldbank.org/v2/country/HND/indicator/PA.NUS.FCRF?format=json&per_page=100
