annee,prix_bord_champ_idr_kg,prix_estime_indice,rendement_kg_ha,rendement_estime,revenu_brut_M_idr_ha,taux_change_idr_usd,uree_usd_t,dap_usd_t,tsp_usd_t,kcl_usd_t,uree_idr_kg,dap_idr_kg,kcl_idr_kg,robusta_monde_usd_kg,mois_disponibles
2000,7727.0,non,440,non,3.4,8422,100.9,147.7,137.7,112.5,850,1244,947,0.9,12
2001,7827.0,non,433,non,3.39,10261,96.5,143.5,126.9,112.5,990,1472,1154,0.6,12
2002,5409.0,non,497,non,2.69,9311,94.4,152.2,133.1,112.5,879,1417,1048,0.7,12
2003,5668.0,non,480,non,2.72,8577,138.2,171.7,149.3,112.5,1185,1473,965,0.8,12
2004,5774.0,non,496,non,2.87,8939,174.9,204.8,186.3,125.6,1564,1831,1123,0.8,12
2005,6386.0,non,510,non,3.26,9705,217.4,226.8,201.5,155.0,2110,2201,1504,1.1,12
2006,7857.0,non,521,non,4.1,9160,222.1,229.9,201.6,178.3,2034,2106,1633,1.5,12
2007,11011.0,non,522,non,5.75,9141,307.1,392.0,339.1,195.4,2807,3583,1786,1.9,12
2008,13722.0,non,539,non,7.4,9699,515.0,861.6,879.4,456.0,4995,8357,4423,2.3,12
2009,14007.0,non,539,non,7.55,10390,251.1,288.5,257.4,558.5,2609,2998,5803,1.6,12
2010,13970.0,non,539,non,7.53,9091,288.9,456.4,381.9,332.2,2626,4149,3020,1.7,12
2011,15672.0,non,494,non,7.74,8770,398.9,516.3,538.3,392.8,3499,4528,3445,2.4,12
2012,16406.0,non,560,non,9.19,9386,398.6,480.2,462.0,465.4,3741,4507,4368,2.3,12
2013,16549.0,non,544,non,9.01,10461,339.6,411.0,380.8,395.0,3553,4300,4132,2.1,12
2014,17510.0,non,523,non,9.16,11865,308.4,429.6,382.0,296.6,3659,5097,3519,2.2,12
2015,19135.0,non,520,non,9.95,13389,277.9,416.6,377.6,296.1,3721,5578,3965,1.9,12
2016,19813.0,non,520,non,10.31,13308,194.2,315.8,290.3,260.3,2584,4203,3464,2.0,12
2017,24802.0,non,580,non,14.38,13381,213.9,323.0,283.2,218.2,2862,4322,2920,2.2,12
2018,25393.0,non,604,non,15.32,14237,249.5,393.4,346.7,215.5,3552,5601,3068,1.9,12
2019,21620.0,non,604,non,13.07,14147,245.3,306.4,294.6,255.5,3470,4335,3615,1.6,12
2020,20404.0,non,610,non,12.44,14582,229.1,312.4,265.0,241.1,3341,4556,3516,1.5,12
2021,20141.0,non,614,non,12.37,14308,483.2,601.0,538.2,542.8,6914,8599,7766,2.0,12
2022,21715.0,non,612,non,13.29,14850,700.0,772.2,716.1,863.4,10395,11467,12822,2.3,12
2023,25817.0,non,599,non,15.46,15237,358.0,550.1,480.2,383.2,5455,8382,5839,2.6,12
2024,38789.0,non,636,non,24.68,15856,338.3,563.7,474.6,295.1,5364,8938,4679,4.4,12
2025,51761.0,oui,636,oui,32.93,,422.7,685.2,577.6,347.5,,,,4.9,12
2026,,non,,non,,,560.4,719.7,644.3,388.9,,,,3.9,8
