annee,uree_marche_idr_kg,sp36_proxy_tsp_idr_kg,kcl_idr_kg,facture_marche_M_idr_ha,facture_uree_subventionnee_M_idr_ha,revenu_brut_M_idr_ha,facture_pct_revenu,hypotheses
2005,2110,1956,1504,1.87,,3.26,57.4,"dose vulgarisation Kementan x 1500 arbres/ha : uree 450, SP-36 240, KCl 300 kg/an ; prix Banque mondiale x taux FAO (2025 16475, 2026 16950 approx.)"
2006,2034,1847,1633,1.85,,4.1,45.1,"dose vulgarisation Kementan x 1500 arbres/ha : uree 450, SP-36 240, KCl 300 kg/an ; prix Banque mondiale x taux FAO (2025 16475, 2026 16950 approx.)"
2007,2807,3100,1786,2.54,,5.75,44.2,"dose vulgarisation Kementan x 1500 arbres/ha : uree 450, SP-36 240, KCl 300 kg/an ; prix Banque mondiale x taux FAO (2025 16475, 2026 16950 approx.)"
2008,4995,8529,4423,5.62,,7.4,75.9,"dose vulgarisation Kementan x 1500 arbres/ha : uree 450, SP-36 240, KCl 300 kg/an ; prix Banque mondiale x taux FAO (2025 16475, 2026 16950 approx.)"
2009,2609,2674,5803,3.56,,7.55,47.2,"dose vulgarisation Kementan x 1500 arbres/ha : uree 450, SP-36 240, KCl 300 kg/an ; prix Banque mondiale x taux FAO (2025 16475, 2026 16950 approx.)"
2010,2626,3472,3020,2.92,,7.53,38.8,"dose vulgarisation Kementan x 1500 arbres/ha : uree 450, SP-36 240, KCl 300 kg/an ; prix Banque mondiale x taux FAO (2025 16475, 2026 16950 approx.)"
2011,3498,4721,3445,3.74,,7.74,48.3,"dose vulgarisation Kementan x 1500 arbres/ha : uree 450, SP-36 240, KCl 300 kg/an ; prix Banque mondiale x taux FAO (2025 16475, 2026 16950 approx.)"
2012,3741,4336,4368,4.03,3.16,9.19,43.9,"dose vulgarisation Kementan x 1500 arbres/ha : uree 450, SP-36 240, KCl 300 kg/an ; prix Banque mondiale x taux FAO (2025 16475, 2026 16950 approx.)"
2013,3553,3984,4132,3.79,3.01,9.01,42.1,"dose vulgarisation Kementan x 1500 arbres/ha : uree 450, SP-36 240, KCl 300 kg/an ; prix Banque mondiale x taux FAO (2025 16475, 2026 16950 approx.)"
2014,3659,4532,3519,3.79,2.95,9.16,41.4,"dose vulgarisation Kementan x 1500 arbres/ha : uree 450, SP-36 240, KCl 300 kg/an ; prix Banque mondiale x taux FAO (2025 16475, 2026 16950 approx.)"
2015,3721,5056,3964,4.08,3.21,9.95,41.0,"dose vulgarisation Kementan x 1500 arbres/ha : uree 450, SP-36 240, KCl 300 kg/an ; prix Banque mondiale x taux FAO (2025 16475, 2026 16950 approx.)"
2016,2584,3863,3464,3.13,2.78,10.31,30.4,"dose vulgarisation Kementan x 1500 arbres/ha : uree 450, SP-36 240, KCl 300 kg/an ; prix Banque mondiale x taux FAO (2025 16475, 2026 16950 approx.)"
2017,2862,3789,2920,3.07,2.6,14.38,21.3,"dose vulgarisation Kementan x 1500 arbres/ha : uree 450, SP-36 240, KCl 300 kg/an ; prix Banque mondiale x taux FAO (2025 16475, 2026 16950 approx.)"
2018,3552,4936,3068,3.7,2.92,15.32,24.2,"dose vulgarisation Kementan x 1500 arbres/ha : uree 450, SP-36 240, KCl 300 kg/an ; prix Banque mondiale x taux FAO (2025 16475, 2026 16950 approx.)"
2019,3470,4168,3615,3.65,2.89,13.07,27.9,"dose vulgarisation Kementan x 1500 arbres/ha : uree 450, SP-36 240, KCl 300 kg/an ; prix Banque mondiale x taux FAO (2025 16475, 2026 16950 approx.)"
2020,3341,3864,3516,3.49,2.79,12.44,28.1,"dose vulgarisation Kementan x 1500 arbres/ha : uree 450, SP-36 240, KCl 300 kg/an ; prix Banque mondiale x taux FAO (2025 16475, 2026 16950 approx.)"
2021,6914,7701,7766,7.29,5.19,12.37,58.9,"dose vulgarisation Kementan x 1500 arbres/ha : uree 450, SP-36 240, KCl 300 kg/an ; prix Banque mondiale x taux FAO (2025 16475, 2026 16950 approx.)"
2022,10395,10634,12821,11.08,7.41,13.29,83.4,"dose vulgarisation Kementan x 1500 arbres/ha : uree 450, SP-36 240, KCl 300 kg/an ; prix Banque mondiale x taux FAO (2025 16475, 2026 16950 approx.)"
2023,5455,7317,5839,5.96,4.52,15.46,38.6,"dose vulgarisation Kementan x 1500 arbres/ha : uree 450, SP-36 240, KCl 300 kg/an ; prix Banque mondiale x taux FAO (2025 16475, 2026 16950 approx.)"
2024,5364,7525,4679,5.62,4.22,24.68,22.8,"dose vulgarisation Kementan x 1500 arbres/ha : uree 450, SP-36 240, KCl 300 kg/an ; prix Banque mondiale x taux FAO (2025 16475, 2026 16950 approx.)"
2025,6964,9516,5725,7.14,5.01,32.93,21.7,"dose vulgarisation Kementan x 1500 arbres/ha : uree 450, SP-36 240, KCl 300 kg/an ; prix Banque mondiale x taux FAO (2025 16475, 2026 16950 approx.)"
2026,9499,10921,6592,8.87,5.41,,,"dose vulgarisation Kementan x 1500 arbres/ha : uree 450, SP-36 240, KCl 300 kg/an ; prix Banque mondiale x taux FAO (2025 16475, 2026 16950 approx.)"
