annee,mois,serie,valeur_idr,unite,fiabilite,source
2015,mai,"salaire journalier nominal ouvrier agricole, national (BPS)",46386,IDR/jour,chiffre cité,https://ekonomi.bisnis.com/read/20150615/9/443481/bps-upah-buruh-tani-rp46.000-tukang-bangunan-rp80.000hari-
2016,avril,"salaire journalier nominal ouvrier agricole, national (BPS)",47731,IDR/jour,chiffre cité,https://bisnis.tempo.co/read/771493/upah-harian-buruh-tani-naikmenjadi-rp-47-731
2017,juin,"salaire journalier nominal ouvrier agricole, national (BPS)",49912,IDR/jour,chiffre cité,https://www.jpnn.com/news/upah-buruh-tani-meningkat-kesejahteraan-petani-membaik
2018,avril,"salaire journalier nominal ouvrier agricole, national (BPS)",51864,IDR/jour,chiffre cité,https://x.com/bps_statistics/status/996310543743905793
2018,novembre,"salaire journalier nominal ouvrier agricole, national (BPS)",52955,IDR/jour,chiffre cité,https://www.bps.go.id/id/pressrelease/2018/12/17/1518/upah-nominal-harian-buruh-tani-nasional-november-2018-naik-sebesar-0-24-persen.html
2019,juin,"salaire journalier nominal ouvrier agricole, national (BPS)",54152,IDR/jour,chiffre cité,https://kalteng.antaranews.com/berita/330222/bps-catat-juni-2019-upah-buruh-tani-naik
2020,juin,"salaire journalier nominal ouvrier agricole, national (BPS)",55503,IDR/jour,chiffre cité,https://ekonomi.bisnis.com/read/20200715/12/1266362/upah-harian-buruh-tani-nasional-juni-2020-naik-019-persen
2021,juin,"salaire journalier nominal ouvrier agricole, national (BPS)",56794,IDR/jour,chiffre cité,https://www.antaranews.com/berita/2268734/bps-upah-nominal-harian-buruh-tani-nasional-juni-naik-015-persen
2022,juin,"salaire journalier nominal ouvrier agricole, national (BPS)",58337,IDR/jour,chiffre cité,https://www.bps.go.id/en/pressrelease/2022/07/01/1941/upah-nominal-harian-buruh-tani-nasional-juni-2022-naik-sebesar-0-18-persen.html
2022,décembre,"salaire journalier nominal ouvrier agricole, national (BPS)",59226,IDR/jour,chiffre cité,https://www.idxchannel.com/economics/upah-harian-buruh-tani-naik-022-persen-jadi-rp59226-per-hari
2017,,salaire minimum provincial Lampung (UMP),1908447,IDR/mois,chiffre cité,https://lampung.antaranews.com/berita/809410/ump-lampung-2026-ditetapkan-rp3047734
2018,,salaire minimum provincial Lampung (UMP),2074673,IDR/mois,chiffre cité,https://lampung.antaranews.com/berita/809410/ump-lampung-2026-ditetapkan-rp3047734
2021,,salaire minimum provincial Lampung (UMP),2432001,IDR/mois,chiffre cité,https://lampung.antaranews.com/berita/809410/ump-lampung-2026-ditetapkan-rp3047734
2022,,salaire minimum provincial Lampung (UMP),2440486,IDR/mois,chiffre cité,https://lampung.antaranews.com/berita/809410/ump-lampung-2026-ditetapkan-rp3047734
2023,,salaire minimum provincial Lampung (UMP),2633285,IDR/mois,chiffre cité,https://lampung.antaranews.com/berita/809410/ump-lampung-2026-ditetapkan-rp3047734
2024,,salaire minimum provincial Lampung (UMP),2716497,IDR/mois,chiffre cité,https://lampung.antaranews.com/berita/809410/ump-lampung-2026-ditetapkan-rp3047734
2025,,salaire minimum provincial Lampung (UMP),2893070,IDR/mois,chiffre cité,https://lampung.antaranews.com/berita/809410/ump-lampung-2026-ditetapkan-rp3047734
2026,,salaire minimum provincial Lampung (UMP),3047734,IDR/mois,chiffre cité,https://lampung.antaranews.com/berita/809410/ump-lampung-2026-ditetapkan-rp3047734
