annee,min_idr_kg,max_idr_kg,contexte,source
2015,17753,18051,"déc., Lampung, prix au comptant",https://bappebti.go.id/resources/docs/info-komoditi_2016-02-04_14-58-47_5._Analisis_Bulanan_Robusta-Desember_.pdf
2016,22000,23000,"déc., planteurs du Lampung",https://regional.kontan.co.id/news/harga-kopi-robusta-lampung-kian-harum
2018,21373,21512,"nov.-déc., prix producteur BPS Lampung",https://www.ceicdata.com/en/indonesia/producer-price-by-province-robusta-coffee/producer-price-robusta-coffee-lampung
2019,19000,19000,"mars, Tanggamus (approx.)",https://tirto.id/petani-kopi-robusta-lampung-harap-harga-kopi-rp-20-ribu-kg-66
2020,19500,19500,"vers mai, Lampung",https://lampung.antaranews.com/berita/449617/di-tengah-pandemi-harga-kopi-lampung-turun-jadi-rp19500-per-kilogram
2021,17000,17000,"mars, Lampung Barat",https://lampung.antaranews.com/berita/489874/harga-kopi-lampung-barat-berkisar-rp17-ribukg
2022,23000,26000,"mai, Lampung Barat",https://www.kupastuntas.co/2022/05/17/memasuki-panen-raya-harga-kopi-di-lambar-naik
2023,25000,35000,"mai, Ulubelu",https://www.antaranews.com/berita/3546816/harga-biji-kopi-robusta-di-kabupaten-tanggamus-lampung-naik
2024,70000,73000,"juillet, Tanggamus et Lampung Barat",https://lampung.antaranews.com/berita/734565/petani-sebut-harga-biji-kopi-robusta-di-lampung-tembus-rp70000-per-kilogram
2025,48000,84000,"févr.-juin, Pagar Alam, Lampung Barat, Sumsel",https://sumatra.bisnis.com/read/20250411/533/1868473/harga-kopi-robusta-di-pagar-alam-tembus-84000-per-kg
2026,42000,55000,"avr.-juin, Lampung Barat, Sumsel, Sekincau",https://investlampung.id/nasional/update-harga-kopi-lampung-april-2026-dari-petani-sampai-eksportir/
