mois,robusta_lampung_idr_kg,arabica_medan_idr_kg,idr_par_usd
2015-01,21446,56705,12579
2015-02,21803,53891,12750
2015-03,20592,48942,13067
2015-04,20194,49499,12948
2015-05,19040,48697,13141
2015-06,20927,52134,13313
2015-07,21354,56946,13375
2015-08,19723,54035,13782
2015-09,19539,54431,14396
2015-10,18819,53462,13796
2015-11,18248,51420,13673
2015-12,17719,52434,13855
2016-01,16460,51976,13889
2016-02,15953,50242,13516
2016-03,16089,50946,13193
2016-04,17092,50667,13180
2016-05,18795,52024,13420
2016-06,19192,53289,13355
2016-07,20403,55739,13116
2016-08,20806,55144,13165
2016-09,22270,57260,13118
2016-10,24078,58042,13017
2016-11,25767,60790,13311
2016-12,24916,55692,13417
2017-01,26655,57733,13359
2017-02,25741,57135,13341
2017-03,25723,55772,13346
2017-04,24812,54384,13307
2017-05,23318,53420,13323
2017-06,23976,51575,13297
2017-07,25981,51989,13342
2017-08,25873,52139,13342
2017-09,24289,52359,13303
2017-10,24545,53223,13526
2017-11,24704,54154,13527
2017-12,24787,56846,13557
2018-01,24930,57495,13380
2018-02,25855,56625,13590
2018-03,26317,56591,13758
2018-04,25265,55820,13803
2018-05,26219,57515,14060
2018-06,25686,56509,14049
2018-07,26674,54738,14415
2018-08,25311,53079,14560
2018-09,24104,52032,14869
2018-10,26943,60281,15179
2018-11,25346,57451,14697
2018-12,22758,52077,14497
2019-01,22528,52101,14163
2019-02,22462,49683,14035
2019-03,22226,48342,14211
2019-04,20628,46849,14143
2019-05,19829,47156,14393
2019-06,20469,51637,14227
2019-07,20135,52010,14044
2019-08,18998,48415,14242
2019-09,18812,49328,14111
2019-10,17862,49062,14118
2019-11,19491,53557,14069
2019-12,20238,62365,14017
2020-01,18529,54862,13732
2020-02,17980,50733,13776
2020-03,18352,55802,15195
2020-04,18195,62087,15867
2020-05,17701,55112,14906
2020-06,16943,49194,14196
2020-07,18353,52600,14582
2020-08,21951,60338,14725
2020-09,22606,62736,14848
2020-10,19073,55339,14758
2020-11,20089,55249,14237
2020-12,20593,59127,14166
2021-01,19208,60558,14062
2021-02,19635,61201,14044
2021-03,20693,64574,14417
2021-04,20555,66070,14551
2021-05,22043,73426,14334
2021-06,24333,76932,14351
2021-07,27666,83641,14507
2021-08,28552,89133,14390
2021-09,32259,92147,14258
2021-10,33041,97821,14191
2021-11,35249,107508,14270
2021-12,36428,114524,14327
2022-01,36713,115135,14341
2022-02,35316,120659,14350
2022-03,34569,109210,14348
2022-04,32441,110717,14375
2022-05,32504,108798,14615
2022-06,32950,115627,14702
2022-07,31702,110862,14983
2022-08,34919,112860,14850
2022-09,36132,115505,14989
2022-10,34302,105585,15435
2022-11,31026,88805,15665
2022-12,32143,88384,15608
2023-01,31831,83195,15267
2023-02,33933,94239,15138
2023-03,35219,94299,15288
2023-04,38642,95268,14844
2023-05,42340,94804,14827
2023-06,44939,92614,14932
2023-07,45401,82766,15044
2023-08,44114,81598,15252
2023-09,44526,80395,15367
2023-10,42037,83344,15760
2023-11,44700,93531,15599
2023-12,47790,102543,15511
2024-01,56069,99373,15627
2024-02,55854,102860,15660
2024-03,59018,101778,15711
2024-04,72712,122088,16125
2024-05,69183,115931,16083
2024-06,78739,126734,16337
2024-07,84688,132513,16257
2024-08,82914,129851,15756
2024-09,93811,133269,15324
2024-10,84037,134268,15515
2024-11,81332,148299,15820
2024-12,92146,174831,16039
2025-01,94724,182152,16270
2025-02,104371,222884,16351
2025-03,102373,218541,16456
2025-04,98659,213411,16827
2025-05,92487,211184,16418
2025-06,77196,186005,16307
2025-07,66446,164607,16286
2025-08,75000,185903,16309
2025-09,85290,216236,16523
2025-10,84128,219802,16604
2025-11,85386,229835,16705
2025-12,77284,215523,16702
2026-01,78595,203476,16832
2026-02,70862,170465,16825
2026-03,69785,170767,16924
2026-04,66661,174162,17159
2026-05,,,17387
