recolte_annee_N,campagne_usda,surface_plantee_ha_ministere,surface_productive_ha,surface_productive_estimee,production_usda_M_sacs,rendement_usda_sacs_par_ha,rendement_ministere_sacs_par_ha,annee_floraison,oni_aout_nov,phase_enso,villes_pluie_floraison_sur5,pluie_aout_oct_pct_normale,ecart_recolte_vs_voisines_pct
2005,2005/06,1112597,838709,non,8.4,10.02,11.15,2004,0.59,El Niño,5,84,21.7
2006,2006/07,1089951,826450,non,6.6,7.99,11.4,2005,-0.27,Neutre,1,162,-17.0
2007,2007/08,1018573,775355,non,7.2,9.29,11.44,2006,0.61,El Niño,2,9,-11.9
2008,2008/09,970677,739543,non,8.7,11.76,11.94,2007,-1.19,La Niña,3,64,14.9
2009,2009/10,946791,708756,non,9.0,12.7,12.04,2008,-0.34,Neutre,5,117,18.8
2010,2010/11,920790,698968,non,7.95,11.37,12.34,2009,0.86,El Niño,4,95,-10.2
2011,2011/12,902341,685799,non,6.67,9.73,11.47,2010,-1.45,La Niña,0,214,-26.7
2012,2012/13,902548,694119,non,9.9,14.26,11.66,2011,-0.8,La Niña,5,55,8.8
2013,2013/14,879117,672772,non,10.0,14.86,12.05,2012,0.29,Neutre,5,92,8.1
2014,2014/15,863731,664949,non,9.2,13.84,11.28,2013,-0.23,Neutre,0,139,-4.7
2015,2015/16,863626,668115,non,10.6,15.87,11.03,2014,0.38,Neutre,4,82,12.8
2016,2016/17,871648,667581,non,9.3,13.93,11.22,2015,2.12,El Niño,5,27,-1.3
2017,2017/18,859547,663991,non,9.4,14.16,12.64,2016,-0.44,Neutre,1,152,0.0
2018,2018/19,860094,673061,non,9.4,13.97,13.13,2017,-0.34,Neutre,0,143,0.0
2019,2019/20,860438,672546,non,9.45,14.05,13.34,2018,0.67,El Niño,1,107,0.5
2020,2020/21,860777,673628,non,9.4,13.95,13.62,2019,0.43,Neutre,5,26,0.0
2021,2021/22,890427,694133,non,9.3,13.4,13.62,2020,-0.83,La Niña,4,151,-1.1
2022,2022/23,890065,695143,non,9.5,13.67,13.75,2021,-0.7,La Niña,1,164,1.6
2023,2023/24,896285,697924,oui,6.8,9.74,,2022,-0.84,La Niña,0,214,-28.0
2024,2024/25,,700715,oui,9.3,13.27,,2023,1.6,El Niño,1,26,-2.1
2025,2025/26,,703518,oui,11.0,15.64,,2024,-0.16,Neutre,2,57,17.0
2026,2026/27,,706332,oui,10.0,14.16,,2025,-0.47,Neutre,0,214,7.5
2027,2027/28,,709158,oui,,,,2026,,,4,,
