item_code,item,element_code,element,unit,year,value,flag
661,Cocoa beans,5312,Area harvested,ha,1990,158820.000000,A
661,Cocoa beans,5312,Area harvested,ha,1991,183956.000000,A
661,Cocoa beans,5312,Area harvested,ha,1992,189596.000000,A
661,Cocoa beans,5312,Area harvested,ha,1993,299546.000000,A
661,Cocoa beans,5312,Area harvested,ha,1994,359086.000000,A
661,Cocoa beans,5312,Area harvested,ha,1995,374261.000000,A
661,Cocoa beans,5312,Area harvested,ha,1996,398655.000000,A
661,Cocoa beans,5312,Area harvested,ha,1997,386605.000000,A
661,Cocoa beans,5312,Area harvested,ha,1998,403166.000000,A
661,Cocoa beans,5312,Area harvested,ha,1999,667897.000000,A
661,Cocoa beans,5312,Area harvested,ha,2000,749917.000000,A
661,Cocoa beans,5312,Area harvested,ha,2001,765405.000000,A
661,Cocoa beans,5312,Area harvested,ha,2002,776901.000000,A
661,Cocoa beans,5312,Area harvested,ha,2003,961107.000000,A
661,Cocoa beans,5312,Area harvested,ha,2004,1090960.000000,A
661,Cocoa beans,5312,Area harvested,ha,2005,1167046.000000,A
661,Cocoa beans,5312,Area harvested,ha,2006,905730.000000,A
661,Cocoa beans,5312,Area harvested,ha,2007,923968.000000,A
661,Cocoa beans,5312,Area harvested,ha,2008,1425216.000000,A
661,Cocoa beans,5312,Area harvested,ha,2009,1587136.000000,A
661,Cocoa beans,5312,Area harvested,ha,2010,1651539.000000,A
661,Cocoa beans,5312,Area harvested,ha,2011,1732600.000000,A
661,Cocoa beans,5312,Area harvested,ha,2012,1852900.000000,A
661,Cocoa beans,5312,Area harvested,ha,2013,1740600.000000,A
661,Cocoa beans,5312,Area harvested,ha,2014,1727400.000000,A
661,Cocoa beans,5312,Area harvested,ha,2015,1709284.000000,A
661,Cocoa beans,5312,Area harvested,ha,2016,1701351.000000,A
661,Cocoa beans,5312,Area harvested,ha,2017,1658421.000000,A
661,Cocoa beans,5312,Area harvested,ha,2018,1611014.000000,A
661,Cocoa beans,5312,Area harvested,ha,2019,1560945.000000,A
661,Cocoa beans,5312,Area harvested,ha,2020,1508955.000000,A
661,Cocoa beans,5312,Area harvested,ha,2021,1421014.000000,A
661,Cocoa beans,5312,Area harvested,ha,2022,1421014.000000,A
661,Cocoa beans,5312,Area harvested,ha,2023,1393390.000000,A
661,Cocoa beans,5312,Area harvested,ha,2024,1386749.000000,A
661,Cocoa beans,5412,Yield,kg/ha,1990,896.300000,A
661,Cocoa beans,5412,Yield,kg/ha,1991,950.800000,A
661,Cocoa beans,5412,Yield,kg/ha,1992,1092.600000,A
661,Cocoa beans,5412,Yield,kg/ha,1993,861.500000,A
661,Cocoa beans,5412,Yield,kg/ha,1994,673.100000,A
661,Cocoa beans,5412,Yield,kg/ha,1995,743.900000,A
661,Cocoa beans,5412,Yield,kg/ha,1996,880.000000,A
661,Cocoa beans,5412,Yield,kg/ha,1997,852.800000,A
661,Cocoa beans,5412,Yield,kg/ha,1998,1132.300000,A
661,Cocoa beans,5412,Yield,kg/ha,1999,550.200000,A
661,Cocoa beans,5412,Yield,kg/ha,2000,561.600000,A
661,Cocoa beans,5412,Yield,kg/ha,2001,701.300000,A
661,Cocoa beans,5412,Yield,kg/ha,2002,797.000000,A
661,Cocoa beans,5412,Yield,kg/ha,2003,723.500000,A
661,Cocoa beans,5412,Yield,kg/ha,2004,634.000000,A
661,Cocoa beans,5412,Yield,kg/ha,2005,641.600000,A
661,Cocoa beans,5412,Yield,kg/ha,2006,849.500000,A
661,Cocoa beans,5412,Yield,kg/ha,2007,800.900000,A
661,Cocoa beans,5412,Yield,kg/ha,2008,563.800000,A
661,Cocoa beans,5412,Yield,kg/ha,2009,510.100000,A
661,Cocoa beans,5412,Yield,kg/ha,2010,511.400000,A
661,Cocoa beans,5412,Yield,kg/ha,2011,411.100000,A
661,Cocoa beans,5412,Yield,kg/ha,2012,399.600000,A
661,Cocoa beans,5412,Yield,kg/ha,2013,414.200000,A
661,Cocoa beans,5412,Yield,kg/ha,2014,421.700000,A
661,Cocoa beans,5412,Yield,kg/ha,2015,347.100000,A
661,Cocoa beans,5412,Yield,kg/ha,2016,386.100000,A
661,Cocoa beans,5412,Yield,kg/ha,2017,356.200000,A
661,Cocoa beans,5412,Yield,kg/ha,2018,476.300000,A
661,Cocoa beans,5412,Yield,kg/ha,2019,470.700000,A
661,Cocoa beans,5412,Yield,kg/ha,2020,477.600000,A
661,Cocoa beans,5412,Yield,kg/ha,2021,457.900000,A
661,Cocoa beans,5412,Yield,kg/ha,2022,457.900000,A
661,Cocoa beans,5412,Yield,kg/ha,2023,453.700000,A
661,Cocoa beans,5412,Yield,kg/ha,2024,456.200000,A
661,Cocoa beans,5510,Production,t,1990,142347.000000,A
661,Cocoa beans,5510,Production,t,1991,174899.000000,A
661,Cocoa beans,5510,Production,t,1992,207147.000000,A
661,Cocoa beans,5510,Production,t,1993,258059.000000,A
661,Cocoa beans,5510,Production,t,1994,241701.000000,A
661,Cocoa beans,5510,Production,t,1995,278400.000000,A
661,Cocoa beans,5510,Production,t,1996,350800.000000,A
661,Cocoa beans,5510,Production,t,1997,329700.000000,A
661,Cocoa beans,5510,Production,t,1998,456499.000000,A
661,Cocoa beans,5510,Production,t,1999,367475.000000,A
661,Cocoa beans,5510,Production,t,2000,421142.000000,A
661,Cocoa beans,5510,Production,t,2001,536804.000000,A
661,Cocoa beans,5510,Production,t,2002,619192.000000,A
661,Cocoa beans,5510,Production,t,2003,695361.000000,A
661,Cocoa beans,5510,Production,t,2004,691704.000000,A
661,Cocoa beans,5510,Production,t,2005,748827.000000,A
661,Cocoa beans,5510,Production,t,2006,769386.000000,A
661,Cocoa beans,5510,Production,t,2007,740006.000000,A
661,Cocoa beans,5510,Production,t,2008,803593.000000,A
661,Cocoa beans,5510,Production,t,2009,809583.000000,A
661,Cocoa beans,5510,Production,t,2010,844626.000000,A
661,Cocoa beans,5510,Production,t,2011,712200.000000,A
661,Cocoa beans,5510,Production,t,2012,740500.000000,A
661,Cocoa beans,5510,Production,t,2013,720900.000000,A
661,Cocoa beans,5510,Production,t,2014,728400.000000,A
661,Cocoa beans,5510,Production,t,2015,593331.000000,A
661,Cocoa beans,5510,Production,t,2016,656817.000000,A
661,Cocoa beans,5510,Production,t,2017,590684.000000,A
661,Cocoa beans,5510,Production,t,2018,767280.000000,A
661,Cocoa beans,5510,Production,t,2019,734795.000000,A
661,Cocoa beans,5510,Production,t,2020,720660.000000,A
661,Cocoa beans,5510,Production,t,2021,650611.690000,A
661,Cocoa beans,5510,Production,t,2022,650611.690000,A
661,Cocoa beans,5510,Production,t,2023,632117.000000,A
661,Cocoa beans,5510,Production,t,2024,632702.000000,A
656,"Coffee, green",5312,Area harvested,ha,1990,746759.000000,A
656,"Coffee, green",5312,Area harvested,ha,1991,760308.000000,A
656,"Coffee, green",5312,Area harvested,ha,1992,793000.000000,A
656,"Coffee, green",5312,Area harvested,ha,1993,810000.000000,A
656,"Coffee, green",5312,Area harvested,ha,1994,797000.000000,A
656,"Coffee, green",5312,Area harvested,ha,1995,846078.000000,A
656,"Coffee, green",5312,Area harvested,ha,1996,836621.000000,A
656,"Coffee, green",5312,Area harvested,ha,1997,831782.000000,A
656,"Coffee, green",5312,Area harvested,ha,1998,844172.000000,A
656,"Coffee, green",5312,Area harvested,ha,1999,900000.000000,X
656,"Coffee, green",5312,Area harvested,ha,2000,1260687.000000,A
656,"Coffee, green",5312,Area harvested,ha,2001,1313383.000000,A
656,"Coffee, green",5312,Area harvested,ha,2002,1372184.000000,A
656,"Coffee, green",5312,Area harvested,ha,2003,1381730.000000,A
656,"Coffee, green",5312,Area harvested,ha,2004,1303943.000000,A
656,"Coffee, green",5312,Area harvested,ha,2005,1255272.000000,A
656,"Coffee, green",5312,Area harvested,ha,2006,1308732.000000,A
656,"Coffee, green",5312,Area harvested,ha,2007,1295912.000000,A
656,"Coffee, green",5312,Area harvested,ha,2008,1295111.000000,A
656,"Coffee, green",5312,Area harvested,ha,2009,1266235.000000,A
656,"Coffee, green",5312,Area harvested,ha,2010,1268476.000000,A
656,"Coffee, green",5312,Area harvested,ha,2011,1293000.000000,A
656,"Coffee, green",5312,Area harvested,ha,2012,1233900.000000,A
656,"Coffee, green",5312,Area harvested,ha,2013,1241700.000000,A
656,"Coffee, green",5312,Area harvested,ha,2014,1230500.000000,A
656,"Coffee, green",5312,Area harvested,ha,2015,1230001.000000,A
656,"Coffee, green",5312,Area harvested,ha,2016,1228512.000000,A
656,"Coffee, green",5312,Area harvested,ha,2017,1238598.000000,A
656,"Coffee, green",5312,Area harvested,ha,2018,1252826.000000,A
656,"Coffee, green",5312,Area harvested,ha,2019,1245359.000000,A
656,"Coffee, green",5312,Area harvested,ha,2020,1250452.000000,A
656,"Coffee, green",5312,Area harvested,ha,2021,1279570.000000,A
656,"Coffee, green",5312,Area harvested,ha,2022,1265961.000000,A
656,"Coffee, green",5312,Area harvested,ha,2023,1266848.000000,A
656,"Coffee, green",5312,Area harvested,ha,2024,1269354.000000,A
656,"Coffee, green",5412,Yield,kg/ha,1990,552.700000,A
656,"Coffee, green",5412,Yield,kg/ha,1991,563.300000,A
656,"Coffee, green",5412,Yield,kg/ha,1992,551.000000,A
656,"Coffee, green",5412,Yield,kg/ha,1993,541.800000,A
656,"Coffee, green",5412,Yield,kg/ha,1994,564.900000,A
656,"Coffee, green",5412,Yield,kg/ha,1995,541.100000,A
656,"Coffee, green",5412,Yield,kg/ha,1996,504.100000,A
656,"Coffee, green",5412,Yield,kg/ha,1997,513.100000,A
656,"Coffee, green",5412,Yield,kg/ha,1998,606.700000,A
656,"Coffee, green",5412,Yield,kg/ha,1999,583.000000,E
656,"Coffee, green",5412,Yield,kg/ha,2000,439.900000,A
656,"Coffee, green",5412,Yield,kg/ha,2001,433.400000,A
656,"Coffee, green",5412,Yield,kg/ha,2002,497.000000,A
656,"Coffee, green",5412,Yield,kg/ha,2003,480.200000,A
656,"Coffee, green",5412,Yield,kg/ha,2004,496.500000,A
656,"Coffee, green",5412,Yield,kg/ha,2005,510.100000,A
656,"Coffee, green",5412,Yield,kg/ha,2006,521.200000,A
656,"Coffee, green",5412,Yield,kg/ha,2007,522.000000,A
656,"Coffee, green",5412,Yield,kg/ha,2008,539.000000,A
656,"Coffee, green",5412,Yield,kg/ha,2009,539.100000,A
656,"Coffee, green",5412,Yield,kg/ha,2010,539.300000,A
656,"Coffee, green",5412,Yield,kg/ha,2011,493.900000,A
656,"Coffee, green",5412,Yield,kg/ha,2012,560.100000,A
656,"Coffee, green",5412,Yield,kg/ha,2013,544.300000,A
656,"Coffee, green",5412,Yield,kg/ha,2014,523.300000,A
656,"Coffee, green",5412,Yield,kg/ha,2015,519.800000,A
656,"Coffee, green",5412,Yield,kg/ha,2016,520.400000,A
656,"Coffee, green",5412,Yield,kg/ha,2017,579.700000,A
656,"Coffee, green",5412,Yield,kg/ha,2018,603.500000,A
656,"Coffee, green",5412,Yield,kg/ha,2019,604.300000,A
656,"Coffee, green",5412,Yield,kg/ha,2020,609.700000,A
656,"Coffee, green",5412,Yield,kg/ha,2021,614.400000,A
656,"Coffee, green",5412,Yield,kg/ha,2022,612.200000,A
656,"Coffee, green",5412,Yield,kg/ha,2023,598.900000,A
656,"Coffee, green",5412,Yield,kg/ha,2024,636.200000,A
656,"Coffee, green",5510,Production,t,1990,412767.000000,A
656,"Coffee, green",5510,Production,t,1991,428305.000000,A
656,"Coffee, green",5510,Production,t,1992,436930.000000,A
656,"Coffee, green",5510,Production,t,1993,438868.000000,A
656,"Coffee, green",5510,Production,t,1994,450191.000000,A
656,"Coffee, green",5510,Production,t,1995,457801.000000,A
656,"Coffee, green",5510,Production,t,1996,421751.000000,A
656,"Coffee, green",5510,Production,t,1997,426800.000000,A
656,"Coffee, green",5510,Production,t,1998,512165.000000,A
656,"Coffee, green",5510,Production,t,1999,524687.000000,A
656,"Coffee, green",5510,Production,t,2000,554574.000000,A
656,"Coffee, green",5510,Production,t,2001,569234.000000,A
656,"Coffee, green",5510,Production,t,2002,682019.000000,A
656,"Coffee, green",5510,Production,t,2003,663571.000000,A
656,"Coffee, green",5510,Production,t,2004,647385.000000,A
656,"Coffee, green",5510,Production,t,2005,640365.000000,A
656,"Coffee, green",5510,Production,t,2006,682158.000000,A
656,"Coffee, green",5510,Production,t,2007,676475.000000,A
656,"Coffee, green",5510,Production,t,2008,698016.000000,A
656,"Coffee, green",5510,Production,t,2009,682591.000000,A
656,"Coffee, green",5510,Production,t,2010,684076.000000,A
656,"Coffee, green",5510,Production,t,2011,638600.000000,A
656,"Coffee, green",5510,Production,t,2012,691163.000000,A
