item_code,item,element_code,element,months,unit,year,value,flag
661,Cocoa beans,5530,Producer Price (LCU/tonne),Annual value,LCU,1991,1480800.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),Annual value,LCU,1993,1318800.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),Annual value,LCU,1995,1962959.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),Annual value,LCU,1996,2070674.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),Annual value,LCU,1997,2583219.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),Annual value,LCU,1998,6295371.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),Annual value,LCU,2005,9010729.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),Annual value,LCU,2006,8886926.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),Annual value,LCU,2007,10540200.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),Annual value,LCU,2008,14126883.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),Annual value,LCU,2009,16503170.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),Annual value,LCU,2010,18902965.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),Annual value,LCU,2011,19259220.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),Annual value,LCU,2012,18297340.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),Annual value,LCU,2013,19066670.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),Annual value,LCU,2014,23335900.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),Annual value,LCU,2015,23334970.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),Annual value,LCU,2016,24871060.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),Annual value,LCU,2017,21475000.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),Annual value,LCU,2018,21459032.700000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),Annual value,LCU,2019,18814053.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),Annual value,LCU,2020,20446577.100000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),Annual value,LCU,2021,20966657.100000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),Annual value,LCU,2022,21249399.400000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),Annual value,LCU,2023,23669942.600000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),Annual value,LCU,2024,47269671.800000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),January,LCU,2012,18050240.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),January,LCU,2014,21087150.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),January,LCU,2015,22658480.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),January,LCU,2018,20094469.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),January,LCU,2019,18636106.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),January,LCU,2020,20328924.700000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),January,LCU,2021,20689529.900000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),January,LCU,2022,21251186.500000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),January,LCU,2023,21855494.500000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),January,LCU,2024,29921745.300000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),February,LCU,2012,18070780.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),February,LCU,2014,21492240.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),February,LCU,2015,22097550.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),February,LCU,2018,20217188.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),February,LCU,2019,18396707.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),February,LCU,2020,20492956.200000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),February,LCU,2021,20610847.200000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),February,LCU,2022,21173912.100000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),February,LCU,2023,21897060.600000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),February,LCU,2024,31160109.800000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),March,LCU,2012,18063430.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),March,LCU,2014,22025840.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),March,LCU,2015,22069940.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),March,LCU,2018,20727334.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),March,LCU,2019,18455803.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),March,LCU,2020,20446871.400000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),March,LCU,2021,20496216.600000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),March,LCU,2022,21197298.400000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),March,LCU,2023,22039518.700000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),March,LCU,2024,33092634.400000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),April,LCU,2012,17927820.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),April,LCU,2014,22505340.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),April,LCU,2015,21972490.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),April,LCU,2018,21593252.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),April,LCU,2019,18437402.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),April,LCU,2020,20083336.300000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),April,LCU,2021,20704265.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),April,LCU,2022,21185009.100000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),April,LCU,2023,22121803.800000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),April,LCU,2024,39056265.900000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),May,LCU,2012,18120400.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),May,LCU,2014,23047610.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),May,LCU,2015,22485720.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),May,LCU,2018,22478876.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),May,LCU,2019,18601941.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),May,LCU,2020,20095143.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),May,LCU,2021,20795013.200000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),May,LCU,2022,21244008.100000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),May,LCU,2023,22640513.600000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),May,LCU,2024,45232767.300000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),June,LCU,2012,18148250.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),June,LCU,2014,23885310.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),June,LCU,2015,23305760.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),June,LCU,2018,22449018.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),June,LCU,2019,18927338.000000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),June,LCU,2020,20258074.800000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),June,LCU,2021,21013526.500000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),June,LCU,2022,21360663.700000,A
661,Cocoa beans,5530,Producer Price (LCU/tonne),June,LCU,2023,23085217.900000,A
