Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
101,'360,Indonesia,6610,Agricultural land,5110,Area,1961,1961,1000 ha,31229.530000,I,
101,'360,Indonesia,6610,Agricultural land,5110,Area,1962,1962,1000 ha,31416.010000,I,
101,'360,Indonesia,6610,Agricultural land,5110,Area,1963,1963,1000 ha,31633.500000,I,
101,'360,Indonesia,6610,Agricultural land,5110,Area,1964,1964,1000 ha,31749.180000,I,
101,'360,Indonesia,6610,Agricultural land,5110,Area,1965,1965,1000 ha,31994.690000,I,
101,'360,Indonesia,6610,Agricultural land,5110,Area,1966,1966,1000 ha,32162.100000,I,
101,'360,Indonesia,6610,Agricultural land,5110,Area,1967,1967,1000 ha,32283.800000,I,
101,'360,Indonesia,6610,Agricultural land,5110,Area,1968,1968,1000 ha,32677.070000,I,
101,'360,Indonesia,6610,Agricultural land,5110,Area,1969,1969,1000 ha,33062.640000,I,
101,'360,Indonesia,6610,Agricultural land,5110,Area,1970,1970,1000 ha,33203.160000,I,
101,'360,Indonesia,6610,Agricultural land,5110,Area,1971,1971,1000 ha,33593.050000,I,
101,'360,Indonesia,6610,Agricultural land,5110,Area,1972,1972,1000 ha,33965.890000,I,
101,'360,Indonesia,6610,Agricultural land,5110,Area,1973,1973,1000 ha,34253.780000,I,
101,'360,Indonesia,6610,Agricultural land,5110,Area,1974,1974,1000 ha,34527.250000,I,
101,'360,Indonesia,6610,Agricultural land,5110,Area,1975,1975,1000 ha,34926.440000,I,
101,'360,Indonesia,6610,Agricultural land,5110,Area,1976,1976,1000 ha,34910.400000,I,
101,'360,Indonesia,6610,Agricultural land,5110,Area,1977,1977,1000 ha,35113.870000,I,
101,'360,Indonesia,6610,Agricultural land,5110,Area,1978,1978,1000 ha,35396.810000,I,
101,'360,Indonesia,6610,Agricultural land,5110,Area,1979,1979,1000 ha,35853.570000,I,
101,'360,Indonesia,6610,Agricultural land,5110,Area,1980,1980,1000 ha,36266.620000,I,
101,'360,Indonesia,6610,Agricultural land,5110,Area,1981,1981,1000 ha,36640.960000,I,
101,'360,Indonesia,6610,Agricultural land,5110,Area,1982,1982,1000 ha,37035.790000,I,
101,'360,Indonesia,6610,Agricultural land,5110,Area,1983,1983,1000 ha,37222.540000,I,
101,'360,Indonesia,6610,Agricultural land,5110,Area,1984,1984,1000 ha,37052.000000,A,
101,'360,Indonesia,6610,Agricultural land,5110,Area,1985,1985,1000 ha,39278.500000,I,
101,'360,Indonesia,6610,Agricultural land,5110,Area,1986,1986,1000 ha,41292.000000,A,
101,'360,Indonesia,6610,Agricultural land,5110,Area,1987,1987,1000 ha,43485.000000,A,
101,'360,Indonesia,6610,Agricultural land,5110,Area,1988,1988,1000 ha,44137.000000,A,
101,'360,Indonesia,6610,Agricultural land,5110,Area,1989,1989,1000 ha,44435.000000,A,
101,'360,Indonesia,6610,Agricultural land,5110,Area,1990,1990,1000 ha,45083.000000,A,
101,'360,Indonesia,6610,Agricultural land,5110,Area,1991,1991,1000 ha,41524.000000,A,
101,'360,Indonesia,6610,Agricultural land,5110,Area,1992,1992,1000 ha,41356.000000,I,
101,'360,Indonesia,6610,Agricultural land,5110,Area,1993,1993,1000 ha,42016.000000,A,
101,'360,Indonesia,6610,Agricultural land,5110,Area,1994,1994,1000 ha,41971.000000,I,
101,'360,Indonesia,6610,Agricultural land,5110,Area,1995,1995,1000 ha,42978.000000,I,
101,'360,Indonesia,6610,Agricultural land,5110,Area,1996,1996,1000 ha,42968.000000,I,
101,'360,Indonesia,6610,Agricultural land,5110,Area,1997,1997,1000 ha,42968.000000,I,
101,'360,Indonesia,6610,Agricultural land,5110,Area,1998,1998,1000 ha,43118.000000,I,
101,'360,Indonesia,6610,Agricultural land,5110,Area,1999,1999,1000 ha,44118.000000,I,
101,'360,Indonesia,6610,Agricultural land,5110,Area,2000,2000,1000 ha,44618.000000,I,
101,'360,Indonesia,6610,Agricultural land,5110,Area,2001,2001,1000 ha,45441.000000,I,
101,'360,Indonesia,6610,Agricultural land,5110,Area,2002,2002,1000 ha,46041.000000,I,
101,'360,Indonesia,6610,Agricultural land,5110,Area,2003,2003,1000 ha,46541.000000,I,
101,'360,Indonesia,6610,Agricultural land,5110,Area,2004,2004,1000 ha,46632.630000,I,
101,'360,Indonesia,6610,Agricultural land,5110,Area,2005,2005,1000 ha,46824.260000,I,
101,'360,Indonesia,6610,Agricultural land,5110,Area,2006,2006,1000 ha,47915.890000,I,
101,'360,Indonesia,6610,Agricultural land,5110,Area,2007,2007,1000 ha,48907.520000,I,
