town,date,precip_mm,grid_lat,grid_lon
pagar_alam,2005-01-01,1.177,-4.25,103.25
lahat,2005-01-01,2.753,-3.75,103.75
muaradua,2005-01-01,0.545,-4.75,104.25
liwa,2005-01-01,0.351,-5.25,104.25
kepahiang,2005-01-01,1.084,-3.75,102.75
pagar_alam,2005-01-02,0.196,-4.25,103.25
lahat,2005-01-02,0.171,-3.75,103.75
muaradua,2005-01-02,0.0,-4.75,104.25
liwa,2005-01-02,0.0,-5.25,104.25
kepahiang,2005-01-02,0.023,-3.75,102.75
pagar_alam,2005-01-03,0.178,-4.25,103.25
lahat,2005-01-03,0.424,-3.75,103.75
muaradua,2005-01-03,0.262,-4.75,104.25
liwa,2005-01-03,0.522,-5.25,104.25
kepahiang,2005-01-03,0.223,-3.75,102.75
pagar_alam,2005-01-04,18.291,-4.25,103.25
lahat,2005-01-04,18.164,-3.75,103.75
muaradua,2005-01-04,19.873,-4.75,104.25
liwa,2005-01-04,20.062,-5.25,104.25
kepahiang,2005-01-04,17.995,-3.75,102.75
pagar_alam,2005-01-05,11.51,-4.25,103.25
lahat,2005-01-05,14.954,-3.75,103.75
muaradua,2005-01-05,5.044,-4.75,104.25
liwa,2005-01-05,6.827,-5.25,104.25
kepahiang,2005-01-05,11.925,-3.75,102.75
pagar_alam,2005-01-06,20.822,-4.25,103.25
lahat,2005-01-06,15.015,-3.75,103.75
muaradua,2005-01-06,22.801,-4.75,104.25
liwa,2005-01-06,24.586,-5.25,104.25
kepahiang,2005-01-06,20.729,-3.75,102.75
pagar_alam,2005-01-07,2.799,-4.25,103.25
lahat,2005-01-07,3.202,-3.75,103.75
muaradua,2005-01-07,0.661,-4.75,104.25
liwa,2005-01-07,0.975,-5.25,104.25
kepahiang,2005-01-07,3.01,-3.75,102.75
pagar_alam,2005-01-08,11.978,-4.25,103.25
lahat,2005-01-08,9.357,-3.75,103.75
muaradua,2005-01-08,1.86,-4.75,104.25
liwa,2005-01-08,0.754,-5.25,104.25
kepahiang,2005-01-08,13.539,-3.75,102.75
pagar_alam,2005-01-09,3.78,-4.25,103.25
lahat,2005-01-09,5.394,-3.75,103.75
muaradua,2005-01-09,28.166,-4.75,104.25
liwa,2005-01-09,30.761,-5.25,104.25
kepahiang,2005-01-09,0.488,-3.75,102.75
pagar_alam,2005-01-10,10.349,-4.25,103.25
lahat,2005-01-10,29.249,-3.75,103.75
muaradua,2005-01-10,2.724,-4.75,104.25
liwa,2005-01-10,2.464,-5.25,104.25
kepahiang,2005-01-10,9.738,-3.75,102.75
pagar_alam,2005-01-11,0.154,-4.25,103.25
lahat,2005-01-11,0.591,-3.75,103.75
muaradua,2005-01-11,1.473,-4.75,104.25
liwa,2005-01-11,2.151,-5.25,104.25
kepahiang,2005-01-11,0.225,-3.75,102.75
pagar_alam,2005-01-12,4.71,-4.25,103.25
lahat,2005-01-12,3.562,-3.75,103.75
muaradua,2005-01-12,4.594,-4.75,104.25
liwa,2005-01-12,4.611,-5.25,104.25
kepahiang,2005-01-12,4.851,-3.75,102.75
pagar_alam,2005-01-13,45.749,-4.25,103.25
lahat,2005-01-13,40.225,-3.75,103.75
muaradua,2005-01-13,11.654,-4.75,104.25
liwa,2005-01-13,6.546,-5.25,104.25
kepahiang,2005-01-13,47.938,-3.75,102.75
pagar_alam,2005-01-14,2.298,-4.25,103.25
lahat,2005-01-14,1.589,-3.75,103.75
muaradua,2005-01-14,12.198,-4.75,104.25
liwa,2005-01-14,18.647,-5.25,104.25
kepahiang,2005-01-14,1.985,-3.75,102.75
pagar_alam,2005-01-15,4.737,-4.25,103.25
lahat,2005-01-15,18.206,-3.75,103.75
muaradua,2005-01-15,25.928,-4.75,104.25
liwa,2005-01-15,23.655,-5.25,104.25
kepahiang,2005-01-15,2.424,-3.75,102.75
pagar_alam,2005-01-16,0.0,-4.25,103.25
lahat,2005-01-16,1.354,-3.75,103.75
muaradua,2005-01-16,0.0,-4.75,104.25
liwa,2005-01-16,0.0,-5.25,104.25
kepahiang,2005-01-16,0.088,-3.75,102.75
pagar_alam,2005-01-17,1.223,-4.25,103.25
lahat,2005-01-17,1.248,-3.75,103.75
muaradua,2005-01-17,0.369,-4.75,104.25
liwa,2005-01-17,0.07,-5.25,104.25
kepahiang,2005-01-17,0.43,-3.75,102.75
pagar_alam,2005-01-18,0.122,-4.25,103.25
lahat,2005-01-18,0.286,-3.75,103.75
muaradua,2005-01-18,0.0,-4.75,104.25
liwa,2005-01-18,0.0,-5.25,104.25
kepahiang,2005-01-18,0.155,-3.75,102.75
pagar_alam,2005-01-19,0.0,-4.25,103.25
lahat,2005-01-19,0.0,-3.75,103.75
muaradua,2005-01-19,0.0,-4.75,104.25
liwa,2005-01-19,0.0,-5.25,104.25
kepahiang,2005-01-19,0.0,-3.75,102.75
pagar_alam,2005-01-20,0.263,-4.25,103.25
lahat,2005-01-20,0.201,-3.75,103.75
muaradua,2005-01-20,1.215,-4.75,104.25
liwa,2005-01-20,2.143,-5.25,104.25
kepahiang,2005-01-20,0.03,-3.75,102.75
pagar_alam,2005-01-21,0.0,-4.25,103.25
lahat,2005-01-21,0.0,-3.75,103.75
muaradua,2005-01-21,0.042,-4.75,104.25
liwa,2005-01-21,0.028,-5.25,104.25
kepahiang,2005-01-21,0.0,-3.75,102.75
pagar_alam,2005-01-22,0.0,-4.25,103.25
lahat,2005-01-22,0.0,-3.75,103.75
muaradua,2005-01-22,0.0,-4.75,104.25
liwa,2005-01-22,0.0,-5.25,104.25
kepahiang,2005-01-22,0.0,-3.75,102.75
pagar_alam,2005-01-23,0.0,-4.25,103.25
lahat,2005-01-23,0.0,-3.75,103.75
muaradua,2005-01-23,0.0,-4.75,104.25
liwa,2005-01-23,0.0,-5.25,104.25
kepahiang,2005-01-23,0.0,-3.75,102.75
pagar_alam,2005-01-24,0.0,-4.25,103.25
lahat,2005-01-24,0.0,-3.75,103.75
muaradua,2005-01-24,0.059,-4.75,104.25
liwa,2005-01-24,0.0,-5.25,104.25
kepahiang,2005-01-24,0.0,-3.75,102.75
pagar_alam,2005-01-25,0.257,-4.25,103.25
