town,date,tmax_c,grid_lat,grid_lon
pagar_alam,2005-01-01,26.309,-4.25,103.25
lahat,2005-01-01,28.45,-3.75,103.75
muaradua,2005-01-01,28.599,-4.75,104.25
liwa,2005-01-01,28.056,-5.25,104.25
kepahiang,2005-01-01,27.545,-3.75,102.75
pagar_alam,2005-01-02,27.768,-4.25,103.25
lahat,2005-01-02,29.533,-3.75,103.75
muaradua,2005-01-02,27.285,-4.75,104.25
liwa,2005-01-02,27.065,-5.25,104.25
kepahiang,2005-01-02,29.305,-3.75,102.75
pagar_alam,2005-01-03,27.538,-4.25,103.25
lahat,2005-01-03,30.608,-3.75,103.75
muaradua,2005-01-03,29.09,-4.75,104.25
liwa,2005-01-03,28.137,-5.25,104.25
kepahiang,2005-01-03,28.501,-3.75,102.75
pagar_alam,2005-01-04,23.872,-4.25,103.25
lahat,2005-01-04,28.411,-3.75,103.75
muaradua,2005-01-04,28.334,-4.75,104.25
liwa,2005-01-04,27.588,-5.25,104.25
kepahiang,2005-01-04,24.453,-3.75,102.75
pagar_alam,2005-01-05,25.973,-4.25,103.25
lahat,2005-01-05,28.582,-3.75,103.75
muaradua,2005-01-05,26.531,-4.75,104.25
liwa,2005-01-05,25.638,-5.25,104.25
kepahiang,2005-01-05,27.257,-3.75,102.75
pagar_alam,2005-01-06,25.631,-4.25,103.25
lahat,2005-01-06,29.357,-3.75,103.75
muaradua,2005-01-06,27.533,-4.75,104.25
liwa,2005-01-06,26.46,-5.25,104.25
kepahiang,2005-01-06,26.506,-3.75,102.75
pagar_alam,2005-01-07,24.201,-4.25,103.25
lahat,2005-01-07,28.783,-3.75,103.75
muaradua,2005-01-07,27.691,-4.75,104.25
liwa,2005-01-07,26.718,-5.25,104.25
kepahiang,2005-01-07,24.655,-3.75,102.75
pagar_alam,2005-01-08,27.251,-4.25,103.25
lahat,2005-01-08,30.331,-3.75,103.75
muaradua,2005-01-08,26.702,-4.75,104.25
liwa,2005-01-08,25.5,-5.25,104.25
kepahiang,2005-01-08,28.654,-3.75,102.75
pagar_alam,2005-01-09,27.321,-4.25,103.25
lahat,2005-01-09,30.09,-3.75,103.75
muaradua,2005-01-09,28.029,-4.75,104.25
liwa,2005-01-09,26.96,-5.25,104.25
kepahiang,2005-01-09,28.61,-3.75,102.75
pagar_alam,2005-01-10,27.817,-4.25,103.25
lahat,2005-01-10,30.121,-3.75,103.75
muaradua,2005-01-10,28.125,-4.75,104.25
liwa,2005-01-10,27.542,-5.25,104.25
kepahiang,2005-01-10,29.249,-3.75,102.75
pagar_alam,2005-01-11,27.895,-4.25,103.25
lahat,2005-01-11,30.17,-3.75,103.75
muaradua,2005-01-11,28.272,-4.75,104.25
liwa,2005-01-11,27.388,-5.25,104.25
kepahiang,2005-01-11,29.379,-3.75,102.75
pagar_alam,2005-01-12,27.241,-4.25,103.25
lahat,2005-01-12,29.244,-3.75,103.75
muaradua,2005-01-12,25.146,-4.75,104.25
liwa,2005-01-12,24.995,-5.25,104.25
kepahiang,2005-01-12,29.379,-3.75,102.75
pagar_alam,2005-01-13,27.075,-4.25,103.25
lahat,2005-01-13,30.021,-3.75,103.75
muaradua,2005-01-13,28.409,-4.75,104.25
liwa,2005-01-13,27.448,-5.25,104.25
kepahiang,2005-01-13,28.153,-3.75,102.75
pagar_alam,2005-01-14,27.371,-4.25,103.25
lahat,2005-01-14,29.966,-3.75,103.75
muaradua,2005-01-14,27.669,-4.75,104.25
liwa,2005-01-14,26.972,-5.25,104.25
kepahiang,2005-01-14,28.798,-3.75,102.75
pagar_alam,2005-01-15,27.148,-4.25,103.25
lahat,2005-01-15,30.205,-3.75,103.75
muaradua,2005-01-15,29.309,-4.75,104.25
liwa,2005-01-15,28.505,-5.25,104.25
kepahiang,2005-01-15,28.276,-3.75,102.75
pagar_alam,2005-01-16,25.49,-4.25,103.25
lahat,2005-01-16,28.53,-3.75,103.75
muaradua,2005-01-16,27.937,-4.75,104.25
liwa,2005-01-16,27.537,-5.25,104.25
kepahiang,2005-01-16,26.39,-3.75,102.75
pagar_alam,2005-01-17,28.29,-4.25,103.25
lahat,2005-01-17,29.916,-3.75,103.75
muaradua,2005-01-17,29.22,-4.75,104.25
liwa,2005-01-17,28.534,-5.25,104.25
kepahiang,2005-01-17,29.682,-3.75,102.75
pagar_alam,2005-01-18,28.829,-4.25,103.25
lahat,2005-01-18,30.995,-3.75,103.75
muaradua,2005-01-18,29.527,-4.75,104.25
liwa,2005-01-18,28.493,-5.25,104.25
kepahiang,2005-01-18,30.108,-3.75,102.75
pagar_alam,2005-01-19,28.261,-4.25,103.25
lahat,2005-01-19,30.076,-3.75,103.75
muaradua,2005-01-19,27.304,-4.75,104.25
liwa,2005-01-19,26.583,-5.25,104.25
kepahiang,2005-01-19,29.867,-3.75,102.75
pagar_alam,2005-01-20,28.538,-4.25,103.25
lahat,2005-01-20,31.166,-3.75,103.75
muaradua,2005-01-20,29.569,-4.75,104.25
liwa,2005-01-20,28.832,-5.25,104.25
kepahiang,2005-01-20,29.805,-3.75,102.75
pagar_alam,2005-01-21,29.009,-4.25,103.25
lahat,2005-01-21,31.363,-3.75,103.75
muaradua,2005-01-21,28.372,-4.75,104.25
liwa,2005-01-21,27.188,-5.25,104.25
kepahiang,2005-01-21,30.317,-3.75,102.75
pagar_alam,2005-01-22,29.479,-4.25,103.25
lahat,2005-01-22,31.798,-3.75,103.75
muaradua,2005-01-22,29.606,-4.75,104.25
liwa,2005-01-22,28.585,-5.25,104.25
kepahiang,2005-01-22,30.974,-3.75,102.75
pagar_alam,2005-01-23,28.734,-4.25,103.25
lahat,2005-01-23,31.403,-3.75,103.75
muaradua,2005-01-23,29.803,-4.75,104.25
liwa,2005-01-23,28.765,-5.25,104.25
kepahiang,2005-01-23,29.999,-3.75,102.75
pagar_alam,2005-01-24,28.815,-4.25,103.25
lahat,2005-01-24,31.188,-3.75,103.75
muaradua,2005-01-24,28.936,-4.75,104.25
liwa,2005-01-24,27.923,-5.25,104.25
kepahiang,2005-01-24,30.008,-3.75,102.75
pagar_alam,2005-01-25,28.255,-4.25,103.25
lahat,2005-01-25,30.536,-3.75,103.75
muaradua,2005-01-25,28.053,-4.75,104.25
liwa,2005-01-25,26.904,-5.25,104.25
kepahiang,2005-01-25,29.641,-3.75,102.75
pagar_alam,2005-01-26,27.092,-4.25,103.25
lahat,2005-01-26,30.945,-3.75,103.75
muaradua,2005-01-26,29.889,-4.75,104.25
liwa,2005-01-26,29.032,-5.25,104.25
kepahiang,2005-01-26,27.718,-3.75,102.75
pagar_alam,2005-01-27,28.893,-4.25,103.25
lahat,2005-01-27,31.614,-3.75,103.75
muaradua,2005-01-27,29.483,-4.75,104.25
liwa,2005-01-27,28.705,-5.25,104.25
kepahiang,2005-01-27,30.038,-3.75,102.75
pagar_alam,2005-01-28,28.39,-4.25,103.25
lahat,2005-01-28,30.835,-3.75,103.75
muaradua,2005-01-28,30.101,-4.75,104.25
liwa,2005-01-28,29.447,-5.25,104.25
kepahiang,2005-01-28,29.707,-3.75,102.75
pagar_alam,2005-01-29,27.147,-4.25,103.25
lahat,2005-01-29,29.854,-3.75,103.75
muaradua,2005-01-29,27.637,-4.75,104.25
liwa,2005-01-29,26.548,-5.25,104.25
kepahiang,2005-01-29,28.378,-3.75,102.75
pagar_alam,2005-01-30,26.963,-4.25,103.25
lahat,2005-01-30,30.61,-3.75,103.75
muaradua,2005-01-30,28.734,-4.75,104.25
liwa,2005-01-30,27.683,-5.25,104.25
kepahiang,2005-01-30,27.869,-3.75,102.75
pagar_alam,2005-01-31,27.621,-4.25,103.25
lahat,2005-01-31,30.675,-3.75,103.75
muaradua,2005-01-31,28.755,-4.75,104.25
liwa,2005-01-31,27.635,-5.25,104.25
kepahiang,2005-01-31,28.696,-3.75,102.75
pagar_alam,2005-02-01,27.782,-4.25,103.25
lahat,2005-02-01,30.884,-3.75,103.75
muaradua,2005-02-01,29.946,-4.75,104.25
liwa,2005-02-01,29.351,-5.25,104.25
kepahiang,2005-02-01,28.748,-3.75,102.75
pagar_alam,2005-02-02,27.647,-4.25,103.25
lahat,2005-02-02,30.281,-3.75,103.75
muaradua,2005-02-02,28.625,-4.75,104.25
liwa,2005-02-02,28.208,-5.25,104.25
kepahiang,2005-02-02,28.872,-3.75,102.75
pagar_alam,2005-02-03,27.679,-4.25,103.25
lahat,2005-02-03,30.7,-3.75,103.75
muaradua,2005-02-03,29.261,-4.75,104.25
liwa,2005-02-03,28.636,-5.25,104.25
kepahiang,2005-02-03,28.657,-3.75,102.75
pagar_alam,2005-02-04,29.134,-4.25,103.25
lahat,2005-02-04,31.514,-3.75,103.75
muaradua,2005-02-04,30.224,-4.75,104.25
liwa,2005-02-04,29.579,-5.25,104.25
kepahiang,2005-02-04,30.146,-3.75,102.75
pagar_alam,2005-02-05,27.691,-4.25,103.25
lahat,2005-02-05,31.202,-3.75,103.75
muaradua,2005-02-05,29.297,-4.75,104.25
liwa,2005-02-05,28.683,-5.25,104.25
kepahiang,2005-02-05,28.518,-3.75,102.75
pagar_alam,2005-02-06,27.693,-4.25,103.25
lahat,2005-02-06,30.243,-3.75,103.75
muaradua,2005-02-06,27.811,-4.75,104.25
liwa,2005-02-06,26.9,-5.25,104.25
kepahiang,2005-02-06,28.85,-3.75,102.75
pagar_alam,2005-02-07,27.773,-4.25,103.25
lahat,2005-02-07,29.801,-3.75,103.75
muaradua,2005-02-07,27.567,-4.75,104.25
liwa,2005-02-07,27.442,-5.25,104.25
kepahiang,2005-02-07,29.346,-3.75,102.75
pagar_alam,2005-02-08,28.886,-4.25,103.25
lahat,2005-02-08,31.586,-3.75,103.75
muaradua,2005-02-08,29.063,-4.75,104.25
liwa,2005-02-08,28.456,-5.25,104.25
kepahiang,2005-02-08,30.011,-3.75,102.75
pagar_alam,2005-02-09,28.486,-4.25,103.25
lahat,2005-02-09,31.712,-3.75,103.75
muaradua,2005-02-09,29.857,-4.75,104.25
liwa,2005-02-09,29.197,-5.25,104.25
kepahiang,2005-02-09,29.482,-3.75,102.75
pagar_alam,2005-02-10,28.212,-4.25,103.25
lahat,2005-02-10,30.762,-3.75,103.75
muaradua,2005-02-10,30.02,-4.75,104.25
liwa,2005-02-10,29.475,-5.25,104.25
kepahiang,2005-02-10,29.243,-3.75,102.75
pagar_alam,2005-02-11,26.74,-4.25,103.25
lahat,2005-02-11,29.792,-3.75,103.75
muaradua,2005-02-11,27.897,-4.75,104.25
liwa,2005-02-11,27.794,-5.25,104.25
kepahiang,2005-02-11,27.893,-3.75,102.75
pagar_alam,2005-02-12,26.611,-4.25,103.25
lahat,2005-02-12,29.196,-3.75,103.75
muaradua,2005-02-12,26.559,-4.75,104.25
liwa,2005-02-12,27.046,-5.25,104.25
kepahiang,2005-02-12,28.148,-3.75,102.75
pagar_alam,2005-02-13,27.308,-4.25,103.25
lahat,2005-02-13,29.608,-3.75,103.75
muaradua,2005-02-13,27.927,-4.75,104.25
liwa,2005-02-13,27.184,-5.25,104.25
kepahiang,2005-02-13,28.366,-3.75,102.75
pagar_alam,2005-02-14,27.82,-4.25,103.25
lahat,2005-02-14,30.777,-3.75,103.75
muaradua,2005-02-14,29.369,-4.75,104.25
liwa,2005-02-14,28.96,-5.25,104.25
kepahiang,2005-02-14,28.642,-3.75,102.75
pagar_alam,2005-02-15,28.882,-4.25,103.25
lahat,2005-02-15,32.251,-3.75,103.75
muaradua,2005-02-15,30.417,-4.75,104.25
liwa,2005-02-15,29.556,-5.25,104.25
kepahiang,2005-02-15,29.738,-3.75,102.75
pagar_alam,2005-02-16,28.859,-4.25,103.25
lahat,2005-02-16,32.765,-3.75,103.75
muaradua,2005-02-16,30.565,-4.75,104.25
liwa,2005-02-16,29.623,-5.25,104.25
kepahiang,2005-02-16,29.761,-3.75,102.75
pagar_alam,2005-02-17,28.584,-4.25,103.25
lahat,2005-02-17,31.911,-3.75,103.75
muaradua,2005-02-17,30.658,-4.75,104.25
liwa,2005-02-17,30.143,-5.25,104.25
kepahiang,2005-02-17,29.331,-3.75,102.75
pagar_alam,2005-02-18,24.648,-4.25,103.25
lahat,2005-02-18,29.675,-3.75,103.75
muaradua,2005-02-18,29.239,-4.75,104.25
liwa,2005-02-18,28.713,-5.25,104.25
kepahiang,2005-02-18,24.62,-3.75,102.75
pagar_alam,2005-02-19,28.318,-4.25,103.25
lahat,2005-02-19,32.033,-3.75,103.75
muaradua,2005-02-19,30.387,-4.75,104.25
liwa,2005-02-19,29.538,-5.25,104.25
kepahiang,2005-02-19,29.01,-3.75,102.75
pagar_alam,2005-02-20,28.327,-4.25,103.25
lahat,2005-02-20,31.667,-3.75,103.75
muaradua,2005-02-20,30.069,-4.75,104.25
liwa,2005-02-20,29.245,-5.25,104.25
kepahiang,2005-02-20,29.302,-3.75,102.75
pagar_alam,2005-02-21,28.886,-4.25,103.25
lahat,2005-02-21,31.51,-3.75,103.75
muaradua,2005-02-21,28.664,-4.75,104.25
liwa,2005-02-21,27.62,-5.25,104.25
kepahiang,2005-02-21,30.19,-3.75,102.75
pagar_alam,2005-02-22,28.337,-4.25,103.25
