town,date,tmin_c,grid_lat,grid_lon
pagar_alam,2005-01-01,18.409,-4.25,103.25
lahat,2005-01-01,22.92,-3.75,103.75
muaradua,2005-01-01,22.254,-4.75,104.25
liwa,2005-01-01,21.664,-5.25,104.25
kepahiang,2005-01-01,20.299,-3.75,102.75
pagar_alam,2005-01-02,17.239,-4.25,103.25
lahat,2005-01-02,21.289,-3.75,103.75
muaradua,2005-01-02,19.947,-4.75,104.25
liwa,2005-01-02,20.074,-5.25,104.25
kepahiang,2005-01-02,19.482,-3.75,102.75
pagar_alam,2005-01-03,19.262,-4.25,103.25
lahat,2005-01-03,23.267,-3.75,103.75
muaradua,2005-01-03,22.015,-4.75,104.25
liwa,2005-01-03,21.559,-5.25,104.25
kepahiang,2005-01-03,21.505,-3.75,102.75
pagar_alam,2005-01-04,18.761,-4.25,103.25
lahat,2005-01-04,23.335,-3.75,103.75
muaradua,2005-01-04,22.389,-4.75,104.25
liwa,2005-01-04,21.904,-5.25,104.25
kepahiang,2005-01-04,20.658,-3.75,102.75
pagar_alam,2005-01-05,17.364,-4.25,103.25
lahat,2005-01-05,21.927,-3.75,103.75
muaradua,2005-01-05,20.29,-4.75,104.25
liwa,2005-01-05,20.335,-5.25,104.25
kepahiang,2005-01-05,19.364,-3.75,102.75
pagar_alam,2005-01-06,18.72,-4.25,103.25
lahat,2005-01-06,23.186,-3.75,103.75
muaradua,2005-01-06,22.174,-4.75,104.25
liwa,2005-01-06,21.745,-5.25,104.25
kepahiang,2005-01-06,20.569,-3.75,102.75
pagar_alam,2005-01-07,17.711,-4.25,103.25
lahat,2005-01-07,22.403,-3.75,103.75
muaradua,2005-01-07,20.004,-4.75,104.25
liwa,2005-01-07,19.963,-5.25,104.25
kepahiang,2005-01-07,20.083,-3.75,102.75
pagar_alam,2005-01-08,18.28,-4.25,103.25
lahat,2005-01-08,23.285,-3.75,103.75
muaradua,2005-01-08,23.319,-4.75,104.25
liwa,2005-01-08,22.492,-5.25,104.25
kepahiang,2005-01-08,19.829,-3.75,102.75
pagar_alam,2005-01-09,17.64,-4.25,103.25
lahat,2005-01-09,21.574,-3.75,103.75
muaradua,2005-01-09,20.253,-4.75,104.25
liwa,2005-01-09,20.365,-5.25,104.25
kepahiang,2005-01-09,20.045,-3.75,102.75
pagar_alam,2005-01-10,18.107,-4.25,103.25
lahat,2005-01-10,22.203,-3.75,103.75
muaradua,2005-01-10,19.897,-4.75,104.25
liwa,2005-01-10,19.823,-5.25,104.25
kepahiang,2005-01-10,20.545,-3.75,102.75
pagar_alam,2005-01-11,18.066,-4.25,103.25
lahat,2005-01-11,21.717,-3.75,103.75
muaradua,2005-01-11,19.744,-4.75,104.25
liwa,2005-01-11,19.868,-5.25,104.25
kepahiang,2005-01-11,20.69,-3.75,102.75
pagar_alam,2005-01-12,18.111,-4.25,103.25
lahat,2005-01-12,22.194,-3.75,103.75
muaradua,2005-01-12,20.277,-4.75,104.25
liwa,2005-01-12,20.332,-5.25,104.25
kepahiang,2005-01-12,20.552,-3.75,102.75
pagar_alam,2005-01-13,18.355,-4.25,103.25
lahat,2005-01-13,22.645,-3.75,103.75
muaradua,2005-01-13,20.015,-4.75,104.25
liwa,2005-01-13,19.868,-5.25,104.25
kepahiang,2005-01-13,20.771,-3.75,102.75
pagar_alam,2005-01-14,17.701,-4.25,103.25
lahat,2005-01-14,21.63,-3.75,103.75
muaradua,2005-01-14,19.275,-4.75,104.25
liwa,2005-01-14,19.721,-5.25,104.25
kepahiang,2005-01-14,20.342,-3.75,102.75
pagar_alam,2005-01-15,18.77,-4.25,103.25
lahat,2005-01-15,23.723,-3.75,103.75
muaradua,2005-01-15,22.947,-4.75,104.25
liwa,2005-01-15,22.283,-5.25,104.25
kepahiang,2005-01-15,20.487,-3.75,102.75
pagar_alam,2005-01-16,17.793,-4.25,103.25
lahat,2005-01-16,22.208,-3.75,103.75
muaradua,2005-01-16,19.988,-4.75,104.25
liwa,2005-01-16,20.222,-5.25,104.25
kepahiang,2005-01-16,20.188,-3.75,102.75
pagar_alam,2005-01-17,17.977,-4.25,103.25
lahat,2005-01-17,23.03,-3.75,103.75
muaradua,2005-01-17,22.357,-4.75,104.25
liwa,2005-01-17,21.833,-5.25,104.25
kepahiang,2005-01-17,19.555,-3.75,102.75
pagar_alam,2005-01-18,18.197,-4.25,103.25
lahat,2005-01-18,21.991,-3.75,103.75
muaradua,2005-01-18,20.175,-4.75,104.25
liwa,2005-01-18,20.258,-5.25,104.25
kepahiang,2005-01-18,20.615,-3.75,102.75
pagar_alam,2005-01-19,18.252,-4.25,103.25
lahat,2005-01-19,21.968,-3.75,103.75
muaradua,2005-01-19,20.283,-4.75,104.25
liwa,2005-01-19,20.382,-5.25,104.25
kepahiang,2005-01-19,20.576,-3.75,102.75
pagar_alam,2005-01-20,18.189,-4.25,103.25
lahat,2005-01-20,22.721,-3.75,103.75
muaradua,2005-01-20,21.883,-4.75,104.25
liwa,2005-01-20,21.461,-5.25,104.25
kepahiang,2005-01-20,20.142,-3.75,102.75
pagar_alam,2005-01-21,18.487,-4.25,103.25
lahat,2005-01-21,23.415,-3.75,103.75
muaradua,2005-01-21,23.736,-4.75,104.25
liwa,2005-01-21,22.86,-5.25,104.25
kepahiang,2005-01-21,20.032,-3.75,102.75
pagar_alam,2005-01-22,16.834,-4.25,103.25
lahat,2005-01-22,21.035,-3.75,103.75
muaradua,2005-01-22,20.18,-4.75,104.25
liwa,2005-01-22,20.367,-5.25,104.25
kepahiang,2005-01-22,19.087,-3.75,102.75
pagar_alam,2005-01-23,22.165,-4.25,103.25
lahat,2005-01-23,25.236,-3.75,103.75
muaradua,2005-01-23,22.951,-4.75,104.25
liwa,2005-01-23,22.224,-5.25,104.25
kepahiang,2005-01-23,24.97,-3.75,102.75
pagar_alam,2005-01-24,19.106,-4.25,103.25
lahat,2005-01-24,22.561,-3.75,103.75
muaradua,2005-01-24,20.869,-4.75,104.25
liwa,2005-01-24,20.998,-5.25,104.25
kepahiang,2005-01-24,21.668,-3.75,102.75
pagar_alam,2005-01-25,19.018,-4.25,103.25
lahat,2005-01-25,22.874,-3.75,103.75
muaradua,2005-01-25,20.943,-4.75,104.25
liwa,2005-01-25,20.921,-5.25,104.25
kepahiang,2005-01-25,21.254,-3.75,102.75
pagar_alam,2005-01-26,19.704,-4.25,103.25
lahat,2005-01-26,23.481,-3.75,103.75
muaradua,2005-01-26,22.393,-4.75,104.25
liwa,2005-01-26,21.804,-5.25,104.25
kepahiang,2005-01-26,21.9,-3.75,102.75
pagar_alam,2005-01-27,22.772,-4.25,103.25
lahat,2005-01-27,24.96,-3.75,103.75
muaradua,2005-01-27,24.09,-4.75,104.25
liwa,2005-01-27,23.084,-5.25,104.25
kepahiang,2005-01-27,25.246,-3.75,102.75
pagar_alam,2005-01-28,18.293,-4.25,103.25
lahat,2005-01-28,22.645,-3.75,103.75
muaradua,2005-01-28,21.808,-4.75,104.25
liwa,2005-01-28,21.442,-5.25,104.25
kepahiang,2005-01-28,20.371,-3.75,102.75
pagar_alam,2005-01-29,18.181,-4.25,103.25
lahat,2005-01-29,21.959,-3.75,103.75
muaradua,2005-01-29,20.254,-4.75,104.25
liwa,2005-01-29,20.345,-5.25,104.25
kepahiang,2005-01-29,20.632,-3.75,102.75
pagar_alam,2005-01-30,17.82,-4.25,103.25
lahat,2005-01-30,21.93,-3.75,103.75
muaradua,2005-01-30,20.24,-4.75,104.25
liwa,2005-01-30,20.341,-5.25,104.25
kepahiang,2005-01-30,20.186,-3.75,102.75
pagar_alam,2005-01-31,16.55,-4.25,103.25
lahat,2005-01-31,21.472,-3.75,103.75
muaradua,2005-01-31,19.464,-4.75,104.25
liwa,2005-01-31,19.419,-5.25,104.25
kepahiang,2005-01-31,18.575,-3.75,102.75
pagar_alam,2005-02-01,17.841,-4.25,103.25
lahat,2005-02-01,23.097,-3.75,103.75
muaradua,2005-02-01,21.376,-4.75,104.25
liwa,2005-02-01,20.78,-5.25,104.25
kepahiang,2005-02-01,19.557,-3.75,102.75
pagar_alam,2005-02-02,17.342,-4.25,103.25
lahat,2005-02-02,20.761,-3.75,103.75
muaradua,2005-02-02,19.942,-4.75,104.25
liwa,2005-02-02,20.31,-5.25,104.25
kepahiang,2005-02-02,19.996,-3.75,102.75
pagar_alam,2005-02-03,17.389,-4.25,103.25
lahat,2005-02-03,21.616,-3.75,103.75
muaradua,2005-02-03,19.442,-4.75,104.25
liwa,2005-02-03,19.677,-5.25,104.25
kepahiang,2005-02-03,20.051,-3.75,102.75
pagar_alam,2005-02-04,18.323,-4.25,103.25
lahat,2005-02-04,23.428,-3.75,103.75
muaradua,2005-02-04,23.5,-4.75,104.25
liwa,2005-02-04,22.4,-5.25,104.25
kepahiang,2005-02-04,19.852,-3.75,102.75
pagar_alam,2005-02-05,20.383,-4.25,103.25
lahat,2005-02-05,23.518,-3.75,103.75
muaradua,2005-02-05,21.273,-4.75,104.25
liwa,2005-02-05,21.209,-5.25,104.25
kepahiang,2005-02-05,22.785,-3.75,102.75
pagar_alam,2005-02-06,19.529,-4.25,103.25
lahat,2005-02-06,24.287,-3.75,103.75
muaradua,2005-02-06,23.47,-4.75,104.25
liwa,2005-02-06,22.176,-5.25,104.25
kepahiang,2005-02-06,21.259,-3.75,102.75
pagar_alam,2005-02-07,19.798,-4.25,103.25
lahat,2005-02-07,23.259,-3.75,103.75
muaradua,2005-02-07,20.446,-4.75,104.25
liwa,2005-02-07,20.279,-5.25,104.25
kepahiang,2005-02-07,22.471,-3.75,102.75
pagar_alam,2005-02-08,17.691,-4.25,103.25
lahat,2005-02-08,22.481,-3.75,103.75
muaradua,2005-02-08,21.449,-4.75,104.25
liwa,2005-02-08,21.094,-5.25,104.25
kepahiang,2005-02-08,19.607,-3.75,102.75
pagar_alam,2005-02-09,18.022,-4.25,103.25
lahat,2005-02-09,22.951,-3.75,103.75
muaradua,2005-02-09,22.712,-4.75,104.25
liwa,2005-02-09,22.263,-5.25,104.25
kepahiang,2005-02-09,19.709,-3.75,102.75
pagar_alam,2005-02-10,18.987,-4.25,103.25
lahat,2005-02-10,23.579,-3.75,103.75
muaradua,2005-02-10,22.482,-4.75,104.25
liwa,2005-02-10,21.912,-5.25,104.25
kepahiang,2005-02-10,21.013,-3.75,102.75
pagar_alam,2005-02-11,19.503,-4.25,103.25
lahat,2005-02-11,23.254,-3.75,103.75
muaradua,2005-02-11,20.128,-4.75,104.25
liwa,2005-02-11,20.084,-5.25,104.25
kepahiang,2005-02-11,22.319,-3.75,102.75
pagar_alam,2005-02-12,17.446,-4.25,103.25
lahat,2005-02-12,22.306,-3.75,103.75
muaradua,2005-02-12,20.188,-4.75,104.25
liwa,2005-02-12,20.256,-5.25,104.25
kepahiang,2005-02-12,19.623,-3.75,102.75
pagar_alam,2005-02-13,17.394,-4.25,103.25
lahat,2005-02-13,22.212,-3.75,103.75
muaradua,2005-02-13,20.63,-4.75,104.25
liwa,2005-02-13,20.383,-5.25,104.25
kepahiang,2005-02-13,19.283,-3.75,102.75
pagar_alam,2005-02-14,17.39,-4.25,103.25
lahat,2005-02-14,21.993,-3.75,103.75
muaradua,2005-02-14,20.177,-4.75,104.25
liwa,2005-02-14,20.208,-5.25,104.25
kepahiang,2005-02-14,19.625,-3.75,102.75
pagar_alam,2005-02-15,17.952,-4.25,103.25
lahat,2005-02-15,22.557,-3.75,103.75
muaradua,2005-02-15,20.903,-4.75,104.25
