town,year,month,tmean_c,grid_lat,grid_lon
pagar_alam,2005,1,22.66,-4.25,103.25
lahat,2005,1,26.79,-3.75,103.75
muaradua,2005,1,24.88,-4.75,104.25
liwa,2005,1,24.9,-5.25,104.25
kepahiang,2005,1,24.04,-3.75,102.75
pagar_alam,2005,2,22.95,-4.25,103.25
lahat,2005,2,27.22,-3.75,103.75
muaradua,2005,2,25.19,-4.75,104.25
liwa,2005,2,25.18,-5.25,104.25
kepahiang,2005,2,24.29,-3.75,102.75
pagar_alam,2005,3,22.68,-4.25,103.25
lahat,2005,3,26.97,-3.75,103.75
muaradua,2005,3,24.93,-4.75,104.25
liwa,2005,3,24.92,-5.25,104.25
kepahiang,2005,3,24.02,-3.75,102.75
pagar_alam,2005,4,23.11,-4.25,103.25
lahat,2005,4,27.39,-3.75,103.75
muaradua,2005,4,25.5,-4.75,104.25
liwa,2005,4,25.49,-5.25,104.25
kepahiang,2005,4,24.47,-3.75,102.75
pagar_alam,2005,5,22.43,-4.25,103.25
lahat,2005,5,26.95,-3.75,103.75
muaradua,2005,5,25.36,-4.75,104.25
liwa,2005,5,25.41,-5.25,104.25
kepahiang,2005,5,23.55,-3.75,102.75
pagar_alam,2005,6,22.09,-4.25,103.25
lahat,2005,6,26.48,-3.75,103.75
muaradua,2005,6,25.04,-4.75,104.25
liwa,2005,6,25.14,-5.25,104.25
kepahiang,2005,6,22.89,-3.75,102.75
pagar_alam,2005,7,22.28,-4.25,103.25
lahat,2005,7,26.37,-3.75,103.75
muaradua,2005,7,24.38,-4.75,104.25
liwa,2005,7,24.34,-5.25,104.25
kepahiang,2005,7,23.36,-3.75,102.75
pagar_alam,2005,8,22.39,-4.25,103.25
lahat,2005,8,26.35,-3.75,103.75
muaradua,2005,8,24.56,-4.75,104.25
liwa,2005,8,24.58,-5.25,104.25
kepahiang,2005,8,23.11,-3.75,102.75
pagar_alam,2005,9,22.63,-4.25,103.25
lahat,2005,9,26.9,-3.75,103.75
muaradua,2005,9,25.01,-4.75,104.25
liwa,2005,9,24.98,-5.25,104.25
kepahiang,2005,9,23.66,-3.75,102.75
pagar_alam,2005,10,22.34,-4.25,103.25
lahat,2005,10,26.78,-3.75,103.75
muaradua,2005,10,25.09,-4.75,104.25
liwa,2005,10,25.15,-5.25,104.25
kepahiang,2005,10,23.39,-3.75,102.75
pagar_alam,2005,11,22.45,-4.25,103.25
lahat,2005,11,26.75,-3.75,103.75
muaradua,2005,11,25.01,-4.75,104.25
liwa,2005,11,25.05,-5.25,104.25
kepahiang,2005,11,23.49,-3.75,102.75
