town,year,month,rain_mm,grid_lat,grid_lon,source
pagar_alam,2012,1,279.33,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2012,2,188.59,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2012,3,148.44,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2012,4,374.14,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2012,5,220.31,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2012,6,64.74,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2012,7,69.54,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2012,8,117.9,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2012,9,74.84,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2012,10,250.15,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2012,11,340.07,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2012,12,569.32,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2013,1,461.15,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2013,2,342.32,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2013,3,248.48,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2013,4,303.29,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2013,5,260.72,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2013,6,155.59,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2013,7,367.75,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2013,8,134.24,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2013,9,215.2,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2013,10,223.46,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2013,11,400.69,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2013,12,397.67,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2014,1,310.87,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2014,2,212.07,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2014,3,266.21,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2014,4,382.51,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2014,5,288.6,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2014,6,142.82,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2014,7,84.52,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2014,8,244.92,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2014,9,15.71,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2014,10,95.06,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2014,11,408.33,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2014,12,339.69,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2015,1,387.88,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2015,2,281.19,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2015,3,254.62,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2015,4,428.11,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2015,5,93.11,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2015,6,124.92,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2015,7,21.88,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2015,8,86.39,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2015,9,13.3,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2015,10,0.0,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2015,11,162.17,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2015,12,441.8,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2016,1,284.71,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2016,2,333.75,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2016,3,383.57,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2016,4,280.52,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2016,5,253.25,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2016,6,102.82,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2016,7,102.14,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2016,8,315.74,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2016,9,164.88,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2016,10,226.43,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2016,11,434.53,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2016,12,231.61,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2017,1,272.5,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2017,2,363.86,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2017,3,218.38,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2017,4,352.5,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2017,5,270.71,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2017,6,108.31,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2017,7,57.77,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2017,8,166.91,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2017,9,258.12,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2017,10,195.88,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2017,11,232.88,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2017,12,322.98,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2018,1,176.37,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2018,2,216.7,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2018,3,297.95,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2018,4,276.84,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2018,5,185.71,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2018,6,158.48,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2018,7,0.0,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2018,8,219.97,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2018,9,72.65,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2018,10,173.99,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2018,11,304.71,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2018,12,329.3,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2019,1,318.5,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2019,2,204.72,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2019,3,257.76,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2019,4,365.23,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2019,5,130.73,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2019,6,96.99,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2019,7,122.55,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2019,8,0.0,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2019,9,2.89,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2019,10,14.6,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2019,11,11.88,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2019,12,282.59,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2020,1,396.33,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2020,2,207.13,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2020,3,470.89,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2020,4,408.57,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2020,5,234.82,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2020,6,227.99,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2020,7,112.08,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2020,8,98.74,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2020,9,186.1,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
pagar_alam,2020,10,338.94,-4.5,103.5,GPCC First Guess Monthly 1deg (PSL)
