town,year,month,rain_mm,grid_lat,grid_lon,source
pagar_alam,1981,1,235.26,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1981,2,189.78,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1981,3,446.1,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1981,4,358.0,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1981,5,163.13,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1981,6,89.3,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1981,7,42.17,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1981,8,99.78,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1981,9,155.4,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1981,10,216.14,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1981,11,320.9,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1981,12,207.9,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1982,1,390.66,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1982,2,290.42,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1982,3,210.4,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1982,4,212.31,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1982,5,224.09,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1982,6,301.93,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1982,7,85.01,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1982,8,59.5,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1982,9,34.52,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1982,10,186.36,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1982,11,184.7,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1982,12,437.71,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1983,1,511.7,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1983,2,239.69,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1983,3,251.62,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1983,4,155.2,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1983,5,307.05,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1983,6,86.3,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1983,7,99.92,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1983,8,75.17,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1983,9,74.22,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1983,10,295.72,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1983,11,220.3,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1983,12,347.95,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1984,1,227.0,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1984,2,214.95,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1984,3,440.98,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1984,4,250.01,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1984,5,231.68,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1984,6,130.35,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1984,7,272.1,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1984,8,207.31,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1984,9,272.91,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1984,10,167.19,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1984,11,363.33,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1984,12,316.85,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1985,1,405.47,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1985,2,11.42,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1985,3,313.48,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1985,4,221.52,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1985,5,280.28,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1985,6,118.65,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1985,7,176.37,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1985,8,33.93,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1985,9,131.03,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1985,10,221.92,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1985,11,306.54,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1985,12,206.47,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1986,1,344.51,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1986,2,158.17,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1986,3,203.61,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1986,4,234.11,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1986,5,192.38,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1986,6,113.94,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1986,7,168.25,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1986,8,117.47,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1986,9,291.84,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1986,10,493.05,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1986,11,234.3,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1986,12,235.03,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1987,1,205.35,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1987,2,205.05,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1987,3,187.31,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1987,4,449.21,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1987,5,208.5,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1987,6,91.02,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1987,7,87.32,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1987,8,62.54,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1987,9,105.06,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1987,10,173.35,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1987,11,266.23,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1987,12,484.31,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1988,1,526.06,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1988,2,80.84,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1988,3,368.55,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1988,4,86.83,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1988,5,254.95,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1988,6,94.07,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1988,7,101.74,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1988,8,163.22,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1988,9,341.19,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1988,10,132.64,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1988,11,417.23,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1988,12,217.27,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1989,1,552.83,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1989,2,280.21,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1989,3,362.33,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1989,4,221.87,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1989,5,249.34,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1989,6,123.84,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1989,7,111.43,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1989,8,184.12,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1989,9,193.73,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1989,10,266.2,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1989,11,396.56,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1989,12,198.86,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1990,1,243.07,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1990,2,270.15,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1990,3,215.05,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1990,4,295.76,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1990,5,174.4,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1990,6,285.52,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1990,7,141.17,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1990,8,136.65,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1990,9,155.96,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1990,10,164.26,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
pagar_alam,1990,11,182.6,-4.125,103.375,GPCC Full Data Monthly v2020 0.25deg (PSL)
